"","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume","ORCL.Adjusted"
"2020-07-01",54.689999,55.880001,54.68,55.490002,17856800,53.547932
"2020-07-02",55.790001,56.43,55.650002,55.939999,15478900,53.982178
"2020-07-06",56.200001,56.830002,56.16,56.599998,15309700,54.619076
"2020-07-07",56.349998,56.950001,56.220001,56.310001,13232100,54.33923
"2020-07-08",56.630001,56.68,55.990002,56.66,12582200,54.676971
"2020-07-09",56.990002,57.799999,56.82,57.529999,15692600,55.516525
"2020-07-10",57.470001,57.52,56.689999,57.389999,12615800,55.381432
"2020-07-13",57.400002,57.84,56.970001,57.009998,15965600,55.014725
"2020-07-14",56.669998,57.290001,56.48,57.200001,15510300,55.431435
"2020-07-15",57.419998,57.84,56.380001,56.619999,10570800,54.86937
"2020-07-16",56.419998,56.490002,55.580002,55.82,8779300,54.094101
"2020-07-17",56.080002,56.119999,54.759998,54.900002,14344800,53.202549
"2020-07-20",54.880001,55.52,54.689999,55.400002,11469300,53.687096
"2020-07-21",55.799999,56.34,55.580002,55.91,11875100,54.18132
"2020-07-22",55.700001,56.18,55.700001,56.009998,13842400,54.278225
"2020-07-23",56,56.360001,55.599998,55.759998,12576000,54.035954
"2020-07-24",55.470001,56.040001,55.259998,55.650002,8939700,53.929359
"2020-07-27",55.66,55.950001,55.32,55.34,10319600,53.628948
"2020-07-28",55.25,55.740002,55.200001,55.349998,13030100,53.638638
"2020-07-29",55.560001,55.900002,55.349998,55.700001,7242700,53.977814
"2020-07-30",55,55.48,54.889999,55.25,7633200,53.541729
"2020-07-31",55,55.470001,54.330002,55.450001,9355800,53.735546
"2020-08-03",55.779999,56.09,55.490002,55.98,9164900,54.249157
"2020-08-04",55.779999,56.009998,55.529999,56,6364300,54.268539
"2020-08-05",56.32,56.32,55.380001,55.5,6629000,53.784
"2020-08-06",55.490002,55.599998,54.939999,55.279999,8169600,53.570805
"2020-08-07",55.009998,55.240002,54.759998,55.23,8772300,53.522346
"2020-08-10",55.240002,55.619999,54.880001,54.939999,10046900,53.24131
"2020-08-11",55.240002,55.459999,54.139999,54.27,8075100,52.592033
"2020-08-12",54.52,54.700001,53.970001,54.169998,9068200,52.495117
"2020-08-13",53.91,54.200001,53.68,54.02,8260300,52.349762
"2020-08-14",54.029999,54.560001,53.77,54.200001,5454400,52.524193
"2020-08-17",54.200001,54.389999,53.66,53.990002,9523700,52.320686
"2020-08-18",55.619999,56.93,54.869999,55.18,21102600,53.473892
"2020-08-19",55.580002,56.799999,55.459999,56.200001,16751500,54.462353
"2020-08-20",55.59,55.810001,55.09,55.259998,10974800,53.551418
"2020-08-21",55.380001,55.450001,54.73,55.189999,9552000,53.483582
"2020-08-24",55.759998,56.110001,55.439999,56.009998,7892100,54.278225
"2020-08-25",56.150002,56.75,56.02,56.09,7427000,54.355747
"2020-08-26",56.34,57.490002,56.060001,57.490002,11597600,55.712471
"2020-08-27",57.450001,58.450001,56.580002,57.18,15834700,55.412052
"2020-08-28",57.330002,58.16,57.209999,57.880001,8613800,56.090416
"2020-08-31",57.130001,57.759998,57.040001,57.220001,18683500,55.450821
"2020-09-01",57.369999,58.009998,57.080002,57.66,10169500,55.877213
"2020-09-02",57.720001,59.32,57.720001,59.029999,14342800,57.204853
"2020-09-03",58.720001,58.990002,56.650002,57.099998,15387400,55.334526
"2020-09-04",56.880001,57.27,55.16,55.73,14697200,54.006889
"2020-09-08",55.349998,55.790001,54.869999,55.32,16472800,53.609566
"2020-09-09",56.16,57.400002,55.860001,56.950001,13993200,55.189163
"2020-09-10",57.439999,58.18,56.75,57.330002,20500900,55.557419
"2020-09-11",60.709999,61.860001,56.869999,57,40220600,55.237617
"2020-09-14",60.860001,61.5,59.349998,59.459999,50107400,57.621555
"2020-09-15",60.009998,61.68,59.389999,60.939999,30385600,59.055798
"2020-09-16",61.119999,61.389999,59.650002,60.43,21223300,58.561569
"2020-09-17",59.419998,60.610001,59,60.18,22831200,58.319294
"2020-09-18",59.98,60.290001,59.43,59.75,49311700,57.902599
"2020-09-21",62.459999,62.599998,60.029999,60.82,32560400,58.939503
"2020-09-22",60.380001,60.75,59.459999,60.619999,13306000,58.745693
"2020-09-23",60.110001,60.490002,58.900002,58.959999,15513500,57.137016
"2020-09-24",58.740002,59.900002,58.290001,59.299999,9560500,57.466511
"2020-09-25",59.27,59.990002,58.959999,59.799999,9371900,57.951042
"2020-09-28",60.029999,60.540001,59.470001,59.580002,9356300,57.73785
"2020-09-29",59.580002,60.16,59.400002,59.470001,6340600,57.631252
"2020-09-30",59.52,60.389999,59.369999,59.700001,11001500,57.854141
"2020-10-01",60.169998,60.27,59.450001,59.68,7357700,57.834759
"2020-10-02",58.709999,59.52,58.509998,58.830002,7329800,57.011032
"2020-10-05",59.439999,59.669998,59.09,59.560001,6899200,57.718468
"2020-10-06",59.509998,60.529999,59.41,59.509998,9743600,57.670013
"2020-10-07",59.77,60.900002,59.639999,60.59,8690900,58.95438
"2020-10-08",60.790001,61.299999,60.630001,60.889999,7202800,59.246281
"2020-10-09",61.150002,61.380001,60.860001,61.150002,7355700,59.49926
"2020-10-12",61.240002,61.830002,61.07,61.459999,8275000,59.800892
"2020-10-13",61.57,61.779999,60.880001,60.970001,8896300,59.324127
"2020-10-14",61.349998,61.529999,60.849998,60.959999,6651100,59.314396
"2020-10-15",60.27,60.740002,60.080002,60.52,6251600,58.886265
"2020-10-16",60.709999,61.110001,60.259998,60.290001,6070800,58.662483
"2020-10-19",60.389999,60.75,59.389999,59.619999,8311000,58.010567
"2020-10-20",59.919998,60.330002,59.630001,59.75,9241200,58.137058
"2020-10-21",59.34,60.119999,59.220001,59.669998,10114900,58.059212
"2020-10-22",59.439999,59.869999,58.689999,59.689999,11900600,58.078671
"2020-10-23",59.900002,60.16,59.709999,59.900002,9739300,58.283005
"2020-10-26",58.099998,58.48,56.529999,57.490002,18876900,55.938065
"2020-10-27",57.639999,57.98,57.02,57.080002,10806500,55.539131
"2020-10-28",56.27,56.599998,55.529999,55.59,13910600,54.089352
"2020-10-29",55.200001,56.759998,55.139999,56.02,13573700,54.507748
"2020-10-30",55.75,56.639999,55.450001,56.110001,12602300,54.595314
"2020-11-02",56.439999,57.470001,56.119999,56.450001,11413200,54.92614
"2020-11-03",57,57.5,56.57,56.799999,8911200,55.266693
"2020-11-04",58,58.09,56.349998,56.490002,12054900,54.965061
"2020-11-05",57.459999,57.650002,56.419998,56.66,9017100,55.130466
"2020-11-06",56.77,56.98,56.150002,56.799999,7510400,55.266693
"2020-11-09",58.189999,59.080002,56.77,56.84,11486600,55.305607
"2020-11-10",56.91,57.240002,56.200001,56.669998,9015900,55.140202
"2020-11-11",57.060001,57.630001,56.799999,57.200001,7724400,55.655895
"2020-11-12",57.259998,57.490002,56.099998,56.450001,7324000,54.92614
"2020-11-13",56.880001,57.09,56.549999,56.91,5870300,55.373722
"2020-11-16",57.02,57.610001,56.880001,57.150002,6309200,55.607243
"2020-11-17",57,57.389999,56.810001,57.119999,5569700,55.578049
"2020-11-18",57.119999,57.290001,56.240002,56.25,8998800,54.731541
"2020-11-19",56.09,56.48,55.560001,56.450001,9643100,54.92614
"2020-11-20",56.360001,56.439999,55.68,55.700001,8395800,54.196384
"2020-11-23",55.849998,56.57,55.77,56.080002,8235900,54.566132
"2020-11-24",56.599998,57.900002,56.360001,57.57,10427200,56.015896
"2020-11-25",57.720001,57.759998,57.259998,57.41,6848900,55.860218
"2020-11-27",57.400002,57.869999,57.150002,57.759998,5627000,56.200775
"2020-11-30",57.610001,58.200001,57.200001,57.720001,26676900,56.16185
"2020-12-01",58.200001,59.279999,58.009998,58.740002,11855300,57.15432
"2020-12-02",58.290001,59.27,58.139999,59.080002,9330400,57.485146
"2020-12-03",59.220001,59.98,59.060001,59.27,9783900,57.67001
"2020-12-04",59.310001,60.549999,59.27,59.959999,10872700,58.341381
"2020-12-07",59.959999,60.200001,59.630001,59.799999,14922900,58.185699
"2020-12-08",58.990002,59.709999,58.220001,59.029999,15237800,57.436489
"2020-12-09",58.889999,59.91,58.799999,59.73,12204100,58.117596
"2020-12-10",59.509998,59.810001,59.040001,59.48,14219900,57.874344
"2020-12-11",60.939999,61,59.419998,60.610001,16209900,58.973843
"2020-12-14",60.830002,61.66,60.689999,60.759998,16193600,59.119785
"2020-12-15",61.09,62.189999,60.900002,61.860001,15506700,60.190094
"2020-12-16",61.869999,63.189999,61.849998,62.779999,16119900,61.085258
"2020-12-17",62.990002,64.050003,62.73,63.610001,15320500,61.892853
"2020-12-18",63.48,65.330002,63.43,65.059998,33728700,63.303707
"2020-12-21",63.889999,65.190002,63.880001,64.480003,18210200,62.739376
"2020-12-22",64.559998,66,64.43,65.150002,17136000,63.391281
"2020-12-23",65.260002,66.199997,65.150002,65.300003,13075200,63.537231
"2020-12-24",65.050003,65.589996,64.779999,64.959999,3796500,63.206402
"2020-12-28",65.410004,65.690002,64.75,64.870003,6463500,63.118843
"2020-12-29",65.25,65.269997,64.220001,64.459999,7770200,62.71991
"2020-12-30",64.800003,64.910004,64.349998,64.400002,6192000,62.66153
"2020-12-31",64.339996,64.769997,64.010002,64.690002,6928600,62.943703
"2021-01-04",64.690002,64.699997,63.169998,63.75,11249900,62.029076
"2021-01-05",63.68,63.790001,62.48,62.959999,11005700,61.260399
"2021-01-06",62.27,63.349998,61.91,62.57,8685400,61.113895
"2021-01-07",62.849998,63.740002,62.849998,63.07,7382800,61.602257
"2021-01-08",63.18,63.540001,62.91,63.380001,7751700,61.905037
"2021-01-11",62.950001,63.57,62.84,63.029999,6284700,61.563183
"2021-01-12",63,63.02,62.18,62.419998,7758200,60.967377
"2021-01-13",62.32,62.59,61.970001,62.060001,8298000,60.615765
"2021-01-14",62.07,62.169998,61.509998,61.599998,10258600,60.166466
"2021-01-15",61.599998,62,61.209999,61.779999,7532600,60.342274
"2021-01-19",62.099998,62.290001,61.099998,61.290001,8903400,59.863682
"2021-01-20",61.369999,62.029999,61.150002,61.560001,7025000,60.127396
"2021-01-21",61.650002,61.849998,60.919998,61.209999,6943600,59.785538
"2021-01-22",60.939999,61.150002,59.740002,60.360001,9896700,58.955322
"2021-01-25",60.380001,60.950001,59.77,60.900002,8524700,59.482761
"2021-01-26",61.060001,62.040001,60.84,61.799999,8186500,60.361809
"2021-01-27",61.400002,63.18,61.369999,62.549999,14789000,61.094353
"2021-01-28",62.549999,63.240002,61.169998,61.220001,11166400,59.795311
"2021-01-29",61.16,61.5,60.209999,60.43,11451800,59.023697
"2021-02-01",60.919998,62.009998,60.740002,61.509998,10553500,60.07856
"2021-02-02",61.880001,62.919998,61.799999,62.369999,10528000,60.918545
"2021-02-03",62.18,62.75,61.98,62.169998,9933500,60.723198
"2021-02-04",62.48,63.389999,62.25,63.349998,9928700,61.87574
"2021-02-05",63.5,64.07,63.279999,63.599998,9170200,62.119926
"2021-02-08",63.790001,63.869999,62.84,63.110001,7003400,61.641327
"2021-02-09",63.080002,63.849998,62.91,63.669998,5437400,62.188293
"2021-02-10",63.84,63.900002,62.93,63.27,9577500,61.7976
"2021-02-11",63.560001,63.970001,62.279999,62.700001,7690800,61.240868
"2021-02-12",62.32,63.119999,62.310001,63.080002,6663400,61.612026
"2021-02-16",63.110001,63.259998,62.099998,62.139999,7526000,60.693905
"2021-02-17",61.830002,62.150002,61.360001,62.09,6244500,60.645061
"2021-02-18",61.810001,62.209999,61.66,62.07,6262400,60.625523
"2021-02-19",62.259998,62.360001,61.080002,61.130001,10905100,59.707405
"2021-02-22",62.849998,64.970001,62.279999,64.449997,20940300,62.950138
"2021-02-23",64.419998,65.220001,64.050003,64.5,18175400,62.998985
"2021-02-24",64.489998,65.150002,64.080002,64.699997,10609300,63.194313
"2021-02-25",64.639999,66.360001,64.580002,65.300003,15356100,63.780357
"2021-02-26",65.540001,66.279999,64.5,64.510002,20512600,63.008751
"2021-03-01",64.949997,66.730003,64.769997,66.169998,11758900,64.630112
"2021-03-02",66.150002,67.419998,66,66.660004,13282000,65.108711
"2021-03-03",66.25,67.540001,66.199997,66.910004,15827600,65.352898
"2021-03-04",66.68,67.309998,65.309998,65.610001,19951100,64.083145
"2021-03-05",67.309998,71.720001,67.309998,69.970001,34211500,68.34169
"2021-03-08",70.470001,72.940002,70.099998,72.160004,23300500,70.480721
"2021-03-09",72.400002,73.220001,72,72.639999,17296400,70.949539
"2021-03-10",73.5,73.620003,71.5,72.120003,21378600,70.441658
"2021-03-11",67.650002,68.099998,65.43,67.410004,38095400,65.841263
"2021-03-12",66.959999,67.870003,66.449997,67.160004,11606300,65.597076
"2021-03-15",66.949997,67.779999,66.900002,67.730003,8919600,66.153816
"2021-03-16",68,68.07,66.68,66.849998,14512500,65.294281
"2021-03-17",66.800003,66.849998,66.160004,66.220001,11892400,64.678947
"2021-03-18",66.470001,67.010002,66.089996,66.739998,13750300,65.186844
"2021-03-19",66.790001,66.830002,65.959999,66.260002,30963600,64.71801
"2021-03-22",66.220001,66.519997,65.860001,66.32,10263700,64.776627
"2021-03-23",66.330002,67.940002,66.330002,67.269997,12390100,65.704521
"2021-03-24",67.110001,67.410004,66.739998,66.830002,11391100,65.274757
"2021-03-25",66.959999,68.730003,66.760002,68.629997,14844700,67.03286
"2021-03-26",68.57,70.370003,68.279999,70.25,12617000,68.615166
"2021-03-29",70.209999,72.330002,70.169998,71.129997,15183700,69.474678
"2021-03-30",70.830002,71.050003,69.949997,70.550003,12000200,68.908188
"2021-03-31",70.699997,71.099998,69.910004,70.169998,9971700,68.537025
"2021-04-01",70.459999,71.830002,70.330002,71.809998,13228700,70.138855
"2021-04-05",72.190002,74.900002,72.059998,74.160004,25010200,72.434181
"2021-04-06",73.620003,74.650002,73.160004,74.279999,14699800,72.551376
"2021-04-07",73.599998,74.18,73.449997,74.07,12356800,72.659294
"2021-04-08",74.269997,75.529999,74.150002,75.279999,13507700,73.846237
"2021-04-09",75.349998,75.690002,74.900002,75.580002,13285700,74.140533
"2021-04-12",75.25,76.190002,75.199997,76.120003,10634900,74.670258
"2021-04-13",76.160004,77.010002,75.900002,76.669998,13142400,75.20977
"2021-04-14",77.040001,77.360001,76.510002,76.82,12730700,75.356918
"2021-04-15",77,78.550003,76.830002,78.290001,13604200,76.798912
"2021-04-16",78.309998,79.339996,77.860001,78.949997,13334100,77.446342
"2021-04-19",78.809998,80.209999,78.339996,78.75,19967200,77.250145
"2021-04-20",78.699997,79.419998,78.650002,79.239998,12562300,77.730812
"2021-04-21",78.790001,79.339996,76.529999,76.660004,18672800,75.199959
"2021-04-22",76.110001,76.480003,74.75,74.870003,16769300,73.444054
"2021-04-23",74.290001,75,73.849998,74.970001,10664700,73.542137
"2021-04-26",74.970001,75.040001,74.199997,74.5,9402200,73.0811
"2021-04-27",74.389999,75.43,74.220001,75.220001,9300200,73.787384
"2021-04-28",75.160004,75.269997,74.660004,74.769997,6107800,73.345955
"2021-04-29",75.379997,75.900002,74.639999,75.870003,7940400,74.425003
"2021-04-30",75.559998,75.919998,75.190002,75.790001,7825300,74.346519
"2021-05-03",76.279999,77.480003,76.080002,77.330002,15319600,75.857201
"2021-05-04",77.07,78.699997,76.93,78.529999,15316500,77.034348
"2021-05-05",78.970001,79.830002,78.419998,79.190002,12271900,77.681778
"2021-05-06",79.18,79.959999,78.559998,79.739998,14089700,78.221298
