"","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume","ORCL.Adjusted"
"2021-05-07",79.809998,80.540001,78.580002,80.400002,14073400,78.868736
"2021-05-10",78.769997,80.720001,78.599998,80.150002,17356700,78.623482
"2021-05-11",79.75,79.900002,77.25,77.690002,12980400,76.210342
"2021-05-12",77.57,78.190002,76.529999,76.75,12302600,75.288239
"2021-05-13",77.529999,78.440002,76.879997,78.139999,11399300,76.651772
"2021-05-14",78.120003,79.050003,78.120003,78.889999,9033400,77.387482
"2021-05-17",78.879997,79.529999,78.849998,79.080002,6637900,77.573875
"2021-05-18",78.989998,79.470001,78.389999,78.690002,6643100,77.191299
"2021-05-19",77.809998,78.769997,77.550003,78.739998,8165000,77.240349
"2021-05-20",78.949997,79.32,78.68,78.720001,8802700,77.220726
"2021-05-21",79.190002,79.849998,78.980003,79.029999,8629000,77.524818
"2021-05-24",79.489998,79.879997,79.139999,79.379997,7044700,77.868156
"2021-05-25",79.610001,79.68,78.650002,78.830002,7160600,77.328636
"2021-05-26",78.589996,79.370003,78.550003,79.260002,12851100,77.750443
"2021-05-27",79.5,80.050003,78.839996,78.980003,12867800,77.475769
"2021-05-28",78.949997,79.360001,78.669998,78.739998,6929700,77.240349
"2021-06-01",79.580002,79.830002,78.480003,79.57,10485300,78.054543
"2021-06-02",79.699997,80.93,79.510002,80.269997,12249300,78.741203
"2021-06-03",79.800003,81.459999,79.650002,81.089996,12038700,79.545586
"2021-06-04",81.419998,83.959999,81.370003,82.889999,14502900,81.311302
"2021-06-07",82.940002,84.25,82.849998,83.940002,10445600,82.341309
"2021-06-08",84.029999,85.029999,84,84.610001,10726800,82.998543
"2021-06-09",84.599998,84.830002,84.029999,84.519997,9720300,82.910263
"2021-06-10",84.160004,84.459999,81.709999,82.300003,16680800,80.732544
"2021-06-11",81.980003,83.239998,81.839996,82.900002,11066500,81.321106
"2021-06-14",83,83.099998,82.129997,82.620003,10173200,81.046448
"2021-06-15",82,82.510002,81.349998,81.639999,17298000,80.085106
"2021-06-16",77.989998,78.550003,75.900002,77.080002,36560600,75.611961
"2021-06-17",76.989998,77.739998,76.559998,77.559998,14836100,76.082817
"2021-06-18",76.900002,76.910004,75.970001,76.230003,22521200,74.778152
"2021-06-21",76.610001,78.099998,76.550003,77.989998,8924300,76.504631
"2021-06-22",78.059998,79.190002,77.660004,78.68,9845800,77.181496
"2021-06-23",78.760002,78.870003,78.059998,78.099998,7295900,76.612526
"2021-06-24",78.650002,78.959999,77.610001,77.739998,9624000,76.259384
"2021-06-25",78.029999,78.610001,77.559998,78.459999,12845000,76.965675
"2021-06-28",78.489998,78.970001,78.330002,78.5,5605400,77.004913
"2021-06-29",78.540001,78.589996,77.82,78.099998,5392900,76.612526
"2021-06-30",77.589996,78.209999,77.580002,77.839996,7899800,76.357475
"2021-07-01",77.980003,79.620003,77.910004,79.540001,13108000,78.025108
"2021-07-02",79.449997,82.260002,79.349998,81.82,15258100,80.261681
"2021-07-06",81.599998,83.629997,81.360001,83.080002,14200400,81.497696
"2021-07-07",83.169998,87.169998,82.959999,86.089996,20976600,84.450356
"2021-07-08",85.019997,86.889999,84.660004,85.589996,16383300,83.959877
"2021-07-09",85.879997,88.400002,85.779999,87.760002,15685300,86.088554
"2021-07-12",87.529999,88.849998,86.970001,87.080002,16076800,85.421509
"2021-07-13",86.699997,87.93,86.529999,87.07,12789300,85.41169
"2021-07-14",87.080002,88.669998,86.660004,88.279999,13330500,86.918091
"2021-07-15",88.099998,88.769997,85.510002,86.239998,18306300,84.909569
"2021-07-16",86.75,88.480003,86.519997,87.489998,14617500,86.140274
"2021-07-19",86.910004,87.870003,86.190002,86.980003,15619900,85.638153
"2021-07-20",87.099998,89.050003,87.019997,88.660004,12813900,87.292236
"2021-07-21",88.889999,90.25,88.459999,89.690002,13108100,88.306335
"2021-07-22",90,91.139999,89.68,90.690002,13638900,89.290909
"2021-07-23",90.989998,91.199997,87.120003,87.690002,12680900,86.337196
"2021-07-26",87.440002,88.099998,86.669998,87.860001,10454100,86.504578
"2021-07-27",87.760002,88.599998,87.120003,87.800003,8465200,86.445503
"2021-07-28",87.900002,87.949997,87.120003,87.18,6396800,85.83506
"2021-07-29",87.68,88.260002,87.330002,87.629997,6201400,86.278122
"2021-07-30",87.410004,88.150002,86.870003,87.139999,7962800,85.795677
"2021-08-02",87.730003,87.93,87.089996,87.599998,5579100,86.248573
"2021-08-03",87.879997,90.169998,87.809998,89.739998,9889800,88.35556
"2021-08-04",89.790001,90.089996,89.279999,90.050003,7509900,88.660789
"2021-08-05",90.18,90.519997,88.760002,89.43,8231300,88.050354
"2021-08-06",89.239998,89.879997,88.82,89.519997,6513900,88.138969
"2021-08-09",89.459999,90.470001,89.099998,89.900002,5798700,88.513107
"2021-08-10",89.099998,90.120003,88.93,89.639999,5473300,88.257111
"2021-08-11",89.900002,90.419998,89.510002,89.629997,8009800,88.247253
"2021-08-12",89.110001,89.980003,88.669998,89.809998,5687200,88.424484
"2021-08-13",90.620003,91.339996,89.949997,90.379997,6640400,88.985687
"2021-08-16",89.860001,90.839996,89.540001,90.82,7122800,89.418907
"2021-08-17",90.989998,91.779999,90.370003,90.949997,6738500,89.546906
"2021-08-18",90.489998,91.050003,88.860001,88.940002,7666300,87.567917
"2021-08-19",88.290001,89.389999,88.230003,88.709999,8099400,87.341454
"2021-08-20",88.800003,89.400002,88.300003,88.940002,8716400,87.567917
"2021-08-23",89.489998,89.57,88.709999,89.120003,7147300,87.74514
"2021-08-24",89.209999,89.650002,88.470001,88.550003,6320100,87.183929
"2021-08-25",88.550003,88.900002,88.050003,88.620003,5748500,87.252846
"2021-08-26",88.809998,89.18,88.459999,88.720001,9093200,87.351303
"2021-08-27",88.790001,89.519997,88.610001,89.349998,5426800,87.971581
"2021-08-30",89.459999,89.980003,89.300003,89.449997,5357000,88.07003
"2021-08-31",89.449997,89.5,88.489998,89.129997,8113300,87.754982
"2021-09-01",89.260002,90.169998,88.870003,89.949997,8208000,88.562332
"2021-09-02",90.169998,90.5,89.410004,89.800003,7717400,88.41465
"2021-09-03",89.339996,90.480003,89.300003,90,8456900,88.611557
"2021-09-07",90.040001,90.669998,88.540001,88.720001,11046000,87.351303
"2021-09-08",88.139999,89.599998,87.970001,89.470001,8851200,88.089737
"2021-09-09",89.599998,90.830002,89.410004,89.540001,11034700,88.158653
"2021-09-10",89.650002,90.550003,89.510002,89.68,10547400,88.296494
"2021-09-13",90.120003,90.510002,88.230003,88.889999,18883400,87.518677
"2021-09-14",86.190002,86.949997,84.730003,86.389999,22714200,85.057251
"2021-09-15",86.550003,88.360001,86.169998,87.730003,14951100,86.376587
"2021-09-16",87.669998,87.970001,86.190002,87.25,12410500,85.903984
"2021-09-17",86.209999,87.57,85.949997,86.389999,58069000,85.057251
"2021-09-20",85.029999,87.410004,84.93,86.169998,13897700,84.840637
"2021-09-21",86.739998,87.660004,86.120003,86.919998,11124400,85.579079
"2021-09-22",87.620003,89,87.239998,88.440002,9908000,87.075615
"2021-09-23",88.940002,90.059998,88.660004,89.419998,9720200,88.040504
"2021-09-24",89.269997,90.059998,88.940002,89.940002,7617800,88.55249
"2021-09-27",89.779999,91.309998,89.150002,91.040001,11533000,89.635513
"2021-09-28",90.639999,92.269997,90.050003,90.489998,15041800,89.093994
"2021-09-29",91.150002,92.080002,91,91.25,12007300,89.842278
"2021-09-30",91.25,91.580002,87.120003,87.129997,15649900,85.78582
"2021-10-01",87.760002,90.269997,87.599998,89.739998,13320900,88.35556
"2021-10-04",89.480003,90.43,88.959999,89.260002,10853900,87.882965
"2021-10-05",89.349998,91.970001,89.169998,91.489998,9788600,90.078568
"2021-10-06",90.419998,91.5,89.650002,91.339996,10268300,89.930885
"2021-10-07",91.709999,92.879997,91.650002,92.309998,9124400,90.885918
"2021-10-08",92.379997,95.019997,92.110001,94.389999,13202300,93.257111
"2021-10-11",94.290001,96.800003,94.199997,95.290001,12959300,94.146317
"2021-10-12",95.830002,96.519997,95.260002,95.57,9964100,94.422958
"2021-10-13",96.099998,96.989998,95.949997,96.400002,9453900,95.242996
"2021-10-14",96.800003,97.349998,94.370003,95.279999,7911200,94.136436
"2021-10-15",95.089996,96.040001,94.730003,95.330002,7422800,94.185837
"2021-10-18",95.5,96.650002,95.099998,96.510002,7344100,95.351677
"2021-10-19",97,97.279999,96.32,97.059998,5616500,95.895073
"2021-10-20",97.269997,97.970001,96.25,96.639999,6574100,95.48011
"2021-10-21",96.57,96.830002,95.709999,96.300003,6224400,95.144196
"2021-10-22",96.290001,98.269997,96.220001,98.25,6819600,97.070793
"2021-10-25",98.440002,98.949997,97.550003,97.889999,5083100,96.715111
"2021-10-26",98.300003,98.559998,96.940002,96.980003,7089700,95.816032
"2021-10-27",96.809998,97.300003,96,96.029999,5941200,94.877434
"2021-10-28",96.650002,97.699997,95.93,96.230003,5177200,95.075043
"2021-10-29",95.790001,96.970001,95.459999,95.940002,7578600,94.788521
"2021-11-01",96,96.029999,93.910004,94.379997,7327600,93.247231
"2021-11-02",93.730003,95.919998,93.5,95.870003,6229600,94.719353
"2021-11-03",96.5,96.870003,94.75,96.150002,5746400,94.995995
"2021-11-04",96.230003,96.610001,95.32,95.629997,5857500,94.482231
"2021-11-05",96.199997,96.550003,94.099998,94.949997,6160200,93.810394
"2021-11-08",95.25,95.25,94.309998,95.139999,5056400,93.998116
"2021-11-09",95.110001,95.610001,94.059998,94.589996,6102600,93.454712
"2021-11-10",94.099998,94.849998,93.360001,93.830002,5828800,92.703842
"2021-11-11",94.110001,94.760002,93.800003,94.040001,3620600,92.911316
"2021-11-12",94.290001,94.470001,93.43,93.540001,6435300,92.41732
"2021-11-15",93.82,94.25,92.919998,94.019997,5700900,92.891556
"2021-11-16",94.139999,96.370003,94.019997,95.610001,7392900,94.462479
"2021-11-17",95.760002,96.139999,94.82,95.330002,6257600,94.185837
"2021-11-18",95.150002,95.330002,93.5,94.660004,5725300,93.52388
"2021-11-19",94.809998,96.959999,93.940002,93.970001,8936600,92.842163
"2021-11-22",93.730003,95.669998,93.410004,94.610001,6488200,93.47448
"2021-11-23",94.160004,94.290001,92.260002,92.940002,8905500,91.824524
"2021-11-24",92.230003,93.699997,92.150002,93.580002,10908500,92.456841
"2021-11-26",92.889999,94.080002,92.07,92.330002,4519300,91.22184
"2021-11-29",93.169998,94.129997,92.870003,92.940002,9552500,91.824524
"2021-11-30",93.019997,93.519997,90.610001,90.739998,23271200,89.650925
"2021-12-01",91.690002,92.389999,89.660004,89.75,12084900,88.672806
"2021-12-02",89.400002,91.040001,89,89.989998,7089800,88.909927
"2021-12-03",90.349998,90.790001,87.720001,88.239998,10808600,87.180923
"2021-12-06",88.339996,89.169998,87.849998,88.940002,8398500,87.872536
"2021-12-07",89.980003,90.730003,89.209999,90.050003,6803700,88.969208
"2021-12-08",90.050003,90.169998,87.910004,88.940002,7695800,87.872536
"2021-12-09",89.120003,89.989998,88.239998,88.769997,8615800,87.704567
"2021-12-10",104.290001,106.339996,100.099998,102.629997,45824600,101.398216
"2021-12-13",102.440002,104.360001,100.519997,100.889999,16317600,99.6791
"2021-12-14",100,101.459999,99.389999,99.889999,9511600,98.691101
"2021-12-15",100.580002,103.760002,100.239998,103.650002,14452200,102.405983
"2021-12-16",103.949997,104,102.279999,103.220001,9053200,101.981133
"2021-12-17",97.690002,99.949997,95.809998,96.620003,28872300,95.460358
"2021-12-20",96.419998,96.419998,91.519997,91.639999,17205400,90.540123
"2021-12-21",91.809998,91.839996,89.709999,91.510002,15823000,90.411682
"2021-12-22",91.269997,91.860001,89.510002,89.860001,10539000,88.781487
"2021-12-23",90.029999,90.360001,89.059998,89.720001,9655400,88.643173
"2021-12-27",89.699997,90.330002,89.019997,89.540001,7666200,88.465324
"2021-12-28",89.699997,89.800003,88.519997,88.650002,5610500,87.586014
"2021-12-29",88.5,89.190002,87.720001,88.209999,5628500,87.151299
"2021-12-30",88.650002,88.910004,87.769997,88.010002,7382400,86.95369
"2021-12-31",88.050003,88.099998,87.18,87.209999,5908200,86.163292
"2022-01-03",87.330002,87.940002,85.760002,87.900002,10644400,86.845009
"2022-01-04",87.900002,89.580002,87.730003,88.839996,11959000,87.773727
"2022-01-05",88.489998,88.599998,86.220001,86.459999,11236700,85.422295
"2022-01-06",86,87.419998,85.550003,86.339996,7918400,85.620628
