"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2020-09-17",395.290009,399.820007,392.320007,398.799988,567200,394.584412
"2020-09-18",397.079987,399.76001,390.149994,391.369995,753200,387.232971
"2020-09-21",387.5,393.380005,383.730011,392.25,542800,388.103668
"2020-09-22",391.619995,394.859985,387.630005,392.730011,511400,388.578583
"2020-09-23",395.600006,398.779999,385.359985,386.450012,481400,382.365021
"2020-09-24",384.480011,393.76001,380.070007,391.209991,378600,387.074677
"2020-09-25",388.619995,401.709991,388.279999,398.119995,384600,393.911652
"2020-09-28",400.519989,404.170013,399.410004,400.600006,524100,396.365448
"2020-09-29",401.619995,404.290009,398.200012,401.359985,354100,397.117371
"2020-09-30",403.429993,404.709991,391.160004,395.109985,669400,390.93338
"2020-10-01",398.130005,401.690002,390.559998,393.480011,472700,389.320648
"2020-10-02",390.029999,398.690002,389.730011,395.720001,425900,391.536987
"2020-10-05",399.390015,401.619995,397.059998,401.200012,307800,397.474365
"2020-10-06",401.200012,407,398.799988,399.899994,411100,396.186462
"2020-10-07",402.119995,407.799988,402.119995,405,439300,401.239044
"2020-10-08",407.649994,407.709991,401.959991,403.670013,367800,399.921448
"2020-10-09",406.570007,417.869995,405.230011,414.390015,419700,410.54184
"2020-10-12",417.410004,429.480011,416,421.859985,626700,417.942444
"2020-10-13",421.559998,426.350006,420.130005,423.76001,464900,419.824829
"2020-10-14",426.359985,430.309998,424.579987,427.209991,551600,423.242828
"2020-10-15",424.070007,431.920013,424.019989,430.450012,556200,426.452759
"2020-10-16",431.519989,438.320007,430.940002,433.890015,788800,429.860779
"2020-10-19",432.170013,435.309998,422.089996,424.899994,414200,420.954224
"2020-10-20",426.160004,427.790009,420.850006,422.869995,442400,418.943115
"2020-10-21",422.660004,426.290009,421.059998,421.459991,362000,417.546204
"2020-10-22",421.730011,429.399994,421.480011,427.519989,408600,423.549927
"2020-10-23",431.059998,432.73999,425.160004,428.600006,270400,424.619904
"2020-10-26",424.630005,426.820007,414.019989,417.890015,473000,414.009369
"2020-10-27",405,405.73999,390,394.600006,1415000,390.935608
"2020-10-28",387.75,388.980011,365.5,367.5,1514600,364.087311
"2020-10-29",366.570007,375.959991,366.570007,370.809998,936400,367.366516
"2020-10-30",369.359985,373.329987,362.899994,371.339996,490500,367.891632
"2020-11-02",377.720001,381.920013,375.529999,380.940002,752700,377.402466
"2020-11-03",385.730011,390.679993,380.549988,383.350006,623400,379.790131
"2020-11-04",386.869995,397.549988,381.269989,388.75,733600,385.139923
"2020-11-05",398.410004,398.410004,385.619995,386,689600,382.415497
"2020-11-06",385.23999,391.600006,384.160004,388.420013,646100,384.813019
"2020-11-09",410.910004,417.25,389.839996,390.209991,1047500,386.586426
"2020-11-10",390.25,401.369995,390.25,400.980011,676900,397.256409
"2020-11-11",403.880005,406.829987,399.450012,401.350006,545100,397.622955
"2020-11-12",399.660004,402.179993,386.190002,390.649994,584400,387.022339
"2020-11-13",393.299988,397.679993,390.100006,396.390015,546000,392.709015
"2020-11-16",399,409.01001,396.420013,407.869995,580300,404.082397
"2020-11-17",402.929993,410.790009,401.299988,405.649994,584400,401.882996
"2020-11-18",405.269989,410.390015,400.440002,408.369995,585500,404.577728
"2020-11-19",407,411.119995,406.269989,409.480011,441500,405.67746
"2020-11-20",409.890015,411,403.540009,405.26001,679500,401.496674
