"","ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted"
"2020-07-01",434.799988,442.049988,433.619995,439.809998,2581700,439.809998
"2020-07-02",445,448.160004,441.359985,442.950012,2503000,442.950012
"2020-07-06",448,455.529999,444.690002,452.589996,2761200,452.589996
"2020-07-07",452.589996,459.440002,448.720001,449.359985,2684600,449.359985
"2020-07-08",453.76001,458.23999,452,457.679993,1999200,457.679993
"2020-07-09",460.440002,463.799988,451.880005,460.839996,2269800,460.839996
"2020-07-10",460.829987,467.209991,455.480011,466.200012,3676200,466.200012
"2020-07-13",469.769989,470.609985,440.640015,442.470001,3480700,442.470001
"2020-07-14",435.73999,437.209991,416.290009,433.779999,5666700,433.779999
"2020-07-15",434.910004,439.630005,428.730011,433.01001,2566200,433.01001
"2020-07-16",428.429993,430.589996,418.51001,426.290009,2677700,426.290009
"2020-07-17",428.119995,433.5,423.700012,432.420013,2568200,432.420013
"2020-07-20",434.059998,456.890015,433,455.269989,3512500,455.269989
"2020-07-21",456.070007,456.98999,441.75,444.279999,2027600,444.279999
"2020-07-22",447.549988,449.369995,441.76001,445.049988,1400300,445.049988
"2020-07-23",445.040009,448.809998,430.299988,431.73999,2313900,431.73999
"2020-07-24",425,435,423.440002,430.309998,1900800,430.309998
"2020-07-27",431.769989,438.359985,431.01001,437.100006,1622000,437.100006
"2020-07-28",436.829987,438.26001,431.329987,432.26001,1463400,432.26001
"2020-07-29",435.160004,440.480011,435.040009,436.299988,1489300,436.299988
"2020-07-30",429.980011,440.5,426.809998,438.880005,1449000,438.880005
"2020-07-31",441.980011,444.440002,434.799988,444.320007,2034000,444.320007
"2020-08-03",449.839996,450.73999,442.279999,447.970001,2075200,447.970001
"2020-08-04",448.26001,449.079987,440.700012,446.920013,2622600,446.920013
"2020-08-05",449.089996,454.040009,446.350006,449.51001,2353100,449.51001
"2020-08-06",451.350006,464.369995,449.130005,464.109985,2362000,464.109985
"2020-08-07",460.869995,461.790009,445.089996,449.570007,3289700,449.570007
"2020-08-10",450.369995,451.130005,436.5,443.290009,1836800,443.290009
"2020-08-11",440.26001,444.480011,431.589996,435.230011,1900200,435.230011
"2020-08-12",437.369995,447.929993,437.369995,445.359985,2223700,445.359985
"2020-08-13",446.070007,455.899994,446.070007,450.019989,2028000,450.019989
"2020-08-14",451.390015,452.809998,444.429993,447.600006,1111000,447.600006
"2020-08-17",450,456.100006,449.200012,451.579987,1555700,451.579987
"2020-08-18",454.790009,464.5,452.839996,463.51001,2097700,463.51001
"2020-08-19",464.290009,468.109985,457.589996,462.01001,2439200,462.01001
"2020-08-20",460.98999,479.799988,458.890015,478.480011,2485000,478.480011
"2020-08-21",477.089996,477.279999,470.339996,473.220001,2645600,473.220001
"2020-08-24",478.140015,480.019989,469.519989,476.299988,1840500,476.299988
"2020-08-25",476.670013,484.649994,474.429993,484.429993,3967400,484.429993
"2020-08-26",496.950012,533.700012,492.230011,528.48999,7780300,528.48999
"2020-08-27",519.01001,523.320007,504.459991,510.320007,3631800,510.320007
"2020-08-28",512.330017,518.799988,510.940002,516.440002,1926300,516.440002
"2020-08-31",513.859985,516.72998,507.769989,513.390015,2346700,513.390015
"2020-09-01",515,528.539978,514.47998,527.950012,2404000,527.950012
"2020-09-02",536.25,536.880005,521.409973,533.799988,2783400,533.799988
"2020-09-03",526.039978,527.630005,493.420013,507.799988,5837600,507.799988
"2020-09-04",504.649994,511.350006,471.709991,491.940002,3900300,491.940002
"2020-09-08",471.890015,481.480011,461.179993,462.130005,4533100,462.130005
"2020-09-09",473.910004,483.48999,462.480011,479.459991,3312100,479.459991
"2020-09-10",491.149994,501.850006,473.5,476.26001,4248100,476.26001
"2020-09-11",487.079987,489.410004,464.480011,471.350006,4414200,471.350006
"2020-09-14",484.98999,490.440002,476.869995,485.910004,4463800,485.910004
"2020-09-15",493.73999,499.690002,491.48999,497.670013,5682400,497.670013
"2020-09-16",505.5,505.5,475.5,476,8462600,476
"2020-09-17",464.440002,475.170013,460.5,474.299988,4560800,474.299988
"2020-09-18",477.399994,478.339996,452.519989,467.549988,7182300,467.549988
"2020-09-21",460.309998,475.859985,456.730011,475.640015,3913700,475.640015
"2020-09-22",479.309998,487.200012,469.559998,486.779999,2629100,486.779999
"2020-09-23",486.880005,488,468.230011,470.390015,2671300,470.390015
"2020-09-24",466.929993,471.429993,460.269989,467.670013,2838800,467.670013
"2020-09-25",469.230011,481.579987,466.01001,479.779999,2541100,479.779999
"2020-09-28",487.970001,489.390015,481.179993,488.51001,2844800,488.51001
"2020-09-29",489.940002,493.450012,484.170013,489.329987,2030400,489.329987
"2020-09-30",488.130005,497.23999,486.220001,490.429993,3508200,490.429993
"2020-10-01",497.429993,501.5,495.76001,499.51001,2264600,499.51001
"2020-10-02",487.98999,496.779999,478.640015,478.98999,2780900,478.98999
"2020-10-05",483.25,486.690002,478.98999,486.470001,1984100,486.470001
"2020-10-06",485,491.51001,477.5,478.980011,2041500,478.980011
"2020-10-07",484.350006,493.980011,481.429993,493.149994,2025800,493.149994
"2020-10-08",499.049988,499.48999,487.559998,490.839996,1590700,490.839996
"2020-10-09",491.769989,502.170013,491.179993,502.160004,1853800,502.160004
"2020-10-12",508.26001,516,499.540009,510.890015,3149700,510.890015
"2020-10-13",512.190002,519.599976,511.899994,514.309998,2438100,514.309998
"2020-10-14",514.340027,516.950012,501.600006,506.309998,2032900,506.309998
"2020-10-15",499.26001,502.5,491.850006,501.149994,2042800,501.149994
"2020-10-16",504,510.339996,500.700012,502.820007,2441200,502.820007
"2020-10-19",507.75,507.75,493.200012,495.200012,1931400,495.200012
"2020-10-20",495.25,500.170013,491.910004,494.579987,1453900,494.579987
"2020-10-21",492.049988,499.809998,490.570007,495.959991,1369700,495.959991
"2020-10-22",496.720001,496.859985,479.399994,483.600006,2613700,483.600006
"2020-10-23",486.410004,488.51001,479.51001,488.5,1899300,488.5
"2020-10-26",480.880005,488.779999,470.130005,475.200012,2337400,475.200012
"2020-10-27",479.779999,481.890015,473.470001,478.559998,1896500,478.559998
