"","SYY.Open","SYY.High","SYY.Low","SYY.Close","SYY.Volume","SYY.Adjusted"
"2020-07-01",54.400002,55.240002,52.75,53.700001,3393500,51.18063
"2020-07-02",54.880001,55.939999,53.98,54.060001,4925000,51.523739
"2020-07-06",55.150002,55.540001,53.48,53.759998,2530100,51.237812
"2020-07-07",53.450001,53.700001,52.169998,53.02,2827100,50.532539
"2020-07-08",52.959999,54.049999,52.57,53.110001,3457000,50.618313
"2020-07-09",52.849998,52.880001,50.18,50.98,3704200,48.588242
"2020-07-10",51.029999,52.389999,50.029999,52.310001,2442300,49.855843
"2020-07-13",52.66,53.900002,51.689999,52.439999,3136800,49.97974
"2020-07-14",52.049999,53.220001,51.470001,52.959999,2607900,50.475349
"2020-07-15",54.299999,55.720001,54.209999,55.439999,2938300,52.838997
"2020-07-16",55.07,55.650002,54.34,54.619999,1944200,52.057465
"2020-07-17",55.02,55.07,53.82,54.169998,1727500,51.628582
"2020-07-20",53.52,54.349998,52.5,53.029999,2727200,50.542061
"2020-07-21",53.619999,55.25,53.540001,54.720001,2329000,52.152779
"2020-07-22",54.709999,56.349998,54.240002,55.34,2289900,52.74369
"2020-07-23",55.16,55.450001,54.369999,54.939999,2855000,52.362453
"2020-07-24",54.540001,55.09,54.330002,54.939999,2070900,52.362453
"2020-07-27",54.59,54.799999,53.77,53.990002,2373100,51.457027
"2020-07-28",53.84,54.259998,53.299999,53.5,1957800,50.990013
"2020-07-29",53.720001,54.349998,53.080002,53.990002,2633000,51.457027
"2020-07-30",53.049999,53.599998,52.330002,53.59,2101400,51.075783
"2020-07-31",53.169998,53.450001,52.209999,52.849998,3070000,50.37051
"2020-08-03",52.73,52.790001,50.900002,52.130001,2901800,49.684292
"2020-08-04",52.599998,54.189999,52.130001,54.110001,3407900,51.571392
"2020-08-05",54.580002,55.099998,54.02,54.990002,4392000,52.410107
"2020-08-06",54.91,57.73,54.68,56.400002,3328400,53.75396
"2020-08-07",55.799999,58.720001,55.689999,57.799999,4447500,55.088276
"2020-08-10",58.259998,60.529999,58.209999,60.099998,4006000,57.280369
"2020-08-11",58.599998,62.52,58.259998,60.84,7641300,57.985653
"2020-08-12",61.099998,61.380001,59.470001,59.700001,3189700,56.899136
"2020-08-13",59.099998,60.110001,58.439999,58.599998,2320200,55.850746
"2020-08-14",58.439999,60,57.849998,59.540001,3852700,56.746643
"2020-08-17",59.84,60.119999,59.080002,59.700001,2656900,56.899136
"2020-08-18",59.830002,60.599998,59.07,59.59,2866400,56.794296
"2020-08-19",59.259998,59.369999,57.880001,58.080002,2321700,55.355145
"2020-08-20",57.599998,58.380001,56.959999,57.93,2167800,55.212177
"2020-08-21",57.939999,57.959999,57.209999,57.459999,2599400,54.764225
"2020-08-24",57.950001,59.529999,57.200001,59.509998,2734500,56.718048
"2020-08-25",59.759998,59.790001,57.279999,58.200001,4052200,55.469509
"2020-08-26",57.5,58.209999,56.220001,57.5,4352200,54.802349
"2020-08-27",57.84,60.919998,57.799999,60.029999,3195700,57.21365
"2020-08-28",60.25,62,60.060001,61.889999,2564100,58.986385
"2020-08-31",61.52,62,60.110001,60.139999,2428300,57.318497
"2020-09-01",59.560001,60.389999,58.919998,60.099998,2488800,57.280369
"2020-09-02",60.330002,61.119999,59.619999,60.84,2049900,57.985653
"2020-09-03",61.18,62.169998,59.919998,60.369999,2646700,57.537701
"2020-09-04",60.98,61.689999,59.540001,60.139999,2228800,57.318497
"2020-09-08",59.509998,60.580002,59.240002,59.48,2549500,56.689461
"2020-09-09",60,61.939999,59.02,61.419998,4225300,58.538437
"2020-09-10",61.869999,63.110001,61.389999,61.779999,3657800,58.88155
"2020-09-11",61.900002,62.619999,61.77,62.299999,2861300,59.377155
"2020-09-14",62.75,64.870003,62.439999,64.57,2167400,61.540661
"2020-09-15",64.690002,65.650002,64.230003,65.400002,3150700,62.331722
"2020-09-16",65.610001,68.860001,65.449997,68.25,5170500,65.048019
"2020-09-17",67.510002,69.089996,67.360001,68.400002,4434500,65.190971
"2020-09-18",68.57,69.519997,67.410004,67.629997,4585800,64.4571
"2020-09-21",65.050003,66.099998,63.41,64.050003,4036700,61.045059
"2020-09-22",64.330002,64.82,63.259998,64.019997,2854600,61.016457
"2020-09-23",64.120003,64.989998,60.259998,60.52,3427300,57.680664
"2020-09-24",60.34,62.349998,58.939999,61.560001,2954200,58.671875
"2020-09-25",60.830002,62.209999,60.529999,62.009998,2543400,59.100761
"2020-09-28",63.080002,63.48,61.77,61.849998,2163400,58.948269
"2020-09-29",61.650002,61.990002,60.810001,61.169998,2135900,58.300167
"2020-09-30",61.549999,63.080002,61.549999,62.220001,2257100,59.300903
"2020-10-01",62.32,63.029999,61.48,62.619999,2034400,60.116936
"2020-10-02",61.380001,63.41,60.950001,63.169998,1709300,60.644947
"2020-10-05",63.639999,63.939999,62.360001,63.540001,1704100,61.00016
"2020-10-06",64.07,65.730003,63.830002,64.669998,3698600,62.084991
"2020-10-07",65.300003,66.470001,65.300003,66.279999,2066100,63.630634
"2020-10-08",66.639999,67.870003,66.440002,67.839996,2362300,65.128281
"2020-10-09",68,69.269997,67.650002,67.980003,2594100,65.262688
"2020-10-12",67.870003,68.040001,67.110001,67.480003,2060800,64.782669
"2020-10-13",66.809998,66.809998,65.029999,65.080002,2313900,62.478607
"2020-10-14",65.209999,67.75,65.209999,66.900002,2229000,64.225853
"2020-10-15",66,67.349998,65.959999,66.580002,1970700,63.91864
"2020-10-16",66.900002,67.050003,65.75,65.779999,2620700,63.150623
"2020-10-19",65.830002,66.370003,64.230003,64.339996,2333300,61.768181
"2020-10-20",65.199997,65.690002,64.349998,64.580002,1565800,61.998589
"2020-10-21",64.540001,64.849998,63.48,63.799999,1495500,61.249767
"2020-10-22",64.080002,65.239998,63.32,65.209999,1793000,62.603397
"2020-10-23",65.620003,65.730003,63.77,64.800003,1717400,62.209801
"2020-10-26",63.830002,63.900002,60.330002,60.799999,3163100,58.369682
