"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"2020-07-01",190.666672,192.330002,189.029999,191.846664,1394100,191.846664
"2020-07-02",194.096664,194.479996,192.276672,193.493332,1540200,193.493332
"2020-07-06",196.293335,197.123337,193.699997,194.880005,1486200,194.880005
"2020-07-07",193.233337,195.643326,191.713333,191.779999,1151100,191.779999
"2020-07-08",192.986664,194.356674,191.869995,193.653336,1145700,193.653336
"2020-07-09",193.073334,194.406662,189.333328,191.490005,1448400,191.490005
"2020-07-10",191.566666,192.369995,189.169998,191.956665,929700,191.956665
"2020-07-13",193.053329,196.263336,190,190.429993,1550400,190.429993
"2020-07-14",189.880005,195.493332,188.736664,195.113327,1653600,195.113327
"2020-07-15",197.083328,203,196.860001,202.600006,2370900,202.600006
"2020-07-16",201.566666,204.256668,198.786667,201.416672,2088300,201.416672
"2020-07-17",203.333328,218.266663,202.119995,216.91333,4995000,216.91333
"2020-07-20",215.146667,223.876663,210.523331,222.513336,3291600,222.513336
"2020-07-21",222.410004,225.020004,217.516663,219.383331,3455100,219.383331
"2020-07-22",223.149994,228.28334,220.006668,227.113327,3396000,227.113327
"2020-07-23",228.263336,233.240005,223.906662,228.850006,2461500,228.850006
"2020-07-24",221.710007,225.699997,219.660004,225.110001,2370900,225.110001
"2020-07-27",224.356674,229.943329,222.693329,228.449997,1674600,228.449997
"2020-07-28",226.666672,228.333328,224.75,226.563339,1288500,226.563339
"2020-07-29",227.573334,234.666672,226.669998,231.929993,2403000,231.929993
"2020-07-30",229.653336,230.763336,226.703339,229.130005,1640400,229.130005
"2020-07-31",229.28334,230.213333,225.240005,228.479996,1641900,228.479996
"2020-08-03",228.583328,231.080002,228.456665,229.646667,1468500,229.646667
"2020-08-04",229.07666,229.803329,227.166672,227.833328,1196400,227.833328
"2020-08-05",229.21666,232.523331,228.440002,230.963333,1413900,230.963333
"2020-08-06",230.066666,230.843338,225.363327,230.416672,1011000,230.416672
"2020-08-07",230.339996,231.366669,226.67334,228.616669,1110300,228.616669
"2020-08-10",228.246674,228.446671,225.330002,227.666672,904800,227.666672
"2020-08-11",228.66333,228.66333,223.873337,225,1005900,225
"2020-08-12",225.41333,228.666672,224.256668,227.696671,1437300,227.696671
"2020-08-13",227.573334,231.333328,226.696671,230.186661,823800,230.186661
"2020-08-14",230.846664,230.846664,227.116669,228.17334,887700,228.17334
"2020-08-17",228.339996,231.686661,228.113327,231.333328,1263900,231.333328
"2020-08-18",230.543335,232.066666,230.246674,230.796661,1216500,230.796661
"2020-08-19",231.666672,233,229.886673,230.470001,1518300,230.470001
"2020-08-20",229.75,231.736664,229.003326,231.016663,868800,231.016663
"2020-08-21",230.179993,231.660004,228.893326,231.293335,1589400,231.293335
"2020-08-24",233,233.986664,229.763336,231.91333,1582200,231.91333
"2020-08-25",231.926666,233.616669,231.393326,233.166672,1490100,233.166672
"2020-08-26",233.333328,233.82666,230.929993,233.330002,1537800,233.330002
"2020-08-27",233.610001,239.369995,230.706665,236.463333,2590800,236.463333
"2020-08-28",237.779999,243.316666,236.229996,242.33667,1940700,242.33667
"2020-08-31",241.056671,244.816666,240.333328,243.613327,1806300,243.613327
"2020-09-01",244.149994,247.479996,242.436661,247.190002,1563900,247.190002
"2020-09-02",247.33667,259.609985,246.110001,255.036667,3234300,255.036667
"2020-09-03",250.953339,252.32666,241.376663,247.203339,3249900,247.203339
"2020-09-04",247.703339,249.949997,239.25,245.093338,2487600,245.093338
"2020-09-08",236.666672,239.289993,230.676666,231.389999,3123300,231.389999
"2020-09-09",234.453339,242.236664,234.053329,239.82666,1850400,239.82666
"2020-09-10",239.5,242.896667,233.756668,235.199997,1563600,235.199997
"2020-09-11",237.943329,238.509995,232.66333,234.179993,1300200,234.179993
"2020-09-14",237.470001,240.713333,237.046661,238.779999,1168800,238.779999
"2020-09-15",241.416672,242.053329,237.046661,238.523331,1135500,238.523331
"2020-09-16",240.106674,241.176666,229.886673,230.463333,2312400,230.463333
"2020-09-17",228.403336,230.096664,224.496674,226.956665,2458800,226.956665
"2020-09-18",226.333328,228.383331,216.473328,218.523331,4024500,218.523331
"2020-09-21",216.03334,216.03334,211.096664,213.983337,2352900,213.983337
"2020-09-22",216.153336,222.479996,213.880005,222.006668,3708600,222.006668
"2020-09-23",225.210007,225.399994,218.393326,219.136673,1876500,219.136673
"2020-09-24",217.380005,221.226669,215.846664,219.176666,1245000,219.176666
"2020-09-25",218.220001,225.973328,217.666672,224.57666,1566900,224.57666
"2020-09-28",228.333328,231.853333,226.676666,231.053329,1951200,231.053329
"2020-09-29",232.666672,238.630005,230.183334,230.976669,1625700,230.976669
"2020-09-30",232.383331,239.296661,230.183334,236.513336,1895100,236.513336
"2020-10-01",237.703339,239.476669,234.67334,236.839996,1243800,236.839996
"2020-10-02",233.360001,235.856674,230.699997,232.093338,1602600,232.093338
"2020-10-05",233.03334,236.186661,232.273331,235.899994,1206300,235.899994
"2020-10-06",236.509995,238.740005,232.100006,233.006668,1236000,233.006668
"2020-10-07",236.146667,240.66333,236.146667,240.093338,1180500,240.093338
"2020-10-08",241.666672,242.873337,240.039993,241.006668,1110900,241.006668
"2020-10-09",243.293335,247.089996,242.666672,246.063339,1239900,246.063339
"2020-10-12",249.580002,253.009995,247.743332,251.889999,2265300,251.889999
"2020-10-13",251.973328,253.683334,249.910004,251.78334,1633200,251.78334
"2020-10-14",253.103333,255.393326,248.720001,250.360001,1914300,250.360001
"2020-10-15",247.356674,251.800003,246.666672,247,2765700,247
"2020-10-16",241.666672,253.626663,238.759995,250.893326,3096600,250.893326
"2020-10-19",251.75,257.206665,243.123337,245.373337,1732500,245.373337
"2020-10-20",245.373337,248.516663,243.300003,244.333328,1199400,244.333328
"2020-10-21",243.600006,244.886673,240.863327,242.82666,1838400,242.82666
"2020-10-22",243.206665,246.113327,241.296661,244.313339,935100,244.313339
"2020-10-23",246.110001,246.666672,242.5,245.160004,845100,245.160004
"2020-10-26",242.360001,243.256668,233.559998,237.256668,1540800,237.256668
"2020-10-27",237.839996,242.683334,237.123337,240.300003,975000,240.300003
"2020-10-28",234.773331,235.046661,229.263336,229.266663,1692000,229.266663
"2020-10-29",230,231.490005,227.789993,228.759995,2658000,228.759995
"2020-10-30",227.399994,228.666672,217.666672,222.360001,2989800,222.360001
"2020-11-02",226.873337,227.666672,223.096664,225.32666,1865400,225.32666
"2020-11-03",228,232.259995,226.940002,227.333328,1879500,227.333328
"2020-11-04",236.226669,239.320007,233.570007,236.550003,2760900,236.550003
"2020-11-05",244.846664,244.929993,239.556671,242.759995,1605900,242.759995
"2020-11-06",243.136673,245.800003,240.083328,244.623337,1218000,244.623337
"2020-11-09",251.926666,264.179993,251.926666,257.816681,3383700,257.816681
"2020-11-10",257.013336,257.236664,247.333328,249.833328,1921800,249.833328
"2020-11-11",251.509995,253.276672,245.373337,245.850006,1555800,245.850006
"2020-11-12",248.056671,250.593338,245.656662,246.92334,1241400,246.92334
"2020-11-13",249.443329,251.773331,248.243332,251.126663,862200,251.126663
"2020-11-16",253.333328,254.679993,249.373337,252.729996,1561200,252.729996
