"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2020-07-01",75.339996,77.129997,73.860001,76.110001,3791300,72.179214
"2020-07-02",77.970001,78.099998,74.080002,74.779999,3669800,70.9179
"2020-07-06",75.629997,76,72.800003,74.989998,3023300,71.117058
"2020-07-07",74.300003,74.919998,72.07,72.190002,2220500,68.461662
"2020-07-08",71,73.540001,70.980003,73.120003,2008500,69.343636
"2020-07-09",73.940002,73.940002,69.769997,71.339996,2369700,67.655556
"2020-07-10",70,72.190002,69.959999,72.089996,1974600,68.366821
"2020-07-13",74.309998,76.110001,71.410004,72.900002,3578400,69.134995
"2020-07-14",72.43,73.089996,71.019997,72.93,1741100,69.163445
"2020-07-15",75.349998,79.279999,75.099998,79.120003,3042700,75.033752
"2020-07-16",79.150002,79.440002,75.5,76.690002,2373100,72.729256
"2020-07-17",76.669998,77.629997,75.940002,77.510002,2224100,73.506905
"2020-07-20",76.830002,77.019997,73.040001,74.290001,1977200,70.453217
"2020-07-21",75.290001,76.410004,74.800003,75.5,1862700,71.600716
"2020-07-22",74.82,78.110001,74.650002,77.389999,1397300,73.393105
"2020-07-23",76.5,77.379997,74.800003,76.169998,1554000,72.236115
"2020-07-24",76.089996,78.800003,75.169998,78.639999,1783700,74.578545
"2020-07-27",78.129997,78.209999,75.620003,76.370003,2379500,72.425789
"2020-07-28",74.800003,77.029999,74.220001,75.839996,2306100,71.923141
"2020-07-29",76.690002,79.239998,76.449997,78.839996,2110600,74.768211
"2020-07-30",77.199997,78.910004,76.449997,78.550003,1532800,74.493195
"2020-07-31",78.480003,78.480003,75.769997,75.900002,2718900,71.980064
"2020-08-03",76.220001,76.330002,73.879997,74.489998,1871600,70.642876
"2020-08-04",74.709999,77.410004,74.709999,76.480003,1742000,72.530113
"2020-08-05",77.470001,78.230003,74.910004,75.75,1656800,71.837799
"2020-08-06",75.129997,77.099998,75.110001,76.489998,1714500,72.539581
"2020-08-07",76,79.080002,75.540001,79.059998,2655400,74.976852
"2020-08-10",79.75,82.629997,79.75,81.529999,2636600,77.31929
"2020-08-11",83.43,85.980003,81.779999,84.139999,4441200,79.794495
"2020-08-12",85.129997,85.199997,83.599998,84.599998,2726500,80.230736
"2020-08-13",84.5,85.470001,83.839996,84.550003,2035100,80.183311
"2020-08-14",84.209999,85.099998,83.75,84.07,1654700,79.728104
"2020-08-17",83.620003,84.209999,82.489998,83.900002,1519300,79.566887
"2020-08-18",83.910004,83.919998,81.709999,82.830002,1640100,78.552139
"2020-08-19",81.260002,82.480003,79.410004,79.870003,3074800,75.745026
"2020-08-20",79.389999,81.360001,78.849998,80.910004,1181500,76.731308
"2020-08-21",81.309998,83.470001,80.980003,82.709999,2086200,78.438339
"2020-08-24",83.629997,84.029999,82.150002,82.879997,1629900,78.599564
"2020-08-25",83.690002,84.290001,81.639999,82.610001,1695200,78.343513
"2020-08-26",82.300003,83.449997,81.989998,82.730003,1520300,78.457329
"2020-08-27",83.879997,87.370003,83.779999,85.760002,2312000,81.330818
"2020-08-28",86.839996,90.440002,86.029999,89.860001,2932000,85.21907
"2020-08-31",89.900002,89.93,86.669998,86.669998,1936200,82.193825
"2020-09-01",85.93,87.519997,85.190002,87.139999,1919900,82.639565
"2020-09-02",87.800003,90.610001,87.279999,90.309998,1804500,85.645828
"2020-09-03",90.139999,92.32,87.839996,89.099998,1906100,84.498322
"2020-09-04",90.050003,91.339996,87.650002,89.279999,1469600,84.669037
"2020-09-08",88.580002,92.080002,88.290001,89.120003,2200700,84.517296
"2020-09-09",89.43,89.809998,88.059998,88.580002,1888900,84.00518
"2020-09-10",88.57,91.239998,88.510002,89.949997,1727200,85.304436
"2020-09-11",89.949997,89.959999,84.910004,86.800003,1960200,82.317116
"2020-09-14",88.07,91.790001,87.860001,91.610001,1563800,86.8787
"2020-09-15",91.25,94.449997,90.339996,93.379997,1815700,88.557274
"2020-09-16",93.370003,94.75,92.57,92.970001,1920500,88.168457
"2020-09-17",92.110001,93.099998,90.550003,91.620003,1777100,86.888184
"2020-09-18",91.099998,93.07,89.199997,89.970001,2035200,85.323402
"2020-09-21",86.089996,87.849998,85.379997,87.779999,2070100,83.246498
"2020-09-22",88.120003,90,87.449997,89.980003,1601300,85.332893
"2020-09-23",91.269997,91.459999,88.940002,90,2949100,85.351837
"2020-09-24",92.410004,99.599998,92.309998,97.309998,7289300,92.284309
"2020-09-25",98.599998,99.620003,95.699997,97.169998,3601800,92.151535
"2020-09-28",98.669998,101.290001,97.269997,100.580002,3217900,95.385429
"2020-09-29",101.279999,101.75,98.389999,100.800003,2288800,95.59407
"2020-09-30",100.18,103.059998,100.18,100.739998,2421000,95.537163
"2020-10-01",101.800003,104.980003,100.839996,104.879997,2053400,99.463341
"2020-10-02",101.5,105.650002,101.230003,104.209999,2011900,98.827957
"2020-10-05",105.059998,105.699997,102.43,103.709999,1594500,98.353767
