"","FLT.Open","FLT.High","FLT.Low","FLT.Close","FLT.Volume","FLT.Adjusted"
"2020-07-01",251.5,256.079987,249.889999,254.690002,609800,254.690002
"2020-07-02",257.529999,261.799988,253.910004,254.839996,611300,254.839996
"2020-07-06",255.679993,262.019989,254.580002,256.190002,441300,256.190002
"2020-07-07",254.460007,259.609985,251.600006,252.770004,597600,252.770004
"2020-07-08",253.639999,257.299988,250.619995,253.639999,862600,253.639999
"2020-07-09",259.769989,261.140015,250.610001,253.330002,692300,253.330002
"2020-07-10",252.119995,254.119995,249.179993,253.009995,445400,253.009995
"2020-07-13",255.360001,257.410004,247.789993,248.300003,729500,248.300003
"2020-07-14",246.710007,249.399994,240.979996,249.100006,587200,249.100006
"2020-07-15",253.830002,266.570007,252.949997,265.790009,708900,265.790009
"2020-07-16",263.649994,265.929993,260.01001,260.290009,593000,260.290009
"2020-07-17",261.429993,262.730011,256.48999,259.070007,422200,259.070007
"2020-07-20",258.109985,260.890015,256.309998,259.450012,368600,259.450012
"2020-07-21",261.540009,262.190002,257.25,258.160004,438300,258.160004
"2020-07-22",258.559998,262.579987,258.440002,262.179993,318500,262.179993
"2020-07-23",261.980011,264.119995,256.649994,259.339996,602800,259.339996
"2020-07-24",258.130005,261.429993,255.350006,258.079987,421000,258.079987
"2020-07-27",258.769989,259.75,256.73999,258.480011,335300,258.480011
"2020-07-28",258.380005,261.149994,256.149994,256.220001,417300,256.220001
"2020-07-29",257.75,266.790009,257.720001,264.76001,422000,264.76001
"2020-07-30",260.630005,260.899994,251.330002,259.48999,426800,259.48999
"2020-07-31",259.720001,259.720001,254.089996,258.570007,332800,258.570007
"2020-08-03",258.649994,263.570007,255.5,263.209991,476300,263.209991
"2020-08-04",260.769989,263.350006,257.769989,258.540009,554000,258.540009
"2020-08-05",260.799988,268.619995,260.799988,265.290009,544800,265.290009
"2020-08-06",265.079987,267.48999,261.130005,263,502200,263
"2020-08-07",245.399994,248.160004,235.179993,240.610001,1809200,240.610001
"2020-08-10",239.449997,242.149994,229.669998,236.399994,1101300,236.399994
"2020-08-11",238.229996,240.339996,234.210007,234.759995,1015000,234.759995
"2020-08-12",236.240005,236.729996,228.410004,230.570007,1038700,230.570007
"2020-08-13",229.300003,235.960007,228.110001,234.630005,938100,234.630005
"2020-08-14",235.139999,240.539993,234.119995,240.279999,998500,240.279999
"2020-08-17",241.470001,246.660004,241.169998,245.440002,1274100,245.440002
"2020-08-18",245.279999,246.979996,239.380005,243.699997,800100,243.699997
"2020-08-19",243.279999,245.839996,243.199997,244.869995,510400,244.869995
"2020-08-20",242.550003,244.300003,240.990005,241.210007,752600,241.210007
"2020-08-21",240.279999,241.839996,235.960007,238.669998,742000,238.669998
"2020-08-24",240.839996,241.020004,237.399994,240.089996,586800,240.089996
"2020-08-25",241.229996,242.350006,238,242.350006,518200,242.350006
"2020-08-26",242.270004,245.130005,240.149994,244.800003,546800,244.800003
"2020-08-27",244.729996,248.020004,242.639999,248,682800,248
"2020-08-28",248.050003,255.070007,247.679993,255,555400,255
"2020-08-31",255.639999,257.109985,251.380005,251.449997,808800,251.449997
"2020-09-01",251.429993,255.029999,249.679993,249.990005,402700,249.990005
"2020-09-02",251.410004,254.779999,247.770004,253.649994,510300,253.649994
"2020-09-03",253.690002,253.690002,241.410004,246.160004,804700,246.160004
"2020-09-04",248.289993,249,237.589996,238.039993,693500,238.039993
"2020-09-08",232.529999,237.160004,230.809998,231.910004,925700,231.910004
"2020-09-09",235.479996,237.410004,230.990005,234.960007,659300,234.960007
"2020-09-10",236.479996,239.630005,232.410004,233.210007,499100,233.210007
"2020-09-11",234.710007,235.509995,228.009995,231,562100,231
"2020-09-14",234.110001,236.309998,232.800003,235.039993,1021500,235.039993
"2020-09-15",236.960007,239.339996,231.539993,232.320007,986600,232.320007
"2020-09-16",232.960007,237.029999,232.220001,234.490005,586300,234.490005
"2020-09-17",230.679993,236.320007,229.130005,235.929993,488000,235.929993
"2020-09-18",236.550003,243.279999,235.410004,241.860001,850800,241.860001
"2020-09-21",233.860001,237.570007,230.5,235.440002,1109900,235.440002
"2020-09-22",236.509995,237.429993,232.600006,236.039993,767500,236.039993
"2020-09-23",235.399994,237.649994,232.669998,234,762100,234
"2020-09-24",232.139999,235.509995,229.440002,233.600006,825500,233.600006
"2020-09-25",232.830002,237.300003,230.419998,236.910004,513000,236.910004
"2020-09-28",240.830002,243.449997,239.589996,241.710007,531100,241.710007
"2020-09-29",242.880005,243.75,240.309998,240.75,1008500,240.75
"2020-09-30",240.339996,243.130005,235.779999,238.100006,628400,238.100006
"2020-10-01",241.389999,243.300003,236.619995,237.179993,508700,237.179993
"2020-10-02",232.880005,236.020004,231.399994,234.460007,599400,234.460007
"2020-10-05",236.630005,239.139999,234.940002,238.919998,617000,238.919998
"2020-10-06",241.059998,246.259995,236.839996,238.940002,465500,238.940002
"2020-10-07",240.929993,241.919998,239.100006,240.899994,382400,240.899994
"2020-10-08",241.410004,245.860001,241.410004,245.119995,410100,245.119995
