"","T.Open","T.High","T.Low","T.Close","T.Volume","T.Adjusted"
"2020-07-01",22.756798,23.021149,22.545317,22.583082,41007987,18.549776
"2020-07-02",22.741692,23.036255,22.673716,22.719032,49947900,18.661446
"2020-07-06",23.066465,23.111782,22.839878,23.028702,44639852,18.91581
"2020-07-07",22.885197,22.998489,22.832327,22.900303,36422181,18.810341
"2020-07-08",23.006042,23.074018,22.771902,23.006042,51547292,18.897196
"2020-07-09",22.560423,22.567976,22.197886,22.311178,52120187,18.75024
"2020-07-10",22.280968,22.832327,22.243202,22.756798,48846464,19.124735
"2020-07-13",22.779455,22.787008,22.386707,22.477341,54274864,18.889883
"2020-07-14",22.44713,22.734138,22.303625,22.628399,40519034,19.01683
"2020-07-15",22.711479,22.756798,22.545317,22.666162,40985612,19.048569
"2020-07-16",22.635952,23.036255,22.598186,22.953173,43674920,19.28977
"2020-07-17",23.021149,23.058912,22.794561,22.847431,30634712,19.200905
"2020-07-20",22.794561,22.794561,22.507553,22.545317,42896938,18.947008
"2020-07-21",22.575529,22.97583,22.55287,22.847431,45341572,19.200905
"2020-07-22",22.779455,22.862537,22.620846,22.779455,40393519,19.143778
"2020-07-23",22.771902,22.771902,22.311178,22.583082,68190502,18.978745
"2020-07-24",22.507553,22.817221,22.250755,22.333838,51274813,18.769281
"2020-07-27",22.280968,22.288521,22.061934,22.122356,44346850,18.591557
"2020-07-28",22.099697,22.575529,22.05438,22.424471,49871240,18.845449
"2020-07-29",22.409367,22.409367,22.137463,22.326284,40350092,18.762936
"2020-07-30",22.258308,22.454683,22.175226,22.333838,35281820,18.769281
"2020-07-31",22.288521,22.371601,22.10725,22.341391,51205965,18.775631
"2020-08-03",22.620846,22.643505,22.212992,22.371601,51608461,18.801022
"2020-08-04",22.356495,22.779455,22.326284,22.666162,45074786,19.048569
"2020-08-05",22.771902,22.817221,22.5,22.545317,30387521,18.947008
"2020-08-06",22.439577,22.726585,22.416918,22.537764,29007119,18.94066
"2020-08-07",22.462236,22.703926,22.341391,22.673716,40278860,19.054914
"2020-08-10",22.696375,22.809668,22.651056,22.809668,47021066,19.169167
"2020-08-11",22.968279,23.240181,22.734138,22.809668,41026656,19.169167
"2020-08-12",22.930513,23.043806,22.741692,22.794561,28046160,19.156475
"2020-08-13",22.658609,22.756798,22.537764,22.590633,32958464,18.985092
"2020-08-14",22.53021,22.771902,22.477341,22.666162,29853155,19.048569
"2020-08-17",22.719032,22.719032,22.507553,22.545317,33125686,18.947008
"2020-08-18",22.55287,22.60574,22.484894,22.5,29013606,18.908924
"2020-08-19",22.515106,22.575529,22.416918,22.454683,32808588,18.870836
"2020-08-20",22.318731,22.567976,22.280968,22.409367,30355348,18.832758
"2020-08-21",22.454683,22.5,22.303625,22.424471,32945886,18.845449
"2020-08-24",22.439577,22.696375,22.401814,22.681269,34932813,19.06126
"2020-08-25",22.726585,22.764351,22.53021,22.583082,27839880,18.978745
"2020-08-26",22.53021,22.749245,22.432024,22.651056,36860557,19.03587
"2020-08-27",22.666162,22.787008,22.522659,22.583082,39206950,18.978745
"2020-08-28",22.613293,22.719032,22.515106,22.688822,35535366,19.067612
"2020-08-31",22.771902,22.779455,22.507553,22.515106,54923492,18.921619
"2020-09-01",22.462236,22.46979,22.145016,22.258308,61591818,18.705809
"2020-09-02",22.182779,22.537764,22.145016,22.432024,46510531,18.851797
"2020-09-03",22.492447,22.794561,22.220545,22.348944,58690669,18.781977
