"","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume","LNC.Adjusted"
"2020-08-14",37.720001,39.369999,37.720001,38.82,1204400,36.490986
"2020-08-17",38.630001,38.630001,37.259998,37.560001,865000,35.306587
"2020-08-18",37.610001,37.93,36.610001,36.68,829800,34.479382
"2020-08-19",36.720001,37.400002,36.240002,36.41,865600,34.225574
"2020-08-20",35.98,36.389999,35.700001,35.75,1426700,33.605171
"2020-08-21",35.700001,35.889999,34.77,34.919998,1151200,32.824966
"2020-08-24",35.25,36.75,35.240002,36.740002,1378200,34.535778
"2020-08-25",37.240002,37.549999,36.130001,36.450001,1108900,34.263176
"2020-08-26",36.259998,36.580002,35.759998,35.990002,1028900,33.830772
"2020-08-27",35.900002,37.310001,35.900002,37.009998,1452500,34.789574
"2020-08-28",37.540001,37.540001,36.52,37.389999,1328100,35.146782
"2020-08-31",37.759998,37.759998,35.91,36.049999,1821200,33.887169
"2020-09-01",35.650002,36.919998,35.450001,36.150002,1395100,33.981171
"2020-09-02",36.16,36.369999,35.5,35.919998,1701800,33.764973
"2020-09-03",36.450001,37.639999,35.27,35.669998,1544300,33.529968
"2020-09-04",36.639999,38.330002,36.200001,38.220001,3096000,35.926987
"2020-09-08",37.5,37.630001,35.669998,35.82,2265400,33.670971
"2020-09-09",36.369999,36.369999,34.98,35.75,2059000,33.605171
"2020-09-10",35.98,36.389999,34.169998,34.459999,2601700,32.39257
