"","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume","SBUX.Adjusted"
"2020-07-01",74,74.690002,73.379997,74.029999,6750000,71.226814
"2020-07-02",75.040001,75.089996,73.639999,73.779999,6544400,70.986275
"2020-07-06",74.93,75.480003,74.160004,75.440002,7235300,72.583427
"2020-07-07",75.129997,75.230003,74,74.25,7515100,71.438484
"2020-07-08",74.07,74.5,73.330002,74.139999,7346200,71.332634
"2020-07-09",73.730003,74.220001,71.93,73.57,9618200,70.784241
"2020-07-10",73,74.559998,72.739998,74.290001,7524200,71.476959
"2020-07-13",74.559998,74.839996,72.489998,72.650002,9464500,69.899055
"2020-07-14",72,72.970001,71.82,72.730003,8780900,69.976036
"2020-07-15",74.459999,75.809998,73.959999,75.610001,10300700,72.746979
"2020-07-16",74.900002,75.139999,73.68,74.389999,6649300,71.573174
"2020-07-17",74.43,74.550003,73.209999,74.160004,6087500,71.351891
"2020-07-20",74.160004,75.220001,73.629997,74.959999,8832700,72.121597
"2020-07-21",75.779999,76.800003,75.269997,75.440002,10637500,72.583427
"2020-07-22",75.519997,77.330002,75.120003,77.239998,9213100,74.315254
"2020-07-23",76.879997,77.07,74.900002,75.360001,7795100,72.506439
"2020-07-24",75.279999,76,75.110001,75.779999,5673400,72.910538
"2020-07-27",75.889999,76.709999,75.540001,76.459999,6771100,73.564804
"2020-07-28",76.300003,76.389999,74.559998,74.639999,12273400,71.813713
"2020-07-29",77.559998,78.489998,76.900002,77.419998,15261100,74.488434
"2020-07-30",76.629997,76.980003,75.400002,76.639999,7889800,73.737976
"2020-07-31",76.239998,76.540001,75.480003,76.529999,7423800,73.632141
"2020-08-03",76.480003,76.599998,75.440002,75.5,7138300,72.641151
"2020-08-04",75.370003,75.489998,74.760002,75.129997,12792400,72.285172
"2020-08-05",75.349998,75.989998,75.330002,75.779999,7780800,72.910538
"2020-08-06",75.199997,75.919998,74.940002,75.660004,6764800,73.191086
"2020-08-07",75.480003,75.93,75.209999,75.790001,6569300,73.316841
"2020-08-10",75.82,77.669998,75.809998,77.470001,6604300,74.942017
"2020-08-11",78.269997,79.980003,78,78.870003,10238500,76.296341
"2020-08-12",79.589996,79.690002,78.669998,79.290001,5378000,76.702621
"2020-08-13",78.919998,79.639999,78.839996,79.019997,4383400,76.441437
"2020-08-14",78.540001,78.93,78.019997,78.370003,3771300,75.812653
"2020-08-17",78.599998,78.959999,78.120003,78.949997,5360400,76.373718
"2020-08-18",79.150002,79.360001,78.349998,78.989998,5272700,76.412422
"2020-08-19",79.18,79.389999,77.43,77.629997,6840600,75.096794
"2020-08-20",77.029999,77.650002,76.459999,77.220001,5099500,74.70018
"2020-08-21",76.940002,77.269997,76.690002,77.07,5594100,74.555069
"2020-08-24",77.709999,79.139999,77.25,78.68,5867400,76.112534
"2020-08-25",80.059998,83.07,79.790001,82.720001,17659500,80.020706
"2020-08-26",82.419998,82.75,81.879997,82.410004,7934300,79.720825
"2020-08-27",82.75,83.639999,82.5,83.410004,9099200,80.688187
"2020-08-28",83.790001,85.290001,83.43,85,9303900,82.226303
"2020-08-31",84.629997,85.360001,84.029999,84.470001,6401600,81.7136
"2020-09-01",84.699997,86.089996,84.230003,86.050003,8166100,83.24205
"2020-09-02",86.510002,88.75,86.290001,88.349998,11378900,85.466972
"2020-09-03",88.599998,88.980003,85.690002,86.480003,11036600,83.658012
"2020-09-04",87.089996,87.779999,85.309998,86.269997,10349400,83.454857
"2020-09-08",85.269997,87.580002,84.769997,85.410004,11083100,82.622925
"2020-09-09",85.93,86.830002,84.459999,85.860001,6928700,83.058235
"2020-09-10",85.800003,87.07,84.529999,84.879997,7552000,82.110207
"2020-09-11",84.949997,85.849998,84.150002,85.269997,7103300,82.48748
"2020-09-14",85.75,87.059998,85.639999,86.629997,5535800,83.803108
"2020-09-15",87.18,88.25,87.169998,87.709999,8361900,84.84787
"2020-09-16",88,89.43,87.75,88.379997,7146400,85.496002
"2020-09-17",87.050003,87.32,85.360001,86.75,7386600,83.919197
"2020-09-18",86.809998,87.239998,84.599998,84.949997,10113400,82.177933
"2020-09-21",82.860001,83.949997,81.75,83.889999,7188800,81.152519
"2020-09-22",84.050003,84.389999,83.18,83.949997,4465000,81.210556
"2020-09-23",84.379997,84.900002,82.82,82.989998,6414700,80.281891
"2020-09-24",82.629997,84.139999,81.919998,83.040001,4881500,80.330254
"2020-09-25",82.529999,84.690002,82.220001,84.300003,5981500,81.549133
