"","MAA.Open","MAA.High","MAA.Low","MAA.Close","MAA.Volume","MAA.Adjusted"
"2020-10-07",124.040001,125.029999,121.769997,122.949997,499300,116.744202
"2020-10-08",123.029999,125.349998,123.029999,124.879997,476600,118.576782
"2020-10-09",125.639999,125.639999,123.010002,123.660004,368000,117.418373
"2020-10-12",123.830002,125,123.059998,124.660004,244500,118.367897
"2020-10-13",125.07,126.510002,122.629997,124.199997,639700,117.931114
"2020-10-14",123.029999,124.040001,121.559998,122.760002,492200,117.509926
"2020-10-15",121.720001,123.910004,121.190002,122.470001,593500,117.232338
"2020-10-16",122.339996,122.699997,119.300003,119.440002,665500,114.331924
"2020-10-19",120.160004,120.260002,117.489998,117.68,351200,112.647186
"2020-10-20",118.559998,120.360001,117.800003,118.209999,485000,113.15451
"2020-10-21",117.650002,118.849998,117.120003,117.900002,483700,112.857773
"2020-10-22",118.18,118.980003,117.489998,118.650002,448200,113.575706
"2020-10-23",119.510002,119.940002,118.290001,118.709999,358600,113.633141
"2020-10-26",117.779999,118.129997,115.419998,117.129997,387400,112.120697
"2020-10-27",116.699997,117.550003,114.839996,114.860001,379700,109.947784
"2020-10-28",113.279999,114.830002,111.669998,112.43,703400,107.621704
"2020-10-29",112.440002,115.010002,110.529999,113.529999,609700,108.674667
"2020-10-30",113.449997,116.769997,113.449997,116.629997,574800,111.642082
"2020-11-02",117.190002,119.839996,116.480003,119.839996,725000,114.714806
"2020-11-03",121,123.949997,120.580002,123.32,594800,118.045967
"2020-11-04",123.279999,124.839996,121.699997,122.720001,385200,117.471634
"2020-11-05",122.779999,124.699997,121.779999,124.029999,632300,118.725616
"2020-11-06",124.029999,125,122.07,122.669998,481400,117.423767
"2020-11-09",130.759995,137.539993,125.550003,125.610001,1211200,120.238045
"2020-11-10",126.059998,130.190002,125.769997,130.160004,821500,124.59346
"2020-11-11",130.839996,131.300003,128.710007,131.220001,682500,125.608116
"2020-11-12",130.460007,130.669998,127.43,128.75,569300,123.243759
"2020-11-13",129.169998,132.880005,128.649994,132.350006,543200,126.689812
"2020-11-16",135.520004,136.279999,131.220001,132.300003,647600,126.64193
"2020-11-17",131.25,132.089996,129.970001,130.910004,482400,125.311378
"2020-11-18",131.190002,131.970001,126.059998,126.07,434000,120.678368
"2020-11-19",125.309998,126.720001,123.43,126.139999,691900,120.745369
"2020-11-20",125.910004,126.489998,124.919998,126.18,577800,120.783669
"2020-11-23",126.739998,126.889999,123.529999,123.769997,721600,118.476738
"2020-11-24",125.199997,127.309998,124.839996,125.879997,578100,120.49649
"2020-11-25",125.57,126.309998,124.410004,125.029999,423000,119.682854
"2020-11-27",124.779999,124.779999,122.639999,124,314200,118.696907
"2020-11-30",124,126.300003,122.449997,126.160004,2082800,120.764519
"2020-12-01",126.160004,126.32,123.669998,124.589996,818800,119.261665
"2020-12-02",124.709999,127.480003,123.25,123.730003,536900,118.438446
"2020-12-03",123.800003,124.879997,123.330002,123.650002,736700,118.36187
"2020-12-04",123.989998,125.419998,123.57,125.129997,610300,119.778564
"2020-12-07",124.709999,126.110001,124.650002,125.32,431000,119.960434
"2020-12-08",124.75,125.489998,123.690002,123.93,533600,118.62989
"2020-12-09",124.480003,125.07,121,122.900002,747900,117.643936
"2020-12-10",122.129997,122.669998,119.75,120.18,629600,115.040268
"2020-12-11",119.209999,121.970001,119.209999,121.660004,716400,116.45697
"2020-12-14",122.800003,123.699997,121.129997,121.440002,477500,116.246384
"2020-12-15",121.849998,123.540001,120.5,123.540001,532000,118.256569
"2020-12-16",123.860001,125.129997,122.529999,123.410004,684200,118.132133
"2020-12-17",124.169998,126.199997,123.07,125.589996,858100,120.218903
"2020-12-18",126.080002,126.279999,123.410004,124.040001,1942600,118.735184
"2020-12-21",122.57,124.980003,122.330002,124.599998,853700,119.271233
"2020-12-22",124.599998,125.400002,123.57,125.279999,588900,119.922142
"2020-12-23",125.769997,126.25,122.580002,122.660004,602800,117.4142
"2020-12-24",123.050003,124.610001,122.970001,124.599998,98000,119.271233
"2020-12-28",125.040001,125.839996,124.050003,124.970001,460700,119.625412
"2020-12-29",125.089996,126.309998,123.449997,124.25,311500,118.936211
"2020-12-30",124.419998,126.209999,124.199997,125,329800,119.654121
"2020-12-31",124.68,126.970001,123.900002,126.690002,405500,121.271858
"2021-01-04",126.690002,127.370003,122.150002,122.709999,703000,117.462074
"2021-01-05",122.610001,123.82,122.349998,122.669998,630500,117.423767
"2021-01-06",123.019997,124.860001,122.769997,124.699997,696600,119.366959
"2021-01-07",124.43,125.330002,123.449997,124.550003,661800,119.223358
"2021-01-08",124.550003,125.370003,124,125.269997,767900,119.912575
"2021-01-11",125.010002,125.330002,123.169998,124.209999,557700,118.897911
"2021-01-12",123.510002,124.970001,123,124.690002,594400,119.357391
"2021-01-13",124.860001,127.07,124.599998,126.419998,661800,121.013397
"2021-01-14",126.199997,129.080002,125.32,129,1154800,124.492432
"2021-01-15",128.779999,132.139999,127.720001,132.009995,965600,127.397255
"2021-01-19",132.210007,132.429993,129.990005,130.610001,779300,126.046173
"2021-01-20",130,133.610001,128.940002,133.160004,494200,128.507065
"2021-01-21",132.279999,133.529999,131.139999,133.449997,528600,128.786942
"2021-01-22",133.610001,134.839996,132.229996,134.179993,509900,129.491425
"2021-01-25",133.820007,134.960007,132.970001,133.860001,650300,129.182617
"2021-01-26",134.149994,135.419998,133.889999,134.889999,526500,130.176636
"2021-01-27",133.899994,135,131.100006,131.729996,659000,127.127052
"2021-01-28",131.75,134.740005,131.020004,132.789993,635900,128.149994
"2021-01-29",132.190002,133.380005,129.830002,132.75,1217600,128.111389
"2021-02-01",132.990005,135.130005,130.720001,134.979996,707500,130.263458
"2021-02-02",135.789993,136.429993,133.869995,135.580002,650800,130.842499
"2021-02-03",134.660004,135.869995,133.679993,134.710007,834500,130.00293
"2021-02-04",135.020004,137,134,134.839996,873800,130.128372
"2021-02-05",134.5,135.270004,133.210007,134.720001,550900,130.012558
"2021-02-08",134.720001,136.149994,133.770004,135.490005,735900,130.755661
"2021-02-09",134.889999,136.240005,134.520004,135.550003,781000,130.813568
