"","EQIX.Open","EQIX.High","EQIX.Low","EQIX.Close","EQIX.Volume","EQIX.Adjusted"
"2020-07-01",703.039978,730.539978,701.200012,728.169983,573400,705.571533
"2020-07-02",732.799988,735.98999,716.960022,718.409973,433100,696.11438
"2020-07-06",723.380005,728.530029,713.460022,722.669983,421300,700.242188
"2020-07-07",718.450012,730.780029,715.98999,721.070007,316000,698.691956
"2020-07-08",725.570007,730.659973,714.609985,720.349976,333600,697.994202
"2020-07-09",721.789978,733.030029,715.109985,728.690002,239200,706.075378
"2020-07-10",734.97998,734.97998,713.590027,716.590027,339600,694.350891
"2020-07-13",720.23999,723.75,698.02002,701.119995,439200,679.361023
"2020-07-14",716.820007,718.98999,697.280029,716.909973,333100,694.660828
"2020-07-15",724.169983,724.77002,710.950012,713.880005,367600,691.724976
"2020-07-16",716.400024,717.98999,707.130005,714.090027,228000,691.928528
"2020-07-17",717.299988,730.890015,709.070007,724.22998,338900,701.753662
"2020-07-20",726.030029,734.719971,721.580017,731.840027,299200,709.127686
"2020-07-21",735.5,735.5,724.460022,725.97998,278200,703.449402
"2020-07-22",729.75,737.77002,725,735.52002,279400,712.69342
"2020-07-23",738.640015,744.460022,728.27002,736.690002,336500,713.827087
"2020-07-24",729.809998,739.51001,729.570007,737.390015,252900,714.505371
"2020-07-27",737.700012,756.090027,735.030029,754,399400,730.599915
"2020-07-28",762.390015,762.390015,748.5,752.530029,401500,729.175598
"2020-07-29",760.099976,770.880005,756.159973,770,379500,746.103394
"2020-07-30",780,787.700012,770,777.950012,461400,753.806702
"2020-07-31",774.179993,785.799988,770.880005,785.47998,334600,761.102844
"2020-08-03",776.640015,785.469971,775.190002,779.119995,386500,754.940247
"2020-08-04",783.460022,794.719971,775.030029,793.429993,382900,768.806152
"2020-08-05",799,799,786.23999,794.039978,250100,769.397278
"2020-08-06",787.669983,793.780029,786.469971,792.059998,254300,767.478699
"2020-08-07",791.690002,798.47998,788.440002,791.700012,224900,767.129944
"2020-08-10",797.950012,805.809998,780.030029,782.73999,307700,758.447876
"2020-08-11",781.460022,781.460022,754.919983,758.169983,505600,734.640442
