"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"2020-07-01",153.419998,154.889999,150.399994,150.910004,1168600,148.325775
"2020-07-02",152.130005,155.830002,152.130005,152.729996,841000,150.114609
"2020-07-06",154.429993,154.820007,150.380005,151.509995,706400,148.915497
"2020-07-07",148.210007,149.619995,145.759995,145.800003,1571300,143.303299
"2020-07-08",146.270004,147.440002,143.529999,144.570007,1190300,142.094345
"2020-07-09",144.740005,145.460007,139.759995,140.889999,1141100,138.477386
"2020-07-10",141,143.880005,140.850006,143.020004,958400,140.570908
"2020-07-13",143.919998,146.970001,142.389999,144.979996,1078500,142.497314
"2020-07-14",144.050003,148.300003,143.070007,147.839996,1259000,145.30835
"2020-07-15",149.910004,153.869995,149.5,153.5,1339100,150.871429
"2020-07-16",153,155.399994,151.940002,153.369995,635400,150.743637
"2020-07-17",153.690002,155.649994,153.460007,154.809998,653500,152.158997
"2020-07-20",154.809998,155.179993,151.789993,153.5,630000,150.871429
"2020-07-21",154,157.020004,153.5,155.979996,856800,153.308945
"2020-07-22",155.830002,157.660004,155.039993,156.25,988300,153.574341
"2020-07-23",156.630005,158.080002,155.869995,156.660004,891300,153.977325
"2020-07-24",156.660004,157.779999,154.869995,155.339996,594300,152.679932
"2020-07-27",154.490005,157.380005,152.820007,157.149994,744400,154.458939
"2020-07-28",157,157.130005,153.639999,153.889999,921600,151.254761
"2020-07-29",154.979996,157.119995,152.770004,155.699997,1451900,153.033783
"2020-07-30",154.490005,154.490005,150.990005,153.610001,748200,150.979553
"2020-07-31",153.5,153.5,146.770004,150.160004,1487700,147.588623
"2020-08-03",155.660004,160.389999,154.539993,159.899994,1452000,157.161835
"2020-08-04",159,159.309998,156,157.020004,1051300,154.331161
"2020-08-05",158.029999,158.25,152.75,153.669998,1234100,151.038498
"2020-08-06",152.639999,153.520004,151.020004,151.75,1216600,149.151413
"2020-08-07",150.830002,152.110001,150.729996,152,569000,149.397125
"2020-08-10",151.940002,153.779999,150.770004,152.389999,816500,149.780411
"2020-08-11",153.270004,154.130005,150.669998,151.309998,892000,148.718918
"2020-08-12",152,154.610001,150.949997,153,920100,150.379974
"2020-08-13",152.100006,152.330002,149.029999,152.190002,874800,149.583847
"2020-08-14",151.369995,160,151.059998,158.669998,3209700,155.952911
"2020-08-17",160,160.080002,155.589996,155.789993,1069400,153.122208
"2020-08-18",155.580002,157.300003,155.389999,155.539993,727500,152.87648
"2020-08-19",155.360001,156.169998,152.970001,153.339996,599700,150.714203
"2020-08-20",151.960007,153.070007,151.429993,151.889999,629500,149.289001
"2020-08-21",151.470001,151.970001,149.649994,150.970001,1335900,148.384766
"2020-08-24",151.960007,152,148.039993,149.660004,783600,147.097198
"2020-08-25",150.080002,152.300003,148.809998,152,669100,149.397125
"2020-08-26",150.960007,152.550003,149.75,152.080002,587800,149.475769
"2020-08-27",152.429993,155.360001,150.660004,154.259995,935000,151.618408
"2020-08-28",154.259995,154.580002,152.229996,153.869995,517500,151.235107
"2020-08-31",153.130005,155.100006,152.240005,153.440002,952200,151.22522
"2020-09-01",154.169998,154.509995,148.389999,150.220001,1276300,148.051727
"2020-09-02",150.410004,156.869995,150.100006,156.25,1386600,153.99469
"2020-09-03",158.139999,159.059998,152.690002,154.320007,1308300,152.09256
"2020-09-04",153.369995,155.669998,150.089996,152.429993,1095800,150.229828
"2020-09-08",152.300003,153.759995,149.699997,149.929993,1234100,147.7659
"2020-09-09",151.029999,153.800003,149.850006,152.309998,1002200,150.111557
"2020-09-10",152.380005,154.910004,150.619995,150.729996,934100,148.554367
"2020-09-11",151.300003,152.050003,149.690002,150.369995,730800,148.199554
"2020-09-14",151.139999,152.910004,149.509995,150.899994,1016500,148.721909
"2020-09-15",151.339996,153.660004,150.809998,150.869995,982100,148.692322
"2020-09-16",151.839996,154.690002,151.589996,152.75,1411800,150.545197
"2020-09-17",150.360001,153.020004,149.440002,151.5,1515600,149.313263
"2020-09-18",150.5,153.919998,150.5,152.130005,2188300,149.934158
"2020-09-21",149.039993,150,146.460007,148.229996,1461000,146.090424
"2020-09-22",148.110001,150.860001,148.110001,149.610001,1437500,147.450516
"2020-09-23",149.429993,151.149994,146.830002,147.089996,1002500,144.966888
"2020-09-24",146.809998,149.570007,145,146.559998,1024500,144.444534
"2020-09-25",146.5,149.190002,146.119995,148.509995,993500,146.366409
"2020-09-28",150.850006,151.610001,149.050003,150.089996,1161000,147.923584
"2020-09-29",150.279999,150.279999,146.5,146.559998,1465600,144.444534
"2020-09-30",146.229996,150.490005,146.059998,148.929993,1384500,146.780319
"2020-10-01",149.449997,150.160004,146.270004,146.960007,1377700,144.838776
"2020-10-02",145.229996,148.820007,144.580002,146.979996,1330400,144.858475
"2020-10-05",148,150.100006,147.320007,149.179993,982300,147.026749
"2020-10-06",149.559998,150.660004,145.759995,146.229996,1550200,144.119308
"2020-10-07",147.199997,148.869995,146.679993,148.130005,857300,145.991882
"2020-10-08",148.860001,154.089996,148.130005,153.990005,1013400,151.767319
"2020-10-09",154.460007,154.559998,150.820007,151.289993,1075300,149.106277
"2020-10-12",151.919998,152.449997,150.259995,150.679993,616900,148.505066
"2020-10-13",149.800003,152.699997,149.660004,151.639999,642200,149.451218
"2020-10-14",151,154.800003,151,154.009995,854200,151.787003
"2020-10-15",152.279999,156.699997,152.279999,156.550003,899800,154.290359
"2020-10-16",157.110001,158.919998,155.809998,156.669998,977800,154.40863
"2020-10-19",156.470001,158.800003,152.270004,152.419998,686900,150.219971
"2020-10-20",153.889999,155.399994,152.570007,153.039993,785000,150.830994
"2020-10-21",152.729996,154.449997,152.070007,152.619995,889500,150.417084
"2020-10-22",152.839996,154.75,152.289993,154.229996,602400,152.00383
"2020-10-23",155.070007,156.550003,154.380005,156.410004,556600,154.152359
"2020-10-26",155.080002,155.369995,151.229996,152.270004,639600,150.072128
"2020-10-27",152.139999,153.309998,149.110001,149.210007,618600,147.05629
"2020-10-28",146.509995,148.740005,143.889999,144.100006,919900,142.020065
"2020-10-29",143.839996,145.199997,141.320007,143.789993,1012900,141.714508
"2020-10-30",143.259995,147.589996,143.259995,147.490005,1125100,145.36113
"2020-11-02",150.339996,152.580002,148.220001,152.029999,1348500,149.835587
"2020-11-03",156.100006,163.240005,155.300003,160.009995,1706000,157.700409
"2020-11-04",164.5,170.229996,164.039993,166.039993,1903100,163.643372
"2020-11-05",168.550003,174.050003,167.860001,170.949997,1119300,168.482498
"2020-11-06",170.009995,172.199997,169.570007,170.919998,730800,168.452927
"2020-11-09",180.020004,183.429993,176.210007,178.509995,2200400,175.93338
"2020-11-10",180,186.029999,179.729996,183.440002,1633600,180.792236
"2020-11-11",184,184.5,177.520004,177.809998,1338000,175.243484
"2020-11-12",176.580002,179.729996,176.259995,177.940002,818600,175.371613
"2020-11-13",178.710007,184.160004,178.169998,182.990005,805800,180.348709
"2020-11-16",186.850006,187.669998,182.580002,183.660004,1272400,181.009033
"2020-11-17",178.020004,178.75,169.820007,173.639999,3924300,171.133682
