"","OMC.Open","OMC.High","OMC.Low","OMC.Close","OMC.Volume","OMC.Adjusted"
"2020-07-01",54.459999,56,54.200001,54.540001,2206200,50.421234
"2020-07-02",55.509998,55.939999,54.360001,54.610001,1689100,50.485947
"2020-07-06",55.619999,55.93,54.599998,55.259998,1540000,51.086861
"2020-07-07",54.650002,55.720001,54.119999,55.709999,2534100,51.502876
"2020-07-08",55.459999,55.490002,53.110001,53.599998,3267100,49.552216
"2020-07-09",53.439999,53.59,50.869999,51.66,2627800,47.758724
"2020-07-10",51.68,54.32,51.529999,53.82,1708300,49.755604
"2020-07-13",54.27,55.459999,54.07,54.529999,1953900,50.411983
"2020-07-14",54.310001,55.27,53.82,54.860001,1429200,50.717068
"2020-07-15",56,56.619999,55.299999,56.23,1740100,51.983608
"2020-07-16",56.02,56.98,55.43,56.25,1352900,52.002094
"2020-07-17",56.23,56.310001,55.029999,55.689999,1517600,51.484386
"2020-07-20",55.220001,55.220001,53.049999,53.970001,1712100,49.894287
"2020-07-21",54.139999,55.419998,54.009998,54.5,1283100,50.384262
"2020-07-22",54.369999,55.290001,54.130001,54.98,1412000,50.828007
"2020-07-23",57.07,57.73,55.91,56.330002,2647300,52.076054
"2020-07-24",56.610001,57.720001,55.650002,56.560001,2397600,52.288689
"2020-07-27",56.119999,57.450001,55.759998,57.009998,3765100,52.704704
"2020-07-28",53,55.259998,52.25,54.66,5147800,50.532166
"2020-07-29",54.66,55.509998,53.75,54.02,5704600,49.940506
"2020-07-30",53.389999,53.650002,52.389999,53.259998,2506700,49.237896
"2020-07-31",53.389999,53.799999,52.23,53.73,3417000,49.672401
"2020-08-03",53.84,54.580002,53.200001,53.700001,2273000,49.644665
"2020-08-04",53.450001,54.07,52.970001,53.139999,1988000,49.126961
"2020-08-05",53.619999,53.880001,52.549999,52.700001,2426300,48.720192
"2020-08-06",52.5,53.950001,52.43,53.68,2069200,49.626183
"2020-08-07",53.169998,53.299999,52.459999,53.27,1817500,49.247147
"2020-08-10",53.459999,55.259998,53.330002,55.009998,2002500,50.855736
