"","VZ.Open","VZ.High","VZ.Low","VZ.Close","VZ.Volume","VZ.Adjusted"
"2020-07-01",55.09,55.330002,54.580002,54.669998,12831600,49.335709
"2020-07-02",55.049999,55.41,54.740002,54.790001,15814500,49.444
"2020-07-06",55.349998,55.43,54.91,55.240002,11231100,49.85009
"2020-07-07",54.919998,55.330002,54.799999,55.040001,13319700,49.669601
"2020-07-08",55.110001,55.439999,54.82,55.380001,15320800,49.976433
"2020-07-09",54.650002,54.650002,53.75,53.939999,17618400,49.223564
"2020-07-10",53.84,54.580002,53.84,54.490002,15652200,49.725479
"2020-07-13",54.75,54.77,54.139999,54.450001,15285100,49.688972
"2020-07-14",54.43,55.650002,54.27,55.439999,15683600,50.592411
"2020-07-15",55.610001,55.720001,55.02,55.060001,13903600,50.245632
"2020-07-16",54.869999,55.830002,54.759998,55.779999,13477400,50.902679
"2020-07-17",56,56.599998,55.889999,56.299999,13506300,51.377213
"2020-07-20",56.279999,56.279999,55.66,55.869999,10572900,50.984806
"2020-07-21",55.84,56.5,55.799999,55.84,12619700,50.957439
"2020-07-22",55.84,55.950001,55.369999,55.75,11223500,50.875298
"2020-07-23",55.810001,56.09,55.400002,55.849998,16718700,50.966557
"2020-07-24",56.349998,57.57,56.139999,56.849998,17981700,51.879116
"2020-07-27",57,57.330002,56.509998,56.869999,12306700,51.897366
"2020-07-28",57.049999,57.700001,56.970001,57.48,13454700,52.454037
"2020-07-29",57.369999,57.689999,57.16,57.450001,9341800,52.426659
"2020-07-30",57.209999,57.459999,57.139999,57.299999,12635800,52.289772
"2020-07-31",56.849998,57.5,56.650002,57.48,16202900,52.454037
"2020-08-03",57.869999,57.869999,57.119999,57.240002,13493400,52.235016
"2020-08-04",57.200001,58.139999,57.18,57.91,11601000,52.846439
"2020-08-05",58.16,58.189999,57.41,57.540001,9809300,52.508793
"2020-08-06",57.5,57.950001,57.450001,57.830002,10369900,52.77343
"2020-08-07",57.82,58.549999,57.650002,58.529999,12783900,53.41222
"2020-08-10",58.650002,59.150002,58.470001,58.990002,12114500,53.832001
"2020-08-11",59.299999,59.610001,58.25,58.509998,12833100,53.39397
"2020-08-12",58.599998,58.970001,58.52,58.599998,10802100,53.476101
"2020-08-13",58.299999,58.599998,58.189999,58.52,7428600,53.403095
"2020-08-14",58.48,58.939999,58.25,58.790001,8715900,53.64949
"2020-08-17",58.73,58.93,58.549999,58.779999,8371900,53.640362
"2020-08-18",58.860001,59.470001,58.779999,59.18,10130600,54.005386
"2020-08-19",59.360001,59.439999,58.93,59.049999,10816300,53.886753
"2020-08-20",58.599998,59.09,58.59,58.959999,8061500,53.804623
"2020-08-21",59,59.040001,58.540001,58.990002,11059300,53.832001
"2020-08-24",59.099998,59.610001,59,59.57,10931500,54.361282
"2020-08-25",59.700001,59.75,59.18,59.419998,11316800,54.2244
"2020-08-26",59.299999,59.5,58.900002,59.459999,15096400,54.260906
"2020-08-27",59.599998,59.790001,59.41,59.43,11405300,54.233532
"2020-08-28",59.41,59.41,58.82,59.259998,11873900,54.078396
"2020-08-31",59.040001,59.439999,59.02,59.27,14555500,54.087521
"2020-09-01",59.119999,59.299999,58.779999,59.16,13358400,53.987137
"2020-09-02",59.150002,60.740002,59,60.529999,21711900,55.237343
"2020-09-03",60.830002,61.279999,60.139999,60.610001,23126800,55.310356
"2020-09-04",60.48,61.5,60.060001,60.48,22250100,55.191723
"2020-09-08",60.799999,60.799999,59.619999,59.959999,18469700,54.71719
"2020-09-09",60.119999,60.75,59.970001,60.040001,15896200,54.790195
"2020-09-10",60.23,60.25,59.41,59.529999,15811200,54.324783
"2020-09-11",59.580002,59.959999,59.360001,59.790001,13924800,54.56205
"2020-09-14",60.02,60.779999,60,60.32,11932500,55.045712
"2020-09-15",60.110001,61.099998,60.099998,60.599998,9444300,55.301224
"2020-09-16",60.529999,60.93,60.32,60.369999,12699000,55.091339
"2020-09-17",60.599998,60.990002,60.099998,60.59,14996200,55.292099
"2020-09-18",60.18,60.939999,60.150002,60.349998,22584500,55.073078
"2020-09-21",60,60.080002,59.02,59.610001,15871400,54.397789
"2020-09-22",59.73,60.369999,59.52,59.82,12198900,54.589428
"2020-09-23",59.830002,60.139999,58.849998,58.91,15416200,53.758999
"2020-09-24",59,59.560001,58.650002,59.189999,10875300,54.014515
"2020-09-25",58.849998,59.450001,58.810001,59.389999,10676300,54.197025
"2020-09-28",59.560001,59.799999,59.18,59.360001,11910500,54.169643
"2020-09-29",59.279999,59.490002,59.099998,59.240002,10005900,54.060143
"2020-09-30",59.459999,59.709999,59.049999,59.490002,16348400,54.288288
"2020-10-01",59.400002,59.599998,59.029999,59.450001,14547100,54.251781
"2020-10-02",59.290001,59.549999,59.110001,59.240002,10741800,54.060143
"2020-10-05",59.630001,59.84,59.259998,59.66,10457400,54.44342
"2020-10-06",59.759998,59.970001,59.330002,59.459999,12524900,54.260906
"2020-10-07",59.619999,59.779999,59.200001,59.610001,13674700,54.397789
"2020-10-08",59.119999,59.73,58.970001,59.189999,14266400,54.589626
"2020-10-09",59.25,59.540001,59.080002,59.330002,9846200,54.718746
"2020-10-12",59.330002,59.68,59.150002,59.549999,20211200,54.921635
"2020-10-13",59.700001,59.720001,58.849998,59.360001,22109600,54.74641
"2020-10-14",59.459999,59.52,58.389999,58.43,16591900,53.888695
"2020-10-15",58.110001,58.279999,57.720001,58.16,13644500,53.639675
"2020-10-16",58.080002,58.43,58.009998,58.049999,13364200,53.538227
"2020-10-19",58.150002,58.290001,57.080002,57.299999,16075100,52.846516
"2020-10-20",57.540001,57.669998,56.759998,57.25,18696200,52.8004
"2020-10-21",57.110001,57.709999,56.689999,56.75,21498300,52.339264
"2020-10-22",56.93,57.66,56.509998,57.330002,16636100,52.874184
"2020-10-23",57.75,57.970001,57.459999,57.959999,12879600,53.455223
"2020-10-26",57.52,57.849998,56.970001,57.810001,15196800,53.316879
"2020-10-27",57.700001,57.849998,57.310001,57.380001,12253000,52.9203
"2020-10-28",56.919998,57.349998,56.119999,56.310001,18720200,51.933464
"2020-10-29",56.16,57.310001,56.02,56.759998,19146100,52.348484
"2020-10-30",56.599998,57.07,56.369999,56.990002,17632800,52.560608
"2020-11-02",57.669998,58.209999,57,57.700001,16086400,53.215427
"2020-11-03",57.810001,58.380001,57.509998,57.75,10693500,53.261543
"2020-11-04",57.189999,57.849998,56.580002,57.220001,20785700,52.772736
