"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume","HAL.Adjusted"
"2020-08-21",15.88,15.99,15.61,15.74,9806400,15.427744
"2020-08-24",15.88,16.639999,15.77,16.290001,14722400,15.966833
"2020-08-25",16.620001,16.690001,16.059999,16.15,10201200,15.829611
"2020-08-26",16.110001,16.26,15.78,15.81,8954800,15.496356
"2020-08-27",15.82,16.059999,15.58,16.02,8343400,15.702192
"2020-08-28",16.09,16.43,16.02,16.27,8505200,15.947232
"2020-08-31",16.200001,16.34,15.96,16.18,9810500,15.859017
"2020-09-01",15.93,16.35,15.83,16.23,11040300,15.95239
"2020-09-02",16.17,16.290001,16.040001,16.25,10415400,15.972048
"2020-09-03",16.139999,16.68,15.83,16.120001,15884500,15.844274
"2020-09-04",16.290001,16.35,15.49,15.99,12968800,15.716496
"2020-09-08",15.49,15.58,14.77,14.81,15783600,14.55668
"2020-09-09",14.96,15.33,14.9,15.06,12272500,14.802404
"2020-09-10",15.05,15.17,14.19,14.28,15727100,14.035746
"2020-09-11",14.37,14.37,13.99,14.27,10846300,14.025917
"2020-09-14",14.31,14.5,14.09,14.33,10765000,14.084889
"2020-09-15",14.45,14.64,14.31,14.44,7930400,14.193008
"2020-09-16",14.63,15.35,14.43,15.07,14990800,14.812233
"2020-09-17",14.73,14.97,14.57,14.82,12584200,14.566508
"2020-09-18",14.71,14.96,14.35,14.45,12507600,14.202838
"2020-09-21",13.72,13.82,12.89,13.22,19709700,12.993876
"2020-09-22",13.44,13.68,13.1,13.33,10214600,13.101994
"2020-09-23",13.36,13.5,12.64,12.65,15910300,12.433625
"2020-09-24",12.32,12.77,12.01,12.52,24020300,12.305849
"2020-09-25",12.31,12.57,12.21,12.37,18480300,12.158414
"2020-09-28",12.7,12.92,12.55,12.76,16598400,12.541745
"2020-09-29",12.72,12.78,12,12.07,13391900,11.863546
"2020-09-30",12.18,12.47,11.95,12.05,12139900,11.843889
"2020-10-01",11.86,11.9,11,11.17,27032500,10.978941
"2020-10-02",10.65,11.39,10.6,11.31,17883400,11.116548
"2020-10-05",11.55,11.97,11.41,11.93,13796400,11.725941
"2020-10-06",12.23,12.56,11.78,11.85,20036300,11.647308
"2020-10-07",11.87,12.04,11.7,11.93,13292300,11.725941
"2020-10-08",12.12,12.81,12.05,12.81,13712800,12.590889
"2020-10-09",12.91,12.96,12.44,12.58,13564600,12.364823
"2020-10-12",12.58,12.79,12.36,12.73,10810700,12.512258
"2020-10-13",12.56,12.79,12.4,12.54,9264000,12.325507
"2020-10-14",12.59,13.18,12.56,12.72,12221800,12.502428
"2020-10-15",12.4,13.09,12.27,13.07,12268200,12.846441
"2020-10-16",12.98,13.07,12.21,12.25,18401100,12.040468
"2020-10-19",12.23,12.73,11.85,12.17,20524100,11.961837
"2020-10-20",12.44,13.14,12.39,12.74,18730800,12.522085
"2020-10-21",12.61,12.9,12.5,12.67,11946900,12.453284
"2020-10-22",12.68,13.11,12.64,13.04,10765500,12.816955
"2020-10-23",13.22,13.5,13.04,13.31,17743500,13.082337
"2020-10-26",13.04,13.07,12.72,12.79,16611700,12.571232
"2020-10-27",12.71,12.75,12.38,12.51,11873100,12.29602
"2020-10-28",11.96,12.11,11.42,11.42,18266900,11.224664
"2020-10-29",11.25,11.92,10.99,11.62,15084800,11.421244
"2020-10-30",11.58,12.09,11.48,12.06,16135900,11.853719
"2020-11-02",12.35,12.99,11.98,12.8,15822600,12.581059
"2020-11-03",13.13,13.26,12.76,12.99,13231800,12.767812
"2020-11-04",12.96,13.25,12.37,12.71,19084400,12.492599
"2020-11-05",12.69,13.03,12.55,12.57,11946800,12.354994
"2020-11-06",12.5,12.79,12.27,12.28,10871300,12.069955
"2020-11-09",14.2,15.12,14.1,14.38,25174500,14.134036
"2020-11-10",14.23,14.69,13.85,14.38,14627600,14.134036
"2020-11-11",14.57,14.59,13.87,14.18,8998400,13.937456
"2020-11-12",13.9,14.31,13.78,13.92,9915500,13.681902
"2020-11-13",14.02,14.43,13.87,14.33,9683900,14.084889
"2020-11-16",15.04,15.57,14.8,15.46,12832200,15.195562
"2020-11-17",15.09,15.84,14.96,15.81,10451700,15.539575
