"","ITW.Open","ITW.High","ITW.Low","ITW.Close","ITW.Volume","ITW.Adjusted"
"2020-07-01",174.850006,175.580002,172.169998,172.440002,940900,164.912857
"2020-07-02",174.990005,177.729996,173.699997,174.600006,857600,166.978546
"2020-07-06",177.229996,178.369995,175.770004,177.660004,789600,169.904999
"2020-07-07",176.839996,177.860001,174.929993,175.330002,1584500,167.676727
"2020-07-08",175.190002,176.5,173.080002,174.320007,986300,166.7108
"2020-07-09",173.899994,175.529999,172.729996,173.289993,1115500,165.725723
"2020-07-10",173.630005,174.169998,172.289993,174.059998,753600,166.462128
"2020-07-13",174.75,177.160004,174.429993,174.779999,1050400,167.150711
"2020-07-14",175.059998,179.580002,174.25,179.429993,1094100,171.597717
"2020-07-15",182.139999,183.050003,180.029999,182.210007,1166700,174.256393
"2020-07-16",181.75,183.119995,180.130005,181.610001,994500,173.682571
"2020-07-17",182.789993,183.210007,181.759995,182.080002,1965300,174.132065
"2020-07-20",180.919998,181.559998,177.619995,178.339996,846000,170.555298
"2020-07-21",179.020004,182.300003,179.009995,181.940002,938100,173.998169
"2020-07-22",181.360001,183.429993,180.800003,182.619995,891600,174.648499
"2020-07-23",182.850006,185.220001,182.419998,183.809998,706800,175.78653
"2020-07-24",184.360001,185,183.619995,184.789993,786900,176.723755
"2020-07-27",184.580002,187.869995,183.759995,187.720001,655000,179.525879
"2020-07-28",186.949997,187.539993,184.910004,185.119995,729200,177.039368
"2020-07-29",185.919998,188.110001,185.679993,187.490005,535200,179.305923
"2020-07-30",185.440002,186.539993,183.080002,185.669998,1191400,177.565353
"2020-07-31",184.229996,185.440002,182.539993,184.990005,1234700,176.915054
"2020-08-03",185.839996,188.089996,185.460007,185.919998,1001500,177.804443
"2020-08-04",185.889999,186.279999,184.270004,185.089996,648300,177.010666
"2020-08-05",186.300003,188.660004,186.300003,188.529999,922400,180.300507
"2020-08-06",188.330002,189,186.880005,187.949997,716000,179.745819
"2020-08-07",188.009995,190.710007,187.529999,190.550003,731400,182.232361
"2020-08-10",190.889999,195.899994,190.570007,195.830002,968200,187.281876
"2020-08-11",196.660004,199.350006,195.809998,196.320007,1237800,187.750458
"2020-08-12",198.410004,199.899994,197.190002,198.529999,948400,189.863983
"2020-08-13",196.839996,198.630005,196.440002,197.509995,775100,188.888519
"2020-08-14",197.009995,198.759995,195.720001,196.130005,806100,187.568787
"2020-08-17",196.740005,198.070007,196.080002,196.570007,998200,187.989578
"2020-08-18",196.910004,198.080002,195.800003,196.289993,721600,187.721771
"2020-08-19",196.970001,197.820007,195.240005,195.770004,703900,187.224487
"2020-08-20",193.720001,194.259995,192.770004,193.740005,846600,185.283096
"2020-08-21",193.899994,195.970001,193.699997,195.139999,602900,186.621979
"2020-08-24",195.669998,197.369995,195.270004,197.270004,504000,188.659012
"2020-08-25",198.449997,198.449997,196.169998,197.380005,591800,188.764206
"2020-08-26",196.850006,199.929993,195.389999,198.899994,736600,190.217834
"2020-08-27",200,200.809998,198.080002,198.669998,710500,189.997894
"2020-08-28",198.789993,200.779999,197.809998,200.660004,572500,191.901031
"2020-08-31",199.669998,200.979996,197.009995,197.550003,1147900,188.926758
"2020-09-01",197.630005,201.130005,196.100006,201.020004,713700,192.245285
"2020-09-02",200.589996,202.669998,199.850006,201.949997,1137400,193.13472
"2020-09-03",202.679993,202.679993,193.229996,194.630005,897300,186.134247
"2020-09-04",196.919998,197.479996,192.070007,193.899994,961600,185.436081
"2020-09-08",192.830002,193.470001,189.520004,190.889999,1130100,182.557495
"2020-09-09",192.529999,196.899994,192.220001,195.139999,1353500,186.621979
"2020-09-10",195.559998,195.960007,191.270004,191.940002,805800,183.561661
"2020-09-11",192.690002,196.440002,192.360001,195.460007,789100,186.928009
"2020-09-14",197.160004,198.979996,196.160004,198.220001,817200,189.56752
"2020-09-15",198.300003,201.059998,198.039993,198.639999,1213800,189.969193
"2020-09-16",199.979996,201.380005,197.759995,199.5,1207600,190.791672
"2020-09-17",196.669998,201.539993,196.009995,200.940002,989200,192.168793
"2020-09-18",200.690002,203.179993,198.679993,199.110001,1794400,190.418655
"2020-09-21",196.289993,197.179993,189.399994,191.509995,1172200,183.150421
"2020-09-22",191.779999,193.279999,191.100006,193.089996,981100,184.661469
"2020-09-23",193.039993,194.479996,190.419998,190.839996,1036800,182.509674
"2020-09-24",190.410004,195.029999,189.690002,192.339996,713400,183.944199
"2020-09-25",190.910004,193.160004,190.460007,192.630005,919200,184.221558
"2020-09-28",194.820007,198.75,194.419998,195.679993,930800,187.138397
"2020-09-29",194.860001,196.419998,192.720001,193.470001,790000,186.1091
"2020-09-30",194.470001,197.139999,191.520004,193.210007,1573800,185.859039
"2020-10-01",194.419998,194.949997,188.690002,190.899994,1218500,183.636887
"2020-10-02",188.729996,194.169998,188.139999,191.850006,907000,184.550766
"2020-10-05",194.160004,198.270004,193.570007,197.779999,817200,190.255112
"2020-10-06",198.130005,201.240005,195.759995,196.410004,1010800,188.937271
"2020-10-07",198.360001,200.179993,197.460007,199.639999,810500,192.044342
"2020-10-08",200.25,201.270004,197.720001,200.979996,667700,193.333374
"2020-10-09",203.059998,206.720001,201.509995,205.710007,1282400,197.883438
"2020-10-12",206.399994,206.910004,203.520004,203.809998,835500,196.055695
"2020-10-13",203.259995,205,202,203.160004,571900,195.43042
