"","EPAM.Open","EPAM.High","EPAM.Low","EPAM.Close","EPAM.Volume","EPAM.Adjusted"
"2020-07-01",252.75,254.679993,249.259995,252.960007,275800,252.960007
"2020-07-02",254.419998,255.869995,249.979996,250.160004,258000,250.160004
"2020-07-06",253.779999,257.730011,252.839996,253.199997,446900,253.199997
"2020-07-07",251.929993,258.980011,251.259995,252.25,263900,252.25
"2020-07-08",254.240005,257.619995,253.300003,255.660004,274900,255.660004
"2020-07-09",258.029999,262.51001,255.190002,262.100006,254800,262.100006
"2020-07-10",260.709991,263.359985,258.309998,261.140015,165300,261.140015
"2020-07-13",262.519989,266.059998,250.860001,252.539993,386800,252.539993
"2020-07-14",250.460007,254.220001,246.009995,253.610001,290700,253.610001
"2020-07-15",257.279999,260.269989,255.339996,260.070007,139800,260.070007
"2020-07-16",258.160004,260.209991,255.669998,258.220001,264400,258.220001
"2020-07-17",260.820007,265.160004,259.480011,264.690002,190900,264.690002
"2020-07-20",265.119995,280.390015,264.890015,278.859985,408200,278.859985
"2020-07-21",278.950012,282.559998,276.820007,278.519989,605700,278.519989
"2020-07-22",278.799988,280.089996,275.720001,278.130005,241700,278.130005
"2020-07-23",279.149994,283.390015,273.619995,278.220001,200700,278.220001
"2020-07-24",275.269989,276.390015,271,274.100006,231800,274.100006
"2020-07-27",275,282.089996,274.5,280.049988,237400,280.049988
"2020-07-28",279.339996,280.320007,274.730011,276.929993,261200,276.929993
"2020-07-29",278.76001,284.679993,278.76001,284.51001,402700,284.51001
"2020-07-30",281.420013,287.630005,279.519989,287.049988,250100,287.049988
"2020-07-31",287.589996,290.119995,281,290.079987,385400,290.079987
"2020-08-03",291.980011,294.980011,288.880005,291.75,212000,291.75
"2020-08-04",291.170013,292.109985,288.269989,291.470001,211500,291.470001
"2020-08-05",293.25,295.600006,289.529999,294.109985,398500,294.109985
"2020-08-06",296.350006,304.799988,286.899994,297.480011,360900,297.480011
"2020-08-07",298.209991,306.410004,296.619995,298,351600,298
"2020-08-10",296.809998,299.559998,291.51001,298.730011,188700,298.730011
"2020-08-11",297.649994,299.089996,294.25,295.940002,256300,295.940002
"2020-08-12",305,314.320007,303.339996,312.200012,358700,312.200012
"2020-08-13",311.209991,314.73999,307.730011,308.720001,324200,308.720001
"2020-08-14",308.809998,311.410004,306.579987,307.970001,132700,307.970001
"2020-08-17",310,313.220001,307.98999,308.380005,2e+05,308.380005
"2020-08-18",307.709991,310,300.959991,304.049988,428600,304.049988
"2020-08-19",304.339996,307.299988,302.230011,303.76001,177700,303.76001
"2020-08-20",301.070007,304.98999,301,302.790009,363400,302.790009
"2020-08-21",304,309.98999,302.23999,308.559998,239600,308.559998
"2020-08-24",310,315.670013,310,313.429993,279200,313.429993
"2020-08-25",315,320.089996,314.950012,319.299988,267100,319.299988
"2020-08-26",320,325.920013,319.26001,323.01001,307200,323.01001
"2020-08-27",324.880005,326.929993,321.579987,323.730011,305900,323.730011
"2020-08-28",325,328.579987,325,326.279999,315700,326.279999
"2020-08-31",327.339996,328.959991,325,327.100006,236700,327.100006
"2020-09-01",327.130005,335.720001,327.029999,334.779999,267800,334.779999
"2020-09-02",336,338.910004,330.899994,337.73999,335000,337.73999
"2020-09-03",334.399994,334.399994,319.399994,324.5,345000,324.5
"2020-09-04",322.670013,322.899994,303.429993,316.299988,409400,316.299988
"2020-09-08",305.01001,314.029999,301.670013,309.350006,365900,309.350006
"2020-09-09",315.019989,321.890015,312.970001,318.920013,315800,318.920013
"2020-09-10",322.5,327.480011,317.790009,318.470001,358200,318.470001
"2020-09-11",319.429993,319.75,312.140015,314.950012,244800,314.950012
"2020-09-14",320.579987,327.559998,320.579987,324.619995,152000,324.619995
"2020-09-15",329.299988,335.170013,326.670013,334.920013,229100,334.920013
"2020-09-16",335.730011,338.320007,328.019989,329.709991,434600,329.709991
"2020-09-17",323.279999,325,317.859985,322.200012,475100,322.200012
"2020-09-18",325.51001,325.519989,315.790009,316.190002,1115100,316.190002
"2020-09-21",311.440002,314.940002,307.529999,314.299988,450200,314.299988
"2020-09-22",318.299988,322.089996,312.609985,321.730011,386600,321.730011
"2020-09-23",322.450012,324.149994,314.75,314.75,233000,314.75
"2020-09-24",311.339996,319.230011,311.040009,314.980011,207400,314.980011
"2020-09-25",313.459991,323.309998,312.720001,322.950012,214400,322.950012
"2020-09-28",325.540009,331.980011,325.369995,328.959991,212700,328.959991
"2020-09-29",330.220001,332.73999,324.089996,325.559998,235900,325.559998
"2020-09-30",328.649994,330.390015,322.690002,323.279999,303000,323.279999
"2020-10-01",328.320007,335.320007,326.51001,334.119995,353400,334.119995
"2020-10-02",326.51001,333.519989,324.670013,326.920013,185200,326.920013
"2020-10-05",330.339996,335,328.649994,333.779999,258600,333.779999
"2020-10-06",334.019989,344.359985,330.01001,335.339996,481100,335.339996
"2020-10-07",339.220001,344.980011,339.01001,344.320007,154900,344.320007
"2020-10-08",346,348.130005,331.5,334.640015,387100,334.640015
"2020-10-09",337.869995,343,336.519989,337.25,259800,337.25
"2020-10-12",343,346.839996,337.630005,345.079987,156900,345.079987
"2020-10-13",346,349.230011,342.130005,348.76001,232600,348.76001
"2020-10-14",350,355.410004,344.720001,346.890015,208000,346.890015
"2020-10-15",342.549988,350.119995,339.200012,349.040009,159600,349.040009
"2020-10-16",350,354.160004,347.660004,350.570007,131500,350.570007
"2020-10-19",352,356.480011,341.390015,342.579987,179700,342.579987
"2020-10-20",344.850006,347.920013,343.649994,345.660004,141700,345.660004
"2020-10-21",348.670013,354,344.299988,347.359985,179100,347.359985
"2020-10-22",348.73999,348.73999,333.01001,337.26001,226700,337.26001
"2020-10-23",338,341.059998,332.429993,339.049988,190900,339.049988
"2020-10-26",336.369995,340,323.01001,328.440002,175900,328.440002
"2020-10-27",328.679993,332,325.5,326.779999,163000,326.779999
"2020-10-28",320.950012,322,314.450012,315.670013,165600,315.670013
"2020-10-29",318.980011,322.859985,315.209991,317.019989,212600,317.019989
"2020-10-30",315.25,319.23999,306.299988,308.950012,224400,308.950012
"2020-11-02",312.179993,321.420013,311.790009,313.700012,257800,313.700012
"2020-11-03",317.529999,318.279999,306.290009,314.119995,258700,314.119995
"2020-11-04",325.429993,337.890015,321.859985,328.859985,599300,328.859985
"2020-11-05",339.279999,356.980011,339.279999,346.630005,399200,346.630005
"2020-11-06",348.559998,348.559998,341.98999,342.230011,273400,342.230011
"2020-11-09",345.329987,347.950012,318.019989,318.540009,437500,318.540009
"2020-11-10",315.339996,316.980011,305.829987,312.600006,360300,312.600006
"2020-11-11",318.369995,327.850006,318.369995,326.970001,174200,326.970001
"2020-11-12",331.959991,335.799988,328.940002,332.730011,366800,332.730011
"2020-11-13",333.149994,336,330.549988,333.380005,210100,333.380005
"2020-11-16",329.929993,331.440002,322.049988,322.820007,147900,322.820007
