"","EPAM.Open","EPAM.High","EPAM.Low","EPAM.Close","EPAM.Volume","EPAM.Adjusted"
"2020-11-17",322.01001,331.869995,322.01001,331.619995,300300,331.619995
"2020-11-18",330.880005,331.649994,323.380005,327.929993,251700,327.929993
"2020-11-19",327.869995,335.76001,324.869995,334.579987,183300,334.579987
"2020-11-20",337.5,344.25,332.929993,341.01001,272600,341.01001
"2020-11-23",341.980011,345.649994,334.26001,335.690002,162700,335.690002
"2020-11-24",333,335.630005,312.98999,315.459991,516900,315.459991
"2020-11-25",318,325.040009,311.820007,318.649994,438600,318.649994
"2020-11-27",321.709991,328.269989,320.799988,325.950012,101100,325.950012
"2020-11-30",326.119995,328.459991,316.910004,322.329987,510500,322.329987
"2020-12-01",324.100006,330.25,319.089996,328.820007,330900,328.820007
"2020-12-02",327.079987,327.079987,319.570007,323.589996,273200,323.589996
"2020-12-03",323.5,326.279999,319.299988,319.690002,185100,319.690002
"2020-12-04",320,333.049988,320,324.929993,211500,324.929993
"2020-12-07",323.880005,325.839996,319.350006,323.079987,184200,323.079987
"2020-12-08",324.369995,330.649994,321.459991,329.459991,223200,329.459991
"2020-12-09",328.190002,328.790009,315.940002,320.579987,315700,320.579987
"2020-12-10",316.5,324.25,314.079987,322.76001,272700,322.76001
"2020-12-11",322,324.48999,318.339996,321.200012,227000,321.200012
"2020-12-14",322.390015,333.98999,322.390015,325.220001,289200,325.220001
"2020-12-15",328.179993,329.570007,323.279999,325.929993,180200,325.929993
"2020-12-16",326.420013,334.640015,324.5,334.040009,399100,334.040009
"2020-12-17",338.51001,359.390015,337.079987,344.200012,807000,344.200012
"2020-12-18",348.220001,349.100006,338.519989,346.529999,673200,346.529999
"2020-12-21",341.470001,342.899994,334.299988,340.630005,365000,340.630005
"2020-12-22",341.48999,356.5,341.48999,355.459991,585900,355.459991
"2020-12-23",355,358.940002,351.700012,352.859985,234700,352.859985
"2020-12-24",352.269989,358.869995,352.269989,356.339996,139300,356.339996
"2020-12-28",359.179993,359.179993,352.660004,353.630005,170300,353.630005
"2020-12-29",355,356.209991,347.5,351.75,166700,351.75
"2020-12-30",354.130005,359.220001,350.980011,358.480011,240500,358.480011
"2020-12-31",359,360.890015,355.980011,358.350006,254000,358.350006
"2021-01-04",359.01001,360.25,340.589996,348.059998,323800,348.059998
"2021-01-05",346.170013,351.51001,342.559998,345.700012,233300,345.700012
"2021-01-06",341.059998,346.019989,328.899994,329.660004,553700,329.660004
"2021-01-07",334.73999,341.48999,334.570007,338.480011,473500,338.480011
"2021-01-08",341.170013,347.170013,340.320007,342.369995,342300,342.369995
"2021-01-11",338.910004,346.100006,337.019989,342.839996,200900,342.839996
"2021-01-12",343.359985,344.869995,330.76001,331.730011,418900,331.730011
"2021-01-13",333.369995,337.269989,332.619995,333.540009,533200,333.540009
"2021-01-14",335,342.579987,334.279999,340.649994,333100,340.649994
"2021-01-15",340.540009,350.660004,340.540009,348.01001,319100,348.01001
"2021-01-19",354.279999,356,345.029999,351.410004,326500,351.410004
"2021-01-20",353.140015,365.149994,353.019989,363.899994,312000,363.899994
"2021-01-21",365,369.51001,361.019989,363.26001,306700,363.26001
"2021-01-22",361.779999,365.51001,359.459991,359.690002,187400,359.690002
"2021-01-25",365.149994,365.149994,344.029999,354.149994,249400,354.149994
"2021-01-26",354.079987,355,348.179993,350.75,229900,350.75
"2021-01-27",346,349.98999,333.679993,339.619995,308000,339.619995
"2021-01-28",341.700012,351.829987,340.130005,348.970001,164800,348.970001
"2021-01-29",346.76001,348.5,338.600006,344.429993,238900,344.429993
"2021-02-01",347,357.049988,347,356.700012,222600,356.700012
"2021-02-02",360,371.630005,359.910004,370.929993,280100,370.929993
"2021-02-03",370,374.130005,368.549988,372.779999,333300,372.779999
"2021-02-04",373,375.380005,364.660004,373.089996,226000,373.089996
"2021-02-05",375.839996,379.619995,373.390015,377.429993,245700,377.429993
"2021-02-08",379,391.230011,377.26001,390.329987,245400,390.329987
"2021-02-09",389,397.339996,385.25,394.459991,451600,394.459991
"2021-02-10",398.26001,398.26001,386.079987,387.329987,173100,387.329987
"2021-02-11",390.040009,396.76001,390.040009,392.890015,129200,392.890015
"2021-02-12",393,400.980011,389.079987,400.269989,166700,400.269989
"2021-02-16",401.350006,402.619995,393.869995,394.480011,183400,394.480011
"2021-02-17",392.51001,393.929993,387.940002,391.700012,308700,391.700012
"2021-02-18",387.369995,394.149994,372.700012,378.459991,371500,378.459991
"2021-02-19",378.549988,384.98999,375.459991,376,205200,376
"2021-02-22",372.079987,374.920013,358.839996,364.890015,649100,364.890015
"2021-02-23",356.529999,371.850006,350,371.630005,278000,371.630005
"2021-02-24",367.440002,369.920013,359.170013,369.26001,210600,369.26001
"2021-02-25",369.019989,371.779999,360.279999,364.179993,255500,364.179993
"2021-02-26",367.160004,378.269989,361.799988,373.609985,315500,373.609985
"2021-03-01",378,385.109985,377.850006,384.649994,178100,384.649994
"2021-03-02",384.130005,390.399994,382.799988,387.290009,262400,387.290009
"2021-03-03",387.269989,387.269989,372.519989,378.790009,298100,378.790009
"2021-03-04",376.940002,377.179993,353.320007,359.5,547300,359.5
"2021-03-05",364.220001,367.779999,346.910004,358.549988,414600,358.549988
"2021-03-08",355.459991,355.459991,338.690002,339.119995,556500,339.119995
"2021-03-09",350.279999,356.799988,343.540009,351.450012,405400,351.450012
"2021-03-10",355.049988,355.730011,347.869995,353.23999,278300,353.23999
"2021-03-11",361.799988,367.299988,359.019989,366.019989,186800,366.019989
"2021-03-12",361.049988,368.230011,359.48999,364.149994,188100,364.149994
"2021-03-15",365,372.579987,362.799988,372.570007,116600,372.570007
"2021-03-16",376.179993,377.519989,368.420013,371.679993,121400,371.679993
"2021-03-17",367.980011,377.450012,363.299988,373.880005,210800,373.880005
"2021-03-18",370.970001,375.690002,358.679993,368.910004,313500,368.910004
"2021-03-19",368.769989,381.230011,366.190002,379.600006,427100,379.600006
"2021-03-22",381.730011,384.579987,378.079987,380.450012,212400,380.450012
"2021-03-23",377.869995,381.190002,371.48999,373.829987,186000,373.829987
"2021-03-24",373.950012,376.779999,367.899994,368.51001,276900,368.51001
"2021-03-25",364.25,368.369995,357.51001,368.01001,251400,368.01001
"2021-03-26",368.230011,388.070007,367.299988,387.73999,323000,387.73999
"2021-03-29",388.640015,390.929993,375.75,378.079987,301300,378.079987
"2021-03-30",375.51001,386.829987,374.950012,383.51001,200600,383.51001
"2021-03-31",387.140015,407.059998,384.730011,396.690002,446800,396.690002
"2021-04-01",401.630005,406.410004,394.019989,399.98999,240600,399.98999
"2021-04-05",400.799988,410.820007,400.220001,409.309998,156700,409.309998
"2021-04-06",407.859985,413.049988,406,411.01001,184200,411.01001
"2021-04-07",410,412,405.040009,410.359985,139200,410.359985
"2021-04-08",415.089996,421.640015,412.779999,420.549988,297800,420.549988
"2021-04-09",420,424.649994,415,423.059998,257100,423.059998
"2021-04-12",416.029999,426.48999,414.5,424.670013,361900,424.670013
"2021-04-13",426,436.809998,426,432.480011,276600,432.480011
"2021-04-14",432.480011,436.220001,428.76001,430.399994,7e+05,430.399994
"2021-04-15",437.640015,449.290009,437.309998,448.670013,367900,448.670013
"2021-04-16",448,448,440.809998,446.040009,261800,446.040009
"2021-04-19",444.220001,447.369995,440.76001,446.940002,328700,446.940002
"2021-04-20",448.320007,450.420013,444.76001,446.920013,262900,446.920013
"2021-04-21",445.869995,450,441.959991,448.829987,339000,448.829987
"2021-04-22",450,454.480011,447.48999,448.519989,313600,448.519989
"2021-04-23",450,458.329987,449.049988,458.149994,201700,458.149994
"2021-04-26",458,460.970001,456.429993,458.829987,350800,458.829987
"2021-04-27",460,460.609985,455.869995,458.839996,291700,458.839996
"2021-04-28",458.359985,461.809998,456.279999,459.730011,302200,459.730011
"2021-04-29",461.790009,461.980011,455.399994,459,358200,459
"2021-04-30",454.380005,461.350006,451.829987,457.75,352400,457.75
"2021-05-03",461,462.829987,457.529999,459.579987,413900,459.579987
"2021-05-04",455.609985,459.769989,453.420013,458.519989,524800,458.519989
"2021-05-05",462.279999,463.630005,458.450012,461.279999,295000,461.279999
"2021-05-06",452.480011,458.559998,433.920013,458.380005,495300,458.380005
"2021-05-07",465,466.209991,458.369995,460.200012,412400,460.200012
"2021-05-10",459.23999,466.970001,454.559998,460.01001,291900,460.01001
"2021-05-11",450.839996,454.329987,436.179993,454.089996,534600,454.089996
"2021-05-12",447.410004,448.75,440.23999,441.160004,362900,441.160004
"2021-05-13",445.690002,450.700012,442.5,446.890015,240200,446.890015
"2021-05-14",450.970001,452.649994,446.5,451.559998,418200,451.559998
"2021-05-17",448.480011,451.529999,443.220001,447.73999,290500,447.73999
"2021-05-18",450.5,450.660004,445.929993,446.480011,277300,446.480011
"2021-05-19",440.899994,451.970001,436.429993,451.23999,326700,451.23999
"2021-05-20",453.679993,474.369995,452.660004,472.26001,532900,472.26001
"2021-05-21",476.079987,480.869995,471.480011,477.220001,332300,477.220001
"2021-05-24",480,485.910004,477.450012,484.420013,309000,484.420013
"2021-05-25",485,486.200012,477.570007,479.269989,459600,479.269989
"2021-05-26",481.75,481.970001,475.799988,477.839996,453000,477.839996
"2021-05-27",475.529999,480.100006,469.019989,471.829987,798800,471.829987
"2021-05-28",473.950012,482.380005,472.399994,477.600006,182300,477.600006
"2021-06-01",490.619995,490.619995,470.779999,478.589996,361000,478.589996
"2021-06-02",481.859985,485.019989,479.709991,481.160004,327800,481.160004
"2021-06-03",476.570007,480.98999,474.049988,474.98999,320700,474.98999
"2021-06-04",480.720001,484.540009,478.519989,482.299988,240200,482.299988
"2021-06-07",483.940002,489,481.230011,487.670013,371000,487.670013
"2021-06-08",489.089996,492.779999,483.459991,489.170013,238300,489.170013
"2021-06-09",490.309998,495.730011,488.399994,492.980011,307000,492.980011
"2021-06-10",493.559998,506.809998,493.559998,505.630005,252700,505.630005
"2021-06-11",504.269989,510.459991,501.640015,508.459991,283700,508.459991
"2021-06-14",506.850006,513.599976,506.809998,508.209991,330600,508.209991
"2021-06-15",509.440002,509.890015,498.600006,500.799988,344300,500.799988
"2021-06-16",504.980011,507.029999,499.130005,503.869995,242200,503.869995
"2021-06-17",501.679993,514.98999,500.619995,514.599976,252000,514.599976
"2021-06-18",514.47998,521.859985,510.209991,510.519989,389400,510.519989
"2021-06-21",510.600006,520.51001,506.26001,518.539978,152200,518.539978
"2021-06-22",517.22998,520.219971,515.419983,519.159973,223500,519.159973
"2021-06-23",519.630005,520.580017,515.48999,515.880005,286000,515.880005
"2021-06-24",521.549988,523.130005,515.369995,518.530029,313500,518.530029
"2021-06-25",518.330017,525,509.75,523.150024,667700,523.150024
"2021-06-28",525.619995,527.039978,519.530029,521.059998,193000,521.059998
"2021-06-29",519,520.23999,516.820007,519.210022,367900,519.210022
"2021-06-30",516.820007,516.820007,510.51001,510.959991,308500,510.959991
"2021-07-01",510.429993,514.440002,507.799988,510.23999,230700,510.23999
"2021-07-02",512.450012,516.73999,511.040009,516.280029,152700,516.280029
"2021-07-06",519,520.820007,516.059998,519.76001,275200,519.76001
"2021-07-07",522,528.72998,516.080017,527.049988,277200,527.049988
"2021-07-08",516.429993,521.48999,512.619995,515.200012,215000,515.200012
"2021-07-09",516,527.830017,514.299988,527.820007,272200,527.820007
"2021-07-12",536.820007,542.76001,530.22998,534.590027,302400,534.590027
"2021-07-13",531.98999,539.97998,530.059998,536.289978,202000,536.289978
"2021-07-14",540.01001,544.119995,538,541.929993,259300,541.929993
"2021-07-15",543.359985,545.400024,534.950012,538.349976,159200,538.349976
"2021-07-16",540.190002,541.98999,527.619995,527.710022,243500,527.710022
"2021-07-19",522.049988,535.580017,518.01001,534.539978,234600,534.539978
"2021-07-20",540.049988,550.070007,538.780029,545.150024,235900,545.150024
"2021-07-21",544.059998,549.97998,542.01001,548.23999,208400,548.23999
"2021-07-22",550.25,553.099976,547.030029,552.299988,143400,552.299988
"2021-07-23",554.669983,561.460022,554.669983,557.359985,179000,557.359985
"2021-07-26",557.75,559.75,550.640015,553.690002,192700,553.690002
"2021-07-27",552.349976,553.869995,541.409973,553.849976,174400,553.849976
"2021-07-28",556.97998,558.27002,551.090027,552.960022,199200,552.960022
"2021-07-29",555.080017,562.97998,555.080017,556.140015,173100,556.140015
"2021-07-30",554.5,563.890015,551.340027,559.799988,137800,559.799988
"2021-08-02",563.52002,565.320007,556.849976,558.400024,138100,558.400024
"2021-08-03",570.369995,571.349976,563.640015,571.210022,147800,571.210022
"2021-08-04",569.400024,576.450012,568.75,569.080017,202500,569.080017
"2021-08-05",600.409973,601.799988,583.869995,589.659973,341300,589.659973
"2021-08-06",588.859985,598.460022,581.950012,598.02002,321600,598.02002
"2021-08-09",599.190002,609.039978,596.26001,608.75,300700,608.75
"2021-08-10",608.52002,618.570007,603.119995,604.219971,236900,604.219971
"2021-08-11",605.01001,608.02002,598.099976,600,290500,600
"2021-08-12",598,607.640015,596.049988,602,559100,602
"2021-08-13",602,613.570007,601.299988,607.849976,288600,607.849976
"2021-08-16",608.01001,618.97998,599.599976,618.969971,237600,618.969971
"2021-08-17",617.890015,622.440002,612.27002,620.330017,197700,620.330017
"2021-08-18",620.150024,628,619.190002,622,239100,622
"2021-08-19",617.900024,625.210022,616.02002,619.559998,307000,619.559998
"2021-08-20",621.309998,634.200012,621.309998,630.109985,251600,630.109985
"2021-08-23",633.47998,642.630005,626.590027,626.630005,362900,626.630005
"2021-08-24",628.22998,634.73999,623.380005,633.320007,509600,633.320007
"2021-08-25",631.48999,635.809998,617,620,471700,620
"2021-08-26",620,626.640015,610.049988,622.340027,431700,622.340027
"2021-08-27",627.570007,636.77002,626.080017,629.099976,251500,629.099976
"2021-08-30",633.210022,638.590027,631.150024,636.299988,249300,636.299988
"2021-08-31",638.619995,638.619995,628.049988,632.809998,373300,632.809998
"2021-09-01",633.289978,635.919983,627.26001,631.25,255100,631.25
"2021-09-02",633.409973,636.72998,626.01001,633.119995,228200,633.119995
"2021-09-03",632.880005,644.140015,630.22998,643.390015,164400,643.390015
"2021-09-07",646.109985,648.719971,626.609985,627.119995,285600,627.119995
"2021-09-08",630,633.51001,626.02002,629.320007,256200,629.320007
"2021-09-09",629.150024,634.849976,626.27002,626.890015,277200,626.890015
"2021-09-10",634.909973,642.549988,627.01001,627.01001,248900,627.01001
"2021-09-13",628.330017,628.330017,608.340027,617.659973,396500,617.659973
"2021-09-14",621.630005,633.570007,618.210022,622.710022,327300,622.710022
"2021-09-15",623.340027,627.359985,615.73999,623.820007,365100,623.820007
"2021-09-16",621.450012,627.369995,615.440002,627.369995,412400,627.369995
"2021-09-17",624,624.25,606.48999,613.950012,633500,613.950012
"2021-09-20",603.039978,610.309998,597.969971,605.289978,335100,605.289978
"2021-09-21",611.719971,616.929993,606.820007,614.01001,245000,614.01001
"2021-09-22",616,623.590027,607.940002,621.030029,190100,621.030029
"2021-09-23",627.330017,631.059998,620,629.530029,237100,629.530029
"2021-09-24",624.450012,629.590027,620.090027,629.469971,177900,629.469971
"2021-09-27",621.130005,627.090027,593.280029,597.630005,355000,597.630005
"2021-09-28",584.52002,588,567.590027,568.549988,474400,568.549988
"2021-09-29",574.909973,578.48999,566.01001,570.25,347800,570.25
"2021-09-30",572.52002,580.73999,570.030029,570.47998,320500,570.47998
"2021-10-01",574.080017,578.700012,561.809998,575.440002,168200,575.440002
"2021-10-04",570,570,552.080017,564.070007,330500,564.070007
"2021-10-05",567.849976,581.51001,566.349976,577.650024,324600,577.650024
"2021-10-06",573.030029,582.169983,566.52002,582.169983,208100,582.169983
"2021-10-07",586.859985,600,586.859985,594.890015,324700,594.890015
"2021-10-08",596.22998,599.98999,585.299988,586.719971,200900,586.719971
"2021-10-11",581.460022,584.51001,575.880005,576.48999,188900,576.48999
"2021-10-12",580.840027,587.669983,575.210022,582.559998,97000,582.559998
"2021-10-13",591.75,596.640015,585,596.570007,211100,596.570007
"2021-10-14",603.609985,616.849976,601.700012,610.840027,188800,610.840027
"2021-10-15",614.299988,619.330017,611.130005,618.98999,199400,618.98999
"2021-10-18",619.309998,633.669983,616.5,632.789978,171800,632.789978
"2021-10-19",636.580017,644.890015,633.25,634.159973,187200,634.159973
"2021-10-20",638.52002,638.52002,625,627.900024,199200,627.900024
"2021-10-21",630.52002,643.640015,625.539978,642.669983,160300,642.669983
"2021-10-22",644.039978,649.5,640.460022,648.409973,119600,648.409973
"2021-10-25",650,656.460022,645.640015,652.26001,121400,652.26001
"2021-10-26",658.030029,658.030029,644.070007,653.48999,181700,653.48999
"2021-10-27",651.830017,659.469971,646.299988,652.359985,224300,652.359985
"2021-10-28",659.01001,672.119995,656.52002,670.530029,232500,670.530029
"2021-10-29",662.969971,674.809998,660.5,673.23999,239700,673.23999
"2021-11-01",675.130005,675.130005,652.77002,659.650024,215400,659.650024
"2021-11-02",658.719971,675.849976,656.299988,674.330017,195300,674.330017
"2021-11-03",679.090027,680,654.059998,679.950012,372300,679.950012
"2021-11-04",689.710022,718.179993,679,716.26001,359700,716.26001
"2021-11-05",725.400024,725.400024,703.780029,705.059998,216900,705.059998
"2021-11-08",706.150024,722.75,699.27002,717.48999,222100,717.48999
"2021-11-09",715,722.119995,711.650024,717.080017,256700,717.080017
"2021-11-10",705,706.919983,668.969971,674.650024,291300,674.650024
"2021-11-11",684.299988,690,667.190002,668.150024,467900,668.150024
"2021-11-12",675.640015,678.98999,664.02002,671.359985,492700,671.359985
"2021-11-15",672,675.869995,654.780029,660.679993,240600,660.679993
"2021-11-16",658,674.299988,657.76001,671.01001,365700,671.01001
"2021-11-17",675,675.01001,663.039978,665.72998,178500,665.72998
"2021-11-18",665.27002,669.25,658.450012,663.940002,196700,663.940002
"2021-11-19",667.48999,670.830017,658.47998,663.840027,201000,663.840027
"2021-11-22",665.159973,670.070007,610.960022,614.159973,351800,614.159973
"2021-11-23",625.219971,626.469971,595.570007,602.940002,508300,602.940002
"2021-11-24",595.609985,622.679993,593.780029,620.27002,302600,620.27002
"2021-11-26",614.570007,629.890015,607.700012,609,114800,609
"2021-11-29",618.830017,642.98999,610.859985,634.169983,334700,634.169983
"2021-11-30",633.98999,641.369995,605.630005,608.549988,454100,608.549988
"2021-12-01",618.349976,624.5,595,595.01001,257800,595.01001
"2021-12-02",591.679993,622.469971,590.77002,619.840027,257800,619.840027
"2021-12-03",624.070007,624.070007,584.5,596.690002,349700,596.690002
"2021-12-06",587.789978,588.419983,566.630005,572.799988,532000,572.799988
"2021-12-07",597.210022,601.590027,589.549988,595,454700,595
"2021-12-08",648.869995,704.719971,643.330017,700.140015,3746100,700.140015
"2021-12-09",708,719.559998,694.150024,700.01001,1770800,700.01001
"2021-12-10",698.869995,710.590027,689.570007,697.119995,1201100,697.119995
"2021-12-13",698,709.98999,666.039978,685,11665000,685
"2021-12-14",675,679.320007,642.200012,663.130005,1585300,663.130005
"2021-12-15",661.5,668.880005,625.390015,649.02002,1113500,649.02002
"2021-12-16",655.5,669.859985,628.25,635.72998,673000,635.72998
"2021-12-17",623.030029,641.969971,618.320007,636.330017,826300,636.330017
"2021-12-20",626.650024,636.969971,619.049988,623.030029,474300,623.030029
"2021-12-21",626.929993,649,620.809998,648.98999,333300,648.98999
"2021-12-22",649.030029,662.609985,646.070007,660.52002,317200,660.52002
"2021-12-23",658.26001,665.419983,656.650024,663.080017,271300,663.080017
"2021-12-27",669.549988,699.119995,669.469971,697,328300,697
"2021-12-28",697.320007,697.320007,677.440002,682.200012,272900,682.200012
"2021-12-29",682.51001,689.97998,677.77002,677.840027,231100,677.840027
"2021-12-30",680.190002,684.299988,671.570007,673.140015,295700,673.140015
"2021-12-31",671.419983,676.929993,666.809998,668.450012,292200,668.450012
"2022-01-03",670.320007,675.340027,638.119995,642.200012,433200,642.200012
"2022-01-04",641.210022,646.159973,607.950012,618.710022,509100,618.710022
"2022-01-05",605.849976,625.460022,587.109985,587.799988,581100,587.799988
"2022-01-06",579.450012,590.809998,570.47998,579.049988,616200,579.049988
"2022-01-07",578.929993,584.690002,555.01001,556.679993,471100,556.679993
"2022-01-10",540.23999,545.859985,531.039978,545.849976,966600,545.849976
"2022-01-11",547.320007,560.710022,545.51001,559.400024,405900,559.400024
"2022-01-12",566,581.559998,565.47998,571.109985,598600,571.109985
"2022-01-13",571.109985,576.369995,540.48999,540.619995,520600,540.619995
"2022-01-14",536.650024,546.27002,527.380005,543.059998,488800,543.059998
"2022-01-18",528.580017,531.26001,504.019989,505.950012,732100,505.950012
"2022-01-19",505,523.030029,492.119995,493.980011,797600,493.980011
"2022-01-20",497,508.670013,484.649994,486.070007,709700,486.070007
"2022-01-21",479.670013,486.170013,464.459991,464.709991,644000,464.709991
"2022-01-24",447.839996,469.420013,433.209991,468.410004,1182300,468.410004
"2022-01-25",462.109985,462.109985,439,445.910004,450800,445.910004
"2022-01-26",459.910004,469.149994,431.970001,435.549988,703400,435.549988
"2022-01-27",446.070007,454,431.890015,433.410004,519600,433.410004
