"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume","RMD.Adjusted"
"2020-09-21",168.690002,171.589996,165.720001,171.509995,714300,169.342651
"2020-09-22",171.330002,172.600006,169.619995,172.259995,411100,170.083191
"2020-09-23",172.009995,172.350006,168.240005,168.699997,442400,166.568146
"2020-09-24",167.800003,169.899994,166.490005,168.139999,261200,166.015244
"2020-09-25",166.699997,169.309998,166.009995,169.039993,893300,166.90387
"2020-09-28",171,174.199997,169.850006,172,572500,169.826477
"2020-09-29",172,174.039993,171.910004,172.660004,340800,170.478119
"2020-09-30",173.050003,174.830002,170.600006,171.429993,682400,169.263672
"2020-10-01",172.839996,174.429993,168.589996,169.509995,505900,167.36795
"2020-10-02",167.529999,169.380005,165.919998,167.5,1132800,165.383331
"2020-10-05",168.220001,171.149994,168.110001,170.809998,663600,168.651505
"2020-10-06",171.25,171.639999,167.240005,167.649994,431900,165.531433
"2020-10-07",169.25,171.550003,168.919998,170.699997,427400,168.542892
"2020-10-08",172.559998,173.669998,171.130005,172.699997,484100,170.517624
"2020-10-09",173.5,176.720001,173.270004,176.119995,456400,173.894409
"2020-10-12",177.669998,178.289993,176.479996,177.429993,339700,175.187866
"2020-10-13",177.5,179.669998,176.080002,177.660004,387100,175.414948
"2020-10-14",178,181.029999,177.369995,177.809998,403900,175.563049
"2020-10-15",175.970001,179.660004,174.839996,179.600006,393100,177.330429
"2020-10-16",179.619995,182.350006,178.809998,180.789993,464900,178.505386
"2020-10-19",181.350006,183.070007,178.839996,179.410004,425600,177.142838
"2020-10-20",179.75,181.639999,178.839996,179.429993,386700,177.162582
"2020-10-21",179.789993,181.330002,177.929993,179.130005,285200,176.866394
"2020-10-22",179.130005,183.550003,178.990005,182.820007,403300,180.50975
"2020-10-23",182.520004,183.699997,181.029999,183.029999,305000,180.717087
"2020-10-26",181.160004,182.169998,179.25,180.529999,366000,178.248672
"2020-10-27",181.990005,187.589996,181.009995,184.850006,657200,182.514099
"2020-10-28",181.809998,182.970001,180.320007,180.660004,612300,178.377029
"2020-10-29",180,181.740005,177.699997,179.509995,581300,177.241577
"2020-10-30",195.800003,198,189.130005,191.940002,897600,189.514496
"2020-11-02",195.160004,197.399994,193.190002,196.800003,870200,194.313095
"2020-11-03",197.199997,203.550003,196.669998,202.460007,707000,199.901581
"2020-11-04",203.589996,212.279999,203.25,209.419998,675200,206.773605
"2020-11-05",212,215.639999,210.449997,212.809998,562000,210.120758
"2020-11-06",212.029999,216.059998,211.089996,214.190002,549600,211.483322
"2020-11-09",219.539993,224.240005,218,220.589996,1145500,217.802429
"2020-11-10",219.149994,219.149994,210.949997,212.110001,784000,209.800537
"2020-11-11",214.559998,218.25,214.139999,215.830002,562700,213.480026
"2020-11-12",215.020004,215.789993,210.570007,212.789993,396800,210.473114
"2020-11-13",213.429993,214.940002,212.080002,214.740005,265700,212.401901
"2020-11-16",215.589996,216.619995,213.589996,215.539993,307100,213.193176
"2020-11-17",213.509995,215.169998,211.509995,214.149994,332900,211.818314
"2020-11-18",214.699997,214.850006,210.940002,211.070007,388900,208.771866
"2020-11-19",211.759995,213.169998,210.320007,211.759995,319000,209.45433
"2020-11-20",211.630005,212.100006,210.25,211.020004,384200,208.722412
"2020-11-23",211.520004,213.600006,207.899994,209.570007,391400,207.288208
"2020-11-24",210.600006,211,204.789993,206.529999,580700,204.281296
"2020-11-25",206.210007,206.949997,204.580002,206.029999,306900,203.786728
"2020-11-27",207.240005,210.25,205.679993,209.639999,261000,207.357422
"2020-11-30",208.940002,211.020004,207.869995,209.600006,828200,207.317886
"2020-12-01",210.460007,212.360001,209.740005,211.610001,558600,209.305984
"2020-12-02",209.570007,210.580002,208.300003,209.259995,378800,206.981552
