"","CRL.Open","CRL.High","CRL.Low","CRL.Close","CRL.Volume","CRL.Adjusted"
"2020-07-01",177.699997,178.600006,175,175.559998,336700,175.559998
"2020-07-02",177,177.699997,174.820007,176.919998,583100,176.919998
"2020-07-06",179.160004,182,177.580002,181.800003,435300,181.800003
"2020-07-07",180.589996,183.699997,178.75,181.410004,391900,181.410004
"2020-07-08",182.440002,186.639999,182.440002,185.089996,310000,185.089996
"2020-07-09",184.949997,186.690002,181.360001,185.130005,249600,185.130005
"2020-07-10",185.009995,185.039993,180.559998,181.25,233600,181.25
"2020-07-13",182.720001,186.059998,180.169998,180.509995,429900,180.509995
"2020-07-14",179.610001,188.240005,179.570007,187.449997,378200,187.449997
"2020-07-15",190,195.149994,189.440002,193.449997,684100,193.449997
"2020-07-16",193.029999,193.199997,190.020004,190.699997,383700,190.699997
"2020-07-17",192.600006,197.470001,192.369995,196.259995,363100,196.259995
"2020-07-20",196.5,198.800003,195.289993,197.940002,341000,197.940002
"2020-07-21",199.199997,201.070007,197.75,198.020004,319800,198.020004
"2020-07-22",197.779999,200.660004,196.660004,198.160004,255600,198.160004
"2020-07-23",198.779999,202.949997,197.020004,198.199997,312400,198.199997
"2020-07-24",196.619995,197.009995,192.130005,192.830002,256000,192.830002
"2020-07-27",194.199997,200.440002,193.440002,199.929993,238100,199.929993
"2020-07-28",198.929993,200.610001,197.190002,197.369995,166500,197.369995
"2020-07-29",198.75,201.110001,198.25,199.580002,271500,199.580002
"2020-07-30",197.089996,203.259995,197.089996,201.309998,312400,201.309998
"2020-07-31",201.309998,202.240005,195.479996,198.990005,286000,198.990005
"2020-08-03",201.800003,208.440002,201,207.570007,401700,207.570007
"2020-08-04",207.169998,207.169998,201.979996,203.919998,324100,203.919998
"2020-08-05",206.679993,220.009995,204.559998,217.970001,713300,217.970001
"2020-08-06",219.179993,220,213.179993,217.800003,426000,217.800003
"2020-08-07",217.300003,221.639999,215.710007,221.600006,504000,221.600006
"2020-08-10",221.929993,221.970001,216.300003,218.759995,485400,218.759995
"2020-08-11",218.880005,220.619995,210.089996,210.240005,594300,210.240005
"2020-08-12",211.539993,220.539993,211.220001,219.649994,340800,219.649994
"2020-08-13",218.110001,219.910004,215.940002,217.360001,259300,217.360001
"2020-08-14",215.679993,217.690002,212.839996,214.490005,152600,214.490005
"2020-08-17",215.970001,219.580002,215.970001,218.449997,182700,218.449997
"2020-08-18",218.820007,219.25,216.110001,217.149994,266700,217.149994
"2020-08-19",217.830002,218.369995,214.570007,215.100006,261800,215.100006
"2020-08-20",213.509995,216.600006,213.509995,214.710007,185200,214.710007
"2020-08-21",214.429993,216.630005,212.949997,216.369995,211300,216.369995
"2020-08-24",218.410004,218.979996,215.119995,215.410004,220200,215.410004
"2020-08-25",215.130005,217.360001,213.710007,217.059998,250400,217.059998
"2020-08-26",218.110001,218.979996,215.149994,218.600006,227200,218.600006
"2020-08-27",217.759995,218.389999,214.720001,217.149994,317800,217.149994
"2020-08-28",216.660004,218.240005,216.199997,217.460007,143300,217.460007
"2020-08-31",218.270004,220.740005,215.960007,218.949997,215200,218.949997
"2020-09-01",219.399994,219.399994,215.869995,216.050003,371100,216.050003
"2020-09-02",216.479996,220.490005,214.320007,220.110001,206400,220.110001
"2020-09-03",219,219.880005,204.419998,207.910004,456400,207.910004
"2020-09-04",209.289993,210.119995,197.330002,204.639999,440400,204.639999
"2020-09-08",202.449997,206.960007,199.589996,202.949997,287200,202.949997
"2020-09-09",206.440002,211.199997,205.399994,209.889999,293200,209.889999
"2020-09-10",216.279999,218.669998,214.199997,214.960007,480500,214.960007
"2020-09-11",216.389999,220,215.050003,217.509995,312300,217.509995
"2020-09-14",220.330002,221.389999,218.199997,220.009995,271400,220.009995
"2020-09-15",221.960007,228.860001,221.889999,225.300003,392100,225.300003
"2020-09-16",226.5,226.710007,219.639999,221.979996,319400,221.979996
"2020-09-17",219.399994,221.169998,215.600006,218.149994,459100,218.149994
"2020-09-18",219.990005,220.479996,216.300003,219.610001,653300,219.610001
"2020-09-21",214.440002,218.429993,210.039993,217.929993,353400,217.929993
"2020-09-22",218.169998,218.779999,213.690002,217.330002,275000,217.330002
"2020-09-23",216.809998,218.809998,212.169998,212.550003,246500,212.550003
"2020-09-24",210.860001,212.470001,205.970001,211.830002,251100,211.830002
"2020-09-25",210.889999,217.580002,209.589996,216.770004,180100,216.770004
"2020-09-28",219.539993,224.300003,219.089996,223.419998,228800,223.419998
"2020-09-29",224.190002,225.919998,222.529999,222.929993,401000,222.929993
"2020-09-30",222.080002,227.440002,221.550003,226.449997,231600,226.449997
"2020-10-01",228.020004,230.639999,227.149994,230.460007,414400,230.460007
"2020-10-02",226.869995,231.970001,226.619995,228.869995,231000,228.869995
"2020-10-05",232.070007,235.990005,231.949997,234.970001,211700,234.970001
"2020-10-06",235.669998,236.350006,231.550003,233.380005,271200,233.380005
"2020-10-07",236.050003,237.729996,235.389999,237.350006,302300,237.350006
"2020-10-08",238.399994,238.630005,235.139999,236.490005,218300,236.490005
"2020-10-09",238.979996,243.460007,238.360001,242.570007,391500,242.570007
"2020-10-12",244.990005,244.990005,241.160004,243.270004,391800,243.270004
