"","CCI.Open","CCI.High","CCI.Low","CCI.Close","CCI.Volume","CCI.Adjusted"
"2020-07-01",167.929993,173.089996,167.210007,171.889999,1780600,161.369003
"2020-07-02",173.720001,174,169.690002,170.720001,2253800,160.270599
"2020-07-06",178.610001,180,172.369995,174.300003,3263000,163.631485
"2020-07-07",171.960007,173.949997,171.199997,171.509995,1705000,161.012253
"2020-07-08",172.100006,173.520004,169.679993,171.410004,2282800,160.918396
"2020-07-09",170.889999,172.25,168.979996,171.649994,1435300,161.143661
"2020-07-10",171.970001,172.960007,169.860001,171.5,2070000,161.002884
"2020-07-13",171.279999,171.880005,166.039993,166.910004,2245400,156.693817
"2020-07-14",168,169.839996,165.679993,169.350006,2534200,158.984482
"2020-07-15",171.139999,171.619995,167.339996,168,1797100,157.717102
"2020-07-16",166.960007,168.020004,164.600006,165.740005,1623900,155.595444
"2020-07-17",166.740005,170.149994,165.639999,168.960007,1403400,158.618362
"2020-07-20",177.279999,177.279999,170.089996,170.160004,3817800,159.744888
"2020-07-21",171.5,171.5,166.679993,167.529999,2411100,157.275879
"2020-07-22",166.919998,169.509995,166.509995,168.059998,1368300,157.773407
"2020-07-23",167.539993,168.789993,164.720001,166.759995,1730700,156.552994
"2020-07-24",166.410004,167.830002,165.729996,166.699997,1498100,156.496674
"2020-07-27",167,169.190002,166.339996,168.440002,1603200,158.130173
"2020-07-28",168.119995,172.919998,168.100006,171.779999,2070300,161.265717
"2020-07-29",172.929993,175.149994,172.100006,173.869995,2469800,163.227814
"2020-07-30",168.949997,170.699997,167.100006,170.210007,2780900,159.791824
"2020-07-31",170.210007,170.210007,170.210007,170.210007,0,159.791824
"2020-08-03",165.929993,166.050003,162,164.100006,2799700,154.055801
"2020-08-04",164.399994,167.770004,164.149994,165.880005,2300200,155.726852
"2020-08-05",166.369995,166.570007,163.729996,164.520004,1713500,154.450119
"2020-08-06",164.009995,165.289993,163.429993,163.869995,1513600,153.839874
"2020-08-07",163.910004,169.360001,163.800003,168.190002,1633400,157.895477
"2020-08-10",168.059998,168.229996,164.919998,166.179993,2287500,156.008469
"2020-08-11",167.169998,167.300003,161.399994,161.789993,1865200,151.887177
"2020-08-12",162.990005,166.160004,162.619995,165.199997,1098600,155.08847
"2020-08-13",164.699997,165.389999,163.600006,164.360001,1309700,154.299881
"2020-08-14",164.339996,165.880005,163.630005,164.630005,1435300,154.553375
"2020-08-17",164.759995,166.320007,164.410004,166.059998,1182100,155.895874
"2020-08-18",165.729996,168.210007,165.339996,166,1071200,155.839508
"2020-08-19",167.130005,167.410004,162.279999,162.639999,1486900,152.685181
"2020-08-20",160,163.75,160,162.880005,1261400,152.910477
"2020-08-21",163.5,163.619995,161.429993,163.169998,1077600,153.182739
"2020-08-24",163.100006,163.100006,159,161.009995,1144700,151.154938
"2020-08-25",161.059998,161.600006,159.690002,160.690002,1443600,150.854523
"2020-08-26",160,161.419998,158.889999,160.970001,1828100,151.117386
"2020-08-27",161.5,163.610001,161.380005,163.419998,1858900,153.417435
"2020-08-28",163.300003,164.039993,161.699997,163.789993,1781200,153.764801
"2020-08-31",163.110001,164.029999,162.529999,163.25,1386400,153.257828
"2020-09-01",162.509995,163.039993,160.360001,162.100006,1148600,152.178238
"2020-09-02",161.160004,166.720001,160.509995,166.279999,2362600,156.102386
"2020-09-03",166.360001,166.820007,160.580002,161.710007,1749100,151.812119
"2020-09-04",161.279999,162.270004,157,160.589996,1943200,150.760666
"2020-09-08",159.809998,161.440002,157.619995,158.5,2921300,148.798599
"2020-09-09",159.910004,163.529999,159.740005,161.289993,1743100,151.417801
"2020-09-10",160.669998,161.089996,158.649994,158.759995,1892000,149.042648
"2020-09-11",159.380005,160.300003,157.759995,158.589996,1267100,148.883041
"2020-09-14",158.240005,160.860001,158.220001,160.160004,1390100,151.503357
"2020-09-15",160.509995,165.100006,160.309998,163.460007,2093600,154.625
"2020-09-16",164.940002,167.789993,164.160004,166.169998,1598600,157.188538
"2020-09-17",164.509995,165.550003,161.389999,162.649994,1819900,153.858765
"2020-09-18",162.229996,162.619995,158.919998,159.679993,3016300,151.049271
"2020-09-21",159.009995,159.5,156.070007,157.580002,2017400,149.06279
"2020-09-22",157.100006,160.889999,157.050003,159.979996,2203100,151.333084
"2020-09-23",158.600006,158.990005,155.009995,155.619995,2495500,147.20874
"2020-09-24",156.529999,159.259995,155.649994,157.399994,2292200,148.892517
"2020-09-25",156.399994,161.860001,156.119995,161.710007,1827100,152.969589
"2020-09-28",163.889999,164.75,161.830002,163.589996,1843900,154.747955
"2020-09-29",163.210007,164.5,162.380005,164.179993,1552600,155.306061
"2020-09-30",164.800003,167,164.350006,166.5,2341600,157.500702
"2020-10-01",166.75,168.300003,164.929993,168.009995,1693200,158.929062
"2020-10-02",166.910004,169.300003,166.100006,168.619995,2275700,159.506104
"2020-10-05",168.619995,169,165.279999,168.660004,1450200,159.543915
"2020-10-06",168.75,168.75,164.440002,165.089996,2010000,156.166885
"2020-10-07",166.199997,166.5,164.179993,164.919998,1514400,156.006058
"2020-10-08",165.75,169.309998,165.339996,165.779999,1329000,156.819595
"2020-10-09",166.600006,167.630005,164.880005,167.360001,1010400,158.314194
"2020-10-12",168.229996,168.5,166.520004,168.229996,1029700,159.137161
"2020-10-13",168.089996,168.089996,165.940002,166.800003,1635400,157.784439
"2020-10-14",167.169998,167.490005,164.5,165.029999,1463900,156.110107
"2020-10-15",164.160004,168.5,163.449997,168.139999,1045700,159.052017
"2020-10-16",167.039993,168.449997,166.360001,166.899994,1171700,157.879028
"2020-10-19",168.25,168.75,163.75,164.320007,3165600,155.438507
"2020-10-20",164.669998,165.639999,162.259995,164.460007,2080900,155.570938
"2020-10-21",162.919998,165.449997,162.75,163.789993,1434300,154.937149
"2020-10-22",162.639999,163.339996,154.610001,156.25,3377500,147.804672
"2020-10-23",156.389999,158.990005,155,158.470001,1784100,149.904694
"2020-10-26",157.699997,160.429993,156.669998,159.919998,1548100,151.276306
"2020-10-27",160.190002,162.350006,160.119995,160.610001,1763700,151.929031
"2020-10-28",158.5,160.080002,156.5,156.850006,1743400,148.372269
"2020-10-29",158.809998,159.610001,156.220001,157.710007,1310500,149.185791
"2020-10-30",156.639999,157.589996,154.080002,156.199997,1256000,147.757401
"2020-11-02",157.449997,160.809998,156.929993,159.479996,1260700,150.860107
"2020-11-03",160.789993,162.399994,159.139999,160.350006,1311500,151.683075
"2020-11-04",159.630005,165.449997,159.559998,162.130005,1684400,153.366867
"2020-11-05",163.720001,164.449997,161.610001,162.919998,1213400,154.114151
"2020-11-06",163.410004,165.279999,162.110001,164.070007,877200,155.202026
"2020-11-09",167.169998,169.419998,161.449997,161.779999,2174000,153.035782
"2020-11-10",161.779999,162.070007,157.669998,160.419998,2372500,151.749283
"2020-11-11",161.740005,167.289993,160.970001,164.639999,1254000,155.741196
"2020-11-12",164.320007,167.130005,164.009995,166.949997,1883700,157.926346
"2020-11-13",167.509995,168.369995,165.639999,168.009995,1649900,158.929062
"2020-11-16",169.270004,169.419998,164.5,165.419998,2073100,156.479034
"2020-11-17",165.100006,166.889999,164.5,166.339996,2371700,157.349304
"2020-11-18",166.289993,172.130005,165.949997,170.649994,3104400,161.426346
"2020-11-19",170.330002,170.339996,167.169998,168.089996,2220200,159.004745
"2020-11-20",168.110001,168.839996,166.25,166.970001,1569800,157.945267
"2020-11-23",167.5,167.889999,165.089996,166.360001,2037400,157.368225
"2020-11-24",167.800003,168.270004,164.009995,164.25,2143900,155.372269
"2020-11-25",164.580002,166.5,163.509995,164.960007,1932400,156.043915
"2020-11-27",165.309998,167.169998,164.729996,167.169998,879700,158.13446
"2020-11-30",167,167.75,164.009995,167.570007,3208900,158.512833
"2020-12-01",168,170.899994,167.75,170.800003,2891900,161.568268
"2020-12-02",170.039993,170.559998,166.320007,166.839996,1494000,157.822281
"2020-12-03",166.199997,168.580002,166.199997,167.440002,1861200,158.389862
"2020-12-04",167.919998,167.949997,163.029999,163.5,2521300,154.662811
"2020-12-07",162.830002,165,161.350006,162.449997,2032600,153.669571
"2020-12-08",162.800003,163.75,161.020004,161.330002,2403800,152.610092
"2020-12-09",160.539993,160.940002,156.880005,158.389999,3029600,149.829025
"2020-12-10",158.380005,159.550003,156.5,157.220001,2148200,148.72226
"2020-12-11",158.440002,158.899994,156.139999,157.679993,2702600,149.157394
"2020-12-14",157.910004,158.899994,154.919998,155.190002,2711700,148.050751
"2020-12-15",155.300003,156.009995,154.350006,155.410004,3088400,148.260666
"2020-12-16",155.880005,157.25,153.520004,154.119995,4286500,147.029984
"2020-12-17",156.279999,157.529999,155.020004,155.75,4831200,148.584976
"2020-12-18",154.820007,155.800003,152.089996,153.809998,5924500,146.734238
"2020-12-21",152.449997,153.600006,151.210007,153.259995,2423100,146.209534
"2020-12-22",152.710007,154.289993,152,153.490005,2248400,146.428955
"2020-12-23",154.210007,155.380005,152.410004,152.460007,1977100,145.446365
"2020-12-24",152.880005,154.289993,152.580002,154,521800,146.915512
"2020-12-28",154.339996,156.320007,153.429993,156.25,1742200,149.061996
"2020-12-29",157,157.979996,155.179993,155.809998,1771500,148.642242
"2020-12-30",155.990005,157.190002,155.690002,156.389999,1310100,149.195541
"2020-12-31",155.800003,159.360001,155.199997,159.190002,1579900,151.866745
"2021-01-04",158.350006,159.059998,154.369995,155,2218700,147.869492
"2021-01-05",155.210007,157.039993,154.899994,155.610001,2380600,148.451447
"2021-01-06",154.610001,154.660004,151.339996,151.429993,2709900,144.46373
"2021-01-07",151.050003,153.259995,150.759995,152.449997,2568000,145.436798
"2021-01-08",153.820007,155.130005,153.350006,154.059998,2432600,146.972733
"2021-01-11",153.759995,154.740005,151.960007,153.059998,1622500,146.018753
"2021-01-12",152.410004,152.990005,149.139999,150.460007,2304100,143.538361
"2021-01-13",150.410004,152.949997,150.350006,152.690002,1457400,145.665771
"2021-01-14",154.089996,156.119995,152.419998,154.759995,3882400,147.640549
"2021-01-15",154.779999,157.960007,154.029999,157.25,2437200,150.016006
"2021-01-19",158.869995,160,157.020004,159.389999,2824700,152.057541
"2021-01-20",159.559998,161.460007,158.270004,159.059998,1670800,151.742737
"2021-01-21",158.149994,159.789993,157.110001,159.339996,1491600,152.009842
"2021-01-22",158.899994,159.669998,157.960007,158.919998,1367800,151.609161
"2021-01-25",160.050003,162.309998,159.509995,160.889999,1720100,153.488525
"2021-01-26",160.559998,164.300003,159.619995,163.449997,1882800,155.930771
"2021-01-27",162.770004,163,159.110001,159.880005,1866000,152.524994
"2021-01-28",157.449997,160.919998,156.869995,158.130005,2522300,150.855515
"2021-01-29",156.130005,159.899994,155.110001,159.259995,2569600,151.933533
"2021-02-01",160,164.539993,158.039993,164.270004,1898500,156.713058
"2021-02-02",165.080002,167.110001,164.25,165.610001,1608400,157.991425
"2021-02-03",164.559998,165,161.360001,163.160004,2201500,155.654114
"2021-02-04",162.630005,164.649994,161.229996,163.130005,2014400,155.625504
"2021-02-05",163.5,163.580002,161.919998,162.259995,2192900,154.795502
"2021-02-08",161.979996,162.039993,157.199997,160.899994,2556100,153.498077
"2021-02-09",161.429993,164.369995,161.110001,163.990005,3077100,156.445953
"2021-02-10",164.809998,165.479996,162.880005,163.080002,1447600,155.577805
"2021-02-11",161.899994,163.710007,160.850006,162,2336300,154.547501
"2021-02-12",162.350006,164.699997,161.509995,164.460007,2199500,156.894318
"2021-02-16",164.320007,164.889999,160.669998,161.960007,3150900,154.509338
"2021-02-17",161.110001,163.380005,161,163.130005,1569300,155.625504
"2021-02-18",162.940002,165.309998,162.5,164.899994,1744100,157.314072
"2021-02-19",165.440002,166.389999,164.770004,165.800003,4530800,158.172653
"2021-02-22",165.009995,166.289993,163.220001,165.320007,3437100,157.714767
"2021-02-23",166.300003,166.300003,161.639999,161.639999,2594800,154.204056
"2021-02-24",161,162.110001,160.270004,161.199997,1731800,153.784286
"2021-02-25",161.020004,162.699997,157.889999,159.610001,2360600,152.267441
"2021-02-26",160,160.5,155.630005,155.75,3615900,148.584976
"2021-03-01",156.339996,157.979996,153.610001,153.729996,2198700,146.657913
"2021-03-02",153.820007,154.5,151.770004,153.160004,2443300,146.114151
"2021-03-03",153.369995,153.440002,148.5,148.520004,2593500,141.687607
"2021-03-04",148.960007,152.830002,148.550003,149.130005,2880900,142.269547
"2021-03-05",149.940002,151.009995,146.149994,150.149994,3773800,143.242615
