"","CCI.Open","CCI.High","CCI.Low","CCI.Close","CCI.Volume","CCI.Adjusted"
"2021-03-08",150.100006,150.889999,146.429993,146.770004,3389500,140.018112
"2021-03-09",148.389999,151.759995,148.199997,151.039993,2533600,144.091675
"2021-03-10",151.440002,152.639999,150,151.940002,1860900,144.950256
"2021-03-11",152.5,156.630005,152.220001,155.740005,2568400,148.575485
"2021-03-12",153.830002,158.860001,152.960007,158.679993,2381300,152.684113
"2021-03-15",158.240005,162.020004,157.75,161.539993,2622000,155.436035
"2021-03-16",161.990005,165.619995,161.160004,165.050003,2594500,158.813416
"2021-03-17",164.789993,166,163.259995,164.960007,2235100,158.726822
"2021-03-18",163.899994,165.710007,162.100006,165.190002,1561500,158.948135
"2021-03-19",165.449997,168.339996,164.490005,165.619995,4115900,159.361862
"2021-03-22",165.619995,169.800003,165.610001,167.889999,2404200,161.546112
"2021-03-23",167.910004,170.160004,166.679993,168.690002,2269100,162.315887
"2021-03-24",168.080002,169,165.570007,167.679993,1855700,161.34404
"2021-03-25",167.580002,168.199997,166.399994,167.490005,1485000,161.161224
"2021-03-26",169.289993,173.490005,167.830002,173.289993,1866700,166.742035
"2021-03-29",173.289993,175.339996,171.729996,175.029999,2317700,168.416306
"2021-03-30",173.850006,173.850006,170.75,170.990005,2030800,164.528992
"2021-03-31",171.029999,172.880005,169.809998,172.130005,2314300,165.6259
"2021-04-01",173.009995,174.589996,171.679993,174.460007,1815400,167.867844
"2021-04-05",174.860001,177.710007,174.490005,177.440002,2005900,170.73526
"2021-04-06",177.440002,177.440002,174.889999,176.619995,1751200,169.946228
"2021-04-07",176.589996,177.289993,174.889999,176.259995,1900000,169.599838
"2021-04-08",177.309998,178.119995,175.679993,175.75,1606400,169.109116
"2021-04-09",175.300003,176.610001,174.380005,175.240005,1390800,168.618378
"2021-04-12",175.5,177.619995,174.779999,177.539993,1425200,170.831451
"2021-04-13",177.229996,179.330002,176.610001,177.110001,1473500,170.417725
"2021-04-14",177.119995,178.660004,175.350006,175.690002,1564500,169.051376
"2021-04-15",176.710007,179.639999,176.589996,179.470001,2242500,172.688538
"2021-04-16",180,180.339996,178.289993,179.619995,1390400,172.83287
"2021-04-19",180.399994,180.960007,178.669998,180.720001,1394600,173.891296
"2021-04-20",180.460007,184.509995,180.080002,183,1900800,176.085144
"2021-04-21",183.960007,184.679993,181.789993,182.889999,1482100,175.979324
"2021-04-22",183.5,185.970001,181.699997,184.210007,1971700,177.249435
"2021-04-23",185.149994,188.130005,184.679993,187.179993,1308700,180.107224
"2021-04-26",187.429993,187.449997,184.619995,186.100006,1382400,179.068024
"2021-04-27",186.770004,186.770004,184.149994,184.740005,1353600,177.759415
"2021-04-28",185.210007,186.039993,184.630005,185.190002,1097200,178.192398
"2021-04-29",186.399994,188.360001,184.899994,187.960007,1373700,180.857742
"2021-04-30",187.339996,189.589996,187.149994,189.059998,1310000,181.916183
"2021-05-03",189.080002,189.139999,187.160004,187.699997,1413300,180.607544
"2021-05-04",186.210007,187.880005,182.149994,183.899994,2966700,176.951157
"2021-05-05",183.789993,184.529999,181.679993,183.179993,1929000,176.258347
"2021-05-06",183.229996,183.229996,179.850006,180.880005,2141600,174.045273
"2021-05-07",182.479996,184.279999,181.960007,183.320007,2023000,176.393051
"2021-05-10",183.320007,183.910004,182.820007,183.190002,1452000,176.267975
"2021-05-11",182.089996,183,180.550003,182.220001,1262100,175.334641
"2021-05-12",181.630005,181.940002,178.729996,178.830002,1414300,172.072723
"2021-05-13",179.100006,181.080002,178.139999,179.75,1764200,172.957947
"2021-05-14",180.679993,181.990005,180.149994,181.110001,1438500,174.266586
"2021-05-17",180.910004,182.809998,180.809998,182,1198700,175.122955
"2021-05-18",182,183.880005,180.25,182.770004,1615200,175.863846
"2021-05-19",182.169998,183.270004,179.660004,181.850006,1301400,174.978622
"2021-05-20",182.059998,186.110001,181.490005,185.449997,1178000,178.442581
"2021-05-21",184.830002,186.080002,183.960007,185.550003,1567300,178.538788
"2021-05-24",186.050003,187.130005,185.160004,186.240005,1890300,179.202728
"2021-05-25",186.610001,188.990005,185.130005,188.199997,1497000,181.088684
"2021-05-26",188.199997,189.860001,187.649994,188.369995,1541100,181.252228
"2021-05-27",188.070007,189.509995,187.279999,189.279999,2905400,182.127838
"2021-05-28",190,191.559998,189.479996,189.5,1583800,182.339539
"2021-06-01",190.720001,191.570007,189.520004,191.520004,1412000,184.283218
"2021-06-02",192.050003,195.5,191.770004,195.309998,1579300,187.930008
"2021-06-03",194.800003,195.360001,193.800003,194.910004,1662400,187.545135
"2021-06-04",195.910004,197.149994,195.100006,196.710007,1013100,189.277115
"2021-06-07",196.899994,198.899994,196.229996,198.039993,1271000,190.556854
"2021-06-08",198.699997,199,195.949997,196.279999,1625800,188.863358
"2021-06-09",197.259995,198.070007,195.910004,197.089996,1695800,189.642746
"2021-06-10",196.570007,200.470001,196.360001,200.240005,2569200,192.673721
"2021-06-11",198.740005,198.919998,193.5,194.339996,1807300,188.246994
"2021-06-14",194,197.259995,193.559998,197.080002,1057000,190.901093
"2021-06-15",197,197,195.289993,195.509995,1081300,189.38031
"2021-06-16",196.240005,196.679993,193.25,193.949997,1381900,187.869232
"2021-06-17",193.300003,197.059998,193.020004,196.860001,1240900,190.688019
"2021-06-18",196.690002,196.970001,194.169998,194.240005,2997100,188.150146
"2021-06-21",195.020004,198,193.699997,197.649994,1190700,191.453217
"2021-06-22",197.179993,199.220001,197.110001,197.119995,1396400,190.939819
"2021-06-23",197,197.320007,195.619995,196.009995,1170700,189.864639
"2021-06-24",197.210007,197.639999,195.050003,195.929993,1079400,189.787155
"2021-06-25",195.970001,197.130005,195.740005,196.529999,1996800,190.368362
"2021-06-28",197.229996,198.789993,196.100006,198.029999,1218000,191.821335
"2021-06-29",198.100006,199.169998,196.639999,197.350006,1268300,191.162659
"2021-06-30",196.550003,198.210007,194.869995,195.100006,1643500,188.983185
"2021-07-01",194.860001,195.880005,193.360001,194.699997,2176700,188.595703
"2021-07-02",195.470001,197.460007,194.720001,196.990005,1372800,190.813934
"2021-07-06",197.020004,199.720001,196.610001,199.630005,1583700,193.371155
"2021-07-07",199.550003,201.770004,198.679993,200.830002,1524300,194.533524
"2021-07-08",200.289993,202.460007,199.350006,200.740005,961900,194.446365
"2021-07-09",201.419998,201.860001,200.020004,201.720001,1192700,195.39563
"2021-07-12",201.860001,203.389999,201.050003,203.080002,1299900,196.712997
"2021-07-13",201.649994,203.279999,200.080002,200.389999,1219400,194.10733
"2021-07-14",200.820007,202.639999,200.149994,201.899994,1213400,195.569962
"2021-07-15",202.490005,203.25,201.759995,202.169998,1086500,195.831512
"2021-07-16",202.889999,203.970001,202.220001,203.110001,734800,196.742035
"2021-07-19",202.029999,204.360001,200.279999,202.029999,1418600,195.695908
"2021-07-20",203.190002,204.619995,202.059998,203.279999,1173200,196.906723
"2021-07-21",203.160004,203.539993,200.660004,201.100006,1900800,194.795059
"2021-07-22",190.929993,195,189.399994,192.029999,3394300,186.00943
"2021-07-23",193.169998,194.649994,190.649994,193.449997,2226900,187.384903
"2021-07-26",192.960007,193.279999,190.009995,192.240005,1955700,186.212845
"2021-07-27",192.529999,194.649994,191.399994,194.559998,1477800,188.460114
"2021-07-28",194.839996,194.839996,191.910004,192.929993,961400,186.88121
"2021-07-29",193.889999,194.320007,190.600006,192.820007,1219900,186.774673
"2021-07-30",193.059998,194.929993,192.539993,193.089996,1802800,187.036194
"2021-08-02",193.809998,195.169998,192.699997,193.110001,1104900,187.055557
"2021-08-03",193.229996,194.940002,192.509995,194.770004,1038500,188.663528
"2021-08-04",195.300003,195.720001,192.809998,195.139999,1291800,189.021927
"2021-08-05",195.970001,196,192.639999,194.460007,1121700,188.363235
"2021-08-06",193.210007,195.380005,193.020004,194.800003,1171300,188.692596
"2021-08-09",194.699997,195.279999,193.630005,194.220001,874700,188.130753
"2021-08-10",194.800003,195,190.869995,190.970001,1090900,184.982666
"2021-08-11",191.850006,192.789993,191,191.949997,910800,185.931915
"2021-08-12",192.330002,194.020004,191.520004,193.309998,652300,187.249298
"2021-08-13",194,194.910004,193.160004,194.779999,778900,188.673203
"2021-08-16",195,196.070007,193.899994,194.960007,1216400,188.84758
"2021-08-17",194.720001,197.660004,194.449997,196.839996,1100500,190.668625
"2021-08-18",196.520004,196.539993,193.990005,194.059998,1250800,187.975784
"2021-08-19",194.220001,198.410004,193.320007,197.910004,1055600,191.705093
"2021-08-20",197.550003,200.389999,196.779999,198.050003,1558000,191.840683
"2021-08-23",198.119995,198.720001,195.570007,195.960007,1336000,189.816223
"2021-08-24",196.110001,196.119995,192.300003,192.529999,1353900,186.493759
"2021-08-25",192.509995,192.580002,189.929993,190.300003,1404300,184.333664
"2021-08-26",190.610001,191.789993,189.449997,189.729996,1790300,183.78154
"2021-08-27",190.399994,191.279999,189.350006,190.970001,1437600,184.982666
"2021-08-30",191.029999,192.75,190.679993,192.309998,1429500,186.28064
"2021-08-31",192.169998,194.940002,191.029999,194.690002,2023300,188.586044
"2021-09-01",194.869995,198.160004,194.460007,197.949997,1345300,191.743835
"2021-09-02",198.039993,198.5,195.570007,197.899994,1454200,191.695374
"2021-09-03",197.509995,198.639999,194.539993,198.5,1320700,192.276581
"2021-09-07",198.5,198.5,193.830002,195.539993,1472100,189.409363
"2021-09-08",194,197.25,193.429993,196.539993,1534700,190.378021
"2021-09-09",196.020004,196.289993,192.320007,192.460007,1516400,186.425949
"2021-09-10",190.850006,191.399994,187.589996,188.360001,2294500,182.454498
"2021-09-13",189.75,191.080002,188.580002,189.830002,1812500,183.878403
"2021-09-14",189.869995,190.820007,188.550003,189.25,1608200,184.610016
"2021-09-15",189.929993,190.520004,188.479996,188.649994,1845400,184.024719
"2021-09-16",188.339996,189.860001,186.699997,189.220001,1375700,184.580765
"2021-09-17",188.070007,189.839996,187.600006,188.539993,2503100,183.917419
"2021-09-20",187.479996,189.449997,185.259995,187.199997,1174100,182.610291
"2021-09-21",187.970001,189.520004,187.220001,187.779999,1053400,183.176056
"2021-09-22",188.199997,188.869995,187.149994,187.460007,978700,182.863922
"2021-09-23",187.449997,187.919998,183.309998,184.360001,1651800,179.839905
"2021-09-24",184,184.860001,180.490005,182.070007,1622200,177.606064
"2021-09-27",180.869995,182,176.940002,177.25,2153600,172.904221
"2021-09-28",174.869995,176.789993,173.490005,175.059998,2823500,170.767914
"2021-09-29",175.789993,176.970001,174.699997,175.770004,1377800,171.460526
"2021-09-30",176.389999,176.720001,173.139999,173.320007,1701300,169.070587
"2021-10-01",173.830002,174.580002,172.330002,173.020004,1457400,168.777939
"2021-10-04",172.350006,174.580002,171.779999,173.660004,1462500,169.402252
"2021-10-05",173.800003,174.089996,171.149994,172.449997,1514400,168.221924
"2021-10-06",171.699997,174.550003,170.270004,174.339996,1250400,170.065567
"2021-10-07",175.009995,176.770004,172.589996,172.850006,947200,168.612122
"2021-10-08",172.740005,172.740005,169.470001,169.820007,971700,165.656418
"2021-10-11",169.539993,170.600006,168.25,168.759995,1202900,164.622391
"2021-10-12",169.399994,171.25,168.559998,170.600006,1478700,166.417282
"2021-10-13",169.330002,170.360001,166.309998,169.720001,2809700,165.558838
"2021-10-14",170.169998,171.949997,169.559998,171.279999,2173400,167.080612
"2021-10-15",171.710007,171.929993,167.369995,168.850006,2276400,164.71019
"2021-10-18",168.600006,168.919998,166.75,167.809998,1812300,163.695679
"2021-10-19",170.410004,173.25,169.490005,172.880005,2788000,168.641373
"2021-10-20",173,175.179993,172.899994,175,2364300,170.709412
"2021-10-21",173.149994,178.119995,171.529999,177.940002,2901600,173.577301
"2021-10-22",178,179.949997,176.910004,179.119995,2834200,174.728378
"2021-10-25",178.740005,178.940002,176.369995,177.639999,1898100,173.284668
"2021-10-26",178.089996,180.559998,177.660004,180.080002,1519400,175.664841
"2021-10-27",181.75,182.410004,177.940002,178.25,2486000,173.879715
"2021-10-28",178.449997,182.220001,177.729996,181.899994,2031200,177.440216
"2021-10-29",180.539993,182.949997,179.179993,180.300003,2619700,175.879456
"2021-11-01",181.029999,181.869995,178.759995,181.509995,1738200,177.059799
"2021-11-02",182,183.479996,179.600006,182.800003,1750700,178.318161
"2021-11-03",183.550003,184.740005,180.910004,182.919998,1334400,178.435211
"2021-11-04",183.169998,183.630005,180.410004,181.050003,1343000,176.611069
"2021-11-05",181.990005,182.970001,179.869995,180.130005,1373300,175.713608
"2021-11-08",180.580002,181.100006,177.160004,179.970001,1525100,175.557541
"2021-11-09",180,181.589996,179.610001,180.850006,1719200,176.41597
"2021-11-10",180.850006,182.419998,179.520004,180.339996,1246600,175.918472
"2021-11-11",180.5,180.970001,178.610001,180.660004,1323700,176.230637
"2021-11-12",181.179993,181.520004,180.050003,180.779999,1080300,176.347687
"2021-11-15",180.669998,182.839996,179.720001,182.779999,1085700,178.298645
"2021-11-16",183.259995,184.259995,180,180.210007,1453800,175.791656
"2021-11-17",180.210007,185.639999,179.869995,184.699997,2011600,180.17157
"2021-11-18",184.740005,184.910004,181.25,183.330002,1285000,178.835159
"2021-11-19",184.649994,185.369995,182.759995,183.740005,1478500,179.235123
"2021-11-22",183.75,184.070007,180.529999,181.960007,1369100,177.498764
"2021-11-23",181.360001,184.259995,181.360001,183.669998,1188900,179.166824
"2021-11-24",184.039993,186.759995,182.380005,186.660004,1035600,182.083527
"2021-11-26",185.729996,187.839996,183.089996,183.5,807300,179.000992
"2021-11-29",183.5,187,181.800003,185.830002,1295100,181.27388
"2021-11-30",184.990005,186.369995,181.440002,181.649994,2658700,177.19635
"2021-12-01",182,186.070007,180.470001,180.559998,1410800,176.133072
"2021-12-02",181.850006,187.509995,181.529999,185.639999,1761000,181.088531
"2021-12-03",186.020004,186.729996,183.199997,184.860001,1232700,180.327652
"2021-12-06",185.539993,189.130005,184.820007,187.820007,2042000,183.215088
"2021-12-07",189.229996,192.5,188.809998,192.149994,1847900,187.438904
"2021-12-08",191.820007,193.779999,190.410004,191.550003,2298200,186.853638
"2021-12-09",191.100006,191.800003,188.830002,189.619995,1430600,184.970947
"2021-12-10",189.899994,193.529999,188.839996,193.210007,1642500,188.472946
"2021-12-13",193,199.259995,193,198.630005,1676900,193.76004
"2021-12-14",196.770004,196.990005,192.660004,194.899994,1629100,191.539001
"2021-12-15",196.009995,197.660004,194.669998,197,1291400,193.602798
"2021-12-16",197.240005,200.970001,196.710007,200.470001,1631200,197.01297
"2021-12-17",200.729996,204.149994,199.800003,201.339996,3381400,197.86795
"2021-12-20",199.580002,202.639999,198.610001,202.130005,1096500,198.644348
"2021-12-21",202.949997,203.830002,197.559998,198.580002,1439500,195.155548
"2021-12-22",199.289993,199.839996,198.130005,199.580002,1165100,196.138321
"2021-12-23",199.639999,200.649994,198.160004,199.389999,1211000,195.951584
"2021-12-27",200.570007,204.919998,199.729996,204.75,920600,201.219162
"2021-12-28",204.75,206.839996,204.050003,206.300003,1156000,202.742432
"2021-12-29",206.039993,207.729996,204.690002,207.300003,849500,203.725189
"2021-12-30",208,208.690002,206.710007,207.919998,735500,204.334488
"2021-12-31",208.300003,209.869995,207.539993,208.740005,739400,205.14035
"2022-01-03",209,209,203.779999,207.740005,1641800,204.157593
"2022-01-04",207.139999,208.25,201.899994,202.149994,1896600,198.663986
"2022-01-05",198.75,198.75,187.869995,188.460007,3577200,185.210068
"2022-01-06",189.520004,193.25,185.25,192.5,2592500,189.180405
