"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2020-11-09",113.949997,115.910004,109.730003,109.839996,804800,106.393547
"2020-11-10",109.93,110.760002,108.419998,109.349998,986500,105.91893
"2020-11-11",110.5,110.650002,108.199997,108.809998,513600,105.395874
"2020-11-12",107.860001,109.089996,106.330002,106.809998,501100,103.458626
"2020-11-13",107.510002,109.25,107.160004,108.599998,441300,105.192459
"2020-11-16",110.440002,113.040001,110.339996,111.989998,537700,108.476089
"2020-11-17",111.800003,116.059998,111.209999,115.690002,1227900,112.060013
"2020-11-18",116,116.790001,114.480003,115.269997,687800,111.653175
"2020-11-19",114.610001,115.580002,113.129997,115.32,367000,111.701607
"2020-11-20",115.43,115.43,113.370003,113.75,588600,110.18087
"2020-11-23",114.82,116.980003,114.809998,116.059998,394000,112.418388
"2020-11-24",117,119.269997,115.730003,118.239998,454500,114.529976
"2020-11-25",117.940002,118.300003,116.099998,116.68,489500,113.018936
"2020-11-27",117.059998,117.389999,114.900002,115.669998,238200,112.040634
"2020-11-30",115.699997,116.349998,114.150002,116.010002,865400,112.369957
"2020-12-01",117.480003,119.209999,116.550003,118.93,679400,115.198341
"2020-12-02",118.5,120.209999,117.660004,118.160004,706600,114.452507
"2020-12-03",119.010002,120.68,117.75,118.379997,621600,114.665596
"2020-12-04",118.650002,122.290001,118.540001,121.690002,608000,117.87175
"2020-12-07",121.110001,121.5,118.239998,118.830002,423300,115.101479
"2020-12-08",118.300003,119.82,118.07,119.779999,338400,116.021667
"2020-12-09",120.290001,120.949997,118.360001,118.93,598600,115.198341
"2020-12-10",118.300003,119.18,116.07,117.660004,646500,113.968193
"2020-12-11",116.849998,118.220001,115.940002,116.43,816800,112.776794
"2020-12-14",117.989998,118.360001,114.440002,114.519997,544900,110.926704
"2020-12-15",115.889999,116.110001,113.580002,114.989998,554900,111.381958
"2020-12-16",115.690002,115.779999,113.360001,114.370003,574500,110.781418
"2020-12-17",114.940002,115.940002,113.940002,115.620003,455300,111.992203
"2020-12-18",115.739998,116.550003,113.68,115.650002,1233400,112.021255
"2020-12-21",113.459999,115.830002,113.300003,115.32,461600,111.701607
"2020-12-22",115.25,115.760002,113.529999,113.669998,426700,110.103386
"2020-12-23",114.190002,115.330002,113.739998,113.839996,355800,110.268051
"2020-12-24",113.5,114.720001,113.5,114.43,176600,110.839539
"2020-12-28",115.209999,115.209999,112.550003,112.650002,355300,109.115387
"2020-12-29",113.580002,113.760002,111.480003,112.650002,403700,109.115387
"2020-12-30",112.519997,114.550003,112.519997,114.080002,348800,110.973381
"2020-12-31",114.260002,115.360001,113.400002,114.93,511000,111.800224
"2021-01-04",115.709999,116.349998,112.480003,113.120003,585800,110.039513
"2021-01-05",112.510002,117.309998,112.389999,116.010002,626600,112.850815
"2021-01-06",117.540001,121.900002,116.949997,120.089996,816100,116.819702
"2021-01-07",120.93,123.599998,119.75,121.879997,719500,118.560951
"2021-01-08",122.5,122.660004,119.349998,121.080002,581500,117.782745
"2021-01-11",119.720001,120.400002,118.379997,119.370003,569400,116.119316
"2021-01-12",119.160004,122.260002,118.720001,122.25,722500,118.920891
"2021-01-13",122.669998,123.660004,120.809998,121.919998,614700,118.599861
"2021-01-14",122.139999,122.919998,120.839996,121.720001,548900,118.405334
"2021-01-15",120.910004,120.910004,117.959999,120.050003,657300,116.7808
"2021-01-19",114.970001,117.620003,113.160004,116.57,1342300,113.395561
"2021-01-20",116.699997,116.699997,114.860001,115.470001,944900,112.325508
"2021-01-21",115.959999,117.360001,114.5,115,1047600,111.868324
"2021-01-22",114.120003,115.720001,113.470001,114.449997,811300,111.33329
"2021-01-25",113.440002,114.029999,109.599998,113.059998,761900,109.981148
"2021-01-26",114.209999,114.739998,110.169998,110.32,740600,107.315758
