"","STE.Open","STE.High","STE.Low","STE.Close","STE.Volume","STE.Adjusted"
"2020-08-13",159.529999,160.330002,158.619995,159.199997,243800,156.569351
"2020-08-14",158.149994,159.899994,158.050003,158.699997,245200,156.077591
"2020-08-17",158.699997,160.690002,157.660004,158.110001,253200,155.497345
"2020-08-18",158.710007,159.619995,155.880005,157.75,291700,155.143295
"2020-08-19",157.940002,157.940002,156.270004,156.960007,367200,154.366364
"2020-08-20",156.139999,156.970001,154.589996,154.660004,241800,152.10437
"2020-08-21",154.910004,155,152.389999,153.460007,362700,150.92421
"2020-08-24",153.839996,154.869995,151.869995,153.119995,302600,150.589798
"2020-08-25",154.300003,155.210007,153.75,154.589996,300600,152.035507
"2020-08-26",153.679993,154.610001,151.789993,154.270004,325500,152.11441
"2020-08-27",154.270004,157.710007,153.800003,156.929993,332200,154.737228
"2020-08-28",157.75,158.580002,155.630005,157.639999,251900,155.437317
"2020-08-31",157.839996,160.399994,157.600006,159.639999,395400,157.409363
"2020-09-01",158.850006,160.229996,157.699997,158.770004,371700,156.551514
"2020-09-02",160.25,164.160004,159.199997,163.550003,396400,161.264725
"2020-09-03",163.550003,163.550003,158.470001,160.479996,371200,158.23761
"2020-09-04",161.690002,162.149994,156.970001,157.919998,317400,155.713379
"2020-09-08",157.100006,159.589996,155.990005,159.020004,611900,156.798035
"2020-09-09",160.139999,163.740005,160.139999,163.020004,581300,160.742142
"2020-09-10",163.600006,165.320007,161.25,162.089996,604000,159.825134
"2020-09-11",162.899994,164.410004,161.619995,162.279999,552200,160.012466
"2020-09-14",163.669998,167.850006,163.580002,167.169998,446500,164.834152
"2020-09-15",167.169998,170.710007,166.970001,169.639999,636600,167.269623
"2020-09-16",170.630005,171.710007,169.360001,170.160004,584600,167.782364
"2020-09-17",169.169998,171.889999,168.020004,171.509995,464700,169.11351
"2020-09-18",171.929993,176.059998,171.25,175.910004,1054700,173.452026
"2020-09-21",173.949997,173.949997,168.550003,172.050003,744600,169.64595
"2020-09-22",171.789993,172.210007,166.5,169.589996,500600,167.220322
"2020-09-23",169.770004,170.440002,165.190002,165.669998,407100,163.355087
"2020-09-24",165.279999,168.440002,164.190002,167.259995,402700,164.922897
"2020-09-25",166.139999,170.669998,165.759995,170.210007,537800,167.83168
"2020-09-28",172.970001,175.369995,172.470001,172.960007,449000,170.543243
"2020-09-29",173.470001,174.729996,172.179993,172.820007,420900,170.405212
"2020-09-30",173,177.75,173,176.190002,537600,173.728104
"2020-10-01",177.110001,178.759995,173.220001,174.470001,476000,172.032135
"2020-10-02",172.039993,174.179993,171.350006,172.669998,491200,170.257294
"2020-10-05",173.429993,175.020004,173.190002,174.720001,426500,172.278641
"2020-10-06",176.190002,184.990005,176.029999,181.009995,693500,178.480759
"2020-10-07",182.679993,186.020004,181.380005,185.289993,473600,182.700943
"2020-10-08",187,187,185.919998,186.75,306100,184.140564
"2020-10-09",187.570007,189.350006,186.600006,188.449997,550400,185.816788
"2020-10-12",189.199997,192.970001,188.440002,191.820007,335000,189.139709
"2020-10-13",190.630005,191.190002,187.360001,187.679993,343600,185.057556
"2020-10-14",187.919998,190.820007,185.610001,186.580002,361200,183.972946
"2020-10-15",185.509995,188.419998,184.330002,187.330002,309100,184.712463
"2020-10-16",187.520004,190.570007,187.520004,188.880005,236000,186.240799
"2020-10-19",189.339996,191.520004,186.080002,186.429993,203900,183.825043
"2020-10-20",186.869995,189.25,185.860001,186.339996,181600,183.736282
"2020-10-21",186.229996,187.559998,185.660004,185.949997,181200,183.35173
"2020-10-22",186.589996,189.580002,186.119995,188.190002,216400,185.56044
"2020-10-23",189.270004,189.270004,185.860001,187.539993,176500,184.919495
"2020-10-26",185.809998,186.580002,183.779999,186.419998,238800,183.815155
"2020-10-27",186.830002,188.009995,184.839996,185.350006,268800,182.760117
