"","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume","DOV.Adjusted"
"2020-07-01",96.870003,97.110001,94.769997,95.599998,628800,92.9132
"2020-07-02",96.980003,99.080002,96.830002,97.419998,852600,94.682037
"2020-07-06",99.230003,99.760002,97.809998,98.529999,525300,95.760849
"2020-07-07",97.669998,98.150002,96.599998,96.830002,782800,94.108643
"2020-07-08",96.970001,97.43,95.849998,96.910004,645800,94.186378
"2020-07-09",97.029999,97.029999,94.199997,94.860001,538100,92.193985
"2020-07-10",95.139999,95.669998,94.360001,95.150002,491700,92.475838
"2020-07-13",96.459999,98.32,95.709999,96.510002,748400,93.797623
"2020-07-14",96.519997,98.730003,95.879997,98.639999,1140800,95.86776
"2020-07-15",100.449997,102.5,99.059998,102.18,999600,99.308273
"2020-07-16",101.720001,103.470001,101.290001,102.370003,673800,99.492935
"2020-07-17",103.919998,104.57,102.989998,103.580002,816600,100.668922
"2020-07-20",102.790001,103.970001,101.910004,102.540001,650200,99.658157
"2020-07-21",103.470001,104.470001,102.720001,103.489998,1012400,100.581444
"2020-07-22",104.550003,107.989998,104.040001,105.190002,1480500,102.233665
"2020-07-23",105.400002,106.839996,104.519997,105.75,712500,102.777931
"2020-07-24",105.82,106.18,105.059998,105.510002,1064500,102.54467
"2020-07-27",105.199997,106.43,104.82,106.25,642200,103.263878
"2020-07-28",105.650002,106.099998,104.589996,104.769997,662900,101.82547
"2020-07-29",105.379997,107.139999,105.190002,106.879997,634800,103.876167
"2020-07-30",105.480003,105.5,103.720001,104.540001,521900,101.601944
"2020-07-31",103.730003,104.059998,101.540001,102.93,1658300,100.037193
"2020-08-03",103.339996,104.389999,102.709999,103.139999,755300,100.24128
"2020-08-04",102.629997,103.650002,102.480003,103.330002,765700,100.425941
"2020-08-05",104.139999,105.470001,103.970001,104.75,651100,101.80603
"2020-08-06",104.559998,105.290001,104.050003,105.239998,459800,102.282265
"2020-08-07",105.379997,108.099998,105.379997,108.029999,883400,104.993866
"2020-08-10",108.360001,110.940002,108.360001,110.5,1042500,107.39444
"2020-08-11",111,113.32,111,112.360001,984200,109.202179
"2020-08-12",112.949997,113.220001,111.860001,112.57,652700,109.40625
"2020-08-13",111.809998,112.540001,111.18,112.099998,556800,108.949471
"2020-08-14",111.440002,112.610001,110.830002,111.519997,722700,108.385765
"2020-08-17",111.699997,112.43,110.860001,111.889999,686700,108.745369
"2020-08-18",111.919998,112.18,110.900002,111.050003,529800,107.92897
"2020-08-19",111.550003,112,110.339996,110.720001,368900,107.608246
"2020-08-20",109.370003,110.199997,108.980003,109.989998,652900,106.898766
"2020-08-21",110.089996,110.830002,108.830002,109.940002,644900,106.850174
"2020-08-24",110.330002,111.050003,109.879997,111.029999,617200,107.909546
"2020-08-25",111.489998,111.889999,110.43,111.230003,537500,108.10392
"2020-08-26",110.860001,111.959999,110.209999,111.480003,468900,108.346893
"2020-08-27",112.169998,112.449997,111.040001,111.519997,454600,108.385765
"2020-08-28",111.160004,111.669998,110.230003,111.379997,398500,108.732338
"2020-08-31",111,111.169998,109.410004,109.839996,699500,107.228928
"2020-09-01",109.330002,111.540001,108.860001,111.419998,493100,108.77137
"2020-09-02",111.650002,113.949997,110.839996,113.400002,651600,110.704308
"2020-09-03",113.089996,113.809998,108.57,109.75,575500,107.141068
"2020-09-04",111.239998,111.290001,108.589996,109.620003,603400,107.014168
"2020-09-08",108.790001,110.010002,107.550003,108.139999,740500,105.569351
"2020-09-09",109.18,112.57,108.860001,111.510002,797100,108.859238
"2020-09-10",111.519997,112.510002,110.809998,110.879997,1026300,108.244209
"2020-09-11",111.110001,113.379997,111.07,112.800003,562000,110.118576
"2020-09-14",113.800003,114.540001,112.910004,113.690002,716400,110.987419
"2020-09-15",114,114.830002,113.220001,113.980003,668100,111.270531
"2020-09-16",114.760002,116.370003,113.68,115.339996,558500,112.59819
"2020-09-17",113.940002,115.839996,112.910004,115.379997,694200,112.637238
"2020-09-18",115.360001,116.139999,112.099998,112.599998,1069500,109.923325
"2020-09-21",110.57,110.75,105.940002,107.449997,744900,104.895752
"2020-09-22",107.129997,107.760002,106.190002,107.559998,1008800,105.003136
"2020-09-23",107.669998,109.230003,106.650002,106.949997,1803500,104.407631
"2020-09-24",106.949997,108.900002,105.790001,107.139999,665100,104.593109
"2020-09-25",106.349998,109.110001,106.059998,108.5,630700,105.920784
"2020-09-28",110.419998,110.760002,108.639999,108.779999,762800,106.194138
"2020-09-29",108.839996,109.099998,107.610001,108.239998,504200,105.666962
"2020-09-30",108.860001,110.309998,107.260002,108.339996,894700,105.764595
"2020-10-01",109,109.610001,106.300003,107.139999,623100,104.593109
