"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2020-09-08",200.779999,202.25,199.210007,200.119995,14186900,197.898453
"2020-09-09",204.350006,206.289993,201.949997,204.059998,7532600,201.794708
"2020-09-10",204.860001,207,200.449997,201.539993,7243000,199.302673
"2020-09-11",201.580002,202.410004,198.910004,200.679993,7439000,198.452209
"2020-09-14",203.350006,206.410004,203.139999,204.979996,11730500,202.704468
"2020-09-15",206.75,208.210007,204.770004,205.389999,6328600,203.109924
"2020-09-16",206.740005,207.75,204.949997,205.130005,6135000,202.852844
"2020-09-17",202.850006,205.580002,202,205.270004,7474900,202.991272
"2020-09-18",205.470001,205.720001,201.720001,202.610001,9084100,200.360794
"2020-09-21",199.910004,201.25,194.699997,197.449997,9656000,195.258087
"2020-09-22",198.089996,200.710007,196.800003,200.559998,7543100,198.333542
"2020-09-23",200.800003,201.089996,194.570007,195.369995,6310600,193.201157
"2020-09-24",195.149994,197.669998,193.130005,195.520004,9865300,193.349503
"2020-09-25",195.020004,198.139999,193.509995,197.25,5496100,195.060303
"2020-09-28",200.630005,201.720001,199.830002,200.320007,5565300,198.096237
"2020-09-29",200.580002,202.380005,199.369995,199.440002,5513500,197.226013
"2020-09-30",200.850006,202.539993,198.889999,199.970001,9157600,197.750092
"2020-10-01",202.210007,205.199997,201.639999,203.350006,7234600,201.09259
"2020-10-02",200,202.830002,199.399994,201.460007,6019700,199.223572
"2020-10-05",202.710007,203.649994,201.050003,203.539993,6090500,201.280472
"2020-10-06",204.110001,205.100006,199.710007,200.449997,5841100,198.224762
"2020-10-07",202,202.789993,199.990005,202.470001,6713400,200.222366
"2020-10-08",204,204.300003,202.229996,202.979996,3955600,200.726685
"2020-10-09",204,207.080002,203.679993,206.639999,5562900,204.346054
"2020-10-12",206.940002,207.970001,205.729996,206.399994,6622700,204.108719
"2020-10-13",203.380005,205.210007,203.029999,204.320007,5621700,202.051834
"2020-10-14",204.710007,204.970001,201.130005,202.199997,5320000,199.955353
"2020-10-15",201.009995,204.699997,197.600006,199.550003,8885500,197.334763
"2020-10-16",199.990005,202.649994,199.410004,200.259995,6385900,198.036865
"2020-10-19",200.850006,201.070007,196.5,196.970001,7449600,194.783417
"2020-10-20",197.550003,199.660004,196.710007,197.699997,7427000,195.505295
"2020-10-21",197.830002,200.419998,197.830002,198.429993,6067200,196.227173
"2020-10-22",199.339996,199.770004,195.759995,197.990005,4908200,195.792114
"2020-10-23",199.75,199.880005,196.020004,198.009995,5877200,195.811859
"2020-10-26",196,196.419998,190.720001,193.070007,12608700,190.926727
"2020-10-27",193,193.699997,189.220001,190.059998,8690400,187.950119
"2020-10-28",183.979996,184.699997,179.339996,180.869995,17809500,178.862122
"2020-10-29",183,187,179.339996,184.869995,16820900,182.817719
