"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2021-10-26",68.279999,68.779999,67.57,68.470001,5532500,66.967049
"2021-10-27",67.75,67.860001,66.07,66.150002,6473900,64.697975
"2021-10-28",66.040001,67.239998,65.970001,66.669998,5548800,65.206558
"2021-10-29",66.779999,66.790001,65.489998,65.93,7668000,64.482811
"2021-11-01",66.470001,67.410004,66.43,67.260002,4761200,65.783607
"2021-11-02",67.010002,68.779999,64.07,64.639999,8026700,63.221115
"2021-11-03",64.239998,64.330002,63.169998,63.68,7830100,62.282196
"2021-11-04",64.440002,64.519997,62.32,63.57,9258900,62.174606
"2021-11-05",64.730003,66.050003,64.129997,65.809998,10113800,64.36544
"2021-11-08",66.440002,67.099998,65.629997,65.669998,5393800,64.228508
"2021-11-09",65.709999,67.269997,65.660004,67.129997,6152200,65.656456
"2021-11-10",66.559998,67.330002,65.279999,65.519997,6560900,64.081802
"2021-11-11",65.610001,66.790001,65.519997,66,5166800,64.551262
"2021-11-12",65.580002,66.230003,65.43,65.800003,4044700,64.355652
"2021-11-15",66.169998,67.099998,65.449997,66.120003,6236700,64.668633
"2021-11-16",65.709999,65.849998,64.510002,64.839996,5282000,63.977936
"2021-11-17",64.019997,65.099998,63.34,63.580002,5485000,62.734695
"2021-11-18",63.41,64.019997,62,62.700001,6910700,61.866394
"2021-11-19",61.360001,62.099998,60.18,60.279999,7816300,59.478565
"2021-11-22",60.200001,62.52,60.200001,61.689999,6274300,60.86982
"2021-11-23",62.419998,63.990002,62.259998,63.849998,6971000,63.001102
"2021-11-24",63.16,64.919998,63.119999,64.550003,5191700,63.691803
"2021-11-26",60.970001,62.029999,59.549999,61.349998,5847900,60.53434
"2021-11-29",62.98,64.190002,61.34,61.779999,6166500,60.958622
"2021-11-30",60.310001,61.330002,59.75,60.849998,14326200,60.040985
"2021-12-01",62.57,63.880001,60.84,60.91,6552400,60.100189
"2021-12-02",60.91,63.470001,60.560001,63.330002,6298500,62.488018
"2021-12-03",64.190002,64.239998,61.369999,61.669998,8031800,60.850082
"2021-12-06",62.799999,63.790001,61.630001,62.860001,5915300,62.024269
"2021-12-07",63.689999,65.410004,63.689999,64.230003,7347300,63.376053
"2021-12-08",64.410004,65.239998,63.869999,64.059998,5430400,63.208309
"2021-12-09",63.220001,63.779999,62.990002,63.34,5373800,62.497887
"2021-12-10",63.970001,64.129997,62.759998,63.689999,4714300,62.843227
"2021-12-13",62.93,63.290001,61.720001,61.810001,5416800,60.988224
"2021-12-14",61.48,63.509998,61.130001,62.450001,5700600,61.619717
"2021-12-15",62.259998,62.919998,61.080002,62.48,5561900,61.649315
"2021-12-16",63.279999,64.18,62.689999,62.77,6067800,61.935459
"2021-12-17",62.580002,63.23,61.310001,62.450001,13803000,61.619717
"2021-12-20",60.950001,61.459999,59.959999,60.91,7136700,60.100189
"2021-12-21",61.650002,63.73,61.599998,63.419998,5679200,62.576817
"2021-12-22",63.5,64.059998,62.970001,63.099998,5168400,62.261074
"2021-12-23",63.75,64.529999,63.02,63.040001,4658300,62.201874
"2021-12-27",62.59,64.089996,62.169998,64.080002,4334900,63.228046
"2021-12-28",64.400002,65.169998,64.239998,64.370003,4774700,63.514191
"2021-12-29",64.199997,64.620003,63.700001,63.950001,5253600,63.099773
"2021-12-30",64.050003,64.669998,63.389999,63.43,4049900,62.586689
"2021-12-31",63.290001,64.330002,63.290001,63.990002,3546400,63.139244
"2022-01-03",64.440002,66.25,64.269997,65.660004,5855800,64.787041
"2022-01-04",66.300003,67.989998,66.050003,67.809998,8469200,66.908455
"2022-01-05",68.980003,69.940002,68.089996,68.239998,8747200,67.332733
"2022-01-06",69.779999,70.379997,68.82,70.150002,7923800,69.217346
"2022-01-07",70.099998,71.010002,69.82,70.93,6443500,69.986977
"2022-01-10",70.949997,71.410004,69.860001,70.449997,5922700,69.513351
"2022-01-11",71.32,72.800003,70.610001,72.690002,6883000,71.723572
