"","A.Open","A.High","A.Low","A.Close","A.Volume","A.Adjusted"
"2020-07-01",88.889999,88.889999,87.300003,88.110001,1137000,87.04393
"2020-07-02",88.830002,89.489998,88.550003,88.68,1507700,87.607033
"2020-07-06",89.019997,90.639999,89.019997,89.309998,1412200,88.229401
"2020-07-07",88.839996,90.040001,88.669998,89.209999,1441700,88.130623
"2020-07-08",89.519997,90.330002,89.129997,89.540001,1069600,88.456619
"2020-07-09",89.650002,90.400002,88.559998,89.919998,1133800,88.832024
"2020-07-10",89.849998,89.870003,88.57,89.419998,938100,88.338074
"2020-07-13",89.970001,91.239998,88.650002,89.260002,1646200,88.180008
"2020-07-14",88.830002,90.790001,88.07,90.690002,1361200,89.592705
"2020-07-15",91.739998,93.059998,91.080002,92.879997,1897100,91.756195
"2020-07-16",92.980003,93.209999,92.059998,92.860001,1226400,91.73645
"2020-07-17",93.410004,94.510002,92.690002,94.370003,3457700,93.228172
"2020-07-20",94.910004,96.220001,94.760002,95.209999,1236800,94.058022
"2020-07-21",95.57,96.449997,95.160004,96.019997,2169100,94.858208
"2020-07-22",96.360001,96.879997,95.809998,96.349998,1313200,95.184219
"2020-07-23",96.589996,98.089996,96.32,96.660004,1386300,95.490471
"2020-07-24",95.980003,96.220001,93.870003,94.809998,1142800,93.662849
"2020-07-27",94.959999,97.540001,94.900002,97.269997,1177100,96.093094
"2020-07-28",96.980003,97.25,95.199997,95.300003,1373700,94.146927
"2020-07-29",95.809998,97.660004,95.519997,97.099998,1125300,95.92514
"2020-07-30",96.120003,96.360001,94.970001,95.93,1663300,94.76931
"2020-07-31",95.940002,96.410004,94.730003,96.330002,1551800,95.164467
"2020-08-03",96.940002,99.360001,96.940002,99.089996,1994300,97.891068
"2020-08-04",98.709999,98.989998,96.889999,97.529999,779200,96.349945
"2020-08-05",98.089996,98.830002,97.699997,97.889999,955900,96.705589
"2020-08-06",97.720001,98.25,95.809998,97.449997,1075300,96.270912
"2020-08-07",97.07,97.839996,96.870003,97.779999,897900,96.596916
"2020-08-10",97.839996,97.959999,96.949997,97.139999,900800,95.964668
"2020-08-11",97.220001,97.629997,96.199997,96.300003,1137000,95.134842
"2020-08-12",96.660004,98.279999,96.519997,97.629997,1318100,96.448746
"2020-08-13",97.550003,99.120003,97.18,98.769997,1190800,97.574951
"2020-08-14",98.449997,98.830002,96.900002,97.370003,957400,96.191887
"2020-08-17",97.669998,98.68,97.089996,97.510002,1989300,96.330193
"2020-08-18",97.709999,98.709999,97.110001,97.860001,2008700,96.675949
"2020-08-19",95.230003,99.400002,94.529999,97.959999,2830800,96.774742
"2020-08-20",97.389999,98.169998,97.120003,97.779999,1428300,96.596916
"2020-08-21",97.870003,98.32,97.269997,98.300003,1269300,97.110634
"2020-08-24",98.779999,99.209999,97.139999,97.599998,1154500,96.419098
"2020-08-25",97.870003,98.660004,97.559998,98.339996,1061300,97.150139
"2020-08-26",98.18,99.730003,98.050003,99.330002,1072300,98.128166
"2020-08-27",99.190002,99.660004,97.559998,99.019997,1236900,97.821907
"2020-08-28",99,99.93,98.540001,99.900002,866000,98.691277
"2020-08-31",99.900002,101.040001,99.75,100.419998,1076900,99.204971
"2020-09-01",100.919998,101.290001,100.25,101.120003,1159700,99.896515
"2020-09-02",101,103.660004,100.459999,103.419998,1462500,102.168686
"2020-09-03",103.089996,103.209999,99.040001,99.639999,1992800,98.43441
"2020-09-04",100.07,100.110001,95.660004,96.839996,1753900,95.668297
"2020-09-08",96.110001,96.470001,94.760002,95.139999,1225600,93.988869
"2020-09-09",96.099998,98.470001,95.860001,97.93,954400,96.745102
"2020-09-10",98.879997,100.099998,98.239998,98.57,1933200,97.377365
"2020-09-11",98.709999,99.620003,98.019997,98.599998,1368600,97.406998
"2020-09-14",99.730003,100.230003,98.970001,99.419998,1207700,98.217072
"2020-09-15",99.720001,101,99.720001,100.370003,1053800,99.155586
"2020-09-16",101.230003,101.529999,98.080002,99.919998,1365000,98.711029
"2020-09-17",99.25,100.459999,98.580002,99.599998,1246400,98.394897
"2020-09-18",99.139999,100.589996,98.459999,99.379997,2162400,98.177559
"2020-09-21",98.18,98.559998,96.5,98.129997,927900,96.94268
"2020-09-22",97.839996,98.980003,97.489998,98.620003,845800,97.426765
"2020-09-23",98.599998,98.910004,96.57,96.910004,1148700,95.737457
"2020-09-24",96.57,96.970001,95.440002,96.339996,1157600,95.174339
"2020-09-25",95.959999,98.139999,95.769997,97.690002,1028600,96.508003
"2020-09-28",98.639999,99.730003,98.120003,99.510002,1336600,98.306
"2020-09-29",99.790001,101.330002,99.589996,100.220001,722400,99.007401
"2020-09-30",100.540001,101.889999,100.309998,100.940002,1362200,99.718697
"2020-10-01",101.769997,102.410004,100.540001,101.220001,723600,99.9953
"2020-10-02",100.209999,101.279999,99.809998,100.010002,712200,98.799942
"2020-10-05",100.989998,103.459999,100.959999,103.120003,803900,102.056
"2020-10-06",103.120003,103.330002,101.480003,101.629997,1078000,100.58136
"2020-10-07",102.470001,104.75,102.419998,103.879997,1322100,102.808151
"2020-10-08",104.199997,104.389999,103.129997,104.160004,765300,103.085266
"2020-10-09",104.830002,106.099998,104.550003,105.760002,709000,104.668762
"2020-10-12",106.449997,107,105.32,105.43,1003700,104.342171
"2020-10-13",105.440002,106.010002,104.959999,105.419998,915500,104.332268
"2020-10-14",105.489998,106.669998,104.919998,105.059998,906700,103.975975
"2020-10-15",104.099998,105.720001,103.879997,105.32,723000,104.233299
"2020-10-16",105.949997,107.540001,105.709999,106.699997,1039400,105.599052
"2020-10-19",106.779999,107.620003,105.239998,105.489998,636000,104.401535
"2020-10-20",105.889999,106.940002,105.559998,105.610001,771000,104.520309
"2020-10-21",105.919998,106.690002,104.120003,104.830002,894000,103.748352
"2020-10-22",105.32,107.089996,105.110001,106.769997,1064700,105.668327
"2020-10-23",107.230003,107.379997,105.470001,106.169998,833900,105.074516
"2020-10-26",105.389999,105.82,103.75,104.629997,1102000,103.550415
"2020-10-27",105.110001,106.660004,105.110001,106.040001,1111400,104.945869
"2020-10-28",104.419998,105.370003,101.580002,101.660004,1180800,100.611061
"2020-10-29",102.269997,103.059998,100.769997,102.019997,1421900,100.967346
"2020-10-30",101.769997,102.349998,100.650002,102.089996,2310000,101.036629
"2020-11-02",103.519997,105.349998,103.290001,105.239998,1572300,104.154121
"2020-11-03",106.43,108.110001,106.139999,107.029999,1175000,105.925652
"2020-11-04",108.07,109.800003,107.239998,108.489998,1357300,107.370583
"2020-11-05",110.57,111.93,109.669998,110.339996,1143100,109.2015
"2020-11-06",110.760002,113.349998,110.330002,112.540001,1036600,111.378807
"2020-11-09",116.160004,117.5,112.389999,112.5,2177900,111.339203
