"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume","AZO.Adjusted"
"2021-04-21",1500.969971,1515.869995,1483.550049,1486.890015,199900,1486.890015
"2021-04-22",1488.609985,1490.72998,1465.099976,1478.869995,181600,1478.869995
"2021-04-23",1487.02002,1487.02002,1451.77002,1471.349976,178200,1471.349976
"2021-04-26",1466.52002,1467,1443.180054,1443.880005,169800,1443.880005
"2021-04-27",1451.329956,1462.160034,1441.699951,1455.790039,188300,1455.790039
"2021-04-28",1464.25,1478.849976,1453.140015,1460,171700,1460
"2021-04-29",1468.27002,1478.560059,1452.069946,1474.959961,190300,1474.959961
"2021-04-30",1472.449951,1477.810059,1463.339966,1464.119995,201500,1464.119995
"2021-05-03",1475.599976,1488.23999,1467.459961,1475.829956,141000,1475.829956
"2021-05-04",1479.859985,1488.48999,1469.859985,1477,210200,1477
"2021-05-05",1481.01001,1481.97998,1454.449951,1472.109985,170100,1472.109985
"2021-05-06",1478,1493.01001,1474.839966,1488.849976,180000,1488.849976
"2021-05-07",1491.469971,1510.079956,1480.26001,1507.199951,161800,1507.199951
"2021-05-10",1513.170044,1542.300049,1507.280029,1519.619995,187100,1519.619995
"2021-05-11",1513.890015,1516.109985,1478.680054,1495.130005,193200,1495.130005
"2021-05-12",1505.25,1519.76001,1488.880005,1495.880005,267800,1495.880005
"2021-05-13",1495.189941,1541.26001,1495.189941,1533.76001,180900,1533.76001
"2021-05-14",1538.089966,1539.449951,1501.699951,1527.579956,139000,1527.579956
"2021-05-17",1529.410034,1540.27002,1523.339966,1531.890015,138600,1531.890015
"2021-05-18",1532.089966,1538.949951,1509.300049,1510.869995,160000,1510.869995
"2021-05-19",1500.290039,1502.47998,1458.619995,1466.819946,220900,1466.819946
"2021-05-20",1466.800049,1488.640015,1466.619995,1471.77002,139900,1471.77002
"2021-05-21",1475.01001,1487.170044,1452.75,1460.26001,283100,1460.26001
"2021-05-24",1461.030029,1472.160034,1442.23999,1448.400024,251200,1448.400024
"2021-05-25",1453.599976,1455,1411.22998,1420.560059,432600,1420.560059
"2021-05-26",1415.609985,1419.02002,1388.849976,1410,287200,1410
"2021-05-27",1420.640015,1425.52002,1406.060059,1411.219971,237100,1411.219971
"2021-05-28",1408,1422.47998,1405.530029,1406.599976,175300,1406.599976
"2021-06-01",1414.810059,1415.719971,1398.02002,1410.849976,198000,1410.849976
"2021-06-02",1419.609985,1419.609985,1400,1404.670044,160800,1404.670044
"2021-06-03",1391.910034,1401.209961,1388.900024,1392.199951,174600,1392.199951
"2021-06-04",1397.040039,1397.040039,1367.959961,1387.209961,192700,1387.209961
"2021-06-07",1381.380005,1394.920044,1373.47998,1384.650024,215200,1384.650024
"2021-06-08",1384.349976,1399.930054,1375.060059,1393.130005,173000,1393.130005
"2021-06-09",1393.189941,1394.800049,1381.469971,1386.849976,134100,1386.849976
"2021-06-10",1390.23999,1392.540039,1371.140015,1374.530029,209700,1374.530029
"2021-06-11",1378.819946,1395.660034,1376.22998,1394.609985,157300,1394.609985
"2021-06-14",1394.77002,1399.060059,1374.530029,1385.98999,175000,1385.98999
"2021-06-15",1390.140015,1404.219971,1377.030029,1403.040039,191500,1403.040039
"2021-06-16",1398.26001,1402.599976,1383.969971,1390.469971,156600,1390.469971
"2021-06-17",1397.469971,1397.469971,1374.130005,1390.900024,171300,1390.900024
"2021-06-18",1376.77002,1398.22998,1376.77002,1386.280029,329600,1386.280029
"2021-06-21",1400,1419.589966,1399.609985,1415.599976,160200,1415.599976
"2021-06-22",1418.599976,1440.060059,1411.400024,1434.5,169100,1434.5
"2021-06-23",1436.540039,1449.949951,1418.26001,1443.030029,174300,1443.030029
"2021-06-24",1447.199951,1459.550049,1441.839966,1454.550049,178900,1454.550049
"2021-06-25",1454.869995,1486.209961,1454.560059,1479.27002,439100,1479.27002
"2021-06-28",1479.209961,1498.439941,1472.310059,1496.160034,181800,1496.160034
"2021-06-29",1500,1503.300049,1486.969971,1491.699951,151000,1491.699951
"2021-06-30",1496,1504.369995,1488.040039,1492.219971,154900,1492.219971
"2021-07-01",1497.650024,1528.780029,1494.969971,1525.72998,182700,1525.72998
"2021-07-02",1525.810059,1551.48999,1525.810059,1549.449951,144500,1549.449951
"2021-07-06",1546.849976,1554.900024,1535.819946,1542.25,193000,1542.25
"2021-07-07",1536.359985,1552.599976,1535.209961,1549.290039,156000,1549.290039
"2021-07-08",1534.079956,1546.550049,1524.449951,1537.47998,132100,1537.47998
"2021-07-09",1556.140015,1566.160034,1545.300049,1564.530029,177500,1564.530029
"2021-07-12",1563.26001,1585.310059,1556.599976,1577.550049,163200,1577.550049
"2021-07-13",1573.040039,1579.449951,1552.439941,1557.359985,156300,1557.359985
"2021-07-14",1558.339966,1582.410034,1554.97998,1579.969971,122700,1579.969971
"2021-07-15",1574.150024,1599.810059,1573.130005,1597.079956,165000,1597.079956
"2021-07-16",1600,1612.329956,1593.48999,1605.300049,141900,1605.300049
"2021-07-19",1606.040039,1612,1571.47998,1584.569946,181800,1584.569946
"2021-07-20",1587.76001,1611.550049,1587.76001,1601.75,167700,1601.75
"2021-07-21",1602.959961,1608.97998,1579.380005,1591.25,142100,1591.25
"2021-07-22",1591.839966,1600,1580.910034,1593.900024,148000,1593.900024
"2021-07-23",1598,1632.810059,1591.430054,1632.130005,118800,1632.130005
"2021-07-26",1629.880005,1633.800049,1614.969971,1622.160034,149000,1622.160034
"2021-07-27",1615.02002,1628.209961,1600.849976,1624.949951,130800,1624.949951
"2021-07-28",1629.47998,1631.209961,1606.969971,1608.599976,110300,1608.599976
"2021-07-29",1615.680054,1633.51001,1594.050049,1625.910034,142300,1625.910034
"2021-07-30",1623.869995,1631,1614.01001,1623.569946,132200,1623.569946
"2021-08-02",1633.439941,1638.310059,1609.550049,1634.01001,150300,1634.01001
