"","TECH.Open","TECH.High","TECH.Low","TECH.Close","TECH.Volume","TECH.Adjusted"
"2020-11-16",302.549988,303.339996,294.809998,302.859985,106700,301.461823
"2020-11-17",301.820007,308.299988,299.25,307.730011,159200,306.309357
"2020-11-18",308.5,308.5,300.209991,300.950012,311000,299.560638
"2020-11-19",300.769989,305.730011,298.519989,302.26001,150900,300.864594
"2020-11-20",301.570007,306.519989,297.98999,304.899994,158300,303.492432
"2020-11-23",305.559998,305.559998,300.540009,303.73999,134000,302.337708
"2020-11-24",305.940002,305.940002,299.070007,302.820007,137400,301.421997
"2020-11-25",305.600006,309.25,300.290009,301.75,169900,300.356934
"2020-11-27",302.480011,304.290009,296,297.649994,70800,296.275818
"2020-11-30",299.880005,303.380005,298.290009,303.309998,199000,301.909729
"2020-12-01",305.959991,308.98999,304.160004,304.940002,207800,303.532196
"2020-12-02",307.859985,307.859985,296.649994,298.329987,126700,296.952728
"2020-12-03",298.160004,300.320007,296.839996,298.950012,123000,297.569885
"2020-12-04",302.25,306.859985,300.630005,306.579987,113500,305.164612
"2020-12-07",307.679993,311.619995,306.160004,307.929993,79400,306.508423
"2020-12-08",309.170013,312.890015,306.709991,308.850006,134200,307.424164
"2020-12-09",309.839996,309.839996,299.980011,301.640015,109900,300.247406
"2020-12-10",300.820007,305.910004,297.899994,305.200012,1e+05,303.791046
"2020-12-11",305.73999,309.570007,301.700012,304.959991,73400,303.552124
"2020-12-14",305.290009,313.850006,302.369995,306.450012,183900,305.035278
"2020-12-15",308.290009,310.700012,304.130005,308.170013,119700,306.747284
"2020-12-16",308.100006,308.910004,301.679993,303.019989,178000,301.621063
"2020-12-17",305.190002,310.140015,303.130005,309.76001,184000,308.330017
"2020-12-18",309.26001,320.670013,307.869995,320.23999,906700,318.761597
"2020-12-21",317.450012,323.040009,308.660004,321.869995,195500,320.384033
"2020-12-22",323.309998,324.380005,318.649994,320.559998,120300,319.080109
"2020-12-23",322.950012,323.600006,319.380005,320.059998,119200,318.582397
"2020-12-24",320.940002,323.119995,318.869995,321.619995,29900,320.135223
"2020-12-28",324.350006,326.440002,314.529999,315.790009,99300,314.332123
"2020-12-29",317.899994,318.359985,311.390015,314.910004,76300,313.456177
"2020-12-30",317.440002,319.519989,316.089996,316.98999,80000,315.52655
"2020-12-31",317.480011,319.519989,314.609985,317.549988,76800,316.083984
"2021-01-04",316.660004,319.380005,310.619995,314.619995,130800,313.167572
"2021-01-05",314.890015,320.779999,311.410004,317,152400,315.53653
"2021-01-06",315.679993,332.75,315.679993,330.910004,288300,329.382355
"2021-01-07",331.309998,339.119995,331.309998,335.850006,113200,334.29953
"2021-01-08",337.410004,342.980011,326.769989,329.519989,186000,327.998718
"2021-01-11",327.26001,335.690002,325.23999,334.820007,95200,333.274261
"2021-01-12",334.459991,339.440002,332.309998,334.01001,81400,332.468018
"2021-01-13",335.920013,339.350006,328.769989,330.579987,152300,329.053802
"2021-01-14",332.290009,343.700012,332.290009,337.200012,186200,335.64328
"2021-01-15",340.920013,349.459991,337.200012,347.709991,307200,346.104767
"2021-01-19",350.75,354.320007,344.850006,351.779999,217900,350.155975
"2021-01-20",354.320007,361.470001,352.429993,356.670013,200500,355.023407
"2021-01-21",358.410004,358.410004,350.649994,355.679993,148100,354.037964
"2021-01-22",356.130005,358.179993,353.279999,356.589996,114100,354.943756
"2021-01-25",358.899994,361.170013,350.890015,352.440002,130400,350.812927
"2021-01-26",354.200012,356.640015,339.850006,340.339996,97900,338.768738
"2021-01-27",336.369995,336.600006,317.690002,318.429993,194400,316.9599
"2021-01-28",321.160004,324.720001,311.029999,322.519989,294800,321.031036
"2021-01-29",324.450012,329.470001,322,324.910004,217900,323.410034
"2021-02-01",330.179993,341.790009,328.200012,340.070007,185800,338.500031
"2021-02-02",357.950012,399.829987,357.950012,376.76001,521600,375.02063
"2021-02-03",379.040009,379.040009,360.959991,368.410004,230000,366.709198
"2021-02-04",370,384.959991,368.929993,382.730011,198800,380.963104
"2021-02-05",387.089996,388.559998,377.100006,380.670013,201200,378.912628
"2021-02-08",385,391.380005,382.190002,390.570007,368800,388.766876
"2021-02-09",392.880005,396,385.299988,389.950012,144000,388.14978
"2021-02-10",392.910004,395.429993,385.51001,390.299988,120900,388.498138
"2021-02-11",391.399994,396.299988,387,395.019989,152800,393.518951
"2021-02-12",396.23999,405.529999,394.649994,398.859985,173200,397.344391
"2021-02-16",401.940002,414.98999,401.279999,411,310600,409.438232
"2021-02-17",407,410.230011,404.170013,407.26001,224500,405.712494
"2021-02-18",407.019989,407.019989,395.329987,397.079987,137600,395.571106
"2021-02-19",398.23999,401.369995,388.26001,389.549988,207100,388.069733
"2021-02-22",388.01001,389,375.790009,377,191600,375.567474
"2021-02-23",379.899994,379.899994,369.429993,376.859985,214300,375.427979
"2021-02-24",375.790009,379.859985,372.26001,374.690002,137200,373.266235
"2021-02-25",375,377.959991,364.910004,365.059998,123100,363.672821
"2021-02-26",367.339996,368.450012,358.980011,361.690002,245700,360.315643
"2021-03-01",368.959991,373.799988,366.01001,372.440002,235500,371.024811
"2021-03-02",376.25,377.130005,370.420013,375.440002,207500,374.013397
"2021-03-03",372.149994,372.320007,361.100006,361.23999,162600,359.86734
"2021-03-04",361.649994,369.730011,346.450012,347.899994,172800,346.578033
"2021-03-05",345.279999,358.790009,338.790009,356.209991,140300,354.856476
"2021-03-08",358.589996,362.820007,344.880005,344.880005,161800,343.569519
"2021-03-09",351.98999,366.040009,345.859985,364.109985,235400,362.72641
"2021-03-10",366.390015,373.200012,360.109985,363.76001,245700,362.377777
"2021-03-11",368.380005,389,366.950012,388.01001,318600,386.535583
"2021-03-12",380.899994,385.380005,370.570007,385.119995,329300,383.656616
"2021-03-15",385.769989,403.380005,385.769989,397.01001,209600,395.501404
"2021-03-16",398.459991,404.809998,384.910004,388.369995,172900,386.894257
"2021-03-17",385.329987,393.029999,377.73999,381.820007,160300,380.369141
"2021-03-18",379.179993,387.859985,372.73999,373.98999,145400,372.568878
"2021-03-19",376.940002,395.209991,370.429993,375.23999,393200,373.814148
"2021-03-22",376.880005,386.959991,376.130005,385.380005,111400,383.915588
"2021-03-23",382.910004,382.910004,373.140015,376.470001,133300,375.03949
"2021-03-24",377.679993,381.799988,368.040009,369.459991,112600,368.056091
"2021-03-25",365.970001,378.700012,357.190002,377.220001,202600,375.786621
"2021-03-26",377.769989,390.109985,372.589996,388.23999,207900,386.76474
"2021-03-29",384.26001,384.26001,359.420013,366.98999,277100,365.595459
"2021-03-30",365.149994,375.529999,364.190002,373.470001,219100,372.050873
"2021-03-31",377.970001,386.369995,377.970001,381.929993,344900,380.478699
"2021-04-01",385.040009,390.540009,382.079987,388.5,214800,387.023773
"2021-04-05",392.579987,396.920013,389.880005,396.790009,98200,395.282227
"2021-04-06",398.269989,404.579987,398.269989,399.059998,231500,397.54361
"2021-04-07",395.100006,401.660004,391.48999,396.98999,154700,395.481476
"2021-04-08",401.519989,407.950012,396.570007,405.140015,230900,403.600555
"2021-04-09",406.200012,411.410004,402.679993,408.720001,182600,407.166962
"2021-04-12",407.049988,407.049988,399.059998,403.049988,223900,401.518463
"2021-04-13",404.570007,420.299988,402.720001,419.450012,284300,417.85614
