"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2020-10-14",167.889999,168.929993,166.410004,166.699997,1146500,157.097977
"2020-10-15",164.929993,167.259995,164.449997,167.089996,1339700,157.46553
"2020-10-16",167.580002,169.5,165.690002,167.990005,1006400,158.313705
"2020-10-19",168.800003,168.800003,163.259995,163.339996,1284700,153.931534
"2020-10-20",163.899994,165.009995,162.899994,163.119995,1956300,153.724197
"2020-10-21",163.160004,164.869995,162.229996,164.589996,2142100,155.109528
"2020-10-22",164.979996,165.070007,162.869995,163.479996,1440600,154.063446
"2020-10-23",164.690002,165.179993,162.259995,163.860001,1061800,154.4216
"2020-10-26",162.130005,163.059998,157.899994,160.160004,1342100,150.934723
"2020-10-27",160.240005,161.440002,159.350006,159.470001,1565800,150.284439
"2020-10-28",155.179993,156,147.529999,149.559998,3241800,140.945267
"2020-10-29",149.240005,152.580002,146.889999,149.990005,2348100,141.35051
"2020-10-30",149.149994,150.869995,147.800003,150.720001,1947900,142.038452
"2020-11-02",153,154.779999,150.839996,152.279999,2100700,143.508606
"2020-11-03",154.809998,156.210007,153.220001,153.479996,1770500,144.639481
"2020-11-04",154.369995,156.279999,150.320007,150.5,2486000,141.831131
"2020-11-05",152.050003,152.610001,150,150.449997,2023500,141.783997
"2020-11-06",151.809998,151.830002,149.300003,150.589996,1566100,141.915939
"2020-11-09",160.839996,166.389999,160.240005,162.410004,4198000,153.055115
"2020-11-10",162.029999,168.869995,161.110001,168.710007,3366000,158.992203
"2020-11-11",169.369995,170.270004,165.169998,165.809998,1952100,156.259277
"2020-11-12",164.350006,165.199997,159.460007,161.009995,1500100,151.735733
"2020-11-13",161.949997,167.080002,161.710007,165.960007,1548700,156.40062
"2020-11-16",168.529999,169.339996,166.119995,168.770004,1660300,159.048767
"2020-11-17",166.639999,168.479996,165.449997,168.070007,1372400,158.389084
"2020-11-18",168.350006,169.649994,165.649994,165.779999,1225400,156.231003
"2020-11-19",165.320007,166.679993,163.520004,165.929993,972800,156.37236
"2020-11-20",166.449997,168.339996,164.979996,167.470001,1282800,157.823654
"2020-11-23",168.720001,171.029999,167.720001,168.779999,1752600,159.058197
"2020-11-24",170.259995,174.139999,169.910004,173.179993,2072800,163.204758
"2020-11-25",173.179993,174.899994,170.679993,174.789993,1827900,164.722015
"2020-11-27",174.539993,176.130005,173.690002,174.770004,921000,164.703171
"2020-11-30",173.550003,175.139999,172.949997,175.029999,1925500,164.948181
"2020-12-01",177.029999,180.330002,175.910004,179.160004,2626800,168.840286
"2020-12-02",178.919998,182.949997,178.880005,181.880005,1673800,171.403641
"2020-12-03",181.330002,182.860001,179.369995,181.710007,1449800,171.243393
"2020-12-04",182.339996,185.110001,181.720001,184.029999,1323200,173.429794
"2020-12-07",180.529999,183.660004,180.089996,183.179993,1211000,172.628723
"2020-12-08",182.110001,184.289993,179.470001,183.380005,1545700,172.81723
"2020-12-09",184.300003,184.5,180.940002,182.380005,1407000,172.675201
"2020-12-10",181.440002,183.770004,181.169998,182.479996,1831100,172.769882
