"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2020-10-12",72.959999,75.220001,72.620003,73.639999,992600,71.319832
"2020-10-13",73.209999,74.099998,71.32,72.25,948100,69.973625
"2020-10-14",72.260002,73.879997,72.059998,72.970001,1135200,70.670944
"2020-10-15",71.849998,75.760002,71.129997,75.75,1179300,73.363358
"2020-10-16",76,76.190002,74.730003,74.790001,919600,72.433601
"2020-10-19",74.989998,75.989998,74.089996,74.360001,758700,72.017151
"2020-10-20",75.199997,76.099998,73.370003,73.510002,792600,71.193932
"2020-10-21",73.239998,75.199997,72.650002,75.010002,755900,72.646667
"2020-10-22",75.43,77.480003,75.07,77.110001,1070900,74.680496
"2020-10-23",77.260002,78.010002,76.660004,77.389999,1492700,74.951668
"2020-10-26",76.629997,77.470001,75.059998,76.800003,1216000,74.380272
"2020-10-27",76.040001,77.339996,74.089996,74.470001,1185700,72.123688
"2020-10-28",72.949997,75.099998,72.160004,74.300003,1929100,71.959038
"2020-10-29",73.980003,73.980003,67.5,70.580002,3743200,68.356239
"2020-10-30",70.18,70.339996,65.199997,66.849998,2946800,64.743759
"2020-11-02",67.43,69.339996,66.699997,67.43,1581500,65.305489
"2020-11-03",68.25,70.25,67.980003,69.120003,1274300,66.942245
"2020-11-04",70.43,71.43,67.830002,68.709999,1260900,66.545158
"2020-11-05",68.93,70.239998,68.349998,69.93,897600,67.726715
"2020-11-06",69.690002,70.900002,67.410004,68.230003,1309900,66.080276
"2020-11-09",77.050003,83.389999,75.5,81.739998,3794600,79.164619
"2020-11-10",81.010002,83.459999,80.620003,81.349998,1922000,78.786911
"2020-11-11",80.959999,81.260002,75.540001,76.209999,1589000,73.808861
"2020-11-12",75.230003,76.199997,73.129997,74.269997,1356700,71.929977
"2020-11-13",74.860001,77.809998,74.650002,77.610001,1779900,75.164749
"2020-11-16",81,81,77.489998,79.339996,1932200,76.84024
"2020-11-17",78.470001,84.370003,78.150002,84.099998,2184000,81.450264
"2020-11-18",84.309998,85.120003,81.739998,81.739998,1414900,79.164619
"2020-11-19",81.010002,82.309998,79.900002,80.589996,1238200,78.05085
"2020-11-20",80.410004,80.650002,78,78.220001,1288400,75.755531
"2020-11-23",79.129997,83.589996,78.440002,83.339996,1947200,80.714218
"2020-11-24",86,89.940002,85.540001,89.029999,2256400,86.224945
"2020-11-25",87.82,88.57,85.209999,88.029999,1347300,85.256447
"2020-11-27",88.120003,88.480003,86.459999,87.980003,932500,85.208015
"2020-11-30",87.230003,87.760002,85.139999,85.75,5634300,83.048286
"2020-12-01",87.769997,89.690002,87.169998,88.620003,1826300,85.827858
"2020-12-02",87.379997,88.970001,85.809998,88.919998,1526700,86.118408
"2020-12-03",89.07,98.279999,89.07,96.660004,3244600,93.61454
"2020-12-04",97.870003,98,95.18,96.209999,1573800,93.178719
"2020-12-07",95.550003,95.989998,93.800003,95.489998,1310800,92.4814
"2020-12-08",94.889999,97.699997,94.440002,97.150002,1031600,94.089104
"2020-12-09",98.519997,101.949997,97.980003,100.830002,1855500,97.65316
"2020-12-10",103.650002,105.650002,101.639999,103.849998,2084800,100.578011
"2020-12-11",105.910004,105.910004,100.730003,101.339996,1860200,98.147087
"2020-12-14",103.290001,104.760002,98.739998,98.900002,1392400,95.783966
