"","NDAQ.Open","NDAQ.High","NDAQ.Low","NDAQ.Close","NDAQ.Volume","NDAQ.Adjusted"
"2020-08-28",132.619995,132.619995,131.429993,131.839996,428100,128.360886
"2020-08-31",132.529999,135.110001,132.130005,134.419998,1381700,130.872772
"2020-09-01",134.639999,134.839996,133.289993,134.820007,508700,131.262238
"2020-09-02",135.320007,137.940002,135,137.279999,761100,133.657318
"2020-09-03",137.809998,137.809998,131.889999,133.259995,842400,129.743408
"2020-09-04",134.100006,134.139999,128.600006,130.289993,742800,126.851768
"2020-09-08",128.809998,129.479996,126.18,126.440002,980700,123.103371
"2020-09-09",128.210007,129.919998,127.010002,129.190002,654600,125.7808
"2020-09-10",129.059998,129.059998,124.720001,124.910004,808200,122.076767
"2020-09-11",126.080002,126.800003,124.739998,125.699997,551900,122.848846
"2020-09-14",126.230003,128.149994,126.230003,126.989998,796000,124.109589
"2020-09-15",128.009995,128.889999,127.290001,128.160004,374100,125.253059
"2020-09-16",128.100006,129.860001,127.139999,127.300003,542000,124.412567
"2020-09-17",125.440002,125.440002,123.589996,124.440002,869600,121.617432
"2020-09-18",125,125.489998,121.790001,122.449997,1240500,119.672554
"2020-09-21",120.309998,122.830002,119.690002,122.050003,909900,119.281631
"2020-09-22",122.110001,123.349998,120.260002,123.32,822100,120.522835
"2020-09-23",123.720001,123.720001,119.599998,119.730003,599200,117.014275
"2020-09-24",119.57,122.269997,119.25,121.300003,586100,118.548653
"2020-09-25",121.150002,124.110001,120.690002,124.029999,525100,121.216743
"2020-09-28",125.860001,126.339996,123.980003,125.370003,838500,122.526337
"2020-09-29",125.32,126.360001,118.010002,121.379997,2659400,118.626839
"2020-09-30",122.080002,124.419998,121.300003,122.709999,1975800,119.926674
"2020-10-01",123.940002,124.57,122.870003,123.919998,1117300,121.109222
"2020-10-02",122.660004,124.669998,122.260002,123.540001,714700,120.737846
"2020-10-05",124.190002,124.989998,122.699997,124.870003,650700,122.037682
"2020-10-06",124.989998,125.790001,123.089996,123.57,766200,120.767166
"2020-10-07",123.379997,124.800003,122.18,122.980003,870400,120.190552
"2020-10-08",123.739998,124.889999,123.32,124.599998,629800,121.773796
"2020-10-09",126.019997,126.349998,124.720001,125.059998,409300,122.223366
"2020-10-12",125.809998,127.32,125.25,126.379997,423200,123.513428
"2020-10-13",126.870003,126.940002,125.339996,126.379997,626800,123.513428
"2020-10-14",127.300003,128.279999,127.010002,127.650002,562100,124.754623
"2020-10-15",126.5,128.440002,126.150002,128.410004,410100,125.497383
"2020-10-16",128.660004,129.899994,127.879997,128.869995,727500,125.946945
"2020-10-19",129.710007,130.100006,127.389999,127.480003,886800,124.588486
"2020-10-20",127.510002,131.080002,127.510002,128.990005,884400,126.064232
"2020-10-21",130.470001,134.039993,128,132.369995,1105900,129.367554
"2020-10-22",133.169998,133.169998,129.979996,130.089996,602300,127.139259
"2020-10-23",130.559998,130.559998,127.43,129.119995,578700,126.191269
"2020-10-26",127.760002,128.369995,126.57,127.379997,627100,124.490746
"2020-10-27",127.739998,128.300003,125.07,125.099998,532900,122.262459
"2020-10-28",123.75,124.379997,121.019997,121.730003,605400,118.968903
"2020-10-29",121.730003,123.690002,120.75,122.010002,604100,119.242546
"2020-10-30",121.059998,122.980003,119.760002,120.989998,820400,118.245674
"2020-11-02",122.449997,124.889999,122.260002,123.18,530400,120.386009
"2020-11-03",125.080002,126.970001,124.169998,124.910004,430500,122.076767
"2020-11-04",126.040001,131.529999,126.029999,129.300003,686700,126.367195
"2020-11-05",129.559998,133.850006,129.559998,133.210007,845400,130.188507
"2020-11-06",133.220001,133.970001,131.809998,133.199997,599800,130.178711
"2020-11-09",139.5,139.5,129.25,129.679993,1014100,126.738571
"2020-11-10",129.270004,129.979996,126.050003,127.129997,1240000,124.246414
"2020-11-11",127.589996,131.320007,127.529999,129.789993,659000,126.846069
"2020-11-12",130.270004,130.279999,126.459999,126.849998,631500,123.972771
"2020-11-13",127.449997,128.210007,125.309998,125.82,773300,122.966133
"2020-11-16",126.559998,126.559998,124.129997,125.529999,1092800,122.682693
"2020-11-17",125.889999,126.050003,123.660004,124.330002,991800,121.509918
"2020-11-18",124.029999,124.160004,122.230003,122.730003,1001300,119.94622
"2020-11-19",124.099998,126.699997,122.860001,124.760002,1111600,121.930183
"2020-11-20",125.190002,127.370003,124.660004,126.330002,945900,123.464561
"2020-11-23",126.800003,127.470001,124.839996,126.010002,708500,123.151817
"2020-11-24",126.129997,127.720001,126.050003,127.269997,914100,124.38324
"2020-11-25",127.190002,128.199997,127.040001,127.330002,745200,124.441872
"2020-11-27",126.970001,127.510002,126.279999,127.120003,517600,124.236633
"2020-11-30",127.019997,128.279999,126.43,127.989998,1037600,125.086906
"2020-12-01",127.330002,130.399994,127.330002,129.910004,730200,126.963356
"2020-12-02",129.710007,130,128.25,129.360001,569300,126.425835
"2020-12-03",126.870003,127.040001,123.269997,124.900002,1865700,122.531136
"2020-12-04",124.860001,127,124.68,125.300003,850100,122.923546
"2020-12-07",125.459999,128.960007,125.449997,128.559998,1696100,126.121704
"2020-12-08",128.5,129.199997,127.300003,128.649994,621400,126.209999
"2020-12-09",128.889999,129.660004,124.080002,126.099998,971500,123.708374
"2020-12-10",125.75,126.360001,124.629997,124.989998,702400,122.619423
"2020-12-11",124.559998,125.970001,124.010002,125.669998,550600,123.286522
"2020-12-14",126.720001,128.100006,123.900002,124.040001,640600,121.687447
"2020-12-15",124.790001,128.369995,124.650002,127.290001,851700,124.875801
"2020-12-16",127.900002,128.309998,126.709999,127.099998,1110400,124.6894
"2020-12-17",127.839996,129.470001,127.300003,128.5,1051300,126.062851
"2020-12-18",128.190002,129.639999,127.949997,128.600006,1709400,126.160965
"2020-12-21",127.82,128.570007,124.279999,128.050003,1112400,125.621384
"2020-12-22",127.029999,130.380005,126.739998,129.899994,1041100,127.43631
"2020-12-23",130.490005,130.740005,127.940002,127.949997,493100,125.523277
"2020-12-24",127.980003,128.740005,127.589996,128.619995,191800,126.180573
"2020-12-28",129.080002,129.220001,127.919998,128.850006,458700,126.406219
"2020-12-29",129.649994,129.869995,128.899994,129.139999,303600,126.690712
"2020-12-30",129.779999,130.529999,129.460007,130.139999,399700,127.671745
"2020-12-31",130,132.869995,129.479996,132.740005,511300,130.222443
"2021-01-04",133.729996,133.929993,130.699997,132.009995,1443800,129.506271
"2021-01-05",132.289993,133.039993,131.539993,131.970001,1101800,129.467041
"2021-01-06",132.350006,136.490005,131.919998,135.399994,1022800,132.831985
"2021-01-07",134.940002,136.880005,134.669998,136.800003,881700,134.205444
"2021-01-08",135.429993,139.139999,135.429993,138.809998,787100,136.177292
"2021-01-11",138.210007,141.869995,138,140.899994,1129200,138.227646
"2021-01-12",140.990005,142.679993,140.860001,141.919998,946500,139.228317
"2021-01-13",142.070007,143.5,142,142.490005,1414500,139.787521
"2021-01-14",143.220001,143.270004,140.789993,142.130005,959100,139.434326
"2021-01-15",141.440002,142.520004,139.380005,140.039993,2754200,137.383957
"2021-01-19",142.210007,143,140.240005,142.259995,896200,139.561874
"2021-01-20",143.380005,144.300003,141.5,143.669998,1267000,140.945129
"2021-01-21",144.089996,144.399994,140.449997,141.399994,692700,138.718185
"2021-01-22",141.289993,141.529999,139.220001,140.419998,1127000,137.75676
"2021-01-25",140.539993,142.820007,139.720001,142.300003,836100,139.601135
"2021-01-26",142.729996,143.309998,140.490005,141.130005,971500,138.453308
"2021-01-27",140.490005,143.649994,137.550003,141.199997,1592100,138.521988
"2021-01-28",141.369995,143.369995,138.960007,139.029999,979400,136.393127
"2021-01-29",138.100006,138.100006,134.210007,135.270004,1122300,132.704468
"2021-02-01",136.529999,139.070007,135.5,138.610001,873300,135.981094
"2021-02-02",139.130005,143.110001,138.610001,142.610001,903100,139.905228
"2021-02-03",142.279999,143.100006,141.020004,142.160004,879400,139.463776
"2021-02-04",142.660004,145.399994,142.289993,143.570007,824100,140.847046
"2021-02-05",143.820007,144.520004,141.949997,142.589996,680100,139.88562
"2021-02-08",143.100006,143.839996,141.919998,142.449997,493400,139.748245
"2021-02-09",142.639999,143.970001,142.009995,143.130005,420600,140.41539
"2021-02-10",144,144.389999,141.139999,142.470001,525100,139.767899
"2021-02-11",143.039993,143.240005,141.600006,142.369995,466000,139.6698
"2021-02-12",142.509995,143.539993,141.830002,141.990005,484900,139.296997
"2021-02-16",143.050003,144.190002,141.389999,143.990005,849900,141.259079
"2021-02-17",143.220001,145.110001,143,144.690002,778300,141.945801
"2021-02-18",144.279999,145.470001,143.630005,144.880005,709600,142.132187
"2021-02-19",145.190002,145.830002,144.300003,144.429993,669200,141.690704
"2021-02-22",143.440002,143.440002,140.009995,141.619995,910100,138.934006
"2021-02-23",141.110001,141.389999,138.860001,140.339996,990100,137.678284
"2021-02-24",139.809998,142.220001,138.419998,141.990005,608900,139.296997
"2021-02-25",142.080002,143.550003,140.179993,140.320007,646100,137.658661
"2021-02-26",140.449997,140.979996,137.800003,138.289993,939400,135.66716
"2021-03-01",139.679993,142.850006,139.399994,141.869995,695500,139.179245
"2021-03-02",141.580002,142.210007,139.139999,140.639999,619300,137.972595
"2021-03-03",140.100006,140.949997,136.550003,136.710007,620900,134.117157
"2021-03-04",137.630005,140.149994,135.570007,138,1184100,135.38266
"2021-03-05",139.050003,145.110001,138.5,144.699997,1198600,141.955582
"2021-03-08",144.889999,147.520004,143.860001,144.990005,1741700,142.240097
"2021-03-09",144.860001,149.539993,144.860001,146.649994,1113900,143.868607
"2021-03-10",147.080002,147.309998,144.440002,144.550003,738600,141.808456
"2021-03-11",144.899994,144.899994,142.75,144.100006,714500,141.847824
"2021-03-12",144.559998,145.089996,143.070007,144.419998,463800,142.162811
"2021-03-15",144.289993,146.059998,143.100006,145.990005,530900,143.708298
"2021-03-16",146.059998,147.080002,144.479996,145.470001,899800,143.196411
"2021-03-17",144.960007,145.770004,142.350006,144.020004,1687600,141.769073
"2021-03-18",144.059998,145.889999,142.869995,144.940002,1821900,142.674683
"2021-03-19",145,146.830002,143.789993,145.740005,2189700,143.462204
"2021-03-22",145.740005,148.190002,144.759995,147.119995,1218200,144.820602
"2021-03-23",145.850006,148.949997,145.850006,147.570007,1298300,145.263596
"2021-03-24",147.720001,148.610001,146.779999,147.330002,643400,145.027328
"2021-03-25",147.520004,147.520004,145.520004,146.570007,678700,144.279221
"2021-03-26",146.669998,150.800003,146.330002,150.720001,620400,148.364349
"2021-03-29",149.830002,151.460007,149.149994,150.839996,518700,148.482498
"2021-03-30",150.610001,150.860001,147.139999,147.449997,706200,145.145462
"2021-03-31",147.289993,149.179993,147.009995,147.460007,888600,145.155304
"2021-04-01",148.169998,151.520004,147.690002,150.850006,654800,148.492325
"2021-04-05",151,152.399994,150.710007,152.100006,732500,149.722794
"2021-04-06",151.770004,152.979996,151.339996,152.660004,483000,150.274017
"2021-04-07",152.619995,152.690002,150.059998,150.779999,680300,148.423401
"2021-04-08",151.889999,153.720001,151.550003,153.520004,737700,151.12059
"2021-04-09",154.210007,156.360001,153.809998,156.100006,588600,153.660278
"2021-04-12",156.380005,157.240005,155.690002,156.089996,591400,153.650406
"2021-04-13",156.389999,158.029999,155.770004,157.929993,530100,155.461639
"2021-04-14",156.919998,158.720001,156.770004,157.440002,552400,154.979324
"2021-04-15",157.729996,161.130005,157.729996,160.050003,658700,157.548538
"2021-04-16",160.919998,161.509995,159.630005,160.169998,1012600,157.666656
"2021-04-19",159.869995,159.899994,157.460007,158.630005,821400,156.150742
"2021-04-20",158.919998,161.259995,158.820007,159.679993,1011600,157.184296
"2021-04-21",160.429993,161.990005,157.089996,159.320007,1111100,156.829926
"2021-04-22",160.389999,162.339996,159.279999,159.720001,642500,157.223694
"2021-04-23",160.210007,163.270004,159.559998,162.470001,679300,159.93071
"2021-04-26",162.809998,162.839996,159.580002,160.029999,553100,157.528839
"2021-04-27",159.789993,160.869995,158.699997,160.800003,663200,158.286819
"2021-04-28",161.169998,161.470001,158.710007,159.649994,635500,157.154785
"2021-04-29",160.820007,161.990005,159.399994,161.889999,575600,159.359772
"2021-04-30",161.570007,162.320007,160.479996,161.539993,514300,159.015228
"2021-05-03",162.080002,163.619995,161.020004,162.490005,634300,159.950409
"2021-05-04",162.509995,163.660004,159.809998,163.539993,988000,160.983978
"2021-05-05",163.970001,164.25,162.229996,163.550003,777900,160.993835
"2021-05-06",164.029999,164.029999,162.130005,163.580002,615100,161.023376
"2021-05-07",163.850006,164.919998,163.479996,164.559998,492800,161.988037
"2021-05-10",165.75,166.789993,163.429993,163.529999,622600,160.974152
"2021-05-11",161.309998,161.860001,159.119995,159.729996,817200,157.233505
"2021-05-12",158.869995,160.410004,156.720001,158.360001,1119200,155.884933
"2021-05-13",158.759995,161.820007,158.759995,160.899994,459600,158.385239
"2021-05-14",161.710007,164.940002,161.380005,164.360001,698100,161.791183
"2021-05-17",164.199997,164.869995,163.110001,163.75,496000,161.190704
"2021-05-18",164.110001,164.529999,161.869995,161.940002,524200,159.409012
"2021-05-19",160.240005,161.179993,159.440002,160.940002,648800,158.424622
"2021-05-20",161.509995,164.529999,161.25,163.460007,415600,160.905258
"2021-05-21",162.899994,164.839996,162.880005,163.869995,1349800,161.308823
"2021-05-24",164.339996,166.009995,164.339996,164.919998,403400,162.342422
"2021-05-25",165.610001,166.160004,163.809998,164.309998,488400,161.741928
"2021-05-26",164.669998,166.380005,164.630005,165.449997,454200,162.864136
"2021-05-27",165.710007,166.190002,164.929993,165.979996,723500,163.385849
"2021-05-28",167.149994,167.850006,166.110001,167.460007,468900,164.842743
"2021-06-01",168.199997,168.660004,164.270004,164.449997,646100,161.879761
"2021-06-02",165.589996,167.339996,165,166.839996,941200,164.232407
"2021-06-03",166.889999,168.75,166.240005,168.059998,794100,165.433334
"2021-06-04",168.679993,170.399994,167.610001,170.229996,565900,167.569427
"2021-06-07",170.910004,171,168.630005,168.899994,580900,166.260208
"2021-06-08",169.449997,170.350006,168.789993,168.960007,637700,166.31929
"2021-06-09",169.410004,169.539993,168.429993,169.119995,557600,166.476761
"2021-06-10",169.559998,169.559998,168.080002,168.360001,560300,166.259521
"2021-06-11",170.259995,173.029999,169.940002,172.949997,834700,170.792252
"2021-06-14",172.490005,175.169998,171.509995,175.160004,684400,172.974686
"2021-06-15",175.600006,177.550003,175.070007,176.289993,665800,174.090591
"2021-06-16",176.240005,178.380005,175.720001,177.350006,965700,175.13736
"2021-06-17",178.089996,180.529999,176.649994,179.789993,1147600,177.546906
"2021-06-18",178.25,178.800003,175.259995,175.800003,1787600,173.606705
"2021-06-21",176.820007,179.279999,175.889999,178.779999,1045200,176.54953
"2021-06-22",178.929993,179.740005,178.259995,178.699997,666200,176.47052
"2021-06-23",179,179.630005,177.610001,177.960007,947800,175.739761
"2021-06-24",178.899994,179.300003,177.350006,177.800003,867200,175.581757
"2021-06-25",178.589996,178.929993,177.179993,178.070007,789500,175.848404
"2021-06-28",178.509995,178.710007,176.979996,177.110001,980800,174.90036
"2021-06-29",177.679993,178.300003,176.649994,176.850006,662900,174.643616
"2021-06-30",176.550003,176.710007,175.179993,175.800003,1164100,173.606705
"2021-07-01",177.889999,177.889999,175.800003,176.029999,1123500,173.833832
"2021-07-02",176.5,178.050003,175.940002,177.880005,969000,175.660736
"2021-07-06",178.279999,178.410004,175.690002,176.360001,674300,174.159729
"2021-07-07",177.059998,177.25,175.270004,176.160004,714600,173.962219
"2021-07-08",174.360001,175.369995,173.570007,174.080002,646700,171.908157
"2021-07-09",174.410004,175.910004,174.240005,175.770004,510500,173.577087
"2021-07-12",175.779999,180.990005,175.779999,179.649994,1147600,177.408646
"2021-07-13",180.110001,181,178.369995,179.089996,890300,176.855637
"2021-07-14",179.369995,179.369995,176.25,178.080002,710300,175.858261
"2021-07-15",177.75,179.5,177.229996,178.649994,649700,176.421127
"2021-07-16",178.490005,180.229996,178.080002,178.550003,917700,176.322388
"2021-07-19",177.690002,178.630005,175.929993,177.149994,926000,174.939865
"2021-07-20",177.770004,182.720001,176.619995,180.899994,1128000,178.643066
"2021-07-21",181.339996,187.029999,181.339996,186.279999,1295900,183.955948
"2021-07-22",187.559998,188.210007,185.130005,185.339996,1027500,183.027679
"2021-07-23",186.089996,188.479996,185.669998,187.759995,735300,185.417465
"2021-07-26",187.110001,187.550003,184.449997,186.580002,681900,184.252213
"2021-07-27",185.929993,188.080002,185.240005,185.690002,663100,183.373306
"2021-07-28",185.770004,186.059998,184.149994,185.529999,595000,183.215317
"2021-07-29",185.889999,187.529999,184.550003,186.679993,564900,184.350952
"2021-07-30",186.550003,188.149994,185.789993,186.729996,616400,184.40033
"2021-08-02",188.300003,188.940002,187.029999,188.429993,553700,186.079117
"2021-08-03",189.190002,189.539993,187.720001,188.669998,607100,186.316132
"2021-08-04",188.130005,190.449997,187.660004,189.360001,728900,186.997513
"2021-08-05",190,190.690002,187.509995,188.679993,675100,186.326004
"2021-08-06",189.339996,190.309998,187.559998,188.720001,526100,186.365509
"2021-08-09",188.820007,189.029999,187.860001,188.679993,550300,186.326004
"2021-08-10",188.779999,190.050003,187.679993,188.860001,583800,186.503769
"2021-08-11",189.330002,190.389999,188.690002,189.320007,414200,186.958038
"2021-08-12",189.919998,190.869995,187.809998,190.089996,455200,187.718399
"2021-08-13",190.199997,191.470001,190,190.990005,310900,188.607193
"2021-08-16",191.300003,192.279999,190.009995,192.169998,392500,189.772476
"2021-08-17",191.729996,191.839996,189.490005,189.990005,747100,187.619675
"2021-08-18",190.190002,190.190002,186.75,186.889999,807300,184.55835
"2021-08-19",184.509995,189.470001,183.410004,188.020004,725400,185.674255
"2021-08-20",188.539993,189.770004,187.300003,188.669998,533100,186.316132
"2021-08-23",189.289993,191.610001,189.289993,190.539993,511500,188.162781
"2021-08-24",191.360001,192,190.740005,190.860001,367700,188.478821
"2021-08-25",190.910004,192.089996,190.039993,191.630005,370500,189.239212
"2021-08-26",191.300003,191.809998,189.970001,191.169998,425300,188.784943
"2021-08-27",191.210007,193.509995,191.210007,193.479996,359600,191.066116
"2021-08-30",194.360001,195.679993,193.589996,194.100006,395500,191.678375
"2021-08-31",194.649994,196.190002,193.970001,195.779999,795200,193.337418
"2021-09-01",196.580002,198.389999,194.570007,197.960007,575200,195.49025
"2021-09-02",198.509995,198.929993,196.039993,197.910004,599400,195.440842
"2021-09-03",198.050003,199.669998,197.820007,198.529999,490800,196.053131
"2021-09-07",199.690002,199.690002,195.059998,196.470001,568100,194.018814
"2021-09-08",196.300003,198.619995,196.300003,198.429993,411600,195.954346
"2021-09-09",197.860001,199.880005,197.520004,197.940002,520600,196.003876
"2021-09-10",198.639999,198.789993,195.960007,196.039993,567100,194.122452
"2021-09-13",196.649994,198,192.970001,194.320007,547500,192.419281
"2021-09-14",194.580002,196.570007,194.580002,195.550003,464700,193.637253
"2021-09-15",195.589996,197.139999,194.5,195.839996,468200,193.924423
"2021-09-16",196,196.460007,194.559998,195.429993,409900,193.518417
"2021-09-17",194.860001,194.910004,191,192.899994,1263400,191.013168
"2021-09-20",189.669998,192.110001,188.509995,190.979996,769200,189.111954
"2021-09-21",192.460007,192.720001,191.220001,191.899994,491600,190.022949
"2021-09-22",193.729996,194.699997,192.050003,194.5,661100,192.597519
"2021-09-23",195.419998,196.729996,195.259995,195.580002,745800,193.666962
"2021-09-24",194.910004,197.130005,194.389999,196.779999,662500,194.855225
"2021-09-27",196.639999,196.639999,194.520004,195.779999,896500,193.86499
"2021-09-28",193.830002,194.330002,189.380005,190.960007,1309700,189.092163
"2021-09-29",191.929993,194.410004,190.919998,193.990005,874000,192.092514
"2021-09-30",195.100006,197.330002,192.919998,193.020004,1062600,191.132004
"2021-10-01",194.119995,194.75,190.660004,193.729996,798000,191.835052
"2021-10-04",193.479996,195.330002,188.740005,188.970001,1067400,187.121628
"2021-10-05",189.570007,195.580002,189.259995,195.259995,1054200,193.350082
"2021-10-06",193.990005,195.899994,192.300003,194.639999,949100,192.736176
"2021-10-07",196,199.089996,196,197.910004,625100,195.974167
"2021-10-08",198,199.149994,196.529999,197.399994,535800,195.469147
"2021-10-11",196.589996,202.5,196.259995,197.679993,869300,195.746414
"2021-10-12",198.419998,198.899994,196.190002,197.479996,748800,195.54837
"2021-10-13",197.679993,198.839996,195.149994,197.419998,788300,195.488968
"2021-10-14",199.110001,201.220001,198.889999,200.639999,700800,198.677475
"2021-10-15",201.419998,203.419998,200.330002,203.020004,761800,201.034195
"2021-10-18",202.820007,204.520004,201.830002,203.490005,699500,201.499588
"2021-10-19",204.009995,208.860001,204,208.860001,938200,206.817078
"2021-10-20",208.679993,209.800003,196.75,199.160004,2420000,197.21196
"2021-10-21",198.929993,201.949997,196.660004,198.860001,1284300,196.914886
"2021-10-22",199.339996,201.940002,199.330002,201.720001,622700,199.746918
"2021-10-25",201.440002,201.770004,197.889999,201.5,640200,199.529053
"2021-10-26",202.309998,204.309998,200.039993,201.479996,835600,199.509247
"2021-10-27",201.050003,203.830002,200,202.389999,671900,200.410355
"2021-10-28",202.199997,207.020004,202.130005,207.009995,653300,204.985153
"2021-10-29",206.639999,210.660004,206.139999,209.869995,675900,207.817169
"2021-11-01",211.029999,211.660004,206.639999,209.899994,724400,207.846878
"2021-11-02",210.270004,213.470001,209.279999,211.220001,773600,209.153976
"2021-11-03",210.589996,211.830002,206.820007,209.479996,714200,207.431
"2021-11-04",211.350006,212.800003,209.779999,212.270004,504900,210.19371
"2021-11-05",213.419998,214.960007,211.889999,212.830002,575000,210.74823
"2021-11-08",214.100006,214.220001,209.539993,211.690002,566100,209.619385
"2021-11-09",212.149994,212.619995,210.100006,210.809998,643400,208.747986
"2021-11-10",210.149994,210.809998,206.460007,207.380005,646900,205.351547
"2021-11-11",208.149994,208.789993,205.630005,206.199997,972100,204.18309
"2021-11-12",207.610001,209.270004,204.479996,208.419998,1287300,206.381378
"2021-11-15",209.100006,211.339996,208.809998,209.729996,518500,207.678558
"2021-11-16",209.559998,213.649994,209,211.970001,484900,209.896652
"2021-11-17",212.75,213.270004,208.619995,209.940002,709000,207.886505
"2021-11-18",211.139999,211.399994,208.020004,208.699997,544500,206.658615
"2021-11-19",209.009995,209.410004,207.339996,207.770004,577200,205.737732
"2021-11-22",208.479996,210.460007,207.490005,207.690002,556300,205.658508
"2021-11-23",207.610001,208.339996,204.029999,207.910004,500600,205.876358
"2021-11-24",206.259995,208.789993,205.729996,208.600006,6e+05,206.559616
"2021-11-26",205.830002,207.779999,203.039993,203.679993,565600,201.687729
"2021-11-29",206.669998,210.350006,205.809998,209.080002,899600,207.034912
"2021-11-30",207.729996,208.979996,202.699997,203.229996,1157400,201.242126
"2021-12-01",205.779999,205.809998,198.889999,199.029999,871600,197.083221
"2021-12-02",200.020004,203.080002,198.100006,201.229996,940700,199.803787
"2021-12-03",203.080002,203.910004,196.149994,200.119995,882800,198.701645
"2021-12-06",200.699997,200.970001,196.039993,197.979996,1025400,196.576813
"2021-12-07",201.330002,205.850006,200.100006,205.550003,834400,204.09317
"2021-12-08",206,207.690002,204.460007,207.389999,515400,205.920135
"2021-12-09",207.289993,207.649994,204.059998,204.139999,384700,202.693161
"2021-12-10",206.210007,206.210007,203.020004,205.779999,380500,204.321533
"2021-12-13",206.179993,207.300003,204.210007,205.479996,620100,204.023666
"2021-12-14",203.440002,204.350006,197.619995,199.729996,1056500,198.314423
"2021-12-15",200.440002,202.089996,198.699997,202.029999,839800,200.598114
"2021-12-16",203.929993,206.649994,202.800003,203.649994,1013500,202.206635
"2021-12-17",202.699997,203.419998,199.75,201.070007,906400,199.644943
"2021-12-20",198.410004,199.630005,195.759995,198.5,506600,197.09314
"2021-12-21",200.080002,202.419998,199.600006,202.240005,426900,200.806641
"2021-12-22",202.259995,204.350006,201.460007,204.199997,597400,202.752747
"2021-12-23",205,206.729996,204.5,205.419998,593600,203.964096
"2021-12-27",206.300003,209,205.839996,208.979996,659600,207.498871
"2021-12-28",209.710007,210.690002,208.990005,209.729996,389500,208.243546
"2021-12-29",210.270004,211.660004,209.660004,209.970001,270700,208.481857
"2021-12-30",210.039993,211.410004,208.809998,209.110001,332900,207.627945
"2021-12-31",209,211.339996,208.600006,210.009995,389500,208.521561
"2022-01-03",210.869995,210.869995,200.720001,202.460007,1063500,201.025085
"2022-01-04",200.110001,201.839996,195.509995,197.389999,1342200,195.991013
"2022-01-05",198.009995,198.630005,194.910004,195.020004,1187600,193.637802
"2022-01-06",194.570007,195.800003,191.229996,195.460007,1048400,194.074692
"2022-01-07",194.309998,195,191.039993,193.509995,763500,192.138504
"2022-01-10",191.839996,192.949997,185.860001,189.119995,1776800,187.779617
"2022-01-11",189.460007,192.729996,186.850006,192.559998,768400,191.195236
"2022-01-12",193.440002,194.789993,192.619995,193.240005,549600,191.870422
