"","NDAQ.Open","NDAQ.High","NDAQ.Low","NDAQ.Close","NDAQ.Volume","NDAQ.Adjusted"
"2020-07-01",119.599998,121.610001,118.839996,120.760002,603000,117.573257
"2020-07-02",122.580002,123.120003,120,120.059998,756600,116.891731
"2020-07-06",121.489998,122.5,120.540001,121.080002,478800,117.884811
"2020-07-07",120.260002,121.790001,119.760002,120.470001,463800,117.290916
"2020-07-08",120.949997,122.279999,120.459999,121.699997,683000,118.488449
"2020-07-09",122.269997,122.5,119.209999,120.800003,563900,117.612206
"2020-07-10",121.300003,123,120.169998,122.879997,468800,119.637314
"2020-07-13",124.019997,126.220001,122.940002,123,619800,119.754143
"2020-07-14",122.989998,124.800003,122.959999,124.800003,433600,121.506653
"2020-07-15",126,127.360001,125.080002,126.839996,534400,123.492805
"2020-07-16",126.540001,127.269997,126.010002,127.029999,308100,123.677795
"2020-07-17",127.699997,129.149994,127.220001,128.440002,748600,125.050583
"2020-07-20",128.330002,131.669998,128.320007,131.300003,790100,127.835129
"2020-07-21",130.690002,131.850006,129.490005,131.009995,933300,127.552765
"2020-07-22",133.009995,135.320007,131.550003,134.100006,1231200,130.561234
"2020-07-23",134.199997,135.509995,131,131.410004,938100,127.94223
"2020-07-24",131.289993,131.389999,129.050003,130.559998,898700,127.114647
"2020-07-27",130.690002,131.199997,130.119995,130.529999,952500,127.085434
"2020-07-28",129.559998,129.960007,127.400002,128.149994,704600,124.768234
"2020-07-29",128.770004,131.539993,128.520004,131.009995,791900,127.552765
"2020-07-30",129.610001,130.380005,128.669998,129.899994,552400,126.472076
"2020-07-31",130.699997,131.350006,129.009995,131.309998,611900,127.844833
"2020-08-03",131.839996,132.389999,129.949997,130.350006,508900,126.910194
"2020-08-04",130.529999,130.770004,128.789993,129.699997,467700,126.277344
"2020-08-05",130.300003,130.470001,129.039993,130.360001,580600,126.919907
"2020-08-06",129.779999,131.259995,129.5,130.699997,588900,127.250954
"2020-08-07",129.839996,132.880005,129.610001,132.869995,727500,129.363678
"2020-08-10",133.509995,133.509995,130.570007,131.529999,741000,128.059036
"2020-08-11",132,132.289993,130.119995,130.470001,587700,127.027016
"2020-08-12",131.149994,133.050003,130.240005,130.419998,1055900,126.978348
"2020-08-13",130.009995,130.770004,129.050003,130.279999,927000,126.842041
"2020-08-14",130.070007,130.630005,128.710007,129.240005,678400,125.829475
"2020-08-17",129.380005,130.800003,129,130.309998,839100,126.871254
"2020-08-18",130.289993,130.809998,129.330002,130.050003,578100,126.618095
"2020-08-19",130.820007,131.020004,129.309998,129.869995,585800,126.442848
"2020-08-20",129.460007,131.470001,129.460007,130.460007,517900,127.017303
"2020-08-21",130.380005,130.660004,129.240005,129.919998,479900,126.491516
"2020-08-24",130.289993,131.690002,129.690002,131.580002,692400,128.107697
"2020-08-25",131.649994,132.039993,129.75,130.100006,496800,126.666771
"2020-08-26",130.410004,133.580002,130.210007,132.539993,645800,129.042374
"2020-08-27",133.039993,133.279999,131.820007,131.850006,508600,128.370605
