"","VRTX.Open","VRTX.High","VRTX.Low","VRTX.Close","VRTX.Volume","VRTX.Adjusted"
"2020-07-01",290.5,291.660004,283.790009,286.279999,1752400,286.279999
"2020-07-02",288.519989,293.950012,287.450012,291.100006,1101700,291.100006
"2020-07-06",294.359985,295,289.630005,291.309998,1341900,291.309998
"2020-07-07",292.299988,306.079987,291.450012,299.059998,1624800,299.059998
"2020-07-08",300.049988,301.649994,292.130005,295.920013,1500300,295.920013
"2020-07-09",295.519989,297.790009,290.049988,295.399994,1106800,295.399994
"2020-07-10",293.950012,295,290.859985,294.450012,911300,294.450012
"2020-07-13",293.049988,296.850006,283.850006,284.820007,1667300,284.820007
"2020-07-14",283.140015,294.720001,279.119995,293.829987,1738300,293.829987
"2020-07-15",292.76001,295.350006,290.200012,295.109985,1126900,295.109985
"2020-07-16",292.01001,293.329987,284.690002,290.559998,903300,290.559998
"2020-07-17",291.529999,294.670013,289.279999,294.529999,1072200,294.529999
"2020-07-20",292.690002,304,292.690002,303.100006,1255800,303.100006
"2020-07-21",300.649994,301.140015,290.959991,291.399994,1515000,291.399994
"2020-07-22",293.559998,293.559998,286.459991,291.230011,846200,291.230011
"2020-07-23",291.329987,291.98999,283.320007,284.459991,1310200,284.459991
"2020-07-24",281.779999,282.640015,276.5,278.48999,1837800,278.48999
"2020-07-27",280.839996,285.570007,277.679993,284.209991,1485100,284.209991
"2020-07-28",283.829987,284.589996,278.140015,278.519989,1098400,278.519989
"2020-07-29",280.279999,281.589996,278.089996,278.720001,1091200,278.720001
"2020-07-30",275.079987,282.279999,274.660004,279.399994,1538400,279.399994
"2020-07-31",278.880005,283,268.25,272,2983400,272
"2020-08-03",274.200012,280.589996,274,279.519989,1716300,279.519989
"2020-08-04",279.230011,280.570007,274.029999,275.709991,1288400,275.709991
"2020-08-05",275.410004,275.75,271.160004,273.230011,1329800,273.230011
"2020-08-06",269.299988,273.880005,268.579987,273.339996,1141900,273.339996
"2020-08-07",273.480011,277.200012,269.950012,272.98999,1006000,272.98999
"2020-08-10",271.579987,272.290009,265.089996,268.730011,1186700,268.730011
"2020-08-11",266,267.98999,261.299988,261.859985,1370100,261.859985
"2020-08-12",263.079987,271.350006,262.869995,270.850006,1262600,270.850006
"2020-08-13",270.059998,272.730011,266.869995,267.149994,979200,267.149994
"2020-08-14",268.290009,269.950012,265.799988,267.290009,1008300,267.290009
"2020-08-17",267.899994,274.170013,267.839996,273.839996,985000,273.839996
"2020-08-18",275,275,269.26001,271.309998,887100,271.309998
"2020-08-19",270.850006,273.98999,269.529999,270.070007,996500,270.070007
"2020-08-20",270.670013,272.089996,268.600006,271.429993,1117700,271.429993
"2020-08-21",271.730011,273.109985,267.98999,271.279999,1064100,271.279999
"2020-08-24",269.899994,271.940002,263.470001,267.429993,1037300,267.429993
"2020-08-25",268.170013,273.320007,266.230011,272.350006,1316200,272.350006
"2020-08-26",272.859985,272.859985,268.820007,271.290009,857500,271.290009
"2020-08-27",272.950012,275.630005,269.720001,274.339996,961000,274.339996
"2020-08-28",272.940002,275.26001,268.100006,269.959991,813500,269.959991
"2020-08-31",270.350006,279.73999,270,279.119995,1310900,279.119995
"2020-09-01",277.869995,279.959991,271.769989,275.48999,1252800,275.48999
"2020-09-02",275.640015,283.450012,273.720001,281.890015,1352400,281.890015
