"","WBA.Open","WBA.High","WBA.Low","WBA.Close","WBA.Volume","WBA.Adjusted"
"2020-07-01",42.150002,42.77,40.75,40.880001,7063200,37.645218
"2020-07-02",41.310001,42.330002,41.259998,41.98,7901100,38.658176
"2020-07-06",42.650002,43.810001,42.630001,43.16,8235600,39.744808
"2020-07-07",42.77,42.880001,42.119999,42.220001,5140200,38.879189
"2020-07-08",43.48,43.48,41.939999,42.290001,7448300,38.943645
"2020-07-09",40.200001,40.25,38.049999,39.009998,28780400,35.923183
"2020-07-10",38.669998,40.189999,38.5,40.119999,11759300,36.945351
"2020-07-13",40.18,40.360001,39.450001,39.580002,9757500,36.448093
"2020-07-14",39.43,40.200001,38.919998,40.110001,5899500,36.936142
"2020-07-15",40.439999,40.970001,39.93,40.68,6139200,37.461044
"2020-07-16",40.509998,41.689999,40.380001,41.349998,4382700,38.078022
"2020-07-17",41.59,41.889999,41.310001,41.419998,3740700,38.14249
"2020-07-20",41.189999,41.189999,40.220001,40.459999,4063100,37.258457
"2020-07-21",40.5,41.509998,40.25,40.41,6680200,37.212406
"2020-07-22",40.400002,40.720001,40,40.689999,4288500,37.470249
"2020-07-23",40.900002,40.98,40.029999,40.34,4704000,37.147949
"2020-07-24",40.369999,41.290001,40.299999,40.509998,3987800,37.304501
"2020-07-27",40.610001,40.950001,39.23,39.84,7974700,36.687519
"2020-07-28",39.93,41.009998,39.84,40.68,5540500,37.461044
"2020-07-29",40.830002,41.259998,40.110001,41.16,4971300,37.903061
"2020-07-30",40.549999,40.849998,39.990002,40.639999,4505600,37.42421
"2020-07-31",40.25,40.889999,40.080002,40.709999,11717200,37.48867
"2020-08-03",40.580002,41.18,39.950001,41.080002,4909800,37.829399
"2020-08-04",40.84,41.07,40.48,40.93,5778500,37.691261
"2020-08-05",40.849998,41.400002,40.580002,40.810001,6860000,37.580765
"2020-08-06",40.830002,41.490002,40.650002,40.889999,4699200,37.654423
"2020-08-07",40.669998,41.610001,40.52,41.52,4538300,38.234581
"2020-08-10",41.630001,42.900002,41.52,42.860001,4891800,39.468548
"2020-08-11",43.380001,44.049999,41.720001,41.849998,6482600,38.538464
"2020-08-12",42.299999,42.639999,41.57,41.82,4929500,38.510838
"2020-08-13",41.330002,41.610001,40.82,41,5690000,37.755722
"2020-08-14",40.799999,41.950001,40.779999,41.91,5687300,38.593716
"2020-08-17",41.91,41.970001,40.810001,41.18,5275600,37.921478
"2020-08-18",40.650002,41.540001,40.439999,40.759998,4835900,37.96619
"2020-08-19",40.77,40.889999,40.130001,40.25,4973200,37.49115
"2020-08-20",40,40.139999,39.610001,39.709999,3645100,36.988163
"2020-08-21",39.529999,39.919998,39.299999,39.459999,5629500,36.755299
"2020-08-24",39.619999,40.189999,38.990002,39.740002,5500900,37.016109
"2020-08-25",39.939999,40.099998,39.130001,39.5,5564700,36.792553
"2020-08-26",39.189999,39.380001,38.360001,38.669998,7776600,36.019444
"2020-08-27",38.650002,39.450001,38.459999,39.34,6072300,36.643524
"2020-08-28",39.360001,39.400002,38.630001,38.759998,6035600,36.103275
"2020-08-31",38.610001,38.709999,38,38.02,7940100,35.413998
"2020-09-01",37.889999,37.959999,36.5,36.759998,10728300,34.24036
"2020-09-02",36.900002,37.57,36.68,37.169998,7672400,34.622257
"2020-09-03",37.27,38.330002,36.740002,37.09,8278000,34.547741
"2020-09-04",37.119999,37.540001,36.549999,36.889999,6994400,34.361454
"2020-09-08",36.900002,37.220001,36.029999,36.099998,8261200,33.625595
"2020-09-09",36.09,36.27,35.23,35.349998,9506300,32.927002
"2020-09-10",35.700001,35.700001,34.509998,34.669998,7892700,32.29361
"2020-09-11",34.709999,35.25,33.880001,34.700001,9634500,32.321564
"2020-09-14",34.849998,35.169998,34.599998,35.110001,5742100,32.703461
"2020-09-15",35.200001,35.700001,34.869999,35.27,8488400,32.852493
"2020-09-16",35.389999,36.889999,35.220001,36.279999,8223500,33.793266
