"","WBA.Open","WBA.High","WBA.Low","WBA.Close","WBA.Volume","WBA.Adjusted"
"2020-09-17",35.709999,37.279999,35.509998,37.209999,7251300,34.659515
"2020-09-18",37.209999,37.25,36.439999,36.93,12823700,34.398716
"2020-09-21",36.75,36.869999,35.59,35.790001,7484700,33.336849
"2020-09-22",35.779999,35.970001,35.389999,35.720001,4399100,33.271648
"2020-09-23",35.880001,36.279999,34.939999,35.060001,8479100,32.656887
"2020-09-24",35.18,35.259998,34.52,35.029999,5498600,32.628941
"2020-09-25",34.689999,35.560001,34.529999,35.43,5955400,33.001526
"2020-09-28",35.889999,36.52,35.830002,36.07,5901600,33.59766
"2020-09-29",35.799999,36.27,35.349998,35.380001,5079100,32.954948
"2020-09-30",35.549999,36.299999,35.549999,35.919998,6679200,33.457939
"2020-10-01",35.84,36.119999,35.540001,35.869999,4808900,33.411366
"2020-10-02",35.32,35.959999,35.279999,35.77,5465000,33.318222
"2020-10-05",36.02,36.669998,35.950001,36.619999,4774900,34.109955
"2020-10-06",36.599998,37.029999,35.810001,35.950001,5123000,33.485886
"2020-10-07",36.18,36.75,36.02,36.490002,3687100,33.988869
"2020-10-08",36.650002,37.09,36.59,37.07,3623700,34.529114
"2020-10-09",37.290001,37.59,36.279999,36.34,7423700,33.849152
"2020-10-12",36.619999,37.709999,36.419998,36.93,8686600,34.398716
"2020-10-13",36.900002,37.09,35.700001,36.18,8021100,33.700123
"2020-10-14",36.32,36.810001,35.650002,35.91,8360200,33.448624
"2020-10-15",36.349998,38.220001,36.310001,37.639999,16168300,35.060047
"2020-10-16",37.48,37.91,36.900002,37.41,8562000,34.84581
"2020-10-19",37.459999,37.799999,36.830002,36.970001,4865300,34.43597
"2020-10-20",37.150002,37.77,36.720001,37.490002,6033700,34.920326
"2020-10-21",37.369999,37.869999,36.970001,37.389999,3708500,34.827175
"2020-10-22",37.529999,37.669998,37.16,37.509998,4082200,34.938953
"2020-10-23",37.700001,38.080002,37.57,38.040001,3875100,35.432632
"2020-10-26",37.889999,38.029999,37,37.209999,7692900,34.659515
"2020-10-27",37,37.290001,35.919998,36,5661100,33.532455
"2020-10-28",35.240002,35.830002,34.540001,34.59,7287000,32.219101
"2020-10-29",34.369999,34.48,33.459999,33.52,9205300,31.222439
"2020-10-30",33.369999,34.049999,33.360001,34.040001,10511600,31.706802
"2020-11-02",34.529999,35.810001,34.369999,35.790001,7448100,33.336849
"2020-11-03",36.369999,37.619999,36.32,37.369999,7857100,34.808548
"2020-11-04",36.849998,37.68,36.23,36.299999,8564500,33.811897
"2020-11-05",36.32,37.59,36.07,37.529999,6102700,34.957584
"2020-11-06",37.689999,38.169998,37.169998,37.310001,6370700,34.752666
"2020-11-09",39.48,40.73,38.549999,39.779999,12109900,37.05336
"2020-11-10",39.799999,43.759998,39.549999,42.349998,18133200,39.447205
"2020-11-11",42.52,42.75,41.310001,41.439999,7338300,38.599583
"2020-11-12",41.07,41.240002,40.169998,40.77,5858400,37.975506
"2020-11-13",41.099998,42.740002,40.939999,42.709999,6447500,39.782536
"2020-11-16",43.790001,44.869999,43.720001,44.099998,8055800,41.077259
"2020-11-17",39.91,40.77,39.560001,39.849998,25101600,37.118561
"2020-11-18",39.939999,39.950001,38.220001,38.23,14434700,36.032776
"2020-11-19",38.130001,38.439999,37.02,37.849998,12780900,35.67461
"2020-11-20",37.41,38.080002,37.139999,37.529999,9018500,35.373005
"2020-11-23",37.68,38.040001,37.220001,37.98,8205200,35.79715
"2020-11-24",38.419998,38.59,37.700001,38.52,8786000,36.30611
"2020-11-25",38.5,39.18,38.07,39.07,6644000,36.824493
"2020-11-27",39.240002,39.240002,38.610001,39,3024000,36.758518
"2020-11-30",39.009998,39.099998,37.889999,38.009998,13859300,35.825417
"2020-12-01",38.380001,39.200001,38.310001,38.459999,8002200,36.249557
"2020-12-02",38.5,40.099998,38.389999,39.84,8350800,37.550243
"2020-12-03",39.990002,43.669998,39.970001,42.82,17235500,40.358967
"2020-12-04",43.049999,43.450001,41.720001,43.41,11221500,40.915058
"2020-12-07",43.18,43.330002,42.07,42.43,6781700,39.991386
"2020-12-08",41.91,42.470001,41.66,41.990002,6207400,39.576679
"2020-12-09",42.529999,42.619999,41.459999,41.77,6505200,39.369316
"2020-12-10",41.369999,42.040001,41.279999,41.650002,4861700,39.25621
"2020-12-11",41.599998,41.669998,40.849998,41.529999,5937100,39.143112
"2020-12-14",42.049999,42.139999,41.200001,41.48,6695700,39.095982
"2020-12-15",41.599998,42.009998,41.189999,41.330002,5459400,38.954609
"2020-12-16",41.400002,41.400002,40.240002,40.439999,7870700,38.115757
"2020-12-17",40.830002,40.959999,40.349998,40.880001,5612700,38.530472
"2020-12-18",40.990002,41.18,40.400002,40.689999,11942400,38.351387
"2020-12-21",40.549999,41.02,40.16,40.669998,4801300,38.332535
"2020-12-22",40.599998,40.610001,39.169998,39.27,8079800,37.013004
"2020-12-23",39.470001,40.240002,39.439999,39.869999,4200200,37.578518
"2020-12-24",39.950001,40.040001,39.080002,39.619999,2678000,37.342888
"2020-12-28",39.68,40.299999,39.299999,39.66,4714500,37.380585
"2020-12-29",39.810001,40.34,39.240002,39.41,4004400,37.144958
"2020-12-30",39.52,39.73,39.200001,39.34,4194300,37.078983
"2020-12-31",39.330002,40,39.029999,39.880001,7696000,37.587948
"2021-01-04",40.169998,41.560001,39.939999,41.400002,9101800,39.020584
"2021-01-05",41.5,42.040001,40.77,41.16,7431000,38.794376
"2021-01-06",42.209999,43.43,41.869999,43.029999,12503300,40.556904
"2021-01-07",44.040001,46.709999,43.110001,45.259998,15553600,42.658733
"2021-01-08",45.049999,46.470001,44.619999,45.209999,9895400,42.611607
"2021-01-11",45.73,47.84,45.580002,47.700001,11220900,44.9585
"2021-01-12",47.990002,48.48,47.32,47.959999,6661300,45.203556
"2021-01-13",49.029999,49.549999,47.720001,48.939999,10244400,46.127224
"2021-01-14",49.189999,49.66,48.57,49.32,7422900,46.48539
"2021-01-15",48.700001,49.27,48.43,48.919998,7451900,46.108379
"2021-01-19",49.27,49.27,47.93,48.150002,5860600,45.382637
"2021-01-20",47.959999,48.169998,47.060001,48.09,5731800,45.326077
"2021-01-21",47.790001,47.900002,46.700001,47.07,5624400,44.364708
"2021-01-22",46.830002,47.459999,46.139999,47.450001,4679500,44.722866
"2021-01-25",46.689999,47.939999,46.299999,47.82,5428400,45.071598
"2021-01-26",47.759998,49.290001,47.549999,49.189999,5473600,46.362862
"2021-01-27",51.52,55.490002,50.470001,51.18,15941000,48.238491
"2021-01-28",50.549999,51.950001,50.439999,50.68,6288900,47.767227
"2021-01-29",50.240002,51.41,49.849998,50.25,10489400,47.361938
"2021-02-01",49.810001,50.330002,48.799999,48.830002,6732200,46.023552
"2021-02-02",49.240002,49.25,47.77,48.439999,5516500,45.655968
"2021-02-03",48.310001,49.240002,48.02,48.900002,5211200,46.089531
"2021-02-04",48.93,49.52,48.509998,49.27,3476400,46.438259
"2021-02-05",49.650002,50,49.240002,49.810001,4293300,46.947227
"2021-02-08",49.889999,50.18,49.349998,49.93,3732600,47.060333
"2021-02-09",49.830002,50.549999,49.549999,50,5235800,47.126312
"2021-02-10",50.439999,51.669998,50.060001,51.610001,7106400,48.643776
"2021-02-11",51.73,51.799999,49.619999,50.119999,5906300,47.23941
"2021-02-12",50.169998,50.709999,50,50.380001,2840700,47.48447
"2021-02-16",50.400002,50.73,48.919998,49.139999,6058700,46.315739
"2021-02-17",48.779999,49.709999,48.599998,49.560001,4917100,46.711597
"2021-02-18",48.880001,49.439999,48.490002,48.919998,4660600,46.547932
"2021-02-19",49.02,49.5,48.799999,48.860001,3569800,46.490845
"2021-02-22",48.75,49.169998,48.400002,48.860001,4379700,46.490845
"2021-02-23",48.599998,48.650002,47.810001,48.41,4805900,46.062668
"2021-02-24",48.279999,49.240002,47.98,49.169998,4268400,46.785812
"2021-02-25",49.07,49.889999,48.119999,48.27,5307700,45.929455
"2021-02-26",48.57,48.59,47.549999,47.93,9430100,45.605938
"2021-03-01",48.419998,48.529999,47.560001,47.849998,5485200,45.529819
"2021-03-02",47.66,47.939999,47.16,47.439999,4142800,45.139698
"2021-03-03",47.16,47.950001,47.049999,47.630001,4568800,45.320492
"2021-03-04",47.599998,48.09,46.310001,46.860001,5252600,44.587822
"2021-03-05",47.099998,47.48,46.48,47.200001,6182200,44.911339
"2021-03-08",47.07,48.639999,46.959999,48.48,5113400,46.129272
"2021-03-09",48.610001,48.889999,47.860001,48.459999,5635200,46.110241
"2021-03-10",48.98,50.759998,48.639999,50.52,6068400,48.070354
"2021-03-11",50.619999,51.779999,50.27,51.52,7324300,49.021866
"2021-03-12",51.490002,53.439999,51.349998,53.209999,7518700,50.629917
"2021-03-15",53.52,55.220001,53.439999,55.049999,9191000,52.380703
"2021-03-16",55,56.119999,54.52,54.709999,7013100,52.057186
"2021-03-17",54.5,54.5,52.73,54.099998,5762500,51.476765
"2021-03-18",53.639999,53.939999,52.540001,52.700001,4781100,50.14465
"2021-03-19",53.009998,53.59,52.389999,52.540001,11364500,49.992409
"2021-03-22",52.580002,53.139999,52.009998,53.110001,3322700,50.534771
"2021-03-23",52.619999,52.82,51.790001,52.029999,3521200,49.507137
"2021-03-24",52.66,53.330002,51.75,51.779999,6175400,49.26926
"2021-03-25",50.939999,51.880001,50.290001,51.709999,5835500,49.202652
"2021-03-26",51.900002,52.810001,51.16,52.029999,5387500,49.507137
"2021-03-29",52.110001,52.98,51.66,52.849998,5145000,50.287373
"2021-03-30",52.549999,53.27,52.240002,52.98,7818600,50.411072
"2021-03-31",54.25,56.779999,54.009998,54.900002,13471800,52.237972
"2021-04-01",54.57,55.470001,53.150002,54.75,8647300,52.095249
"2021-04-05",54.880001,56.98,54.880001,56.799999,6142100,54.045845
"2021-04-06",56.48,57.049999,55.529999,55.700001,4807700,52.999187
"2021-04-07",55.52,56.259998,55.419998,55.580002,4315500,52.885006
"2021-04-08",55.23,55.389999,54.48,54.790001,5879800,52.133308
"2021-04-09",54.779999,55.119999,53.91,54.18,5310000,51.552891
"2021-04-12",54.330002,55.049999,54.119999,54.700001,3825100,52.047676
"2021-04-13",54.540001,54.779999,53.759998,54.599998,4467300,51.952518
"2021-04-14",54.77,55.130001,54.110001,54.470001,4549700,51.828831
"2021-04-15",54.700001,54.700001,53.639999,53.720001,6574000,51.115192
"2021-04-16",54.049999,54.259998,53.25,53.299999,4744500,50.715561
"2021-04-19",53.349998,53.900002,52.810001,53.790001,4164500,51.181797
"2021-04-20",53.48,53.610001,52.73,53.34,3136600,50.753616
"2021-04-21",53.389999,54.07,53.119999,54.049999,3871200,51.429192
"2021-04-22",53.98,54.049999,52.52,52.580002,5329600,50.030472
"2021-04-23",52.880001,53.259998,52.330002,53.02,4250100,50.449131
"2021-04-26",52.880001,52.970001,52.279999,52.73,3552300,50.173195
"2021-04-27",52.75,53.139999,52.450001,52.509998,4096800,49.963863
"2021-04-28",52.529999,52.919998,52.330002,52.400002,3204700,49.859196
"2021-04-29",52.299999,53.029999,52.119999,52.740002,4004300,50.182709
"2021-04-30",52.470001,53.419998,52.470001,53.099998,8396800,50.525253
"2021-05-03",53.439999,54.560001,53.419998,54.299999,4696400,51.667068
"2021-05-04",54.259998,54.400002,52.720001,54.119999,6695000,51.495796
"2021-05-05",53.48,54.580002,53.200001,54.470001,4747800,51.828831
"2021-05-06",54.470001,54.560001,53.369999,54.459999,3966100,51.819309
"2021-05-07",54.5,55.189999,54.389999,54.529999,4119700,51.885914
"2021-05-10",55.240002,55.93,55.060001,55.110001,6248200,52.43779
"2021-05-11",55.25,55.450001,53.91,54.240002,5204200,51.609978
"2021-05-12",54.139999,54.330002,52.939999,53.040001,5481600,50.468166
"2021-05-13",52.830002,54.529999,52.419998,54.139999,3445300,51.514824
"2021-05-14",54.560001,54.91,54.25,54.709999,2944100,52.057186
"2021-05-17",54.849998,55.599998,54.740002,55.299999,3507100,52.618576
"2021-05-18",55.360001,55.959999,55.189999,55.259998,3634100,52.580513
"2021-05-19",54.77,55.139999,53.860001,54.810001,4147800,52.15234
"2021-05-20",54.279999,54.759998,53.459999,54.599998,5475300,52.39994
"2021-05-21",54.650002,55.529999,54.57,54.880001,4873700,52.668663
"2021-05-24",54.970001,55.32,54.759998,54.830002,3806300,52.620678
"2021-05-25",55.16,55.310001,54.060001,54.189999,4998700,52.006458
"2021-05-26",54.349998,54.41,51.119999,52.009998,12868700,49.914307
"2021-05-27",52.27,53.279999,52.119999,53.040001,9045900,50.902805
"2021-05-28",53.310001,53.709999,52.580002,52.66,4551900,50.538113
"2021-06-01",52.990002,53.23,52.509998,52.84,4579800,50.710861
"2021-06-02",52.939999,53.93,52.540001,53.830002,4175200,51.660973
"2021-06-03",53.799999,54.799999,53.639999,54.77,4600300,52.563091
"2021-06-04",54.779999,55.09,54.52,54.849998,3126100,52.63987
"2021-06-07",54.849998,55.099998,54.43,54.560001,3026000,52.361557
"2021-06-08",53.849998,54.419998,53.299999,54,3800300,51.824123
"2021-06-09",53.700001,53.98,53.279999,53.43,5257100,51.277088
"2021-06-10",53.799999,55.580002,53.57,55.310001,6638000,53.081333
"2021-06-11",55.580002,55.82,54.810001,55.310001,3945300,53.081333
"2021-06-14",55.099998,55.099998,53.830002,54.43,3554800,52.236794
"2021-06-15",54.68,54.880001,54.16,54.240002,3395500,52.054451
"2021-06-16",54.259998,54.27,53.130001,53.310001,4262800,51.161922
"2021-06-17",53.439999,53.529999,52.439999,52.810001,4669500,50.682072
"2021-06-18",52.419998,52.43,50.650002,50.84,10540300,48.791451
"2021-06-21",51.049999,52.040001,51.049999,51.93,5131800,49.837532
"2021-06-22",51.799999,52.130001,51.529999,51.77,3383400,49.683975
"2021-06-23",51.790001,52.380001,51.560001,52.080002,3489600,49.981487
"2021-06-24",51.27,52.330002,50.830002,52.099998,3876900,50.000675
"2021-06-25",52.049999,52.450001,51.860001,52.16,4094500,50.058262
"2021-06-28",52.060001,52.59,51.689999,52.209999,3869200,50.106247
"2021-06-29",52.27,53.029999,51.869999,51.990002,4223600,49.895115
"2021-06-30",52.060001,52.810001,51.869999,52.610001,4398600,50.490128
"2021-07-01",51.82,52.029999,48.029999,48.709999,23966400,46.747272
"2021-07-02",49.110001,49.139999,47.57,48.169998,15863200,46.229034
"2021-07-06",48.029999,48.279999,47.220001,47.700001,8862900,45.777973
"2021-07-07",47.549999,47.970001,47.060001,47.490002,7378000,45.576435
"2021-07-08",47.049999,47.09,46.470001,46.720001,7926700,44.83746
"2021-07-09",46.709999,47.5,46.68,47.41,7642100,45.499657
"2021-07-12",47.349998,48.139999,46.950001,47.549999,7943100,45.634018
"2021-07-13",47.580002,48.099998,47.259998,47.32,6540300,45.413284
"2021-07-14",47.419998,47.599998,46.490002,46.880001,7219100,44.991016
"2021-07-15",46.689999,47.040001,46.130001,46.25,6194700,44.386402
"2021-07-16",46.380001,46.57,45.860001,46.02,5410600,44.165668
"2021-07-19",45.939999,46.09,45.09,45.580002,7601200,43.743397
"2021-07-20",45.73,46.650002,45.439999,46.060001,6194300,44.204056
"2021-07-21",46.259998,46.75,46.02,46.669998,8544400,44.789474
"2021-07-22",46.52,46.59,46.099998,46.490002,3519000,44.616734
"2021-07-23",46.779999,46.869999,46.279999,46.529999,3742600,44.655113
"2021-07-26",46.529999,47.330002,46.52,47.25,4056600,45.346107
"2021-07-27",46.990002,47.490002,46.77,46.82,5121300,44.933426
"2021-07-28",46.810001,47.25,46.549999,47.110001,3333800,45.211742
"2021-07-29",47.52,47.529999,46.950001,47.040001,3084600,45.144566
"2021-07-30",46.950001,47.5,46.900002,47.150002,9695000,45.250134
"2021-08-02",47.419998,47.77,46.779999,46.830002,4118400,44.943031
"2021-08-03",46.990002,47.529999,46.540001,47.490002,4153700,45.576435
"2021-08-04",46.400002,46.919998,46.189999,46.540001,5784000,44.664715
"2021-08-05",46.84,46.950001,46.32,46.93,4940700,45.038998
"2021-08-06",47.099998,47.5,46.889999,47.099998,5731400,45.202148
"2021-08-09",47.200001,47.759998,47.09,47.439999,4226100,45.528446
"2021-08-10",47.610001,48.490002,47.41,48.43,4977400,46.478558
"2021-08-11",48.75,49.849998,48.459999,49.720001,7754200,47.716579
"2021-08-12",50,50.07,49.080002,49.32,3631100,47.332695
"2021-08-13",49.330002,49.619999,49.080002,49.290001,3776200,47.303909
"2021-08-16",49.189999,49.610001,48.93,49.139999,4639100,47.15995
"2021-08-17",49.09,49.330002,48.610001,49.139999,3846100,47.15995
"2021-08-18",49.119999,49.549999,48.919998,49.02,5022500,47.044788
"2021-08-19",48.380001,48.419998,47.41,47.549999,5501600,46.083382
"2021-08-20",47.5,48.360001,47.16,48.299999,3285600,46.810249
"2021-08-23",48.389999,48.84,48.299999,48.509998,3480800,47.013767
"2021-08-24",48.580002,48.68,48.279999,48.34,3803800,46.849018
"2021-08-25",48.52,48.860001,48.029999,48.650002,4013800,47.149456
"2021-08-26",48.810001,48.869999,47.68,47.84,3847200,46.364441
"2021-08-27",48.099998,48.790001,47.950001,48.48,3355000,46.984699
"2021-08-30",48.580002,48.849998,48.290001,48.630001,2461700,47.13007
"2021-08-31",48.459999,50.869999,48.389999,50.75,11814400,49.184681
"2021-09-01",50.73,50.810001,49.48,50.290001,5212400,48.738873
"2021-09-02",50.5,51.860001,50.41,51.779999,6021100,50.182911
"2021-09-03",51.540001,51.93,51.27,51.290001,3338000,49.708031
"2021-09-07",51.110001,51.349998,50.700001,51,3355100,49.426971
"2021-09-08",51.25,51.41,50.880001,51.09,2823700,49.514194
"2021-09-09",50.91,50.950001,50.110001,50.57,4368500,49.010235
"2021-09-10",50.810001,50.849998,49.439999,49.450001,5550100,47.924778
"2021-09-13",49.869999,50.25,49.080002,49.18,8469500,47.663109
"2021-09-14",49.330002,49.380001,48.16,48.220001,4939300,46.732719
"2021-09-15",48.080002,50.189999,48.080002,50.119999,5612800,48.574112
"2021-09-16",50.110001,50.349998,49.32,49.939999,5413100,48.399666
"2021-09-17",49.48,49.759998,49.200001,49.619999,7437300,48.089535
"2021-09-20",49.07,49.400002,47.849998,48.400002,5325500,46.907166
"2021-09-21",48.599998,49.119999,47.91,48.02,4614500,46.538887
"2021-09-22",48.540001,48.68,47.950001,48.009998,3896300,46.529194
"2021-09-23",47.950001,48.810001,47.75,48.459999,2947200,46.965313
"2021-09-24",48.639999,48.669998,48.240002,48.310001,3457200,46.819942
"2021-09-27",48.349998,49.209999,48.290001,48.799999,6688800,47.294827
"2021-09-28",48.720001,48.990002,48.029999,48.09,6323800,46.606728
"2021-09-29",48.099998,50.880001,47.849998,48.709999,5568400,47.2076
"2021-09-30",48.790001,48.93,46.919998,47.049999,6449400,45.598804
"2021-10-01",47.130001,47.27,46.060001,46.799999,4895800,45.356514
"2021-10-04",46.759998,47.439999,46.52,46.689999,5628800,45.249905
"2021-10-05",46.740002,47.220001,46.27,47.09,4149600,45.637573
"2021-10-06",46.860001,47.240002,46.220001,46.91,4414400,45.463123
"2021-10-07",47.360001,48.27,47.240002,47.849998,4311400,46.37413
"2021-10-08",47.860001,47.91,47.240002,47.380001,5643700,45.918629
"2021-10-11",47.400002,48.25,47.380001,47.419998,3278700,45.95739
"2021-10-12",47.150002,47.810001,47.07,47.419998,4473500,45.95739
"2021-10-13",47.580002,47.68,46.810001,47.259998,5978400,45.802326
"2021-10-14",47.41,51.779999,45.23,50.77,29374000,49.204067
"2021-10-15",51.209999,51.66,48.799999,48.919998,11856600,47.411125
"2021-10-18",48.709999,48.709999,47.59,48.400002,6456800,46.907166
"2021-10-19",48.59,48.59,47.48,48.009998,6040800,46.529194
"2021-10-20",48.099998,48.619999,47.880001,48.389999,4936000,46.897469
"2021-10-21",48.299999,49.189999,48.299999,49.139999,4739300,47.62434
"2021-10-22",49.299999,49.919998,48.740002,49,5150600,47.488659
"2021-10-25",49.5,49.810001,49.09,49.220001,5060100,47.701874
"2021-10-26",49.400002,49.400002,48.02,48.310001,5806400,46.819942
"2021-10-27",48.450001,48.459999,47.09,47.119999,5652000,45.666645
"2021-10-28",47.080002,47.349998,46.66,47.099998,4843900,45.647259
"2021-10-29",46.860001,47.279999,46.77,47.02,4999000,45.569729
"2021-11-01",47.099998,47.68,46.810001,47.32,4791400,45.860477
"2021-11-02",47.540001,47.77,46.849998,47.75,5059300,46.27721
"2021-11-03",47.400002,49.43,47.400002,49.23,6018300,47.711567
"2021-11-04",49.279999,49.560001,48.34,49.509998,6505100,47.982925
"2021-11-05",49.900002,50.279999,48.860001,50.200001,8701700,48.651646
"2021-11-08",50.279999,50.98,49.720001,49.900002,6720900,48.360901
"2021-11-09",49.950001,50.07,49.02,49.099998,4719200,47.585575
"2021-11-10",49.169998,49.740002,48.880001,48.970001,4537400,47.459587
"2021-11-11",49.389999,49.959999,49.080002,49.939999,3837200,48.399666
"2021-11-12",49.389999,49.860001,49.02,49.540001,3200100,48.475994
"2021-11-15",49.689999,49.91,49.049999,49.220001,3489000,48.162865
"2021-11-16",49.330002,49.349998,48.529999,48.57,4013400,47.526821
"2021-11-17",48.400002,48.66,47.619999,47.810001,8640600,46.783146
"2021-11-18",47.619999,47.970001,46.849998,47.82,5186200,46.792931
"2021-11-19",47.889999,47.900002,46.849998,46.98,7617800,45.97097
"2021-11-22",47,48.080002,46.799999,47.32,4780800,46.303673
"2021-11-23",47.470001,47.900002,46.5,47.389999,7307300,46.372166
"2021-11-24",47.130001,47.34,46.259998,46.619999,7993900,45.618706
"2021-11-26",45.91,46.150002,45.290001,45.900002,5798700,44.914173
"2021-11-29",46.110001,46.509998,45.5,46.080002,8875200,45.090305
"2021-11-30",46.060001,46.509998,44.41,44.799999,13238100,43.837795
"2021-12-01",45.299999,45.700001,43.689999,43.720001,6257600,42.780994
"2021-12-02",44.240002,44.990002,43.619999,44.619999,5758500,43.661663
"2021-12-03",44.860001,46.580002,44.509998,46.529999,12772900,45.530636
"2021-12-06",46.889999,48.759998,46.75,48.299999,8992500,47.262623
"2021-12-07",48.439999,48.91,48.07,48.23,6454300,47.194126
"2021-12-08",48.34,48.810001,48.169998,48.5,5329300,47.458324
"2021-12-09",48.400002,49.610001,48.02,49.169998,6381700,48.113937
"2021-12-10",49.610001,49.939999,49.09,49.5,4121500,48.436848
"2021-12-13",49.669998,50.130001,48.669998,49.139999,4588900,48.084583
"2021-12-14",49.139999,50.459999,49,49.32,5314700,48.260715
"2021-12-15",49.48,49.73,48.529999,49.66,5446000,48.593414
"2021-12-16",48.5,50.150002,48.5,49.259998,5551900,48.202003
"2021-12-17",49.060001,49.619999,48.68,48.849998,9503100,47.800812
"2021-12-20",48.380001,48.889999,47.900002,48.830002,4307500,47.781242
"2021-12-21",49.130001,50.189999,48.959999,49.959999,5078500,48.886971
"2021-12-22",49.970001,50.799999,49.790001,50.41,4791500,49.327305
"2021-12-23",50.720001,50.939999,50.459999,50.48,2898500,49.395802
"2021-12-27",50.41,50.93,50.32,50.73,5219200,49.64043
"2021-12-28",50.73,51.619999,50.720001,51.43,3736100,50.325397
"2021-12-29",51.450001,52.310001,51.279999,52.25,5117300,51.127785
"2021-12-30",52.360001,52.919998,51.939999,51.990002,3653600,50.873371
"2021-12-31",51.900002,52.419998,51.830002,52.16,3406700,51.039719
"2022-01-03",52.259998,53.18,52.259998,53.060001,7643300,51.920391
"2022-01-04",53.18,54.07,53.09,53.48,6744300,52.331367
"2022-01-05",53.689999,54.799999,53.580002,54,8330900,52.840202
"2022-01-06",53.990002,54.490002,52.290001,52.439999,12076700,51.313702
"2022-01-07",52.240002,54.150002,51.900002,53.84,7642000,52.683636
"2022-01-10",53.93,54.560001,53.16,53.73,6738300,52.575996
"2022-01-11",53.98,55,53.619999,54.330002,6721600,53.163113
"2022-01-12",54.529999,54.669998,53.450001,53.91,5280100,52.752132
