"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2020-08-17",139.25,140.740005,139.089996,139.660004,1559000,134.110931
"2020-08-18",140.5,140.789993,138.940002,139.949997,2078000,134.389374
"2020-08-19",139.889999,140.509995,138.220001,138.899994,1478900,133.381119
"2020-08-20",137.589996,139.479996,137.360001,139.149994,1310300,133.621201
"2020-08-21",139.050003,139.050003,137.100006,138.080002,1795700,132.593689
"2020-08-24",138.630005,140.720001,137.630005,140.660004,1387600,135.071198
"2020-08-25",141.080002,142.850006,140.160004,141.059998,1917300,135.455322
"2020-08-26",141.020004,141.869995,139.070007,139.610001,1804100,134.062912
"2020-08-27",141.490005,142.460007,140.029999,141.009995,1738100,135.407288
"2020-08-28",140.940002,141.440002,139.380005,141.339996,1079200,135.724167
"2020-08-31",140.809998,140.960007,138.360001,139.089996,2893600,133.563568
"2020-09-01",138.789993,138.869995,137.350006,138.529999,1615700,133.025833
"2020-09-02",138.179993,143.050003,137.5,142.479996,2220000,136.818863
"2020-09-03",142.929993,144.25,137.720001,139.139999,2033400,133.611603
"2020-09-04",139.220001,141.729996,137.5,138.529999,2924200,133.025833
"2020-09-08",136.479996,137.850006,134.800003,135.889999,2618000,130.490723
"2020-09-09",136.679993,138.529999,135.119995,137.259995,1961800,131.806274
"2020-09-10",136.429993,136.720001,131.279999,131.899994,2463700,127.50457
"2020-09-11",132.5,133.800003,131.380005,133.440002,1862200,128.993271
"2020-09-14",134.649994,137.279999,134.320007,136.570007,4143000,132.018951
"2020-09-15",137.089996,138.100006,136.149994,136.970001,2034300,132.405624
"2020-09-16",137.619995,140.139999,137.160004,137.710007,1512900,133.120972
"2020-09-17",134.770004,137.970001,134.199997,137.869995,1575300,133.27562
"2020-09-18",137.770004,137.880005,133.869995,135.089996,3148600,130.588242
"2020-09-21",132.210007,132.789993,129.110001,131.029999,2033400,126.663567
"2020-09-22",131.410004,133.300003,130.449997,132.910004,1314000,128.480896
"2020-09-23",132.309998,132.919998,128.369995,128.720001,1616600,124.430557
"2020-09-24",128.25,131.339996,127.309998,130.800003,1940000,126.441238
"2020-09-25",129.229996,134.940002,129.229996,134.539993,2310000,130.056595
"2020-09-28",136.720001,138.039993,136.080002,137.309998,2593200,132.734299
"2020-09-29",137.550003,138.509995,136.5,137.539993,1954200,132.956589
"2020-09-30",137.949997,140.970001,137.770004,139.490005,2856800,134.84166
"2020-10-01",141.619995,141.669998,136.690002,137.699997,2023100,133.111282
"2020-10-02",135.179993,139.320007,135.110001,138.669998,2226500,134.048965
"2020-10-05",139.289993,141.869995,138.929993,140.960007,1957600,136.262665
"2020-10-06",141.220001,145.580002,140.009995,142.259995,2206000,137.519333
"2020-10-07",143.369995,144.419998,142,143.729996,2422200,138.940338
"2020-10-08",145.210007,147.320007,144.910004,147.009995,1975800,142.111038
"2020-10-09",148,150.080002,146.869995,149.850006,2693300,144.8564
"2020-10-12",151.5,152.139999,150.050003,150.580002,2955200,145.562073
"2020-10-13",151.550003,152.149994,148.720001,149.690002,1972200,144.701721
"2020-10-14",149.990005,150.949997,148.039993,148.509995,2246300,143.561066
"2020-10-15",146.520004,147.789993,146,147.389999,1706700,142.478378
"2020-10-16",148.210007,149.639999,147.5,148.419998,1145600,143.47403
"2020-10-19",148.100006,148.990005,144.699997,145.050003,2198800,140.216385
"2020-10-20",146.429993,147.539993,145.770004,146.619995,1195600,141.734039
"2020-10-21",146.919998,148.070007,145.850006,146.850006,1174600,141.95639
"2020-10-22",147.059998,149.5,146.089996,148.850006,1494500,143.88974
"2020-10-23",150.070007,150.399994,148.330002,149.199997,1082900,144.228058
"2020-10-26",147.399994,147.410004,144.589996,145.770004,2823300,140.912369
"2020-10-27",146.119995,147.190002,145.570007,146.029999,2032000,141.163712
"2020-10-28",155.199997,159.350006,153.880005,155.080002,4716600,149.912109
"2020-10-29",154.669998,159.460007,153.490005,158.190002,2225100,152.918488
"2020-10-30",156.880005,159.419998,155.789993,157.960007,2894400,152.696182
"2020-11-02",159.440002,162.080002,158.5,161.460007,2742500,156.079529
"2020-11-03",163.600006,167.369995,163.070007,166.479996,2136200,160.93222
"2020-11-04",167.880005,168.669998,163.850006,164.580002,2478700,159.095581
"2020-11-05",165.649994,166.869995,161.940002,162.710007,2740200,157.287857
"2020-11-06",164.800003,166.580002,163.559998,166.229996,1902300,160.690567
"2020-11-09",173.470001,174.789993,169.649994,169.889999,2298000,164.228607
"2020-11-10",169.119995,173.389999,168.179993,171.070007,1669800,165.369278
"2020-11-11",172,173.330002,170.559998,171.869995,1821400,166.142609
"2020-11-12",170.850006,171.850006,168.470001,169.429993,1346300,163.78392
"2020-11-13",171,171.929993,169.630005,171.630005,1095200,165.910645
"2020-11-16",174,177.190002,172.449997,177.050003,2322400,171.149994
"2020-11-17",175,176.580002,174.25,176.149994,1249000,170.279953
"2020-11-18",176.149994,176.179993,172.880005,173.160004,1326000,167.389633
"2020-11-19",171.850006,174.350006,171.360001,173.630005,1110600,167.843964
"2020-11-20",173.5,173.779999,171.25,171.270004,1477300,165.562607
"2020-11-23",172.139999,173.539993,170.25,172.059998,1260100,166.326279
"2020-11-24",173.539993,175.580002,172.25,175.270004,1599300,169.429321
"2020-11-25",176.699997,176.699997,173.419998,174.080002,910500,168.278961
"2020-11-27",174.660004,175.429993,174.210007,175.25,588300,169.409988
"2020-11-30",174.139999,175.100006,171.330002,173.880005,2846400,168.085617
"2020-12-01",175.160004,176.410004,173.639999,174.669998,2270500,168.849335
"2020-12-02",174.679993,175.059998,171.009995,171.580002,2365000,165.862274
"2020-12-03",171.25,173.330002,170.880005,172.089996,1423100,166.35527
"2020-12-04",172.360001,175.630005,171.710007,174.789993,1022600,168.965317
"2020-12-07",174,174.729996,172.850006,174.570007,1115300,168.75267
"2020-12-08",174.429993,174.949997,173.339996,174.529999,1022400,168.713959
"2020-12-09",175.119995,175.169998,172.770004,173.839996,1535400,168.046982
"2020-12-10",172.720001,172.850006,171.210007,172,1811900,167.162552
"2020-12-11",171.429993,173.679993,171.080002,173.529999,1200900,168.649521
"2020-12-14",173.330002,175.809998,172.289993,173.149994,3068800,168.280212
"2020-12-15",174.259995,175.789993,172.869995,175.75,1227100,170.807083
"2020-12-16",175.910004,176.550003,174.279999,175.589996,1119900,170.651596
"2020-12-17",176.589996,179.029999,175.919998,177.339996,1165100,172.352371
"2020-12-18",178.470001,179.460007,177.470001,179.240005,3298900,174.198929
"2020-12-21",176,177.839996,174.410004,177.490005,1457200,172.498154
"2020-12-22",176.699997,177.039993,175.460007,176.339996,946600,171.380478
"2020-12-23",177.5,178.259995,174.990005,175.190002,934700,170.262848
"2020-12-24",176.119995,176.570007,174.929993,176.559998,371600,171.594315
"2020-12-28",177.550003,178.160004,176.470001,176.610001,770500,171.642914
"2020-12-29",177.460007,177.809998,174.570007,174.869995,797100,169.951859
"2020-12-30",175.600006,176.25,173.320007,173.809998,787500,168.921646
"2020-12-31",174.139999,176.449997,173.330002,176.199997,1142800,171.244446
"2021-01-04",175.970001,176.570007,167.729996,168.960007,2266700,164.208069
"2021-01-05",168.679993,170.179993,167.369995,168.490005,1491600,163.751266
"2021-01-06",166.130005,169.440002,166.029999,167.899994,1646100,163.177872
"2021-01-07",168.059998,169.949997,167.440002,168.850006,1596700,164.101151
"2021-01-08",168.970001,172.380005,168.309998,171.050003,2638700,166.239288
"2021-01-11",170.929993,171.580002,168.119995,168.509995,1235900,163.770706
"2021-01-12",168.649994,169.539993,167.020004,169.059998,1641300,164.305237
"2021-01-13",162,165.690002,161,164.660004,3146400,160.028992
"2021-01-14",164.679993,165,161.5,161.910004,2591100,157.356339
"2021-01-15",161.589996,161.710007,159.309998,161.119995,2885000,156.588547
"2021-01-19",161.130005,162.220001,160.139999,161.979996,1703500,157.424377
"2021-01-20",162.039993,162.830002,160.619995,162.350006,1441900,157.783981
"2021-01-21",162.199997,162.350006,160.100006,161.029999,1867200,156.501083
"2021-01-22",161.149994,162.440002,159.809998,161.979996,1895000,157.424377
