"","RJF.Open","RJF.High","RJF.Low","RJF.Close","RJF.Volume","RJF.Adjusted"
"2020-07-01",46.313332,46.506668,44.66,44.733334,895950,43.478951
"2020-07-02",45.813332,46.373333,44.866669,45.02,852000,43.757576
"2020-07-06",46.200001,47.32,45.846668,46.126667,1225800,44.83321
"2020-07-07",45.599998,45.639999,44.473331,44.68,963000,43.427116
"2020-07-08",44.439999,45.373333,44.286667,45.32,797850,44.049164
"2020-07-09",45.073334,45.34,43.32,43.733334,723150,42.506989
"2020-07-10",43.873333,45.973331,43.873333,45.959999,871200,44.671215
"2020-07-13",46.753334,46.886665,45.860001,46.006668,837600,44.716576
"2020-07-14",45.946667,46.34,45.02,46.033333,773850,44.742493
"2020-07-15",47.5,48.486668,46.773335,48.093334,975600,46.744736
"2020-07-16",47.593334,49.306667,47.206669,48.5,1078950,47.139992
"2020-07-17",48.613335,48.613335,47.220001,47.233334,1259100,45.908844
"2020-07-20",46.873333,47.313332,46.573334,46.873333,717150,45.558945
"2020-07-21",47.066666,48.746666,47.066666,48.68,696000,47.314949
"2020-07-22",48.139999,48.993332,47.913334,48.286667,1069650,46.93264
"2020-07-23",47.793331,48.860001,47.793331,48.16,1432050,46.809525
"2020-07-24",48.273335,48.726665,47.713333,48.080002,892050,46.73177
"2020-07-27",48,48.026669,46.779999,47.466667,874950,46.135635
"2020-07-28",47.133331,47.613335,46.473331,46.68,934350,45.371033
"2020-07-29",46.759998,47.673332,46.493332,47.673332,1037700,46.336502
"2020-07-30",46.673332,46.673332,45.34,46.053333,1954200,44.761936
"2020-07-31",46.16,46.66,45.473331,46.32,1104900,45.021118
"2020-08-03",46.626667,48.18,46.306667,47.633331,1004250,46.297626
"2020-08-04",47.380001,47.779999,46.546665,47.286667,938400,45.960682
"2020-08-05",47.779999,48.279999,47.553333,48.113335,858300,46.764164
"2020-08-06",47.959999,48.259998,47.446667,47.966667,741000,46.621613
"2020-08-07",47.586666,49.946667,47.586666,49.853333,1539150,48.455368
"2020-08-10",49.946667,50.98,49.633331,50.639999,872700,49.219986
"2020-08-11",51.593334,52.286667,50.5,50.593334,1067850,49.174629
"2020-08-12",51.426666,51.880001,50.060001,50.873333,810000,49.446777
"2020-08-13",50.166668,50.693333,49.866669,50.053333,526050,48.649769
"2020-08-14",49.619999,51.066666,49.453335,50.653332,544350,49.232944
"2020-08-17",50.406666,50.720001,49.686668,50.16,604050,48.753441
"2020-08-18",50.060001,50.313332,49.553333,49.926666,661650,48.526649
"2020-08-19",49.793331,51.046665,49.720001,49.900002,693300,48.500736
"2020-08-20",49.126667,49.553333,48.646667,49.146667,746550,47.768528
"2020-08-21",49.166668,49.606667,48.913334,49.133331,468300,47.755566
"2020-08-24",49.439999,50.986668,49.220001,50.986668,724050,49.556938
"2020-08-25",51.599998,51.599998,50.726665,51.299999,1028250,49.861473
"2020-08-26",51.053333,51.293331,50.093334,50.133331,1035600,48.72752
"2020-08-27",50.133331,51.606667,50.106667,51.16,599400,49.725399
"2020-08-28",51.540001,51.540001,50.486668,51.146667,676500,49.712448
"2020-08-31",51.18,51.326668,50.380001,50.48,843900,49.064468
"2020-09-01",50.113335,50.759998,49.720001,50.333332,1110900,48.921921
"2020-09-02",50.386665,51.526669,50.013332,51.286667,746400,49.848518
"2020-09-03",51.673332,52.580002,50.34,50.733334,847050,49.310699
"2020-09-04",51.779999,52.333332,50.393333,51.080002,892500,49.647644
"2020-09-08",50.533333,50.580002,48.799999,48.873333,1216500,47.502857
"2020-09-09",49.286667,49.400002,48.613335,49.040001,1144500,47.664848
"2020-09-10",49.253334,49.5,48.52,48.633331,1368750,47.269585
"2020-09-11",48.853333,49.639999,48.726665,49.073334,1072650,47.697258
"2020-09-14",49.466667,51.126667,49.466667,50.653332,1082550,49.232944
"2020-09-15",50.453335,50.48,48.953335,49.560001,989700,48.170269
"2020-09-16",49.953335,50.993332,49.533333,49.793331,1719450,48.397057
"2020-09-17",49.233334,49.426666,48.68,49.166668,1418100,47.787964
"2020-09-18",48.766666,49.366669,48.613335,48.646667,1741350,47.282547
"2020-09-21",47.426666,47.933334,46.293331,46.933334,1467900,45.617256
"2020-09-22",46.880001,47.573334,46.200001,46.826668,889200,45.513584
"2020-09-23",46.919998,47.580002,46,46.060001,1120800,44.768417
"2020-09-24",46.173332,47.060001,45.106667,46.373333,1524150,45.07296
"2020-09-25",46,47.373333,45.953335,47.193333,956850,45.869965
"2020-09-28",48.18,48.993332,47.806667,48.459999,1083000,47.101112
"2020-09-29",48.326668,48.639999,47.853333,48.200001,846750,46.848404
"2020-09-30",48.093334,49.040001,47.993332,48.506668,1087800,47.388988
"2020-10-01",48.959999,49.333332,47.626667,48.459999,1068600,47.343395
"2020-10-02",47.68,50.119999,47.52,49.68,924150,48.53529
"2020-10-05",50.266666,51.033333,50.233334,50.773335,1060350,49.603428
"2020-10-06",51.18,51.386665,49.766666,50.060001,760650,48.906532
"2020-10-07",50.653332,51.580002,50.566666,51.119999,912450,49.942104
