"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2020-09-17",133.389999,134.550003,131.690002,133.199997,5186400,126.781868
"2020-09-18",133.710007,134.789993,130.009995,131.470001,8473000,125.135231
"2020-09-21",130.369995,131.309998,129.360001,131.240005,4402700,124.916328
"2020-09-22",131,132.889999,130.449997,132.149994,3951000,125.782455
"2020-09-23",132.699997,132.820007,129.850006,131,5909900,124.687874
"2020-09-24",131.440002,132.309998,129.919998,131.580002,4316600,125.239929
"2020-09-25",130.889999,133.830002,130.509995,133.550003,4576000,127.115013
"2020-09-28",136.039993,138.580002,135.669998,137.970001,7487500,131.322006
"2020-09-29",138.660004,139.539993,137.130005,137.160004,4330500,130.551056
"2020-09-30",137.990005,139.190002,136.899994,138.600006,7060700,131.921661
"2020-10-01",139.440002,140.850006,137.490005,140.800003,6483900,134.015686
"2020-10-02",139.279999,139.910004,136.199997,138.059998,5130200,131.407684
"2020-10-05",138.110001,138.380005,136.979996,137.929993,4519800,131.283951
"2020-10-06",138,138.820007,135.149994,135.699997,5031000,129.161392
"2020-10-07",135.940002,137.520004,135.759995,137.009995,4347300,130.408279
"2020-10-08",137.279999,138.130005,136.759995,137.850006,2977400,131.20784
"2020-10-09",138.699997,139.259995,137.899994,138.440002,3194000,131.769394
"2020-10-12",141.119995,143.490005,139.779999,142.130005,6167200,135.281601
"2020-10-13",142.220001,144,141.910004,143.539993,4293200,136.623627
"2020-10-14",143.550003,144.110001,141.630005,142.520004,3641000,135.652817
"2020-10-15",141.160004,141.970001,140.619995,141.429993,3306800,134.615295
"2020-10-16",141.75,142.820007,141.130005,141.729996,5076000,134.900848
"2020-10-19",141.339996,142.529999,139.25,139.679993,3223200,132.949615
"2020-10-20",141,141.220001,139.410004,139.710007,2750900,132.978195
"2020-10-21",139.679993,140.479996,139.100006,139.600006,2560100,132.873489
"2020-10-22",139.800003,140.199997,139.009995,139.610001,2909000,132.883026
"2020-10-23",140.220001,140.529999,139.039993,139.559998,2758400,132.835419
"2020-10-26",138.740005,139.080002,136.410004,138.059998,3431100,131.407684
"2020-10-27",138.570007,139.889999,138.300003,139.119995,3390800,132.416611
"2020-10-28",137.149994,137.710007,133.940002,134.169998,5196000,127.705124
"2020-10-29",133.759995,135.630005,132.259995,133.990005,3856500,127.533783
"2020-10-30",132.929993,133.839996,131.710007,133.289993,4303900,126.867516
"2020-11-02",135.610001,136.229996,133.779999,135.149994,3126400,128.637909
"2020-11-03",136.619995,138.600006,136.279999,137.039993,3293900,130.436829
"2020-11-04",139,141.699997,137.660004,137.860001,4576300,131.217331
"2020-11-05",139.350006,140.270004,137.470001,138.050003,3667800,131.398193
"2020-11-06",138.559998,139.770004,137.330002,138.380005,2867000,131.712296
"2020-11-09",142,143.649994,138.169998,138.449997,6111300,131.778915
"2020-11-10",136.990005,142.440002,136.190002,141.720001,5284500,134.891357
"2020-11-11",142.860001,144.240005,141.610001,143.899994,4389800,136.966278
"2020-11-12",144.25,144.740005,142.759995,143.839996,2570100,136.909164
"2020-11-13",143.770004,144.889999,143.270004,144.710007,2580400,137.737289
"2020-11-16",145,146.259995,144.690002,145.759995,3399000,138.736664
"2020-11-17",144.270004,146.100006,144.110001,145.240005,2924000,138.24173
"2020-11-18",145.490005,146.570007,143.300003,143.380005,4335200,136.471359
"2020-11-19",142.880005,143.699997,142.339996,143.320007,4263500,136.41423
"2020-11-20",143.649994,144.639999,143,143.419998,3469100,136.50943
"2020-11-23",143.309998,143.649994,141.880005,143.020004,3443300,136.128708
"2020-11-24",143.190002,144.360001,142.820007,144.029999,4472300,137.090027
"2020-11-25",144.449997,144.919998,143.699997,144.160004,2278300,137.213776
"2020-11-27",144.619995,145.279999,144.179993,144.600006,1596000,137.632568
"2020-11-30",144.460007,144.630005,142.880005,144.229996,4906900,137.280396
"2020-12-01",145.029999,146.630005,144.5,146.070007,3999200,139.031754
"2020-12-02",145.880005,146.940002,143.889999,144.619995,4432900,137.651596
"2020-12-03",143.020004,144.960007,143.020004,144.449997,4757900,138.469284
"2020-12-04",143.869995,145.979996,143.850006,145.850006,3592600,139.81134
"2020-12-07",145.679993,146.559998,144.619995,145.369995,4217300,139.351196
"2020-12-08",145.330002,146.160004,144.289993,145.520004,3623800,139.49498
"2020-12-09",145.559998,146.100006,144.279999,145.690002,3842000,139.657944
"2020-12-10",146.039993,146.289993,144.419998,144.669998,3985000,138.680176
"2020-12-11",143.630005,145.100006,143.410004,144.970001,2975500,138.967758
"2020-12-14",145.25,146.470001,144.050003,144.229996,3952400,138.258377
"2020-12-15",144.559998,145.270004,143.889999,144.770004,3183300,138.776047
"2020-12-16",143.979996,145.470001,143.899994,144.889999,4915800,138.891068
"2020-12-17",145.25,146.199997,145.179993,145.710007,3312500,139.677124
"2020-12-18",146.330002,147.100006,145.5,146.929993,8980400,140.846603
"2020-12-21",145,145.660004,143.470001,145.399994,3946900,139.379944
"2020-12-22",144.600006,145,143.479996,144.020004,2653700,138.057098
"2020-12-23",144.490005,145.600006,144.070007,144.410004,2645100,138.430939
"2020-12-24",144.830002,145.110001,144.139999,145.059998,883300,139.054016
"2020-12-28",145.779999,147.600006,145.539993,146.910004,2493500,140.827438
"2020-12-29",147.679993,148.770004,146.839996,147.419998,3186700,141.316299
"2020-12-30",147.470001,147.990005,147.009995,147.309998,2224900,141.210892
"2020-12-31",147.479996,148.460007,146.639999,148.300003,2076800,142.159897
"2021-01-04",147.009995,147.779999,141.940002,144.270004,7486900,138.296738
"2021-01-05",144.070007,145.179993,142.899994,144.699997,4126000,138.708939
"2021-01-06",141.669998,143.600006,141.589996,142.929993,4843300,137.012222
"2021-01-07",142.809998,143.149994,141.149994,142.470001,4473200,136.571259
