"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"2020-07-01",241.899994,244.850006,239.360001,243.75,1049100,233.281265
"2020-07-02",245.169998,247.759995,244.919998,247.419998,1333000,236.793625
"2020-07-06",250.330002,250.979996,244.860001,248.910004,1131600,238.21965
"2020-07-07",251.850006,265.269989,251.669998,265.130005,2682600,253.743042
"2020-07-08",266.399994,276.859985,265.980011,269.790009,2793000,258.202881
"2020-07-09",271.019989,272.01001,265.940002,271.600006,1504300,259.93515
"2020-07-10",272.410004,273.839996,269.839996,273.190002,951600,261.456879
"2020-07-13",276.070007,280.700012,273.540009,274.350006,1180900,262.566986
"2020-07-14",274,281.549988,273.029999,280.98999,1990300,268.921844
"2020-07-15",282.75,285.299988,281.100006,281.970001,1327100,269.859772
"2020-07-16",283.179993,288,282.76001,287.190002,2252300,274.85556
"2020-07-17",289,295.369995,287.619995,294,1961500,281.373077
"2020-07-20",293.459991,295.899994,288,290.869995,1037600,278.377533
"2020-07-21",291,292.670013,289.910004,290.390015,1057500,277.918091
"2020-07-22",290.429993,296.279999,289.660004,295.51001,820600,282.818237
"2020-07-23",289.440002,299.820007,289.440002,293.25,1318700,280.655334
"2020-07-24",291.970001,293.350006,289.350006,291.519989,1064000,278.999573
"2020-07-27",293.649994,297.089996,292.26001,294.709991,1077300,282.052612
"2020-07-28",294.48999,294.720001,289.140015,289.269989,775400,276.846222
"2020-07-29",289.209991,292.730011,288.429993,288.850006,1131200,276.444305
"2020-07-30",286.019989,287.410004,283.179993,284.809998,1042200,272.577789
"2020-07-31",285.619995,286.73999,281.059998,286.630005,1546200,274.319641
"2020-08-03",288.079987,288.630005,278.329987,278.410004,1731000,266.452667
"2020-08-04",276.329987,280.959991,274.559998,279.579987,2065300,267.572388
"2020-08-05",281.149994,288.040009,281.079987,284.619995,1624700,272.395935
"2020-08-06",283.660004,284.970001,281.059998,282.98999,1293700,270.835968
"2020-08-07",283.329987,283.329987,279.200012,281.690002,861700,269.591766
"2020-08-10",280.779999,281.790009,278.899994,281.23999,980600,269.161102
"2020-08-11",282.109985,284.690002,280.850006,281.600006,967000,269.505676
"2020-08-12",284,287.359985,282.609985,285.399994,755400,273.142426
"2020-08-13",284.279999,288.48999,284.170013,288.309998,758200,275.92749
"2020-08-14",288.420013,292.049988,287.679993,289.820007,1017200,277.37265
"2020-08-17",291.779999,293.309998,289.089996,289.559998,846100,277.123779
