"","MHK.Open","MHK.High","MHK.Low","MHK.Close","MHK.Volume","MHK.Adjusted"
"2021-07-06",196.399994,198.210007,191.229996,193.710007,659600,193.710007
"2021-07-07",192.759995,199.050003,192.759995,197.869995,473700,197.869995
"2021-07-08",192.669998,196.020004,189.869995,193.149994,421600,193.149994
"2021-07-09",197.320007,200.970001,196.639999,198.949997,473000,198.949997
"2021-07-12",195.929993,199.509995,194.779999,198.759995,424600,198.759995
"2021-07-13",196.889999,197.289993,193.589996,194.470001,403100,194.470001
"2021-07-14",195.679993,196.839996,192.199997,194.320007,388700,194.320007
"2021-07-15",192,193.289993,188.139999,190.789993,475100,190.789993
"2021-07-16",191,192.190002,185.460007,186.160004,493000,186.160004
"2021-07-19",181.589996,181.75,176.5,180.619995,596000,180.619995
"2021-07-20",180.759995,187.339996,178.729996,186.520004,515300,186.520004
"2021-07-21",191.149994,195.429993,189.039993,192.639999,361900,192.639999
"2021-07-22",192.100006,192.100006,187.25,187.380005,274000,187.380005
"2021-07-23",189.270004,192.169998,188.460007,191.839996,316600,191.839996
"2021-07-26",192.240005,193.789993,189.610001,191.070007,338800,191.070007
"2021-07-27",188.820007,190.449997,186.550003,189.350006,382400,189.350006
"2021-07-28",190.830002,192.270004,186.520004,189.910004,319700,189.910004
"2021-07-29",190.509995,195.949997,190.509995,195.839996,529300,195.839996
"2021-07-30",194.059998,202.490005,193.25,194.899994,888400,194.899994
"2021-08-02",196.580002,201.270004,194.559998,194.600006,602200,194.600006
"2021-08-03",196.029999,199.850006,191.369995,199.309998,481000,199.309998
"2021-08-04",197.889999,200.259995,195.789993,196.639999,519300,196.639999
"2021-08-05",198.25,200.199997,197.809998,199.100006,356600,199.100006
"2021-08-06",201.199997,202.850006,199.330002,201.289993,379300,201.289993
"2021-08-09",198.990005,200.880005,196.429993,196.529999,328800,196.529999
"2021-08-10",196.699997,202.089996,195.550003,201.050003,273000,201.050003
"2021-08-11",201.210007,208.529999,200.440002,208.509995,483100,208.509995
"2021-08-12",209,211.75,207.190002,209.800003,495300,209.800003
"2021-08-13",209.580002,211.029999,207.910004,209.160004,262100,209.160004
"2021-08-16",209.25,209.25,204.850006,207.440002,310200,207.440002
"2021-08-17",204.809998,205.259995,197.880005,199.740005,561400,199.740005
"2021-08-18",198.520004,202.210007,197.600006,197.860001,499600,197.860001
"2021-08-19",194.199997,198.580002,193.759995,196.949997,466000,196.949997
"2021-08-20",198,202.360001,197.059998,200.779999,441700,200.779999
"2021-08-23",202.619995,202.910004,198.679993,201.100006,283400,201.100006
"2021-08-24",201.229996,205.199997,201.229996,203.320007,216000,203.320007
"2021-08-25",204.339996,207.789993,203.600006,204.759995,334200,204.759995
"2021-08-26",204.199997,204.550003,199.789993,201.089996,342400,201.089996
"2021-08-27",201.5,204.419998,201.5,203.649994,298700,203.649994
"2021-08-30",203.649994,204.110001,201.639999,202.169998,263400,202.169998
"2021-08-31",202.830002,202.830002,196.440002,197.759995,616500,197.759995
"2021-09-01",197.970001,198.759995,195.270004,196,333800,196
"2021-09-02",196.289993,198.600006,195,198.520004,368600,198.520004
"2021-09-03",197.130005,197.610001,193.820007,194.070007,242900,194.070007
"2021-09-07",193.160004,194.619995,190.509995,192.179993,439600,192.179993
"2021-09-08",190.639999,190.639999,186.220001,187.720001,375000,187.720001
"2021-09-09",188.259995,192.259995,187.339996,190.339996,321300,190.339996
"2021-09-10",192.080002,193.979996,187.449997,187.619995,334000,187.619995
"2021-09-13",190.889999,194.419998,189.039993,192.320007,377800,192.320007
"2021-09-14",193.229996,193.229996,186.130005,186.440002,359900,186.440002
"2021-09-15",186.199997,188.119995,184.449997,187.860001,623700,187.860001
"2021-09-16",188.009995,188.600006,183.679993,184.979996,403300,184.979996
"2021-09-17",182.929993,184.800003,179.979996,181.820007,1183300,181.820007
"2021-09-20",179.5,182.699997,175.949997,182.240005,576700,182.240005
"2021-09-21",184.199997,184.199997,179.630005,179.639999,391000,179.639999
"2021-09-22",181.729996,185.350006,181.410004,184.080002,401900,184.080002
"2021-09-23",186.139999,188.429993,185,185.279999,391200,185.279999
"2021-09-24",183.899994,185.850006,183.080002,184.389999,350600,184.389999
"2021-09-27",184.839996,188.699997,184.839996,187.080002,429500,187.080002
"2021-09-28",186.449997,188.119995,183.839996,184.460007,454200,184.460007
"2021-09-29",186.259995,186.949997,182.619995,182.949997,567200,182.949997
"2021-09-30",183.789993,184.309998,177.100006,177.399994,774800,177.399994
"2021-10-01",177.929993,181.050003,176.149994,179.229996,531100,179.229996
"2021-10-04",178.800003,181.699997,177.360001,177.919998,403200,177.919998
"2021-10-05",177.919998,182.880005,176.389999,178.300003,548000,178.300003
"2021-10-06",175.679993,180.089996,174.679993,179.119995,493600,179.119995
"2021-10-07",181.289993,184.789993,180.679993,181.320007,497600,181.320007
"2021-10-08",180.889999,181.960007,178.300003,178.630005,488100,178.630005
"2021-10-11",178.839996,183.479996,178.139999,179.410004,321400,179.410004
"2021-10-12",179.619995,182.669998,179.470001,181.029999,437800,181.029999
"2021-10-13",181.809998,182.199997,178.119995,179.800003,432400,179.800003
"2021-10-14",181.25,187.229996,181.25,185.789993,509300,185.789993
"2021-10-15",187.979996,189.050003,184.020004,184.029999,396400,184.029999
"2021-10-18",182.809998,186.839996,182.809998,186.589996,365600,186.589996
"2021-10-19",187.490005,188.679993,185,185.770004,319700,185.770004
"2021-10-20",185.539993,189.639999,185.020004,189.570007,407400,189.570007
"2021-10-21",190,194.240005,189.710007,191.850006,414700,191.850006
"2021-10-22",192.039993,194.270004,191.009995,192.119995,373300,192.119995
"2021-10-25",192.300003,195.679993,191.550003,193.589996,558800,193.589996
"2021-10-26",194.360001,196.869995,193.210007,193.240005,433900,193.240005
"2021-10-27",192.860001,198.839996,192.259995,192.869995,659600,192.869995
"2021-10-28",193.669998,199.369995,193.220001,199.059998,626500,199.059998
"2021-10-29",189,191.910004,174.169998,177.210007,1556600,177.210007
"2021-11-01",176.759995,184.979996,176.539993,183.570007,962900,183.570007
"2021-11-02",182.589996,182.589996,174.009995,174.350006,669000,174.350006
"2021-11-03",174.210007,178.910004,174,177.789993,642300,177.789993
"2021-11-04",178.889999,180.789993,174.399994,174.809998,527600,174.809998
"2021-11-05",178.190002,180.289993,176.520004,177,457500,177
"2021-11-08",178.520004,179.210007,174.889999,175.910004,730400,175.910004
"2021-11-09",176.020004,178.199997,172,173.220001,720800,173.220001
"2021-11-10",173.25,177.009995,173.199997,175,623000,175
"2021-11-11",175.610001,176.339996,173.410004,173.5,537100,173.5
"2021-11-12",174.130005,178.190002,174.130005,177.320007,395800,177.320007
"2021-11-15",178.039993,178.559998,175.820007,176.020004,510500,176.020004
"2021-11-16",176.619995,180.669998,176.619995,179.320007,525900,179.320007
"2021-11-17",179.5,180.300003,174.580002,175.029999,724700,175.029999
"2021-11-18",176.020004,176.720001,174.009995,174.559998,455400,174.559998
"2021-11-19",174.470001,179.029999,174.259995,177.339996,672300,177.339996
"2021-11-22",177.929993,182.309998,177.160004,181.279999,613700,181.279999
"2021-11-23",180.699997,182.070007,178.789993,181.25,387300,181.25
"2021-11-24",178.929993,181.960007,178.020004,179.699997,409200,179.699997
"2021-11-26",173.679993,175.830002,172.130005,175.419998,440300,175.419998
"2021-11-29",176.949997,177.029999,171.460007,174.380005,554200,174.380005
"2021-11-30",172.729996,173.339996,166.360001,167.869995,1019200,167.869995
"2021-12-01",172.600006,174.059998,165.130005,165.309998,598700,165.309998
"2021-12-02",166.889999,172.949997,166.279999,171.509995,729400,171.509995
"2021-12-03",171.889999,175.119995,171.25,172.839996,824100,172.839996
"2021-12-06",174.940002,178.839996,174.320007,175.350006,739200,175.350006
"2021-12-07",177.509995,181.610001,177.509995,179.330002,599800,179.330002
"2021-12-08",179.539993,180.360001,177.960007,178.830002,441100,178.830002
"2021-12-09",177.759995,181.229996,177.759995,179.279999,460100,179.279999
"2021-12-10",180.660004,181.339996,177.990005,178.380005,396900,178.380005
"2021-12-13",178.369995,178.550003,173.149994,174.600006,593000,174.600006
"2021-12-14",173.610001,177.610001,173.080002,175.139999,555600,175.139999
"2021-12-15",171.990005,176.869995,171.899994,176.630005,558400,176.630005
"2021-12-16",178.119995,179.279999,173.300003,173.449997,622800,173.449997
"2021-12-17",171.75,173.130005,169.660004,170.639999,1094300,170.639999
"2021-12-20",168.179993,168.639999,162.630005,163.949997,632700,163.949997
"2021-12-21",165,169.369995,165,168.429993,851400,168.429993
"2021-12-22",168.740005,170.639999,167.940002,169.25,707100,169.25
"2021-12-23",170.580002,173.289993,170.550003,171.160004,317200,171.160004
"2021-12-27",171.199997,174.919998,171.199997,174.610001,378000,174.610001
"2021-12-28",174.020004,178.509995,174.020004,175.809998,341300,175.809998
"2021-12-29",175.869995,178.330002,175.869995,176.660004,258100,176.660004
"2021-12-30",176.610001,178.929993,175.660004,177.889999,422300,177.889999
"2021-12-31",178.419998,183.880005,178.25,182.179993,664200,182.179993
"2022-01-03",183.350006,185.429993,181.850006,183.970001,629400,183.970001
"2022-01-04",186.229996,189.350006,184.979996,188.25,440000,188.25
"2022-01-05",188.559998,192,181.899994,182.419998,589200,182.419998
"2022-01-06",183.679993,183.679993,179,180.470001,358900,180.470001
"2022-01-07",180.449997,180.850006,176.470001,176.550003,441800,176.550003
"2022-01-10",173.139999,174.089996,169.75,172.460007,655400,172.460007
"2022-01-11",172.25,176.929993,172.25,176.440002,384300,176.440002
"2022-01-12",176.559998,178.330002,174.470001,176.740005,408400,176.740005
"2022-01-13",177.860001,179.429993,175.850006,176.419998,305300,176.419998
"2022-01-14",173.649994,175.610001,167.210007,170.770004,619000,170.770004
"2022-01-18",168.740005,169.600006,165.779999,166.139999,385300,166.139999
"2022-01-19",165.889999,165.889999,161.850006,161.880005,351800,161.880005
