"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2020-10-27",225.720001,227.436661,222.58667,224.490005,1791600,221.28743
"2020-10-28",224.740005,228.666672,221.976669,226.220001,2416800,222.992752
"2020-10-29",225.973328,231.676666,224.856674,230.696671,1851900,227.405563
"2020-10-30",228.75,231.669998,227.100006,229.32666,2064900,226.055099
"2020-11-02",232.286667,238.479996,231.666672,236.433334,1852800,233.060364
"2020-11-03",236.639999,239.583328,235.08667,236.696671,1396800,233.319946
"2020-11-04",236.876663,243.106674,236.876663,241.330002,1410600,237.887207
"2020-11-05",243.333328,246.910004,242.833328,243.273331,1110600,239.80278
"2020-11-06",244.293335,245.733337,241.886673,245.366669,1279500,241.866257
"2020-11-09",248.5,252.666672,230.223328,230.253326,3004500,226.968552
"2020-11-10",230.856674,241.366669,230.856674,240.803329,2378400,237.368042
"2020-11-11",242.103333,243.479996,240.179993,242.493332,1159500,239.03392
"2020-11-12",241.580002,242.779999,237.476669,239.103333,1688700,236.127243
"2020-11-13",241.046661,242.850006,240.070007,242.093338,979200,239.080017
"2020-11-16",242.706665,244.773331,240.82666,243.899994,1522200,240.864182
"2020-11-17",241.666672,244.823334,239.78334,243.693329,1476600,240.660095
"2020-11-18",244.463333,246.070007,241.199997,241.203339,1462800,238.201096
"2020-11-19",241.203339,245.143326,238.656662,242.910004,1563600,239.88652
"2020-11-20",243.333328,244.226669,241.210007,241.410004,968700,238.405197
"2020-11-23",242.470001,245.520004,242.143326,244.710007,1046700,241.664108
"2020-11-24",246.496674,248.789993,244.426666,245.096664,1643700,242.045959
"2020-11-25",246.259995,247.32666,242.573334,243.75,1005300,240.716049
"2020-11-27",243.993332,247.166672,243.463333,245.270004,418200,242.217163
"2020-11-30",244.630005,249.536667,244.176666,249.210007,2643000,246.108109
"2020-12-01",250,251.666672,246.639999,247.753326,1743300,244.66954
"2020-12-02",247.830002,248.776672,237.993332,238.550003,1773600,235.580811
"2020-12-03",238.553329,239.960007,235.580002,236.016663,1362900,233.078979
"2020-12-04",237.526672,238,234.369995,235.303329,2087100,232.374527
"2020-12-07",235.846664,237.740005,235.503326,236.693329,1911900,233.747223
"2020-12-08",237.143326,240.396667,236.933334,239.753326,1317600,236.769135
"2020-12-09",240.616669,242.949997,237.713333,240.213333,1691400,237.223434
"2020-12-10",238.843338,241.639999,237.603333,239.940002,1383300,236.953491
"2020-12-11",239.520004,240.850006,237.776672,239.536667,1086900,236.555161
"2020-12-14",241.350006,243.333328,239.596664,239.616669,1545300,236.634186
"2020-12-15",241.28334,242.103333,239.070007,240.779999,957600,237.783005
"2020-12-16",242.256668,242.986664,239.933334,240.830002,1149600,237.832397
"2020-12-17",242.363327,243.103333,241.190002,242.083328,1515900,239.07016
