"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"2020-09-08",209.509995,209.960007,201.270004,202.479996,4574700,195.550751
"2020-09-09",204.190002,204.830002,202.029999,202.220001,4681400,195.299637
"2020-09-10",203.729996,205.350006,199.550003,200.009995,2510300,193.165268
"2020-09-11",200.240005,201.910004,198.949997,200.919998,2376400,194.044144
"2020-09-14",203.300003,203.300003,200.669998,201.339996,2756900,194.449768
"2020-09-15",202,202.589996,197.979996,198,3717600,191.224045
"2020-09-16",198.490005,203.800003,198.070007,200.679993,3571400,193.812332
"2020-09-17",198.210007,199.889999,194.509995,194.830002,4274800,188.162567
"2020-09-18",195.009995,196.649994,192.380005,194.860001,9066300,188.191498
"2020-09-21",189.899994,194.169998,187.470001,194,4871300,187.360962
"2020-09-22",194,196.139999,188.429993,191.619995,3355800,185.062408
"2020-09-23",192,192.919998,185.869995,186.119995,3116100,179.75061
"2020-09-24",188.979996,197.460007,187.050003,195.110001,5114600,188.432968
"2020-09-25",192.960007,195.389999,189.610001,194.949997,3106000,188.278442
"2020-09-28",197.779999,201.869995,197.149994,199.070007,3280100,192.257462
"2020-09-29",198.160004,198.770004,195.429993,196.789993,2400000,190.055466
"2020-09-30",198.679993,203.080002,198.360001,200.970001,3075800,194.092422
"2020-10-01",201.529999,203.130005,197.869995,198.550003,2288700,191.755234
"2020-10-02",195.339996,200.699997,195.289993,199.899994,2541200,193.059036
"2020-10-05",201.929993,202.839996,199.589996,201.800003,2551600,194.894043
"2020-10-06",204.25,206.089996,199.899994,201.089996,2833100,194.208313
"2020-10-07",203.899994,205,201.169998,203.600006,2326600,196.632431
"2020-10-08",205.149994,208.160004,204.110001,207.979996,2330600,200.862534
"2020-10-09",208.759995,209.809998,206.070007,207.539993,3040900,200.437592
"2020-10-12",207.410004,214.889999,207.410004,214.119995,3474200,206.792419
"2020-10-13",214.009995,214.110001,209.179993,210.809998,3317300,203.595673
"2020-10-14",213.880005,214.449997,210.270004,211.229996,7550100,204.001328
"2020-10-15",209.580002,210.729996,206.899994,208.600006,4325700,201.461319
"2020-10-16",208.320007,210,205.809998,206.210007,3244500,199.153107
"2020-10-19",207.389999,207.910004,204.589996,205.690002,3235300,198.650909
"2020-10-20",206.699997,211.380005,206.470001,208.029999,3335500,200.910812
"2020-10-21",207.389999,207.949997,202.009995,202.910004,3083600,195.966049
"2020-10-22",203.199997,206.369995,202.199997,205.399994,2136900,198.370819
"2020-10-23",206.759995,208.210007,204.020004,205.039993,2110200,198.023132
"2020-10-26",202.490005,202.809998,198.509995,201.139999,3249700,194.256622
"2020-10-27",200,200.589996,195.410004,195.679993,3430400,188.983444
"2020-10-28",191.309998,193.369995,188.940002,189.770004,4214600,183.275726
"2020-10-29",189.800003,192.350006,186.899994,189.940002,3581200,183.439896
"2020-10-30",189.509995,190.399994,185.520004,189.039993,3658800,182.570694
"2020-11-02",192,192.699997,188.229996,190.199997,2459600,183.690964
"2020-11-03",193.940002,199,193.220001,197.929993,4545500,191.156448
"2020-11-04",196.25,200.820007,194.899994,197.869995,3868500,191.098511
"2020-11-05",199.649994,204.119995,199.059998,202.960007,2892800,196.014328
"2020-11-06",204.339996,204.389999,200.419998,201.259995,2475100,194.372498
"2020-11-09",214.490005,218,209.369995,214.929993,6960500,207.574677
"2020-11-10",215.25,218.380005,211.179993,217.470001,4166500,210.027771
"2020-11-11",218.639999,219.919998,215.029999,218.050003,2680700,210.587906
"2020-11-12",215.220001,216.860001,212.399994,214.509995,3005500,207.169037
"2020-11-13",215.850006,220.960007,215.410004,219.080002,2832100,211.582672
"2020-11-16",223.529999,224.600006,220.029999,222.380005,3004700,214.76973
"2020-11-17",220.020004,224.850006,218.330002,224.649994,2722900,216.962051
"2020-11-18",225,227.720001,223.509995,224.300003,2856200,216.624039
"2020-11-19",224.300003,224.940002,222.110001,224.570007,1505200,216.884811
"2020-11-20",223,224.809998,222.630005,223.350006,1848100,215.706543
"2020-11-23",226.059998,230,225.729996,228.830002,3371300,220.999008
"2020-11-24",231.100006,238.119995,230.630005,237.5,3915200,229.372299
"2020-11-25",235,237.449997,232.429993,236.539993,2272800,228.445129
"2020-11-27",237,237.300003,233.789993,235.399994,1050400,227.344147
"2020-11-30",232.050003,235,230.360001,230.580002,2705400,222.689102
"2020-12-01",231.960007,234.869995,231.350006,232.080002,2577600,225.359482
"2020-12-02",232.080002,238.130005,231.580002,237.649994,2136300,230.768173
"2020-12-03",237.289993,238.850006,234.639999,235.470001,2142600,228.651321
"2020-12-04",237.699997,239.75,236.949997,239.580002,2373000,232.642288
"2020-12-07",238.539993,239.850006,235.449997,238.449997,1788600,231.545029
"2020-12-08",237.009995,239.190002,236.580002,238.839996,1371800,231.923706
"2020-12-09",240,245.360001,239.529999,242.820007,3552300,235.788483
"2020-12-10",240,245.179993,239.509995,244.399994,2541700,237.322708
"2020-12-11",240.809998,241.199997,237.100006,239.990005,2077300,233.040436
