"","NDSN.Open","NDSN.High","NDSN.Low","NDSN.Close","NDSN.Volume","NDSN.Adjusted"
"2020-10-01",191.589996,193.429993,191.110001,191.720001,147100,188.862717
"2020-10-02",188.710007,191.699997,187.190002,190.479996,124700,187.641174
"2020-10-05",192.130005,196.479996,192.130005,196.259995,127000,193.335022
"2020-10-06",197.479996,202,195.839996,197.740005,202800,194.792969
"2020-10-07",200.380005,202.539993,197.919998,200.520004,215200,197.531555
"2020-10-08",201.830002,202.830002,200.380005,200.570007,164200,197.580826
"2020-10-09",201.199997,202.789993,200,201.190002,126900,198.191559
"2020-10-12",202.479996,204.929993,201.699997,204.009995,108200,200.969528
"2020-10-13",202.339996,204.919998,201.990005,203.199997,127200,200.17157
"2020-10-14",203.25,205.839996,201.919998,202.479996,157500,199.462357
"2020-10-15",200.059998,207.279999,198.800003,206.940002,138100,203.855865
"2020-10-16",206.559998,209.949997,206.559998,208.559998,132900,205.451706
"2020-10-19",207.070007,209.5,206.589996,207.330002,192100,204.240036
"2020-10-20",208.940002,210.860001,207.830002,208.740005,142600,205.629044
"2020-10-21",208.309998,210.309998,208.080002,208.339996,154100,205.235001
"2020-10-22",209.339996,211.610001,208.220001,211.169998,177200,208.022827
"2020-10-23",212.899994,212.990005,207.089996,207.559998,157000,204.466644
"2020-10-26",202.410004,204.889999,201.660004,203.050003,212700,200.023834
"2020-10-27",202.979996,203.029999,197.389999,197.75,127400,194.802811
"2020-10-28",194.899994,196.199997,191.059998,191.220001,161000,188.370148
"2020-10-29",190.059998,195.850006,188.710007,195.199997,182400,192.290833
"2020-10-30",194.25,197.100006,192.160004,193.429993,208400,190.547211
"2020-11-02",193.589996,198.470001,193.589996,197,156100,194.064011
"2020-11-03",200.720001,201.919998,197.679993,200.309998,221300,197.324677
"2020-11-04",201,204.369995,196.550003,202.669998,155500,199.64949
"2020-11-05",205.679993,209.779999,205.679993,208.470001,119200,205.363068
"2020-11-06",209.559998,212.190002,202.389999,210.660004,139600,207.520401
"2020-11-09",215.399994,216.869995,201.25,201.779999,381400,198.772766
"2020-11-10",202.259995,202.679993,195.110001,197.179993,479300,194.241302
"2020-11-11",199.589996,203.110001,195.970001,202.240005,274400,199.225922
"2020-11-12",203.429993,203.429993,197.25,199.240005,156400,196.270645
"2020-11-13",201.199997,203.679993,199.330002,201.919998,168900,198.910675
"2020-11-16",204.039993,206.839996,201.300003,206.830002,293600,203.747498
"2020-11-17",205.759995,206.529999,202.800003,203.940002,199900,200.900543
"2020-11-18",204.699997,205.350006,201.350006,201.5,191200,198.496948
"2020-11-19",201.990005,202.940002,200.059998,202.309998,137700,199.294876
"2020-11-20",202.860001,203.610001,200.399994,202.100006,140500,199.087997
"2020-11-23",203.619995,203.919998,201.270004,201.5,155300,198.496948
"2020-11-24",203.300003,205.229996,201.179993,204.529999,215700,201.481766
"2020-11-25",204,204,201.110001,202.529999,187200,199.511566
"2020-11-27",202.009995,204.619995,201.639999,204.369995,95700,201.324158
"2020-11-30",204.149994,206.119995,203,203.809998,413900,200.772507
"2020-12-01",205.990005,206.679993,202.509995,203.759995,339500,200.723251
"2020-12-02",203,204.229996,196.779999,197.529999,196100,194.586121
"2020-12-03",193.089996,199.660004,193.089996,195.309998,183500,192.3992
"2020-12-04",195.460007,201.070007,195.460007,200.419998,276100,197.433029
"2020-12-07",201.190002,201.529999,198.149994,199.020004,143500,196.053909
"2020-12-08",198.759995,200,198.050003,198.929993,200500,195.96521
"2020-12-09",199.339996,200.220001,198,198.529999,263000,195.571198
"2020-12-10",198.940002,198.940002,196.240005,198,304700,195.049118
"2020-12-11",197.389999,198.5,195.729996,197.789993,228100,194.842209
"2020-12-14",199.419998,200.25,197.740005,199.720001,228700,196.743469
"2020-12-15",201.539993,204.320007,200.440002,201.910004,278300,198.900833
"2020-12-16",198.949997,198.960007,189.880005,193.990005,610000,191.098862
"2020-12-17",195.300003,197.320007,191.919998,196.910004,365000,194.366104
"2020-12-18",200.419998,200.690002,196.589996,198.729996,719100,196.162582
"2020-12-21",194.669998,197.869995,193.330002,195.820007,283200,193.290192
"2020-12-22",196.160004,199.589996,194.600006,198.639999,208300,196.073746
"2020-12-23",199.789993,200.850006,196.919998,198.350006,128700,195.787506
"2020-12-24",197.119995,199.240005,196.800003,198.949997,50600,196.379745
"2020-12-28",200.399994,202.630005,197.979996,198.410004,125000,195.846741
"2020-12-29",198.630005,201.839996,195.350006,196.899994,121400,194.356216
"2020-12-30",197.869995,199.880005,197.869995,198.830002,133700,196.261307
"2020-12-31",198.149994,202.300003,197.779999,200.949997,190500,198.353912
"2021-01-04",201.580002,203.5,194.380005,196.559998,183600,194.020615
"2021-01-05",195.880005,200.789993,194.899994,199.289993,297400,196.715347
"2021-01-06",200.279999,206.490005,200.279999,204.949997,308500,202.302231
"2021-01-07",206.059998,206.850006,202.25,205.289993,572900,202.637833
"2021-01-08",204.75,206.529999,200.309998,203.270004,338700,200.643936
"2021-01-11",201.229996,205.009995,200.720001,204.229996,226400,201.591522
"2021-01-12",202.339996,207.759995,202.339996,207.339996,165600,204.661362
"2021-01-13",206.270004,208.830002,203.479996,203.610001,280700,200.979553
"2021-01-14",204.600006,205.020004,200.289993,202.029999,152500,199.419952
"2021-01-15",200.610001,203.690002,192.25,193.25,357300,190.753372
"2021-01-19",195.509995,195.899994,188.830002,189.5,941300,187.051834
"2021-01-20",190.139999,194.369995,189.529999,193.869995,563700,191.365356
"2021-01-21",194.399994,194.860001,191.509995,192.100006,287600,189.61824
"2021-01-22",191.669998,192.529999,189.759995,191.990005,286500,189.509644
"2021-01-25",191.020004,192.789993,186.440002,188.119995,402600,185.689667
"2021-01-26",189.889999,191.300003,186.009995,187.490005,291000,185.06781
"2021-01-27",184.880005,186.350006,179.889999,183.589996,347600,181.218185
"2021-01-28",186.130005,187.160004,184.130005,184.339996,221700,181.958511
