"","CZR.Open","CZR.High","CZR.Low","CZR.Close","CZR.Volume","CZR.Adjusted"
"2020-08-12",38.619999,39.009998,36.779999,37.16,3978000,37.16
"2020-08-13",37.849998,41.040001,37.439999,39.459999,7061800,39.459999
"2020-08-14",39.200001,41.438999,38.286999,41.32,5042700,41.32
"2020-08-17",41.32,42.330002,40.009998,41.560001,5538200,41.560001
"2020-08-18",41.830002,42.919998,41.049999,42.720001,3755000,42.720001
"2020-08-19",42.779999,44.689999,42.75,44.044998,6340900,44.044998
"2020-08-20",43.400002,46.154999,43.119999,46,5763700,46
"2020-08-21",45.389999,46.57,44.029999,44.700001,5738400,44.700001
"2020-08-24",45.470001,46.169998,44.029999,44.720001,4124100,44.720001
"2020-08-25",44.689999,45.310001,43.549999,43.860001,2955500,43.860001
"2020-08-26",44.330002,46.400002,43.919998,45.990002,4097000,45.990002
"2020-08-27",46.349998,47.98,45.900002,47.259998,3740000,47.259998
"2020-08-28",48.580002,49.669998,48.084999,49.049999,4269600,49.049999
"2020-08-31",49.060001,49.110001,45.779999,45.799999,4152200,45.799999
"2020-09-01",45.849998,48,45.356998,46.860001,3975200,46.860001
"2020-09-02",46.93,49.099998,46.650002,48.669998,2977200,48.669998
"2020-09-03",48.555,50.099998,46.830002,47.619999,4545100,47.619999
"2020-09-04",48.07,50.25,46.060001,49.810001,3673200,49.810001
"2020-09-08",48.549999,51.939999,47.599998,49.939999,3435600,49.939999
"2020-09-09",50.41,50.928001,48.349998,50.279999,2779300,50.279999
"2020-09-10",50.619999,53.209999,50.580002,50.740002,4035000,50.740002
"2020-09-11",51.189999,51.723,48.900002,50.110001,2733100,50.110001
"2020-09-14",50.529999,56.259998,50.529999,55.389999,9928500,55.389999
"2020-09-15",55.470001,59.419998,55.41,58.98,6142300,58.98
"2020-09-16",59.290001,60.080002,55.16,55.939999,5096000,55.939999
"2020-09-17",54.509998,57.389999,54.27,55.400002,3720900,55.400002
"2020-09-18",56.02,56.799999,54.569,56.200001,4195400,56.200001
"2020-09-21",53.610001,54.810001,51.529999,54.43,4608100,54.43
"2020-09-22",55.880001,58.57,55.195999,58.130001,4304800,58.130001
"2020-09-23",57.799999,59.110001,54.77,54.860001,2976100,54.860001
"2020-09-24",54.150002,54.919998,52.380001,52.869999,2960900,52.869999
"2020-09-25",54.849998,57.610001,54.259998,57.07,4517700,57.07
"2020-09-28",58.380001,59.73,55.23,58.209999,6629300,58.209999
"2020-09-29",56.290001,57.400002,53.535,54.490002,23774700,54.490002
"2020-09-30",55.900002,57.970001,54.630001,56.060001,22246100,56.060001
"2020-10-01",56.439999,57.549999,55.07,57.099998,7296000,57.099998
"2020-10-02",54.619999,58,54.419998,56.830002,8870400,56.830002
"2020-10-05",57.709999,58,55.150002,57.07,4140500,57.07
"2020-10-06",57.400002,57.700001,54.869999,55,5774000,55
"2020-10-07",55.689999,56.48,54.599998,55.740002,4211400,55.740002
"2020-10-08",56.5,56.970001,54.625,54.740002,3049500,54.740002
"2020-10-09",55.02,55.73,52.009998,52.349998,4440800,52.349998
"2020-10-12",53.060001,54.060001,52.349998,53.950001,2611600,53.950001
"2020-10-13",53.619999,55.610001,52.589001,55.450001,3944700,55.450001
"2020-10-14",55.639999,56.880001,55.209999,55.330002,2577300,55.330002
"2020-10-15",54.470001,55.799999,53.709999,55.599998,2345800,55.599998
"2020-10-16",56.330002,56.5,54.43,54.970001,2533000,54.970001
"2020-10-19",54.98,55.34,53.240002,53.419998,2026700,53.419998
"2020-10-20",53.57,55.419998,52.950001,54.470001,2160700,54.470001
"2020-10-21",54.310001,54.959999,52.43,52.450001,2265400,52.450001
"2020-10-22",53.029999,54.25,52.259998,54.130001,1856700,54.130001
"2020-10-23",54.290001,54.93,52.619999,54.689999,2547100,54.689999
"2020-10-26",53.490002,55.09,50.650002,51.759998,2820300,51.759998
"2020-10-27",52.040001,52.759998,46.869999,48.470001,4483500,48.470001
"2020-10-28",46.34,48.150002,45.139999,45.259998,4456600,45.259998
"2020-10-29",46,47.380001,45.279999,46.099998,3484300,46.099998
"2020-10-30",45.490002,46.349998,43.07,44.82,3455700,44.82
"2020-11-02",45.549999,46.849998,44.57,46.66,2937200,46.66
"2020-11-03",47.52,50.669998,47.27,50.110001,3348600,50.110001
"2020-11-04",50.990002,52.821999,49.279999,52.200001,3044000,52.200001
"2020-11-05",53.279999,56.389999,53.279999,56.130001,5013700,56.130001
"2020-11-06",54.950001,58.560001,54.040001,56.889999,4497500,56.889999
"2020-11-09",64.739998,74.919998,60.73,63.080002,8330900,63.080002
"2020-11-10",62.799999,64.790001,60.099998,60.279999,5708300,60.279999
"2020-11-11",60.439999,60.779999,56.759998,58.970001,3878100,58.970001
"2020-11-12",57.400002,60.939999,57.119999,57.779999,2888900,57.779999
"2020-11-13",59.599998,61.860001,58.830002,61.380001,2702400,61.380001
"2020-11-16",64.050003,64.050003,61.007999,63.189999,3730700,63.189999
"2020-11-17",62.34,64.209999,61.507,63.73,2329100,63.73
"2020-11-18",64.519997,66.129997,63.075001,63.799999,3750500,63.799999
"2020-11-19",64.150002,66.214996,62.521999,65.730003,2954200,65.730003
"2020-11-20",64.790001,66.120003,63.82,64.010002,1919700,64.010002
"2020-11-23",64.290001,67.160004,63.07,66.900002,3527600,66.900002
"2020-11-24",68,71.650002,67.690002,70.099998,4822300,70.099998
"2020-11-25",67.239998,69.550003,66.849998,69.370003,3512500,69.370003
"2020-11-27",69.720001,71.019997,69.279999,70.099998,1244500,70.099998
"2020-11-30",69.690002,69.760002,66.724998,68.120003,2023700,68.120003
"2020-12-01",69.790001,69.849998,67.099998,67.839996,2388400,67.839996
"2020-12-02",67.879997,69.480003,65.889999,68.5,1971200,68.5
"2020-12-03",68.940002,71.720001,68.110001,71.129997,2802400,71.129997
"2020-12-04",71.800003,73.900002,71,73.839996,2891100,73.839996
"2020-12-07",73.800003,74.949997,73.309998,74.860001,1825600,74.860001
"2020-12-08",74.029999,76.419998,74.029999,75.269997,3928100,75.269997
"2020-12-09",75.269997,75.75,70.870003,71.779999,2867800,71.779999
"2020-12-10",70.720001,72.599998,69.290001,71.129997,1864000,71.129997
"2020-12-11",71.650002,72.440002,69.480003,69.900002,1359500,69.900002
"2020-12-14",71.68,73.164001,70.824997,71.809998,1952500,71.809998
"2020-12-15",72.860001,75.519997,71.816002,75.239998,1901300,75.239998
"2020-12-16",74.629997,76.279999,73.882004,75.839996,1662900,75.839996
"2020-12-17",76.029999,77.419998,75.760002,77.059998,2003900,77.059998
"2020-12-18",77.419998,78.160004,74.629997,75.440002,6965800,75.440002
"2020-12-21",73.281998,74.940002,71.209999,73.830002,2118300,73.830002
"2020-12-22",73.949997,74.690002,71.559998,74.309998,1484600,74.309998
"2020-12-23",74.639999,77.449997,74.639999,76.68,1051000,76.68
"2020-12-24",76.228996,77.199997,75.309998,75.839996,685400,75.839996
"2020-12-28",76.480003,77,73.419998,73.639999,1524300,73.639999
"2020-12-29",74.160004,74.779999,72.140999,73.370003,1319300,73.370003
"2020-12-30",73.330002,74.239998,72.379997,73.690002,1200700,73.690002
"2020-12-31",73.730003,75.529999,72.690002,74.269997,1313500,74.269997
"2021-01-04",74.620003,75.440002,71.050003,71.599998,2446900,71.599998
"2021-01-05",71.540001,75.5,71.525002,74.769997,1748900,74.769997
"2021-01-06",75.959999,78,74.652,76.239998,3364400,76.239998
"2021-01-07",77.300003,80,76.519997,78.059998,3028500,78.059998
"2021-01-08",77.849998,79.5,77.449997,78.800003,3305300,78.800003
"2021-01-11",77.279999,79.650002,76.82,78.269997,1468100,78.269997
"2021-01-12",78.803001,80.690002,77.610001,79.080002,1838600,79.080002
"2021-01-13",78.5,78.959,76.059998,76.519997,2050900,76.519997
"2021-01-14",77.459999,79.470001,77.330002,78.160004,2028700,78.160004
"2021-01-15",77.300003,80.099998,76.220001,80,2901800,80
"2021-01-19",80.18,82.150002,79.050003,80.669998,3724500,80.669998
"2021-01-20",80.400002,82.339996,79.625,80.050003,2292400,80.050003
"2021-01-21",80.220001,81.43,78.339996,80.720001,1977500,80.720001
"2021-01-22",79.75,81.57,78.68,79.529999,1803400,79.529999
"2021-01-25",79.32,79.529999,75.989998,78.400002,1923700,78.400002
"2021-01-26",78.852997,80.650002,74.150002,74.360001,2138800,74.360001
"2021-01-27",71.769997,72.300003,66.339996,66.870003,4588400,66.870003
"2021-01-28",68,74.889999,68,73.739998,3368000,73.739998
"2021-01-29",73.040001,73.5,68.769997,70.389999,2602300,70.389999
"2021-02-01",70.669998,72.25,69.900002,70.800003,2022600,70.800003
"2021-02-02",72.25,76.389999,71.68,76,1735500,76
"2021-02-03",76.010002,78.449997,74.779999,76.75,1594100,76.75
"2021-02-04",77.889999,80.150002,77.315002,79.480003,1601300,79.480003
"2021-02-05",81.019997,83.970001,80.370003,82.879997,2466100,82.879997
"2021-02-08",83.470001,83.959999,80.190002,82.849998,1287600,82.849998
"2021-02-09",82.120003,83.93,80.620003,81.57,1057900,81.57
"2021-02-10",81.849998,82.392998,79.300003,79.610001,1385300,79.610001
"2021-02-11",79.75,80.300003,77.019997,78.470001,1274200,78.470001
"2021-02-12",77.790001,80.730003,77.629997,80.239998,1960300,80.239998
"2021-02-16",80.900002,81.120003,78.269997,78.339996,1486300,78.339996
"2021-02-17",77.349998,79.239998,75.449997,78.610001,1930800,78.610001
"2021-02-18",77.650002,80.059998,77.07,79.269997,941300,79.269997
"2021-02-19",79.870003,83.870003,79.394997,83.160004,2026100,83.160004
"2021-02-22",83.400002,89.110001,83.040001,84.709999,2355200,84.709999
"2021-02-23",83.699997,86.809998,81.690002,85.769997,2180600,85.769997
"2021-02-24",86.830002,89.989998,84.160004,89.809998,2068800,89.809998
"2021-02-25",89.599998,90.263,84.370003,85.139999,2518600,85.139999
"2021-02-26",90.739998,94.43,88.07,93.440002,5535800,93.440002
"2021-03-01",96,96.830002,93.169998,94.059998,2807800,94.059998
"2021-03-02",93.629997,95.150002,92.510002,92.980003,1595500,92.980003
"2021-03-03",95.239998,98.160004,93.639999,95.559998,3239700,95.559998
"2021-03-04",96,96.080002,86.82,90.82,3282000,90.82
"2021-03-05",91.82,93.839996,83.919998,93.309998,3143100,93.309998
"2021-03-08",94.970001,97.550003,93.245003,95.07,2036600,95.07
"2021-03-09",97.5,97.949997,93.269997,93.779999,2361300,93.779999
"2021-03-10",94.050003,98.839996,93.669998,98.389999,2888900,98.389999
"2021-03-11",99.989998,103.650002,98.699997,100.75,2987900,100.75
"2021-03-12",99.690002,101.839996,99,100.620003,1451500,100.620003
"2021-03-15",104.169998,106.199997,99.294998,101.199997,4261500,101.199997
"2021-03-16",101.400002,101.400002,93.57,95.800003,4952100,95.800003
"2021-03-17",94.419998,96.529999,92.410004,96.040001,4048200,96.040001
"2021-03-18",95.07,95.300003,90.480003,90.599998,4851600,90.599998
"2021-03-19",91.5,92.190002,88.980003,89.32,45667200,89.32
"2021-03-22",89,89.889999,86.074997,88.470001,5292500,88.470001
"2021-03-23",86.824997,88.32,83.860001,84.589996,4596900,84.589996
"2021-03-24",85.879997,88.400002,82.660004,82.900002,3473600,82.900002
"2021-03-25",80.25,87.620003,79.910004,86.940002,4447600,86.940002
"2021-03-26",88.010002,88.809998,84.110001,87.529999,2545000,87.529999
"2021-03-29",86,87.32,82.019997,82.440002,2349100,82.440002
"2021-03-30",82.209999,87.589996,81.760002,87.129997,3320500,87.129997
"2021-03-31",87.519997,88.830002,85.980003,87.449997,2414600,87.449997
"2021-04-01",88.540001,89.550003,86.410004,88.940002,2786000,88.940002
"2021-04-05",92.669998,93.580002,90.07,90.18,3253000,90.18
"2021-04-06",90.860001,94.68,90.43,92.5,2660800,92.5
"2021-04-07",93.349998,94.089996,91.610001,92.589996,2022100,92.589996
"2021-04-08",92.790001,97.650002,91.57,96.150002,3608100,96.150002
"2021-04-09",94.860001,96.650002,93.400002,96.330002,2116300,96.330002
"2021-04-12",96.099998,96.099998,92.160004,94.330002,3067700,94.330002
"2021-04-13",94.283997,95.779999,90.5,95.730003,2442100,95.730003
"2021-04-14",95.839996,97.970001,92.760002,93.269997,1865100,93.269997
"2021-04-15",93.5,94,91.610001,93.160004,1800900,93.160004
"2021-04-16",93.550003,96.199997,92.059998,93.639999,2554600,93.639999
"2021-04-19",92.610001,93.033997,87.980003,88.75,3229300,88.75
"2021-04-20",90.75,92.07,85.919998,89.879997,3411300,89.879997
"2021-04-21",88.400002,94.360001,87.800003,94.279999,2303100,94.279999
"2021-04-22",93.900002,96.690002,93.139999,94.120003,2212700,94.120003
"2021-04-23",94.830002,96.040001,94,95.739998,1489300,95.739998
"2021-04-26",96.43,98.264999,95.459999,96.980003,1623400,96.980003
"2021-04-27",98.879997,102.139999,98.349998,101.769997,4326800,101.769997
"2021-04-28",103.129997,104.480003,101.57,102.599998,5494400,102.599998
"2021-04-29",103.25,103.400002,98,99.470001,2782200,99.470001
"2021-04-30",98.190002,99.550003,96.599998,97.839996,1772400,97.839996
"2021-05-03",98.68,98.959999,96.440002,96.910004,1967600,96.910004
"2021-05-04",94.830002,95.800003,90.900002,95.529999,4573300,95.529999
"2021-05-05",104.379997,105.5,100.139999,102.980003,6279800,102.980003
"2021-05-06",102.949997,103.879997,99.449997,102.220001,3586800,102.220001
"2021-05-07",101.940002,105.879997,101.470001,105.75,2949500,105.75
"2021-05-10",106.419998,106.849998,103.220001,104.68,2666600,104.68
"2021-05-11",100.580002,103.540001,97.410004,100.769997,3812300,100.769997
"2021-05-12",99.290001,102.18,91.739998,92.410004,4389900,92.410004
"2021-05-13",92.800003,96.388,90.279999,94.370003,4040100,94.370003
"2021-05-14",95.080002,100.040001,95.080002,98.610001,2591500,98.610001
"2021-05-17",97.610001,100.610001,95.849998,100.370003,2926400,100.370003
"2021-05-18",100.720001,103.839996,99.82,100.150002,2923100,100.150002
"2021-05-19",97.120003,98.449997,95.25,96.5,2472800,96.5
"2021-05-20",96.959999,101.110001,95.93,100.589996,3410700,100.589996
"2021-05-21",101.279999,102.410004,99.779999,100.209999,2380300,100.209999
"2021-05-24",101.419998,106.309998,100.309998,105.080002,4334700,105.080002
"2021-05-25",106,107.768997,104.620003,107.059998,4331400,107.059998
"2021-05-26",108.199997,109.190002,106.245003,106.599998,2871400,106.599998
"2021-05-27",107.650002,109.190002,105.5,107.93,13308500,107.93
"2021-05-28",107.82,108.264999,105.019997,107.449997,1835200,107.449997
"2021-06-01",107.68,110.484001,107.330002,109.550003,2469200,109.550003
"2021-06-02",109.82,110.128998,107.760002,109.699997,2115500,109.699997
"2021-06-03",108.160004,109.959999,106.489998,109.57,1913300,109.57
"2021-06-04",109.989998,111.32,109.059998,110.639999,2823900,110.639999
"2021-06-07",112.190002,113.459999,109.459999,110.599998,2803500,110.599998
"2021-06-08",111.669998,112.739998,110.094002,111.699997,2696500,111.699997
"2021-06-09",111.910004,112.345001,109,110.830002,1845800,110.830002
"2021-06-10",110.839996,112.860001,109.040001,111.400002,2375500,111.400002
"2021-06-11",111.190002,112.190002,110.014999,110.309998,1544000,110.309998
"2021-06-14",109.5,110.470001,106.260002,106.620003,2511700,106.620003
"2021-06-15",105.93,107.860001,104.879997,106.5,2217700,106.5
"2021-06-16",105.220001,107.75,104.989998,107.089996,2579500,107.089996
"2021-06-17",105.809998,107.43,101.510002,103.830002,3644800,103.830002
"2021-06-18",100.860001,103.43,99.480003,100.059998,4759400,100.059998
"2021-06-21",101.830002,103.959999,99.779999,103.82,3154900,103.82
"2021-06-22",103.641998,106.510002,102.029999,104.309998,3973300,104.309998
"2021-06-23",104.400002,105.75,102.050003,103.220001,2507500,103.220001
"2021-06-24",104.669998,106.309998,104.260002,104.730003,2076300,104.730003
"2021-06-25",104.707001,105.019997,100.261002,102.43,27148300,102.43
"2021-06-28",102.260002,102.260002,98.400002,100.540001,2736700,100.540001
"2021-06-29",100.339996,102.199997,100.18,100.879997,3465700,100.879997
"2021-06-30",100.919998,104.029999,99.830002,103.75,2270400,103.75
"2021-07-01",104.974998,106.07,102.739998,102.900002,1899700,102.900002
"2021-07-02",103.599998,103.889999,101.720001,102.410004,1286900,102.410004
"2021-07-06",101.959999,102.209999,96.919998,98.449997,3182400,98.449997
"2021-07-07",98.400002,99.07,94.379997,95.550003,3166500,95.550003
"2021-07-08",92.43,96.239998,92.010002,94.559998,2429600,94.559998
"2021-07-09",96.080002,97.480003,95.010002,96.860001,2401400,96.860001
"2021-07-12",97.68,99,96.150002,98.349998,1476900,98.349998
"2021-07-13",96.949997,97.919998,96.050003,96.769997,1961600,96.769997
"2021-07-14",97.910004,99.019997,94.129997,94.519997,2223700,94.519997
"2021-07-15",93.440002,95.5,92.379997,94.470001,1866000,94.470001
"2021-07-16",95.529999,95.676003,89.589996,89.900002,2335500,89.900002
"2021-07-19",86.714996,89.970001,85.372002,87.769997,3448600,87.769997
"2021-07-20",88.120003,92.209999,86.760002,91.300003,2619300,91.300003
"2021-07-21",92.510002,96.105003,92.059998,93.989998,2390500,93.989998
"2021-07-22",93.690002,94.379997,91.68,92.519997,1565300,92.519997
"2021-07-23",93.57,93.730003,90.18,90.309998,1624100,90.309998
"2021-07-26",90.629997,93.290001,89.470001,93.25,1737100,93.25
"2021-07-27",92.760002,93.239998,88.639999,92.510002,1907800,92.510002
"2021-07-28",93.269997,94.839996,88.550003,92.370003,2884700,92.370003
"2021-07-29",93,93.019997,89.739998,89.860001,1850800,89.860001
"2021-07-30",88.800003,90.349998,86.589996,87.360001,2970800,87.360001
"2021-08-02",88.330002,90.644997,86.209999,86.5,2062200,86.5
"2021-08-03",86.779999,87.32,82.980003,86.779999,4022200,86.779999
"2021-08-04",88.389999,88.82,84.629997,84.989998,4892100,84.989998
"2021-08-05",84.989998,91.470001,84.879997,90.5,4103300,90.5
"2021-08-06",91,92.230003,89.552002,90.5,3147100,90.5
"2021-08-09",92,92.040001,89.019997,90.839996,3230600,90.839996
"2021-08-10",91.419998,92.099998,89.855003,90.57,1563200,90.57
"2021-08-11",90.099998,93.260002,89.333,92.949997,2824500,92.949997
"2021-08-12",93.110001,93.980003,90.360001,93.760002,2041800,93.760002
"2021-08-13",93.970001,93.970001,90.690002,91.019997,2339900,91.019997
"2021-08-16",89.699997,89.699997,86.5,87.400002,1959200,87.400002
"2021-08-17",86.110001,86.385002,83.059998,84.110001,2838200,84.110001
"2021-08-18",83.889999,86.199997,82.809998,85.010002,2405900,85.010002
"2021-08-19",83.82,84.410004,80.365997,82.470001,3150000,82.470001
"2021-08-20",82.050003,85.860001,82,85.639999,2698500,85.639999
"2021-08-23",86.5,89.400002,86.300003,89.279999,2704600,89.279999
"2021-08-24",89.980003,93.93,89.959999,93.860001,3208000,93.860001
"2021-08-25",94,98.029999,93.559998,97.699997,2560600,97.699997
"2021-08-26",98.07,101.559998,97.745003,99.989998,3772200,99.989998
"2021-08-27",100.089996,109,100,104.239998,3560200,104.239998
"2021-08-30",103.955002,104.589996,101.489998,102.120003,1928400,102.120003
"2021-08-31",102.480003,103.5,99.730003,101.629997,2196300,101.629997
"2021-09-01",102.599998,103.449997,100.529999,101.889999,1813500,101.889999
"2021-09-02",102.620003,105.029999,101.25,103.5,1673500,103.5
"2021-09-03",102.580002,104.93,102.18,103.559998,1446100,103.559998
"2021-09-07",104,107.779999,103.019997,107.080002,2536900,107.080002
"2021-09-08",106.800003,107.68,103.328003,105.889999,1742000,105.889999
"2021-09-09",107.449997,109.324997,105.5,106.589996,2556900,106.589996
"2021-09-10",106.980003,107.459999,103.989998,104.190002,1741800,104.190002
"2021-09-13",105.550003,105.970001,100.82,104.339996,1628700,104.339996
"2021-09-14",102.614998,104.129997,101.199997,103.07,1415800,103.07
"2021-09-15",103.580002,107.790001,101.300003,107.330002,2313900,107.330002
"2021-09-16",107.519997,109.5,106.790001,108.57,1584700,108.57
"2021-09-17",108.980003,112.18,105.32,106.07,5778600,106.07
"2021-09-20",103.239998,106.389999,102.330002,104.75,2663200,104.75
"2021-09-21",105.449997,107.760002,103.193001,105.040001,1890500,105.040001
"2021-09-22",105.730003,111.629997,105.660004,109.910004,2630200,109.910004
"2021-09-23",110.510002,114.599998,110.110001,111.620003,3194900,111.620003
"2021-09-24",110.919998,113.627998,110.800003,112.349998,1425900,112.349998
"2021-09-27",112.620003,117.190002,112.540001,116.349998,3075400,116.349998
"2021-09-28",115.32,118.730003,114.470001,115.480003,3085500,115.480003
"2021-09-29",116.209999,116.720001,113.154999,113.400002,1574200,113.400002
"2021-09-30",113.589996,113.599998,110.690002,112.279999,2711500,112.279999
"2021-10-01",114.839996,119.809998,114.519997,119.489998,2720900,119.489998
"2021-10-04",119.160004,119.389999,116.599998,118.110001,2663300,118.110001
"2021-10-05",118.720001,119.589996,114.589996,114.760002,2535500,114.760002
"2021-10-06",113.010002,116.089996,112.428001,114.339996,1922700,114.339996
"2021-10-07",115,118.169998,114.690002,116.150002,1937900,116.150002
"2021-10-08",116.5,117.544998,113.769997,113.959999,985800,113.959999
"2021-10-11",114.440002,116.669998,113.5,114.769997,1363100,114.769997
"2021-10-12",115.18,118.945,115.18,117.059998,1975000,117.059998
"2021-10-13",116.260002,116.550003,113.959999,114.959999,1556500,114.959999
"2021-10-14",115.830002,117.25,113.419998,114.519997,2360200,114.519997
"2021-10-15",116.080002,116.75,110.339996,110.709999,2505800,110.709999
"2021-10-18",110.389999,113.129997,109.57,113,1270800,113
"2021-10-19",114.088997,115.879997,113.099998,113.93,1250100,113.93
"2021-10-20",113.470001,114.949997,111.301003,113.529999,1169800,113.529999
"2021-10-21",112.330002,114.839996,112.330002,113.309998,964900,113.309998
"2021-10-22",113.190002,113.82,111.165001,112.050003,928100,112.050003
"2021-10-25",111.5,113.330002,111.199997,111.940002,1057800,111.940002
"2021-10-26",113.160004,115.949997,112.699997,112.779999,1432300,112.779999
"2021-10-27",112.010002,112.589996,110.220001,110.760002,1104900,110.760002
"2021-10-28",110.949997,111.709999,109.080002,110.889999,1076900,110.889999
"2021-10-29",110.389999,112.190002,108.110001,109.459999,1793100,109.459999
"2021-11-01",109.790001,113.449997,108.370003,112.059998,1607400,112.059998
"2021-11-02",111.184998,112.089996,109.25,111.739998,2212300,111.739998
"2021-11-03",109.470001,114.900002,107.110001,110.690002,3389300,110.690002
"2021-11-04",111.559998,111.559998,100.830002,103.120003,6466700,103.120003
"2021-11-05",106.580002,108.839996,105.010002,106.480003,2874100,106.480003
"2021-11-08",107.510002,109.690002,104.589996,105.300003,2309800,105.300003
"2021-11-09",105.400002,106.470001,102.309998,103.07,2236600,103.07
"2021-11-10",102.839996,104.5,99.089996,99.980003,2368600,99.980003
"2021-11-11",100.550003,102.870003,100.043999,101.889999,1794300,101.889999
"2021-11-12",104.050003,106.330002,103.639999,106,2332300,106
"2021-11-15",106.449997,106.690002,102.910004,103.230003,1817200,103.230003
"2021-11-16",103.209999,104.190002,99.25,103.190002,2175800,103.190002
"2021-11-17",101.995003,102.919998,99.5,100.699997,1800000,100.699997
"2021-11-18",100.419998,101.440002,95.32,96.089996,2827700,96.089996
"2021-11-19",94.849998,97.220001,93.879997,95.400002,2663000,95.400002
"2021-11-22",95.519997,96.599998,92.410004,94.370003,2216200,94.370003
"2021-11-23",95.150002,95.870003,92.720001,93.940002,1797800,93.940002
"2021-11-24",93.089996,94.730003,91.970001,93.940002,1793800,93.940002
"2021-11-26",88.219002,91.25,87,91.199997,3004700,91.199997
"2021-11-29",92.199997,94.019997,90.470001,93.480003,3455500,93.480003
"2021-11-30",92.099998,92.876999,87.169998,90.07,4473800,90.07
"2021-12-01",91.970001,92.769997,82.949997,83.07,4148700,83.07
"2021-12-02",84.410004,90.080002,83.419998,90.029999,4075300,90.029999
"2021-12-03",90.010002,90.169998,83.629997,86.589996,4236100,86.589996
"2021-12-06",87.260002,94.120003,84.769997,92.040001,2846100,92.040001
"2021-12-07",95.349998,96.870003,89.519997,90.379997,3404600,90.379997
"2021-12-08",92.050003,95.349998,91.75,93.25,1817800,93.25
"2021-12-09",91.879997,93.419998,90.75,90.809998,1274200,90.809998
"2021-12-10",91.75,92.970001,88.610001,88.980003,2150900,88.980003
"2021-12-13",87.889999,88.389999,84.25,85.220001,2557100,85.220001
"2021-12-14",83.879997,87.050003,83.650002,86.160004,1762400,86.160004
"2021-12-15",85.779999,88.402,83.949997,87.160004,1944100,87.160004
"2021-12-16",88.209999,89.485001,85.459999,85.879997,2608700,85.879997
"2021-12-17",84.5,89.150002,83.660004,87.910004,3106600,87.910004
"2021-12-20",85.57,87.260002,84.110001,86.300003,1986400,86.300003
"2021-12-21",87.5,94.449997,87.5,93.849998,2911100,93.849998
"2021-12-22",93.330002,95.32,92.599998,93.419998,2026500,93.419998
"2021-12-23",94.860001,95.5,93.730003,94.760002,1464600,94.760002
"2021-12-27",94.029999,94.489998,92.080002,94.150002,996500,94.150002
"2021-12-28",93.419998,94.889999,92.550003,92.779999,937000,92.779999
"2021-12-29",92.040001,93.57,91.385002,92.379997,1342300,92.379997
"2021-12-30",92.370003,94.410004,92.190002,92.989998,1302500,92.989998
"2021-12-31",92.959999,94.160004,92.110001,93.529999,1082600,93.529999
"2022-01-03",93.489998,97.389999,93.160004,93.470001,2061100,93.470001
"2022-01-04",95.019997,96.099998,89,89.949997,2795100,89.949997
"2022-01-05",90.239998,90.790001,83.519997,84.150002,3756000,84.150002
"2022-01-06",84.18,88.25,82.309998,86.599998,3335400,86.599998
"2022-01-07",86.660004,90.550003,86.660004,89.660004,2369200,89.660004
"2022-01-10",89.360001,89.389999,85.440002,88.300003,2245600,88.300003
"2022-01-11",88.379997,90.690002,86.550003,89.980003,2023400,89.980003
"2022-01-12",91,91.589996,87.489998,87.949997,2122700,87.949997
